date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2010-01-04,40.81,41.1,40.39,40.92,35.6441,6894300.0,0.0,1.0
2010-01-05,40.83,41.23,40.37,40.83,35.5657,10641200.0,0.0,1.0
2010-01-06,40.83,40.83,40.83,40.83,35.5657,8399400.0,0.0,1.0
2010-01-07,41.26,42.24,41.11,41.98,36.7243,8981700.0,0.18,1.0
2010-01-08,41.76,42.48,41.4,41.95,36.698,7907700.0,0.0,1.0
2010-01-11,41.74,41.96,41.25,41.47,36.2781,7396000.0,0.0,1.0
2010-01-12,41.27,42.35,41.25,42.02,36.7593,12657300.0,0.0,1.0
2010-01-13,41.85,42.24,41.57,42.15,36.873,10137200.0,0.0,1.0
2010-01-14,42.04,42.74,42.02,42.68,37.3366,8238400.0,0.0,1.0
2010-01-15,42.52,42.84,42.02,42.39,37.0829,13629000.0,0.0,1.0
2010-01-19,42.24,43.05,42.11,42.96,37.5816,9533800.0,0.0,1.0
2010-01-20,42.93,43.25,42.26,42.98,37.5991,11643000.0,0.0,1.0
2010-01-21,42.99,43.1,41.53,42.16,36.8817,16974300.0,0.0,1.0
2010-01-22,41.36,41.49,38.19,38.59,33.7587,26170800.0,0.0,1.0
2010-01-25,39.1,39.29,37.5,37.79,33.0588,17587600.0,0.0,1.0
2010-01-26,37.54,39.23,37.52,38.1,33.33,15709900.0,0.0,1.0
2010-01-27,37.96,38.84,37.83,38.67,33.8287,12908300.0,0.0,1.0
2010-01-28,38.67,38.67,36.83,37.43,32.7439,14148600.0,0.0,1.0
2010-01-29,37.6,38.77,37.36,37.66,32.9451,14219900.0,0.0,1.0
2010-02-01,37.84,38.31,37.82,38.21,33.4263,9357100.0,0.0,1.0
2010-02-02,38.68,39.17,38.45,39.02,34.1348,11273000.0,0.0,1.0
2010-02-03,38.91,38.91,38.19,38.33,33.5312,10657500.0,0.0,1.0
2010-02-04,38.03,38.58,37.47,37.53,32.8314,12948000.0,0.0,1.0
2010-02-05,37.66,37.97,36.6,37.85,33.1113,13024000.0,0.0,1.0
2010-02-08,37.76,37.87,36.78,36.79,32.184,9370300.0,0.0,1.0
2010-02-09,37.27,37.84,37.02,37.54,32.8401,10677400.0,0.0,1.0
2010-02-10,37.58,38.04,37.0,37.75,33.0238,8880300.0,0.0,1.0
2010-02-11,37.81,38.4824,37.48,38.29,33.4962,9907800.0,0.0,1.0
2010-02-12,37.79,38.54,37.47,38.42,33.61,10692600.0,0.0,1.0
2010-02-16,38.81,39.63,38.65,39.62,34.6597,10961400.0,0.0,1.0
2010-02-17,39.53,39.58,38.82,39.05,34.1611,9850000.0,0.0,1.0
2010-02-18,39.07,39.27,38.74,39.15,34.2486,6853400.0,0.0,1.0
2010-02-19,38.89,39.18,38.59,39.06,34.1698,9412300.0,0.0,1.0
2010-02-22,39.1,39.24,38.78,38.93,34.0561,7413000.0,0.0,1.0
2010-02-23,38.68,38.69,37.82,37.93,33.1813,2672100.0,0.0,1.0
2010-02-24,38.15,38.69,38.09,38.41,33.6012,2176400.0,0.0,1.0
2010-02-25,37.67,38.13,37.05,38.04,33.2775,8456500.0,0.0,1.0
2010-02-26,38.15,38.32,37.76,38.19,33.4088,6475500.0,0.0,1.0
2010-03-01,38.2,38.28,37.86,38.13,33.3563,9137700.0,0.0,1.0
2010-03-02,38.12,38.94,38.1,38.39,33.5837,9938400.0,0.0,1.0
2010-03-03,38.46,38.95,38.18,38.28,33.4875,8222000.0,0.0,1.0
2010-03-04,38.28,39.0,38.2,38.89,34.0211,8899100.0,0.0,1.0
2010-03-05,39.1,40.25,39.1,40.2,35.1671,10137000.0,0.0,1.0
2010-03-08,40.22,40.335,39.61,39.71,34.7385,7811600.0,0.0,1.0
2010-03-09,39.54,39.94,39.35,39.7,34.7297,6764600.0,0.0,1.0
2010-03-10,39.94,39.94,39.32,39.72,34.7472,7749400.0,0.0,1.0
2010-03-11,39.57,40.15,39.4301,40.11,35.0884,7634600.0,0.0,1.0
2010-03-12,40.48,41.0,40.43,40.76,35.657,9464400.0,0.0,1.0
2010-03-15,40.62,40.97,40.07,40.7,35.6045,7125300.0,0.0,1.0
2010-03-16,40.87,41.03,40.45,40.92,35.797,5796900.0,0.0,1.0
2010-03-17,41.18,41.31,40.7,41.01,35.8757,8941900.0,0.0,1.0
2010-03-18,40.9,41.06,40.48,41.0,35.867,5519500.0,0.0,1.0
2010-03-19,41.23,41.28,40.28,40.33,35.2808,10729300.0,0.0,1.0
2010-03-22,39.9,41.24,39.833,41.08,35.9369,9194400.0,0.0,1.0
2010-03-23,41.1,41.37,40.819,41.24,36.0769,8592000.0,0.0,1.0
2010-03-24,41.04,41.46,40.85,41.01,35.8757,7499900.0,0.0,1.0
2010-03-25,41.37,42.28,41.2,41.42,36.2344,8716200.0,0.0,1.0
2010-03-26,41.57,41.77,40.91,41.12,35.9719,6821600.0,0.0,1.0
2010-03-29,41.12,41.12,41.12,41.12,35.9719,5865400.0,0.0,1.0
2010-03-30,41.31,41.495,41.07,41.29,36.2781,5561300.0,0.18,1.0
2010-03-31,41.01,41.6,40.83,41.26,36.2518,6882700.0,0.0,1.0
2010-04-01,41.68,41.9,41.36,41.7,36.6383,6016300.0,0.0,1.0
2010-04-05,41.83,42.68,41.74,42.67,37.4906,7857100.0,0.0,1.0
2010-04-06,42.39,43.1425,42.3,43.12,37.886,7816500.0,0.0,1.0
2010-04-07,42.88,43.37,42.03,42.37,37.227,9795100.0,0.0,1.0
2010-04-08,42.22,43.84,42.06,43.69,38.3868,10438100.0,0.0,1.0
2010-04-09,43.69,44.09,43.54,43.88,38.5537,6614200.0,0.0,1.0
2010-04-12,44.01,44.58,43.94,44.54,39.1336,7790800.0,0.0,1.0
2010-04-13,44.39,45.06,44.33,44.99,39.529,10940400.0,0.0,1.0
2010-04-14,45.46,46.63,45.22,46.46,40.8206,14091700.0,0.0,1.0
2010-04-15,46.22,46.68,46.02,46.67,41.0051,9524200.0,0.0,1.0
2010-04-16,46.49,46.61,44.18,45.1,39.6256,18333300.0,0.0,1.0
2010-04-19,44.81,45.79,44.63,45.76,40.2055,10527600.0,0.0,1.0
2010-04-20,46.11,46.29,45.52,46.2,40.5921,8074900.0,0.0,1.0
2010-04-21,46.16,46.38,45.5,45.99,40.4076,7741700.0,0.0,1.0
2010-04-22,45.66,47.11,45.18,46.77,41.0929,12864900.0,0.0,1.0
2010-04-23,47.92,49.19,47.66,48.05,42.2176,17470200.0,0.0,1.0
2010-04-26,47.12,47.97,46.81,47.14,41.418,11163600.0,0.0,1.0
2010-04-27,46.71,47.49,45.61,45.79,40.2319,11299500.0,0.0,1.0
2010-04-28,46.23,46.37,45.52,46.08,40.4867,9533700.0,0.0,1.0
2010-04-29,46.63,47.81,46.41,47.6,41.8222,12613700.0,0.0,1.0
2010-04-30,47.52,48.03,45.8,46.12,40.5218,14019700.0,0.0,1.0
2010-05-03,46.21,47.37,46.12,47.2,41.4707,7564200.0,0.0,1.0
2010-05-04,46.7,46.8,45.45,45.86,40.2934,10577700.0,0.0,1.0
2010-05-05,45.41,46.19,43.93,44.43,39.037,15037800.0,0.0,1.0
2010-05-06,44.35,45.14,40.16,42.5,37.3412,22510800.0,0.0,1.0
2010-05-07,42.24,42.84,40.5,40.6,35.6719,30788700.0,0.0,1.0
2010-05-10,42.99,43.3,42.57,43.09,37.8596,16791900.0,0.0,1.0
2010-05-11,42.79,44.27,42.55,43.33,38.0705,12343200.0,0.0,1.0
2010-05-12,43.56,44.21,43.18,44.1,38.747,9824700.0,0.0,1.0
2010-05-13,43.85,44.06,42.72,42.81,37.6136,10075400.0,0.0,1.0
2010-05-14,42.03,42.11,40.06,40.64,35.707,27485400.0,0.0,1.0
2010-05-17,41.25,41.74,39.8,41.22,36.2166,15067500.0,0.0,1.0
2010-05-18,41.56,41.74,39.26,39.84,35.0041,18848000.0,0.0,1.0
2010-05-19,39.35,40.78,39.14,40.17,35.2941,15596900.0,0.0,1.0
2010-05-20,39.67,40.57,38.56,38.62,33.9322,19590900.0,0.0,1.0
2010-05-21,37.57,40.06,37.36,39.82,34.9865,18743300.0,0.0,1.0
2010-05-24,39.91,40.0,38.93,39.04,34.3012,10313800.0,0.0,1.0
2010-05-25,37.96,39.0,37.6,39.0,34.2661,14758200.0,0.0,1.0
2010-05-26,39.46,39.66,37.96,38.17,33.5368,13489100.0,0.0,1.0
2010-05-27,39.03,40.42,39.03,40.33,35.4346,14744100.0,0.0,1.0
2010-05-28,40.17,40.71,39.55,39.87,35.0305,12494000.0,0.0,1.0
2010-06-01,39.18,40.3,39.05,39.19,34.433,12525800.0,0.0,1.0
2010-06-02,39.46,41.0,39.0,40.97,35.997,16206600.0,0.0,1.0
2010-06-03,41.31,41.37,40.18,40.54,35.6191,8858400.0,0.0,1.0
2010-06-04,39.47,39.83,38.2,38.41,33.7477,13697400.0,0.0,1.0
2010-06-07,38.69,39.05,37.61,37.71,33.1327,11251100.0,0.0,1.0
2010-06-08,37.94,38.52,37.13,38.43,33.7653,11586000.0,0.0,1.0
2010-06-09,38.83,39.24,37.97,38.11,33.4841,12270200.0,0.0,1.0
2010-06-10,38.7,40.12,38.67,40.03,35.1711,11784300.0,0.0,1.0
2010-06-11,39.49,40.2,39.33,40.13,35.2589,7805300.0,0.0,1.0
2010-06-14,40.47,40.68,39.87,39.89,35.048,8484900.0,0.0,1.0
2010-06-15,40.46,41.64,40.18,41.59,36.5417,10114800.0,0.0,1.0
2010-06-16,41.44,42.51,41.19,42.34,37.2007,11552200.0,0.0,1.0
2010-06-17,42.7,42.73,41.45,42.06,36.9546,8013300.0,0.0,1.0
2010-06-18,42.14,42.26,41.67,42.03,36.9283,9287500.0,0.0,1.0
2010-06-21,42.76,43.14,42.03,42.6,37.4291,12073600.0,0.0,1.0
2010-06-22,42.64,42.92,41.84,41.94,36.8492,9893800.0,0.0,1.0
2010-06-23,41.99,42.48,41.12,42.17,37.0513,9454100.0,0.0,1.0
2010-06-24,41.82,42.34,40.94,41.06,36.076,9669400.0,0.0,1.0
2010-06-25,41.51,42.67,40.9407,42.67,37.4906,23429700.0,0.0,1.0
2010-06-28,42.52,42.74,41.81,42.11,36.9986,8870400.0,0.0,1.0
2010-06-29,41.49,41.54,39.75,40.09,35.2238,12254700.0,0.0,1.0
2010-06-30,39.82,40.6,39.58,39.7,35.0393,8975500.0,0.18,1.0
2010-07-01,39.55,40.08,38.42,39.48,34.8451,8747200.0,0.0,1.0
2010-07-02,39.81,39.89,38.91,39.42,34.7921,6928100.0,0.0,1.0
2010-07-06,40.16,40.33,38.74,39.21,34.6068,10308600.0,0.0,1.0
2010-07-07,39.07,41.22,39.02,41.15,36.319,12115800.0,0.0,1.0
2010-07-08,41.7,42.18,41.41,42.12,37.1752,11511600.0,0.0,1.0
2010-07-09,42.11,42.61,41.93,42.58,37.5812,8292400.0,0.0,1.0
2010-07-12,42.4,42.96,42.25,42.83,37.8018,6981200.0,0.0,1.0
2010-07-13,43.27,44.43,43.26,44.17,38.9845,8623100.0,0.0,1.0
2010-07-14,43.95,44.17,43.27,43.7,38.5697,7158100.0,0.0,1.0
2010-07-15,43.97,44.0,42.34,43.43,38.3314,9838400.0,0.0,1.0
2010-07-16,43.1,43.17,41.25,41.38,36.522,14179100.0,0.0,1.0
2010-07-19,41.5,41.84,40.46,41.58,36.6985,7378200.0,0.0,1.0
2010-07-20,40.87,42.21,40.76,42.06,37.1222,7589600.0,0.0,1.0
2010-07-21,42.31,42.65,41.0,41.15,36.319,9540600.0,0.0,1.0
2010-07-22,41.87,43.49,41.76,43.19,38.1195,10875300.0,0.0,1.0
2010-07-23,43.14,44.87,42.57,44.79,39.5317,15324900.0,0.0,1.0
2010-07-26,44.81,45.55,44.73,45.43,40.0966,9498300.0,0.0,1.0
2010-07-27,45.59,45.68,44.3,44.55,39.3199,10163600.0,0.0,1.0
2010-07-28,44.6,44.98,44.2,44.58,39.3464,6399900.0,0.0,1.0
2010-07-29,44.76,45.0,44.0,44.56,39.3287,7116900.0,0.0,1.0
2010-07-30,43.74,44.89,43.74,44.64,39.3993,7333600.0,0.0,1.0
2010-08-02,45.01,45.2,44.78,44.99,39.7082,9555200.0,0.0,1.0
2010-08-03,44.84,45.0,44.41,44.6,39.364,7290400.0,0.0,1.0
2010-08-04,44.75,45.035,43.59,44.11,38.9315,15944000.0,0.0,1.0
2010-08-05,43.77,44.0,42.89,43.22,38.146,12460900.0,0.0,1.0
2010-08-06,42.56,43.5,42.49,43.5,38.3931,8052700.0,0.0,1.0
2010-08-09,43.81,44.05,43.37,43.75,38.6138,5085000.0,0.0,1.0
2010-08-10,43.19,44.22,43.09,44.09,38.9139,8527900.0,0.0,1.0
2010-08-11,43.31,43.39,42.85,42.96,37.9165,10159600.0,0.0,1.0
2010-08-12,42.51,42.96,42.05,42.15,37.2016,8676100.0,0.0,1.0
2010-08-13,42.1,42.32,41.72,41.73,36.8309,6453400.0,0.0,1.0
2010-08-16,41.53,41.96,41.28,41.54,36.6632,7156200.0,0.0,1.0
2010-08-17,41.88,42.01,41.47,41.74,36.8398,8561600.0,0.0,1.0
2010-08-18,41.73,41.89,41.12,41.69,36.7956,8703300.0,0.0,1.0
2010-08-19,41.45,41.53,40.9,40.96,36.1513,9474700.0,0.0,1.0
2010-08-20,41.0,41.07,40.055,40.76,35.9748,7878500.0,0.0,1.0
2010-08-23,40.95,40.95,40.17,40.2,35.4806,5156000.0,0.0,1.0
2010-08-24,39.72,39.98,39.24,39.57,34.9245,7564200.0,0.0,1.0
2010-08-25,39.39,39.94,39.14,39.8,35.1275,6409300.0,0.0,1.0
2010-08-26,40.02,40.3799,39.46,39.73,35.0657,6936400.0,0.0,1.0
2010-08-27,40.0,40.93,39.56,40.91,36.1072,7486500.0,0.0,1.0
2010-08-30,40.69,40.92,39.87,39.89,35.207,5103100.0,0.0,1.0
2010-08-31,39.73,40.39,39.47,39.87,35.1893,8312900.0,0.0,1.0
2010-09-01,40.55,41.35,40.34,41.07,36.2484,7717300.0,0.0,1.0
2010-09-02,41.27,41.28,40.06,40.88,36.0807,11712500.0,0.0,1.0
2010-09-03,41.3,41.83,41.22,41.8,36.8927,10887700.0,0.0,1.0
2010-09-07,41.48,41.53,40.04,40.09,35.3835,9780700.0,0.0,1.0
2010-09-08,40.33,40.66,39.76,40.07,35.3658,9172200.0,0.0,1.0
2010-09-09,40.75,41.06,40.07,40.69,35.913,7918400.0,0.0,1.0
2010-09-10,40.72,40.72,39.99,40.19,35.4717,7389300.0,0.0,1.0
2010-09-13,40.75,41.41,40.65,41.22,36.3808,8239600.0,0.0,1.0
2010-09-14,40.96,41.14,40.16,40.38,35.6394,9461300.0,0.0,1.0
2010-09-15,40.1,40.94,39.8,40.85,36.0543,7993000.0,0.0,1.0
2010-09-16,40.79,41.12,40.58,40.96,36.1513,7239800.0,0.0,1.0
2010-09-17,41.04,41.48,40.65,41.37,36.5132,29144100.0,0.0,1.0
2010-09-20,41.56,43.29,41.56,43.12,38.0578,11751400.0,0.0,1.0
2010-09-21,43.16,43.38,42.66,42.78,37.7577,9322100.0,0.0,1.0
2010-09-22,42.51,43.13,42.155,42.79,37.7665,11372900.0,0.0,1.0
2010-09-23,42.36,43.0,42.21,42.36,37.387,8687600.0,0.0,1.0
2010-09-24,42.91,43.23,42.6841,43.13,38.0666,10150200.0,0.0,1.0
2010-09-27,43.25,43.8,42.74,43.44,38.3402,9272600.0,0.0,1.0
2010-09-28,43.5,43.87,42.96,43.69,38.5608,6560500.0,0.0,1.0
2010-09-29,43.5,43.93,42.78,43.01,37.9607,7914500.0,0.0,1.0
2010-09-30,43.35,43.5,41.98,42.03,37.0957,12293300.0,0.0,1.0
2010-10-01,42.37,42.56,41.549,41.78,36.8751,10672000.0,0.0,1.0
2010-10-04,41.59,41.79,38.68,39.05,34.4656,38499800.0,0.0,1.0
2010-10-05,39.3,39.33,37.33,38.28,33.786,68417100.0,0.0,1.0
2010-10-06,38.46,38.68,37.92,38.02,33.7154,21059200.0,0.18,1.0
2010-10-07,38.18,38.18,37.77,37.82,33.538,18598200.0,0.0,1.0
2010-10-08,37.88,38.17,37.59,37.99,33.6888,13339900.0,0.0,1.0
2010-10-11,38.17,38.45,37.9,37.94,33.6444,10914000.0,0.0,1.0
2010-10-12,37.94,38.755,37.9,38.54,34.1765,19989300.0,0.0,1.0
2010-10-13,38.92,39.86,38.74,39.26,34.815,19502400.0,0.0,1.0
2010-10-14,39.12,39.61,39.01,39.44,34.9746,14643600.0,0.0,1.0
2010-10-15,39.75,39.8,39.03,39.09,34.6642,14884400.0,0.0,1.0
2010-10-18,39.01,39.58,38.75,39.55,35.0721,9998000.0,0.0,1.0
2010-10-19,39.39,40.37,39.15,39.3075,34.8571,18099000.0,0.0,1.0
2010-10-20,39.5,39.94,39.36,39.73,35.2318,9239800.0,0.0,1.0
2010-10-21,39.76,40.35,39.62,40.27,35.7106,12490900.0,0.0,1.0
2010-10-22,40.4,40.49,38.96,39.03,34.611,17323300.0,0.0,1.0
2010-10-25,39.09,39.68,38.88,39.3,34.8504,13588100.0,0.0,1.0
2010-10-26,39.14,40.25,39.14,40.1,35.5599,12277500.0,0.0,1.0
2010-10-27,39.69,40.79,39.62,40.68,36.0742,15618200.0,0.0,1.0
2010-10-28,40.91,41.585,40.86,41.22,36.5531,14756000.0,0.0,1.0
2010-10-29,41.09,41.48,40.91,41.46,36.7659,9598200.0,0.0,1.0
2010-11-01,41.49,41.97,41.35,41.56,36.8546,8457400.0,0.0,1.0
2010-11-02,41.95,42.59,41.84,42.39,37.5906,9220100.0,0.0,1.0
2010-11-03,42.39,42.55,41.455,42.07,37.3068,11769800.0,0.0,1.0
2010-11-04,42.63,43.92,42.25,43.73,38.7789,13169100.0,0.0,1.0
2010-11-05,43.61,44.27,43.61,44.07,39.0804,13061800.0,0.0,1.0
2010-11-08,43.68,44.0,43.36,43.9,38.9296,7666200.0,0.0,1.0
2010-11-09,43.98,44.05,43.19,43.36,38.4508,9341600.0,0.0,1.0
2010-11-10,43.53,43.66,43.04,43.56,38.6281,9757300.0,0.0,1.0
2010-11-11,43.33,43.54,43.0101,43.35,38.4419,5849600.0,0.0,1.0
2010-11-12,42.93,43.32,42.39,42.7,37.8655,7077300.0,0.0,1.0
2010-11-15,42.95,43.37,42.64,42.7,37.8655,6154700.0,0.0,1.0
2010-11-16,42.3,42.65,41.49,41.93,37.1827,11415900.0,0.0,1.0
2010-11-17,41.9,42.09,41.41,41.41,36.7215,9637400.0,0.0,1.0
2010-11-18,41.89,42.52,41.89,42.25,37.4664,8071400.0,0.0,1.0
2010-11-19,42.16,42.8,41.97,42.75,37.9098,7480900.0,0.0,1.0
2010-11-22,42.47,42.75,41.86,42.22,37.4398,7627200.0,0.0,1.0
2010-11-23,41.67,42.19,41.6,41.95,37.2004,10406800.0,0.0,1.0
2010-11-24,42.51,43.06,42.34,43.0,38.1315,6727300.0,0.0,1.0
2010-11-26,42.5,42.633,42.27,42.27,37.4842,3000000.0,0.0,1.0
2010-11-29,42.08,43.44,41.873,43.33,38.4242,10380700.0,0.0,1.0
2010-11-30,42.75,43.4,42.62,43.22,38.3266,9393300.0,0.0,1.0
2010-12-01,43.84,44.48,43.69,44.3,39.2843,15223000.0,0.0,1.0
2010-12-02,44.41,45.07,44.25,44.98,39.8873,10935900.0,0.0,1.0
