date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2010-01-04,3.36,3.41,3.34,3.4,32.0405,406793000.0,0.0,1.0
2010-01-05,3.42,3.55,3.41,3.53,33.2656,668617000.0,0.0,1.0
2010-01-06,3.56,3.68,3.51,3.64,34.3022,674338000.0,0.0,1.0
2010-01-07,3.69,3.7,3.61,3.65,34.3965,672451000.0,0.0,1.0
2010-01-08,3.65,3.67,3.51,3.59,33.831,624097000.0,0.0,1.0
2010-01-11,3.66,3.67,3.6,3.63,34.208,475576000.0,0.0,1.0
2010-01-12,3.59,3.61,3.48,3.52,33.1714,470118000.0,0.0,1.0
2010-01-13,3.55,3.58,3.5,3.5,32.9829,56432600.0,0.0,1.0
2010-01-14,3.52,3.55,3.5,3.51,33.0772,38742900.0,0.0,1.0
2010-01-15,3.49,3.5,3.4,3.42,32.229,540177000.0,0.0,1.0
2010-01-19,3.34,3.56,3.3,3.54,33.3599,807893000.0,0.0,1.0
2010-01-20,3.54,3.6,3.45,3.46,32.606,479449000.0,0.0,1.0
2010-01-21,3.45,3.46,3.2,3.27,30.8155,959680000.0,0.0,1.0
2010-01-22,3.275,3.39,3.22,3.25,30.627,654741000.0,0.0,1.0
2010-01-25,3.31,3.33,3.21,3.23,30.4385,497524000.0,0.0,1.0
2010-01-26,3.22,3.27,3.15,3.15,29.6846,458902000.0,0.0,1.0
2010-01-27,3.17,3.23,3.14,3.2,30.1558,558913000.0,0.0,1.0
2010-01-28,3.25,3.29,3.2,3.24,30.5328,512942000.0,0.0,1.0
2010-01-29,3.27,3.34,3.27,3.32,31.2866,679429000.0,0.0,1.0
2010-02-01,3.36,3.37,3.31,3.34,31.4751,235776000.0,0.0,1.0
2010-02-02,3.35,3.41,3.32,3.41,32.1348,332808000.0,0.0,1.0
2010-02-03,3.39,3.46,3.37,3.37,31.7578,272005000.0,0.0,1.0
2010-02-04,3.34,3.35,3.17,3.18,29.9673,450299000.0,0.0,1.0
2010-02-05,3.21,3.24,3.15,3.22,30.3443,467501000.0,0.0,1.0
2010-02-08,3.23,3.24,3.15,3.15,29.6846,256203000.0,0.0,1.0
2010-02-09,3.19,3.23,3.11,3.18,29.9673,498838000.0,0.0,1.0
2010-02-10,3.18,3.2,3.14,3.2,30.1558,254996000.0,0.0,1.0
2010-02-11,3.19,3.22,3.17,3.21,30.25,236852000.0,0.0,1.0
2010-02-12,3.17,3.21,3.15,3.18,29.9673,189269000.0,0.0,1.0
2010-02-16,3.22,3.33,3.21,3.31,31.1924,332285000.0,0.0,1.0
2010-02-17,3.38,3.45,3.36,3.41,32.1348,575690000.0,0.0,1.0
2010-02-18,3.4,3.47,3.39,3.43,32.3233,288687000.0,0.0,1.0
2010-02-19,3.4,3.44,3.39,3.42,32.229,278222000.0,0.0,1.0
2010-02-22,3.44,3.48,3.41,3.46,32.606,233606000.0,0.0,1.0
2010-02-23,3.44,3.48,3.35,3.35,31.5694,282917000.0,0.0,1.0
2010-02-24,3.37,3.45,3.37,3.45,32.5117,292622000.0,0.0,1.0
2010-02-25,3.39,3.4,3.36,3.39,31.9463,259969000.0,0.0,1.0
2010-02-26,3.39,3.45,3.38,3.4,32.0405,178557000.0,0.0,1.0
2010-03-01,3.42,3.44,3.3443,3.39,31.9463,155686000.0,0.0,1.0
2010-03-02,3.41,3.44,3.39,3.4,32.0405,164280000.0,0.0,1.0
2010-03-03,3.41,3.43,3.39,3.4,32.0405,163649000.0,0.0,1.0
2010-03-04,3.4,3.48,3.39,3.43,32.3233,319356000.0,0.0,1.0
2010-03-05,3.47,3.5,3.45,3.5,32.9829,319079000.0,0.0,1.0
2010-03-08,3.54,3.6,3.54,3.56,33.5483,459864000.0,0.0,1.0
2010-03-09,3.55,3.86,3.54,3.82,35.9985,1106311000.0,0.0,1.0
2010-03-10,3.96,4.07,3.92,3.96,37.3178,1212050000.0,0.0,1.0
2010-03-11,3.98,4.18,3.95,4.18,39.391,1200299000.0,0.0,1.0
2010-03-12,4.205,4.22,3.94,3.97,37.412,1279759000.0,0.0,1.0
2010-03-15,3.88,3.94,3.83,3.89,36.6582,634829000.0,0.0,1.0
2010-03-16,3.95,4.0676,3.92,4.05,38.1659,543205000.0,0.0,1.0
2010-03-17,4.1,4.17,3.99,4.05,38.1659,680635000.0,0.0,1.0
2010-03-18,4.09,4.09,4.0,4.02,37.8832,350215000.0,0.0,1.0
2010-03-19,4.03,4.05,3.9,3.9,36.7524,558030000.0,0.0,1.0
2010-03-22,3.89,4.1026,3.88,4.04,38.0717,500079000.0,0.0,1.0
2010-03-23,4.09,4.15,4.0737,4.13,38.9198,443354000.0,0.0,1.0
2010-03-24,4.1,4.19,4.1,4.15,39.1083,465853000.0,0.0,1.0
2010-03-25,4.24,4.38,4.23,4.27,40.2392,971494000.0,0.0,1.0
2010-03-26,4.34,4.37,4.26,4.31,40.6161,587270000.0,0.0,1.0
2010-03-29,4.38,4.41,4.11,4.18,39.391,886268000.0,0.0,1.0
2010-03-30,4.13,4.18,4.05,4.09,38.5429,624391000.0,0.0,1.0
2010-03-31,4.09,4.11,4.01,4.05,38.1659,550358000.0,0.0,1.0
2010-04-01,4.11,4.18,4.02,4.18,39.391,302091000.0,0.0,1.0
2010-04-05,4.27,4.28,4.23,4.26,40.1449,344533000.0,0.0,1.0
2010-04-06,4.27,4.3,4.25,4.29,40.4276,318121000.0,0.0,1.0
2010-04-07,4.31,4.4,4.3,4.36,41.0873,621528000.0,0.0,1.0
2010-04-08,4.35,4.49,4.31,4.47,42.1239,559356000.0,0.0,1.0
2010-04-09,4.54,4.57,4.52,4.55,42.8778,664460000.0,0.0,1.0
2010-04-12,4.625,4.64,4.58,4.64,43.7259,434849000.0,0.0,1.0
2010-04-13,4.62,4.6833,4.59,4.62,43.5374,596761000.0,0.0,1.0
2010-04-14,4.72,4.94,4.7,4.93,46.4588,1039545000.0,0.0,1.0
2010-04-15,4.99,5.07,4.74,4.81,45.3279,1536536000.0,0.0,1.0
2010-04-16,4.82,4.83,4.41,4.56,42.972,1864141000.0,0.0,1.0
2010-04-19,4.645,4.93,4.64,4.88,45.9876,1860066000.0,0.0,1.0
2010-04-20,5.02,5.06,4.92,4.97,46.8357,1027385000.0,0.0,1.0
2010-04-21,5.03,5.04,4.82,4.93,46.4588,987875000.0,0.0,1.0
2010-04-22,4.85,4.89,4.77,4.87,45.8934,808646000.0,0.0,1.0
2010-04-23,4.87,4.95,4.83,4.86,45.7991,761640000.0,0.0,1.0
2010-04-26,4.785,4.8,4.6,4.61,43.4432,1244785000.0,0.0,1.0
2010-04-27,4.55,4.57,4.33,4.34,40.8988,1339794000.0,0.0,1.0
2010-04-28,4.42,4.555,4.4,4.45,41.9354,1104870000.0,0.0,1.0
2010-04-29,4.53,4.6288,4.4962,4.56,42.972,716470000.0,0.0,1.0
2010-04-30,4.55,4.55,4.37,4.37,41.1815,803417000.0,0.0,1.0
2010-05-03,4.46,4.48,4.38,4.41,41.5585,449462000.0,0.0,1.0
2010-05-04,4.34,4.36,4.23,4.26,40.1449,973523000.0,0.0,1.0
2010-05-05,4.16,4.25,4.04,4.18,39.391,1001622000.0,0.0,1.0
2010-05-06,4.2,4.27,3.9,4.04,38.0717,1707245000.0,0.0,1.0
2010-05-07,4.08,4.13,3.92,4.0,37.6948,1224586000.0,0.0,1.0
2010-05-10,4.33,4.35,4.16,4.22,39.768,1098132000.0,0.0,1.0
2010-05-11,4.13,4.24,4.11,4.17,39.2968,754750000.0,0.0,1.0
2010-05-12,4.23,4.23,4.1355,4.18,39.391,656696000.0,0.0,1.0
2010-05-13,4.15,4.16,4.08,4.09,38.5429,509105000.0,0.0,1.0
2010-05-14,4.03,4.04,3.91,3.98,37.5063,872801000.0,0.0,1.0
2010-05-17,4.0,4.01,3.76,3.86,36.3754,945217000.0,0.0,1.0
2010-05-18,3.95,3.96,3.71,3.73,35.1504,889274000.0,0.0,1.0
2010-05-19,3.73,3.85,3.71,3.81,35.9043,920452000.0,0.0,1.0
