date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2010-01-04,170.05,174.25,169.51,173.08,153.1912,9135000.0,0.0,1.0
2010-01-05,173.0,176.26,172.57,176.14,155.8996,11659400.0,0.0,1.0
2010-01-06,175.38,175.38,173.76,174.26,154.2356,7381100.0,0.0,1.0
2010-01-07,174.32,178.75,173.95,177.67,157.2538,8727400.0,0.0,1.0
2010-01-08,176.33,177.43,173.95,174.31,154.2799,7268100.0,0.0,1.0
2010-01-11,175.06,175.06,170.52,171.56,151.8459,7704900.0,0.0,1.0
2010-01-12,170.01,170.48,167.03,167.82,148.5356,10360100.0,0.0,1.0
2010-01-13,168.01,169.67,166.12,169.07,149.642,11269500.0,0.0,1.0
2010-01-14,168.0,170.72,167.2125,168.53,149.164,10521400.0,0.0,1.0
2010-01-15,167.6,167.8,164.58,165.21,146.2255,10896300.0,0.0,1.0
2010-01-19,165.01,167.3975,163.9,166.86,147.6859,7705300.0,0.0,1.0
2010-01-20,165.8,168.18,164.32,167.79,148.5091,8893900.0,0.0,1.0
2010-01-21,169.29,171.0,156.77,160.87,142.3843,51738300.0,0.0,1.0
2010-01-22,158.69,159.75,152.25,154.12,136.4099,30175600.0,0.0,1.0
2010-01-25,156.13,158.3,154.5,154.98,137.1711,17877000.0,0.0,1.0
2010-01-26,154.91,156.5,150.7,150.88,133.5422,15985900.0,0.0,1.0
2010-01-27,150.75,152.93,148.27,151.5,134.091,19899000.0,0.0,1.0
2010-01-28,154.23,155.2,149.95,153.29,135.6753,16160700.0,0.0,1.0
2010-01-29,154.44,154.88,147.81,148.72,131.6304,18502800.0,0.0,1.0
2010-02-01,149.82,155.25,149.21,153.13,135.5337,12980800.0,0.0,1.0
2010-02-02,153.65,157.5,153.65,156.94,138.9059,17246600.0,0.0,1.0
2010-02-03,157.92,159.94,157.11,157.23,139.1625,16785200.0,0.0,1.0
2010-02-04,155.27,156.06,150.45,150.68,133.3652,18895000.0,0.0,1.0
2010-02-05,150.815,154.46,148.87,154.16,136.4453,18759200.0,0.0,1.0
2010-02-08,154.27,154.6,150.82,151.1,133.7369,10257300.0,0.0,1.0
2010-02-09,152.7,153.53,149.65,152.49,134.9672,14017300.0,0.0,1.0
2010-02-10,152.77,155.35,151.76,153.63,135.9762,10555300.0,0.0,1.0
2010-02-11,154.4,155.32,152.25,154.05,136.348,11163400.0,0.0,1.0
2010-02-12,152.37,154.5,151.14,153.93,136.2417,10293200.0,0.0,1.0
2010-02-16,155.3,157.74,154.6,157.4,139.313,11497100.0,0.0,1.0
2010-02-17,158.0,158.19,155.81,157.26,139.1891,10070000.0,0.0,1.0
2010-02-18,155.61,156.59,154.88,155.73,137.8349,10991100.0,0.0,1.0
2010-02-19,154.51,157.0,154.49,156.18,138.2332,8693000.0,0.0,1.0
2010-02-22,157.2,157.97,156.03,156.71,138.7023,7375500.0,0.0,1.0
2010-02-23,156.81,160.21,155.91,156.7,138.6934,15696000.0,0.0,1.0
2010-02-24,157.34,159.25,156.87,158.33,140.1361,8361500.0,0.0,1.0
2010-02-25,156.23,156.44,154.32,156.09,138.1535,10519900.0,0.0,1.0
2010-02-26,156.26,156.99,155.26,156.35,138.6934,7812700.0,0.35,1.0
2010-03-01,156.51,158.29,156.17,156.54,138.862,6522800.0,0.0,1.0
2010-03-02,157.18,159.75,156.91,158.75,140.8224,11986400.0,0.0,1.0
2010-03-03,159.04,159.45,157.23,157.72,139.9087,10006000.0,0.0,1.0
2010-03-04,158.25,163.85,158.11,163.61,145.1336,15439500.0,0.0,1.0
2010-03-05,165.11,168.25,165.0,167.18,148.3004,12226700.0,0.0,1.0
2010-03-08,167.88,170.69,167.46,169.84,150.66,9344500.0,0.0,1.0
2010-03-09,169.22,172.2,168.0,168.85,149.7818,12958700.0,0.0,1.0
2010-03-10,170.26,172.34,168.87,171.94,152.5229,13107200.0,0.0,1.0
2010-03-11,171.4,173.57,171.1,173.51,153.9156,8910600.0,0.0,1.0
2010-03-12,175.01,176.34,174.0,174.96,155.2018,10216900.0,0.0,1.0
2010-03-15,173.95,175.2,170.38,173.53,153.9333,13958600.0,0.0,1.0
2010-03-16,174.33,176.42,173.56,176.19,156.2929,11687700.0,0.0,1.0
2010-03-17,176.86,177.88,175.57,176.64,156.6921,10138600.0,0.0,1.0
2010-03-18,176.2,177.75,175.66,177.45,157.4106,6883500.0,0.0,1.0
2010-03-19,178.19,178.21,175.95,177.9,157.8098,10896600.0,0.0,1.0
2010-03-22,176.21,176.95,175.23,176.1575,156.2641,7320400.0,0.0,1.0
2010-03-23,176.25,176.81,173.29,174.83,155.0865,10804800.0,0.0,1.0
2010-03-24,173.64,175.96,173.64,174.41,154.7139,8396100.0,0.0,1.0
2010-03-25,175.24,178.73,174.78,174.9,155.1486,9534300.0,0.0,1.0
2010-03-26,175.38,175.48,171.91,172.87,153.3478,11811500.0,0.0,1.0
2010-03-29,173.87,174.43,171.64,174.05,154.3946,11785600.0,0.0,1.0
2010-03-30,174.26,174.78,170.7,171.38,152.0261,8184600.0,0.0,1.0
2010-03-31,170.0,171.66,169.85,170.63,151.3608,8243200.0,0.0,1.0
2010-04-01,171.72,172.0,169.5,170.22,150.9971,6480600.0,0.0,1.0
2010-04-05,170.68,173.37,169.77,173.16,153.6051,6135000.0,0.0,1.0
2010-04-06,172.61,173.89,172.15,172.9,153.3745,7743600.0,0.0,1.0
2010-04-07,172.89,177.9,172.81,176.36,156.4437,13887200.0,0.0,1.0
2010-04-08,176.1,180.8,175.28,179.5,159.2291,10668800.0,0.0,1.0
2010-04-09,180.28,181.0,177.5,179.12,158.892,8462000.0,0.0,1.0
2010-04-12,179.36,180.384,177.84,177.84,157.7566,6040800.0,0.0,1.0
2010-04-13,177.56,180.0,177.11,179.25,159.0074,6466400.0,0.0,1.0
2010-04-14,183.91,185.94,183.07,184.92,164.037,12556400.0,0.0,1.0
2010-04-15,185.54,185.6,183.66,184.27,163.4604,7838700.0,0.0,1.0
2010-04-16,183.62,186.41,155.55,160.7,142.5522,102043700.0,0.0,1.0
2010-04-19,155.6,163.73,155.0,163.32,144.8763,54299200.0,0.0,1.0
2010-04-20,166.44,166.71,158.0,159.98,141.9135,42196600.0,0.0,1.0
2010-04-21,161.67,163.14,157.0,158.93,140.9821,30371000.0,0.0,1.0
2010-04-22,157.93,162.0,156.29,159.05,141.0885,24823000.0,0.0,1.0
2010-04-23,160.19,160.72,157.0,157.4,139.6249,14916000.0,0.0,1.0
2010-04-26,156.72,156.99,151.52,152.03,134.8613,30940700.0,0.0,1.0
2010-04-27,150.25,156.19,150.15,153.04,135.7572,34516800.0,0.0,1.0
