date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2010-01-04,22.57,22.91,22.53,22.88,18.814,12891700.0,0.0,1.0
2010-01-05,22.76,23.51,22.74,23.46,19.2909,14503500.0,0.0,1.0
2010-01-06,23.43,23.87,23.32,23.71,19.4965,12293600.0,0.0,1.0
2010-01-07,23.64,24.48,23.5,24.17,19.8747,15241200.0,0.0,1.0
2010-01-08,23.97,24.26,23.74,24.21,19.9076,9935000.0,0.0,1.0
2010-01-11,24.5,24.5,24.11,24.32,19.9981,8482600.0,0.0,1.0
2010-01-12,24.18,24.54,24.04,24.31,19.9899,13119300.0,0.0,1.0
2010-01-13,24.29,24.89,24.12,24.71,20.3188,12736800.0,0.0,1.0
2010-01-14,24.6,25.41,24.53,25.33,20.8286,13383700.0,0.0,1.0
2010-01-15,25.22,25.22,24.46,24.62,20.2448,13590500.0,0.0,1.0
2010-01-19,24.49,24.77,24.09,24.49,20.1379,15470200.0,0.0,1.0
2010-01-20,24.8,25.34,24.77,25.01,20.5655,18602200.0,0.0,1.0
2010-01-21,25.22,25.74,24.66,25.14,20.6724,24864100.0,0.0,1.0
2010-01-22,25.06,26.84,24.57,24.67,20.2859,20007400.0,0.0,1.0
2010-01-25,25.01,25.13,24.4201,24.81,20.401,13692400.0,0.0,1.0
2010-01-26,24.39,24.91,24.23,24.31,19.9899,15866800.0,0.0,1.0
2010-01-27,24.17,25.225,24.12,25.12,20.6559,19763800.0,0.0,1.0
2010-01-28,25.23,25.37,24.79,24.99,20.549,17788000.0,0.0,1.0
2010-01-29,25.2,25.46,24.89,25.08,20.623,18317200.0,0.0,1.0
2010-02-01,25.15,25.3593,24.9,25.18,20.7053,12029500.0,0.0,1.0
2010-02-02,25.16,25.31,24.75,24.87,20.4503,14793600.0,0.0,1.0
2010-02-03,24.76,24.85,24.22,24.46,20.1132,12353800.0,0.0,1.0
2010-02-04,24.29,24.4,23.62,23.65,19.4471,20550000.0,0.0,1.0
2010-02-05,23.83,24.25,23.28,23.97,19.7103,22491200.0,0.0,1.0
2010-02-08,23.92,24.03,23.41,23.49,19.3156,15753400.0,0.0,1.0
2010-02-09,23.63,23.86,23.26,23.49,19.3156,13742600.0,0.0,1.0
2010-02-10,23.47,23.88,23.27,23.61,19.4143,12219500.0,0.0,1.0
2010-02-11,23.67,23.7,23.285,23.49,19.3156,8753400.0,0.0,1.0
2010-02-12,23.25,23.39,22.98,23.26,19.1265,16552700.0,0.0,1.0
2010-02-16,23.26,23.8801,23.22,23.86,19.6198,11484600.0,0.0,1.0
2010-02-17,23.84,23.89,23.48,23.73,19.5129,21960400.0,0.0,1.0
2010-02-18,23.63,24.0,23.53,23.91,19.6609,9075800.0,0.0,1.0
2010-02-19,23.83,24.25,23.81,24.14,19.8501,11805100.0,0.0,1.0
2010-02-22,24.5,24.71,24.26,24.55,20.1872,12844900.0,0.0,1.0
2010-02-23,24.43,24.63,24.2,24.27,19.957,13288900.0,0.0,1.0
2010-02-24,24.43,24.91,24.38,24.78,20.3763,12020100.0,0.0,1.0
2010-02-25,24.15,24.78,24.0,24.3,19.9816,12541000.0,0.0,1.0
2010-02-26,24.21,24.71,24.21,24.61,20.2365,9446500.0,0.0,1.0
2010-03-01,24.62,24.73,24.39,24.51,20.1543,6843500.0,0.0,1.0
2010-03-02,24.85,24.91,24.58,24.74,20.3434,7907800.0,0.0,1.0
2010-03-03,24.69,24.91,24.61,24.65,20.2694,8391800.0,0.0,1.0
2010-03-04,24.65,24.81,24.55,24.74,20.3434,7836000.0,0.0,1.0
2010-03-05,24.86,25.25,24.64,25.2,20.7217,9443000.0,0.0,1.0
2010-03-08,25.15,25.31,24.99,24.99,20.549,8185800.0,0.0,1.0
2010-03-09,24.8,24.88,24.52,24.67,20.2859,13248300.0,0.0,1.0
2010-03-10,24.8,25.2,24.76,24.96,20.5243,11993900.0,0.0,1.0
2010-03-11,24.87,25.52,24.82,25.47,20.9437,14610600.0,0.0,1.0
2010-03-12,25.69,25.995,25.56,25.67,21.1082,14154500.0,0.0,1.0
2010-03-15,25.59,25.98,25.45,25.9,21.2973,8366100.0,0.0,1.0
2010-03-16,25.96,26.14,25.8,26.12,21.4782,10743300.0,0.0,1.0
2010-03-17,26.03,26.32,25.9,26.21,21.5522,11859900.0,0.0,1.0
2010-03-18,26.09,26.255,25.8,25.99,21.3713,8568200.0,0.0,1.0
2010-03-19,26.13,26.39,25.77,26.14,21.4947,13977300.0,0.0,1.0
2010-03-22,25.89,26.38,25.87,26.22,21.5604,9702700.0,0.0,1.0
2010-03-23,26.23,26.3,25.94,26.25,21.5851,9573700.0,0.0,1.0
2010-03-24,26.1,26.45,26.1,26.19,21.5358,7370300.0,0.0,1.0
2010-03-25,26.34,26.7,26.13,26.17,21.5193,10567700.0,0.0,1.0
2010-03-26,26.17,26.17,26.17,26.17,21.5193,10817100.0,0.0,1.0
2010-03-29,26.03,26.15,25.8,25.96,21.3878,6911400.0,0.05,1.0
2010-03-30,25.98,26.21,25.82,25.86,21.3054,9124000.0,0.0,1.0
2010-03-31,25.71,26.0,25.64,25.88,21.3218,8451300.0,0.0,1.0
2010-04-01,26.04,26.26,25.87,26.24,21.6184,6820400.0,0.0,1.0
2010-04-05,26.32,26.48,26.15,26.47,21.8079,7865900.0,0.0,1.0
2010-04-06,26.38,27.18,26.38,27.08,22.3105,12480200.0,0.0,1.0
2010-04-07,27.14,27.22,26.48,26.7,21.9974,12376200.0,0.0,1.0
2010-04-08,26.56,27.29,26.5,27.13,22.3517,14235300.0,0.0,1.0
2010-04-09,27.15,27.27,26.88,27.16,22.3764,7429300.0,0.0,1.0
2010-04-12,27.21,27.605,27.12,27.51,22.6648,11025600.0,0.0,1.0
2010-04-13,27.43,27.64,27.265,27.53,22.6812,13894100.0,0.0,1.0
2010-04-14,27.71,28.31,27.66,28.25,23.2744,14904200.0,0.0,1.0
