,open,low,high,close
2010-01-04,40.9498,40.5226,41.4001,40.9959
2010-01-05,41.0357,40.6087,41.4827,41.08
2010-01-06,41.1188,40.707,41.5496,41.1612
2010-01-07,41.2131,40.8112,41.66,41.2772
2010-01-08,41.3205,40.9215,41.7748,41.3886
2010-01-11,41.424,41.0235,41.8691,41.4809
2010-01-12,41.5089,41.1223,41.973,41.5881
2010-01-13,41.6098,41.2282,42.0701,41.6961
2010-01-14,41.7137,41.3455,42.1803,41.818
2010-01-15,41.8299,41.4591,42.2904,41.9267
2010-01-19,41.9334,41.5721,42.4038,42.0506
2010-01-20,42.0561,41.6864,42.5203,42.1713
2010-01-21,42.177,41.7735,42.6282,42.2616
2010-01-22,42.2411,41.749,42.6805,42.2329
2010-01-25,42.2294,41.7019,42.6591,42.1782
2010-01-26,42.1666,41.6559,42.6357,42.1341
2010-01-27,42.1182,41.6204,42.5993,42.1089
2010-01-28,42.0933,41.5524,42.5577,42.0433
2010-01-29,42.0336,41.5027,42.5195,41.986
2010-02-01,41.9824,41.4684,42.4667,41.9473
2010-02-02,41.959,41.4547,42.4424,41.9352
2010-02-03,41.943,41.4322,42.4096,41.9003
2010-02-04,41.8981,41.3862,42.3662,41.8396
2010-02-05,41.8416,41.3123,42.3033,41.7901
2010-02-08,41.7891,41.2454,42.2381,41.7066
2010-02-09,41.7212,41.1873,42.1728,41.649
2010-02-10,41.6645,41.1293,42.115,41.5989
2010-02-11,41.616,41.0877,42.0723,41.567
2010-02-12,41.5673,41.0461,42.032,41.5395
2010-02-16,41.5524,41.0433,42.0275,41.551
2010-02-17,41.5607,41.0455,42.0208,41.5432
2010-02-18,41.5532,41.0444,42.0037,41.5381
2010-02-19,41.5394,41.0379,41.9834,41.5297
2010-02-22,41.5322,41.037,41.965,41.5166
2010-02-23,41.5109,41.0044,41.9286,41.4708
2010-02-24,41.4723,40.9808,41.8924,41.4411
2010-02-25,41.4185,40.9233,41.8384,41.3995
2010-02-26,41.381,40.8898,41.7914,41.3633
2010-03-01,41.3455,40.8598,41.7436,41.3254
2010-03-02,41.3077,40.8377,41.7179,41.2963
2010-03-03,41.2813,40.8182,41.6926,41.2639
2010-03-04,41.2492,40.7993,41.669,41.2515
2010-03-05,41.244,40.8096,41.6862,41.2815
2010-03-08,41.2748,40.8357,41.7051,41.2943
2010-03-09,41.2822,40.8521,41.7102,41.3059
2010-03-10,41.3019,40.8666,41.7147,41.3174
2010-03-11,41.3085,40.8838,41.7254,41.3407
2010-03-12,41.3441,40.9326,41.763,41.3841
2010-03-15,41.3828,40.968,41.7981,41.424
2010-03-16,41.4282,41.0143,41.8338,41.4695
2010-03-17,41.4821,41.0671,41.8773,41.5163
2010-03-18,41.525,41.1109,41.9111,41.5612
2010-03-19,41.577,41.1466,41.9507,41.5826
2010-03-22,41.5841,41.1664,41.9875,41.6274
2010-03-23,41.6295,41.2172,42.0272,41.6758
2010-03-24,41.6713,41.2673,42.0683,41.7151
2010-03-25,41.7223,41.3271,42.1346,41.7661
2010-03-26,41.7781,41.3754,42.1821,41.8057
2010-03-29,41.8173,41.4289,42.2069,41.8438
2010-03-30,41.8613,41.4789,42.2428,41.8861
2010-03-31,41.894,41.5194,42.2807,41.9258
2010-04-01,41.9471,41.5756,42.327,41.9783
2010-04-05,42.0033,41.6423,42.397,42.0606
2010-04-06,42.0759,41.725,42.4799,42.155
2010-04-07,42.1621,41.7964,42.5676,42.2222
2010-04-08,42.2242,41.8666,42.668,42.3302
2010-04-09,42.3321,41.9826,42.7735,42.4413
2010-04-12,42.4473,42.1083,42.892,42.5705
2010-04-13,42.5715,42.2431,43.0226,42.7108
2010-04-14,42.7269,42.403,43.2006,42.8948
2010-04-15,42.9028,42.5845,43.3753,43.0807
2010-04-16,43.0826,42.7012,43.543,43.2105
2010-04-19,43.2028,42.8291,43.6794,43.358
2010-04-20,43.3619,42.9822,43.8281,43.5156
2010-04-21,43.5181,43.1304,43.9756,43.662
2010-04-22,43.6537,43.2641,44.1427,43.8297
2010-04-23,43.8589,43.4745,44.3729,44.0343
2010-04-26,44.0325,43.6516,44.5571,44.2037
2010-04-27,44.188,43.7848,44.7207,44.3246
2010-04-28,44.3235,43.9111,44.8432,44.4513
2010-04-29,44.4681,44.0628,45.0091,44.6238
2010-04-30,44.6375,44.1903,45.1774,44.7433
2010-05-03,44.7596,44.3245,45.3196,44.8944
2010-05-04,44.894,44.4331,45.4391,44.9977
2010-05-05,44.9826,44.4889,45.5353,45.0513
2010-05-06,45.034,44.4202,45.5944,45.0403
2010-05-07,45.0149,44.3636,45.5767,44.9671
2010-05-10,45.0201,44.3752,45.5738,44.9762
2010-05-11,45.018,44.3852,45.6019,44.9922
2010-05-12,45.0405,44.4149,45.6267,45.0323
2010-05-13,45.0712,44.4284,45.6455,45.0289
2010-05-14,45.0415,44.3545,45.5999,44.9545
2010-05-17,44.9865,44.2733,45.5428,44.9001
2010-05-18,44.9424,44.176,45.4865,44.8017
2010-05-19,44.827,44.0767,45.3998,44.7159
2010-05-20,44.7242,43.9604,45.3078,44.5812
2010-05-21,44.5552,43.8074,45.201,44.4884
2010-05-24,44.4658,43.7088,45.0944,44.3719
2010-05-25,44.3148,43.5687,44.9573,44.2565
2010-05-26,44.2157,43.4434,44.8445,44.1165
2010-05-27,44.1045,43.3554,44.7587,44.0496
2010-05-28,44.0327,43.2861,44.684,43.969
2010-06-01,43.93,43.2017,44.5973,43.8677
2010-06-02,43.8385,43.1174,44.5351,43.8264
2010-06-03,43.8089,43.073,44.4859,43.7717
2010-06-04,43.7198,42.965,44.3874,43.6486
2010-06-07,43.6071,42.8399,44.2655,43.5054
2010-06-08,43.4723,42.702,44.129,43.3886
2010-06-09,43.3694,42.5943,44.0188,43.2639
2010-06-10,43.2643,42.5117,43.9395,43.2044
2010-06-11,43.1872,42.4521,43.8644,43.1491
2010-06-14,43.1434,42.4113,43.8064,43.0871
2010-06-15,43.1,42.3811,43.7806,43.0815
2010-06-16,43.0892,42.3842,43.7833,43.1
2010-06-17,43.1192,42.3953,43.7928,43.1087
2010-06-18,43.13,42.413,43.7864,43.1158
2010-06-21,43.1603,42.4416,43.8084,43.1409
2010-06-22,43.1856,42.4629,43.8224,43.1436
2010-06-23,43.1888,42.46,43.8214,43.1533
2010-06-24,43.186,42.451,43.8155,43.1264
2010-06-25,43.1729,42.4419,43.8201,43.1522
2010-06-28,43.1926,42.461,43.8265,43.1588
2010-06-29,43.178,42.4122,43.7934,43.0992
2010-06-30,43.1091,42.3588,43.7302,43.028
2010-07-01,43.0328,42.2687,43.6513,42.9511
2010-07-02,42.9665,42.1964,43.5679,42.8738
2010-07-06,42.9129,42.1201,43.5004,42.7913
2010-07-07,42.8248,42.0544,43.4633,42.7736
2010-07-08,42.8242,42.0678,43.458,42.7876
2010-07-09,42.8365,42.0974,43.4665,42.8159
2010-07-12,42.8577,42.1365,43.4858,42.8513
2010-07-13,42.9064,42.2071,43.5522,42.9292
2010-07-14,42.9757,42.2761,43.6083,42.9896
2010-07-15,43.0437,42.3129,43.6571,43.0394
2010-07-16,43.0814,42.313,43.6774,43.021
2010-07-19,43.0658,42.2871,43.6537,43.0093
2010-07-20,43.0299,42.2714,43.6423,43.0133
2010-07-21,43.0414,42.2636,43.6452,42.9872
2010-07-22,43.038,42.2803,43.6751,43.0278
2010-07-23,43.0757,42.3228,43.7488,43.1192
2010-07-26,43.1664,42.4342,43.8425,43.2289
2010-07-27,43.2801,42.5285,43.9378,43.3069
2010-07-28,43.3585,42.6171,44.0078,43.3838
2010-07-29,43.4398,42.6966,44.0764,43.4578
2010-07-30,43.4857,42.7655,44.1394,43.5323
2010-08-02,43.5715,42.8663,44.2107,43.6161
2010-08-03,43.6493,42.9522,44.2734,43.6848
2010-08-04,43.7221,43.0091,44.3355,43.7356
2010-08-05,43.7608,43.0415,44.362,43.7559
2010-08-06,43.759,43.0598,44.3713,43.7845
2010-08-09,43.7975,43.106,44.3979,43.8203
2010-08-10,43.8146,43.1416,44.4292,43.8659
2010-08-11,43.8349,43.1683,44.4323,43.8733
2010-08-12,43.8284,43.168,44.4211,43.854
2010-08-13,43.8084,43.1566,44.3891,43.8211
2010-08-16,43.7701,43.131,44.3458,43.7825
2010-08-17,43.7438,43.1118,44.305,43.7512
2010-08-18,43.7129,43.0815,44.2609,43.7186
2010-08-19,43.6735,43.0445,44.2059,43.6629
2010-08-20,43.62,42.9806,44.1371,43.6017
2010-08-23,43.566,42.9218,44.0657,43.5235
2010-08-24,43.4731,42.8338,43.9643,43.4265
2010-08-25,43.3714,42.7446,43.8638,43.3391
2010-08-26,43.2925,42.6676,43.7799,43.2514
2010-08-27,43.2145,42.5956,43.7156,43.2039
2010-08-30,43.1607,42.5351,43.6524,43.1241
2010-08-31,43.0768,42.4629,43.5732,43.0454
2010-09-01,43.0214,42.4206,43.527,43.0075
2010-09-02,42.9905,42.3699,43.4794,42.9641
2010-09-03,42.9611,42.358,43.4507,42.9514
2010-09-07,42.9381,42.3078,43.4127,42.8833
2010-09-08,42.8781,42.2496,43.3471,42.816
2010-09-09,42.8329,42.2026,43.296,42.7702
2010-09-10,42.7877,42.154,43.2348,42.7092
2010-09-13,42.7444,42.1278,43.1975,42.6829
2010-09-14,42.7088,42.0862,43.152,42.6298
2010-09-15,42.646,42.0337,43.101,42.5931
2010-09-16,42.6069,42.0077,43.057,42.5607
2010-09-17,42.5767,41.9844,43.0255,42.5423
2010-09-20,42.564,41.9911,43.0535,42.5811
2010-09-21,42.6035,42.0332,43.0836,42.6076
2010-09-22,42.6207,42.0577,43.1047,42.6337
2010-09-23,42.6325,42.0832,43.1209,42.645
2010-09-24,42.6616,42.1234,43.144,42.6809
2010-09-27,42.701,42.1642,43.1848,42.7258
2010-09-28,42.7473,42.211,43.2269,42.7776
2010-09-29,42.7924,42.2506,43.2696,42.8059
2010-09-30,42.8313,42.2631,43.2972,42.8014
2010-10-01,42.8371,42.261,43.2933,42.7887
2010-10-04,42.8174,42.1656,43.2644,42.6874
2010-10-05,42.7234,42.0284,43.156,42.5633
2010-10-06,42.6043,41.9136,43.0289,42.4337
2010-10-07,42.4788,41.7966,42.8886,42.3006
2010-10-08,42.3465,41.6764,42.7512,42.1762
2010-10-11,42.2268,41.5691,42.6262,42.053
2010-10-12,42.1023,41.4644,42.514,41.9523
2010-10-13,42.0127,41.3894,42.4405,41.8774
2010-10-14,41.9316,41.3249,42.3604,41.81
2010-10-15,41.8729,41.2625,42.2884,41.7328
2010-10-18,41.7915,41.1925,42.211,41.6723
2010-10-19,41.7244,41.1371,42.161,41.6054
2010-10-20,41.6624,41.0898,42.0982,41.5538
2010-10-21,41.6102,41.052,42.0502,41.5209
2010-10-22,41.5801,40.9936,42.0079,41.4484
2010-10-25,41.508,40.9339,41.9401,41.3864
2010-10-26,41.4393,40.8841,41.8925,41.3519
2010-10-27,41.3901,40.851,41.8636,41.337
2010-10-28,41.3816,40.859,41.8612,41.34
2010-10-29,41.3792,40.8684,41.8554,41.3507
2010-11-01,41.3898,40.8918,41.8656,41.3643
2010-11-02,41.415,40.9305,41.8956,41.4045
2010-11-03,41.4539,40.9557,41.9236,41.4333
2010-11-04,41.4995,41.006,41.9953,41.5152
2010-11-05,41.5759,41.0992,42.0767,41.6062
2010-11-08,41.6525,41.182,42.1472,41.6893
2010-11-09,41.737,41.2571,42.2175,41.7528
2010-11-10,41.8047,41.3254,42.2733,41.8211
2010-11-11,41.8642,41.391,42.3238,41.8809
2010-11-12,41.9091,41.4348,42.3659,41.918
2010-11-15,41.9535,41.4855,42.4084,41.954
2010-11-16,41.9756,41.4974,42.4264,41.9641
2010-11-17,41.984,41.5064,42.4257,41.9569
2010-11-18,41.9918,41.5306,42.4389,41.9771
2010-11-19,42.0081,41.5568,42.4608,42.013
2010-11-22,42.034,41.5787,42.4804,42.0307
2010-11-23,42.0332,41.5914,42.4813,42.0391
2010-11-24,42.0596,41.6278,42.5104,42.0813
2010-11-26,42.0849,41.661,42.5247,42.0987
2010-11-29,42.0959,41.6803,42.5649,42.15
2010-11-30,42.1283,41.7233,42.6027,42.1964
2010-12-01,42.1953,41.8,42.6746,42.2767
2010-12-02,42.279,41.8929,42.7639,42.377
2010-12-03,42.3688,41.9889,42.8485,42.4715
2010-12-06,42.4562,42.0867,42.933,42.5675
2010-12-07,42.5674,42.1882,43.0341,42.6539
2010-12-08,42.6575,42.289,43.133,42.7656
2010-12-09,42.7743,42.4032,43.2375,42.8804
2010-12-10,42.8871,42.5293,43.3539,43.0068
2010-12-13,43.0201,42.6649,43.4813,43.1336
2010-12-14,43.1438,42.7951,43.6052,43.2516
2010-12-15,43.2579,42.9128,43.7262,43.364
2010-12-16,43.3687,42.9865,43.832,43.423
2010-12-17,43.4249,43.0361,43.8841,43.4622
2010-12-20,43.45,42.9994,43.9353,43.4512
2010-12-21,43.4544,43.0138,43.9377,43.464
2010-12-22,43.4684,43.0219,43.9395,43.4627
2010-12-23,43.474,43.028,43.9398,43.46
2010-12-27,43.4692,43.035,43.9367,43.4662
2010-12-28,43.4735,43.0398,43.9289,43.4637
2010-12-29,43.4711,43.0466,43.917,43.4634
2010-12-30,43.4672,43.0471,43.9003,43.4515
2010-12-31,43.4551,43.0462,43.8884,43.4531
2011-01-03,43.4689,43.0682,43.8978,43.4702
2011-01-04,43.5183,43.0925,43.9325,43.5045
2011-01-05,43.5559,43.1391,43.9906,43.5733
2011-01-06,43.6343,43.2019,44.0615,43.6301
2011-01-07,43.6961,43.2484,44.1096,43.6734
2011-01-10,43.7324,43.2939,44.146,43.7187
2011-01-11,43.7931,43.3638,44.2073,43.7816
2011-01-12,43.867,43.4328,44.2784,43.8415
2011-01-13,43.9185,43.4973,44.3336,43.9017
2011-01-14,43.9724,43.5649,44.4263,43.9989
2011-01-18,44.0607,43.66,44.5214,44.0975
2011-01-19,44.1196,43.72,44.5811,44.1567
2011-01-20,44.1619,43.7755,44.6376,44.2153
2011-01-21,44.2362,43.8554,44.7105,44.296
2011-01-24,44.3179,43.9312,44.7838,44.3677
2011-01-25,44.359,43.964,44.8217,44.4053
2011-01-26,44.4002,44.0042,44.8485,44.4307
2011-01-27,44.4265,44.0293,44.8693,44.4579
