,open,low,high,close
2010-01-04,35.3795,34.871,35.9305,35.4468
2010-01-05,35.4689,34.9611,36.0174,35.535
2010-01-06,35.5568,35.0573,36.0963,35.6218
2010-01-07,35.6503,35.1566,36.197,35.7261
2010-01-08,35.7504,35.2589,36.3,35.8281
2010-01-11,35.8486,35.3571,36.3928,35.9206
2010-01-12,35.9375,35.4537,36.4904,36.0206
2010-01-13,36.0344,35.554,36.5847,36.1211
2010-01-14,36.1329,35.66,36.6856,36.2286
2010-01-15,36.2376,35.7643,36.7865,36.3296
2010-01-19,36.336,35.8683,36.8892,36.4383
2010-01-20,36.4441,35.9731,36.9935,36.5455
2010-01-21,36.5514,36.0642,37.0936,36.6376
2010-01-22,36.6302,36.099,37.1656,36.6696
2010-01-25,36.6707,36.122,37.2005,36.688
2010-01-26,36.685,36.1449,37.2337,36.7111
2010-01-27,36.7059,36.1725,37.2601,36.7432
2010-01-28,36.7381,36.1833,37.2832,36.7545
2010-01-29,36.7522,36.2026,37.3076,36.7693
2010-02-01,36.77,36.2291,37.324,36.7929
2010-02-02,36.8013,36.2655,37.3542,36.8294
2010-02-03,36.8359,36.2971,37.3798,36.854
2010-02-04,36.8555,36.3163,37.3994,36.8651
2010-02-05,36.8687,36.3209,37.4088,36.8813
2010-02-08,36.8833,36.3285,37.4163,36.8798
2010-02-09,36.8896,36.3398,37.4233,36.8906
2010-02-10,36.9009,36.3506,37.4334,36.9047
2010-02-11,36.9158,36.3691,37.4506,36.9274
2010-02-12,36.9302,36.3872,37.4685,36.9519
2010-02-16,36.961,36.4243,37.5039,36.9956
2010-02-17,37.0031,36.4636,37.5379,37.0293
2010-02-18,37.037,36.5009,37.5663,37.0641
2010-02-19,37.0674,36.5351,37.5928,37.0968
2010-02-22,37.1007,36.5719,37.6198,37.1268
2010-02-23,37.1266,36.5924,37.6373,37.14
2010-02-24,37.1433,36.6169,37.6546,37.1608
2010-02-25,37.152,36.624,37.6624,37.1752
2010-02-26,37.1683,36.6427,37.6732,37.1919
2010-03-01,37.1853,36.6626,37.6831,37.2072
2010-03-02,37.2006,36.6862,37.7037,37.2266
2010-03-03,37.2212,36.7107,37.7241,37.2439
2010-03-04,37.2386,36.7351,37.7451,37.2709
2010-03-05,37.2691,36.7739,37.7861,37.3189
2010-03-08,37.3175,36.8203,37.8279,37.3581
2010-03-09,37.3539,36.8618,37.8625,37.3965
2010-03-10,37.3963,36.9021,37.8966,37.4346
2010-03-11,37.4319,36.9436,37.9335,37.4784
2010-03-12,37.4819,37.0007,37.9838,37.5322
2010-03-15,37.5333,37.051,38.0327,37.5842
2010-03-16,37.588,37.1067,38.0819,37.6389
2010-03-17,37.6469,37.1657,38.1348,37.6941
2010-03-18,37.7003,37.22,38.1828,37.7483
2010-03-19,37.7581,37.2702,38.2335,37.7906
2010-03-22,37.7932,37.3122,38.2828,37.8446
2010-03-23,37.8474,37.3697,38.3334,37.9002
2010-03-24,37.8998,37.4267,38.3847,37.9512
2010-03-25,37.9567,37.4886,38.4485,38.0081
2010-03-26,38.0159,37.5447,38.503,38.0591
2010-03-29,38.0668,37.6033,38.5459,38.1093
2010-03-30,38.12,37.6601,38.5942,38.1614
2010-03-31,38.1673,37.7121,38.6435,38.2122
2010-04-01,38.2249,37.7719,38.6969,38.2694
2010-04-05,38.284,37.8369,38.7622,38.3415
2010-04-06,38.3513,37.9101,38.834,38.4199
2010-04-07,38.4256,37.9776,38.9084,38.4846
2010-04-08,38.4878,38.0445,38.9892,38.5699
2010-04-09,38.5731,38.1346,39.0728,38.657
2010-04-12,38.6622,38.2298,39.1631,38.7534
