date,open,low,high,close
2010-01-04,-0.54,-0.89,-0.6,-0.76
2010-01-05,-0.86,-0.5,-0.56,-0.22
2010-01-06,-0.18,0.2296,-0.42,-0.05
2010-01-07,0.66,0.77,1.41,1.18
2010-01-08,0.86,0.91,1.4,1.43
2010-01-11,0.93,0.86,0.86,0.55
2010-01-12,0.44,0.88,1.12,1.19
2010-01-13,1.02,0.74,1.41,1.32
2010-01-14,0.78,0.91,0.5,0.7
2010-01-15,0.76,0.62,0.36,0.44
2010-01-19,0.5,0.86,1.09,1.49
2010-01-20,1.66,1.01,0.9,0.96
2010-01-21,1.14,-0.04,0.86,0.01
2010-01-22,-0.68,-3.83,-1.25,-4.09
2010-01-25,-3.42,-4.52,-3.55,-4.6
2010-01-26,-4.7,-4.59,-3.82,-4.86
2010-01-27,-4.97,-4.43,-4.41,-4.31
2010-01-28,-4.32,-4.7,-4.43,-4.73
2010-01-29,-3.76,-0.83,-2.72,-0.93
2010-02-01,-1.26,0.32,-0.98,0.42
2010-02-02,1.14,0.93,-0.06,0.92
2010-02-03,0.95,0.36,0.07,-0.34
2010-02-04,-0.64,0.64,-0.09,0.1
2010-02-05,0.06,-0.76,-0.8,0.19
2010-02-08,-0.08,-1.04,-0.44,-1.42
2010-02-09,-1.41,-1.43,-1.33,-1.48
2010-02-10,-1.33,-1.19,-0.87,-0.58
2010-02-11,-0.22,0.01,-0.0976,0.76
2010-02-12,0.13,0.87,0.57,0.57
2010-02-16,1.05,1.87,1.76,2.83
2010-02-17,2.26,1.8,1.74,1.51
2010-02-18,1.49,1.74,1.23,1.4
2010-02-19,1.08,1.11,0.6976,0.77
2010-02-22,1.31,1.31,0.7,0.51
2010-02-23,-0.13,-0.83,-0.94,-1.69
2010-02-24,-1.38,-0.73,-0.89,-0.64
2010-02-25,-1.4,-1.69,-1.14,-1.11
2010-02-26,-0.74,-0.83,-0.86,-0.87
2010-03-01,-0.9,-0.92,-0.96,-0.8
2010-03-02,-0.56,0.28,0.25,0.46
2010-03-03,0.31,0.09,0.26,-0.13
2010-03-04,0.61,1.15,0.87,0.85
2010-03-05,0.95,1.34,1.93,2.01
2010-03-08,2.02,1.75,2.055,1.58
2010-03-09,1.42,1.25,1.0,1.31
2010-03-10,1.48,1.14,0.99,1.44
2010-03-11,1.29,1.2301,1.15,1.22
2010-03-12,1.38,1.33,0.75,0.56
2010-03-15,0.4,0.46,0.635,0.99
2010-03-16,1.33,1.1,1.09,1.22
2010-03-17,1.24,1.38,1.37,1.29
2010-03-18,1.33,1.0499,0.91,0.89
2010-03-19,0.75,-0.15,0.28,-0.43
2010-03-22,-0.72,-0.237,0.27,0.38
2010-03-23,0.23,0.369,0.34,0.32
2010-03-24,-0.14,0.15,0.15,0.0
2010-03-25,0.47,0.72,1.22,0.42
2010-03-26,0.34,0.63,0.49,0.79
2010-03-29,1.22,1.287,-0.12,0.04
2010-03-30,0.21,0.251,0.125,0.05
2010-03-31,-0.03,-0.02,0.14,0.25
2010-04-01,0.31,0.16,-0.38,0.28
2010-04-05,0.26,0.83,0.91,1.55
2010-04-06,1.27,1.18,2.0225,2.0
2010-04-07,1.57,0.96,1.875,1.08
2010-04-08,1.21,1.23,2.24,2.43
2010-04-09,2.01,2.18,2.19,2.18
2010-04-12,2.18,2.2,1.9,1.87
2010-04-13,2.0,2.03,1.9175,1.87
2010-04-14,2.58,3.19,3.26,4.09
2010-04-15,4.0,3.96,2.84,2.98
2010-04-16,2.8,0.64,2.52,1.22
2010-04-19,0.8,0.69,1.21,1.22
2010-04-20,1.72,1.19,1.23,1.21
2010-04-21,0.7,0.28,-0.25,-0.47
2010-04-22,-0.56,-0.84,0.43,0.1
2010-04-23,1.43,3.48,2.58,2.95
2010-04-26,2.31,2.18,2.18,1.38
2010-04-27,0.6,0.09,1.2,-0.41
2010-04-28,0.07,0.02,-0.01,0.09
2010-04-29,0.97,1.23,0.7,0.83
2010-04-30,-0.4,-1.86,-1.16,-1.93
2010-05-03,-0.91,-0.69,-0.6,0.06
2010-05-04,-0.01,-0.16,-0.69,0.07
2010-05-05,-0.82,-1.59,-0.18,-1.65
2010-05-06,-2.28,-6.25,-2.67,-5.1
2010-05-07,-5.28,-5.3,-5.19,-5.52
2010-05-10,-3.22,-3.55,-4.07,-4.11
2010-05-11,-3.91,-2.9,-2.53,-2.53
2010-05-12,-1.85,-0.75,-1.98,-0.33
2010-05-13,-0.5,2.56,-1.08,0.31
2010-05-14,-0.21,-0.44,-0.73,0.04
2010-05-17,-1.74,-2.77,-1.56,-1.87
2010-05-18,-1.23,-3.29,-2.53,-3.49
2010-05-19,-4.21,-4.04,-3.43,-3.93
2010-05-20,-4.18,-4.16,-3.49,-4.19
2010-05-21,-4.46,-2.7,-2.05,-0.82
2010-05-24,-1.34,-0.87,-1.74,-2.18
2010-05-25,-3.6,-1.66,-2.74,-0.84
2010-05-26,0.11,-1.18,-1.12,-2.0
2010-05-27,-0.64,0.47,-0.15,1.71
2010-05-28,2.6,2.19,0.65,0.05
2010-06-01,-0.73,0.12,0.3,0.15
2010-06-02,1.5,1.4,2.0,1.97
2010-06-03,1.85,2.22,1.71,2.37
2010-06-04,0.44,-0.83,-0.59,-1.92
2010-06-07,-1.48,-1.94,-1.66,-2.16
2010-06-08,-1.24,-1.92,-1.78,-0.76
2010-06-09,-0.63,-1.03,-1.76,-2.86
2010-06-10,-2.61,-1.51,-1.25,-0.51
2010-06-11,0.02,1.13,0.37,1.72
2010-06-14,1.78,2.26,1.63,2.18
