date,open,low,high,close
2010-01-04,41.002,40.5381,41.21,40.834
2010-01-05,40.83,40.4381,41.098,40.79
2010-01-06,40.794,40.484,41.014,40.78
2010-01-07,40.926,40.638,41.296,41.016
2010-01-08,41.098,40.82,41.576,41.302
2010-01-11,41.284,40.992,41.748,41.412
2010-01-12,41.372,41.168,41.972,41.65
2010-01-13,41.576,41.316,42.254,41.914
2010-01-14,41.732,41.498,42.354,42.054
2010-01-15,41.884,41.622,42.426,42.142
2010-01-19,41.984,41.794,42.644,42.44
2010-01-20,42.316,41.996,42.824,42.632
2010-01-21,42.544,41.988,42.996,42.634
2010-01-22,42.408,41.222,42.746,41.816
2010-01-25,41.724,40.318,42.036,40.896
2010-01-26,40.784,39.4,41.272,39.924
2010-01-27,39.79,38.514,40.39,39.062
2010-01-28,38.926,37.574,39.504,38.116
2010-01-29,38.174,37.408,38.96,37.93
2010-02-01,37.922,37.472,38.764,38.014
2010-02-02,38.15,37.658,38.752,38.198
2010-02-03,38.34,37.73,38.766,38.13
2010-02-04,38.212,37.858,38.748,38.15
2010-02-05,38.224,37.706,38.588,38.188
2010-02-08,38.208,37.498,38.5,37.904
2010-02-09,37.926,37.212,38.234,37.608
2010-02-10,37.66,36.974,38.06,37.492
2010-02-11,37.616,36.976,38.0405,37.644
2010-02-12,37.642,37.15,38.1545,37.758
2010-02-16,37.852,37.524,38.5065,38.324
2010-02-17,38.304,37.884,38.8545,38.626
2010-02-18,38.602,38.232,39.1005,38.906
2010-02-19,38.818,38.454,39.24,39.06
2010-02-22,39.08,38.716,39.38,39.162
2010-02-23,39.054,38.55,39.192,38.824
2010-02-24,38.778,38.404,39.014,38.696
2010-02-25,38.498,38.066,38.786,38.474
2010-02-26,38.35,37.9,38.614,38.3
2010-03-01,38.17,37.716,38.422,38.14
2010-03-02,38.058,37.772,38.472,38.232
2010-03-03,38.12,37.79,38.524,38.206
2010-03-04,38.242,38.02,38.698,38.376
2010-03-05,38.432,38.288,39.084,38.778
2010-03-08,38.836,38.638,39.495,39.094
2010-03-09,39.12,38.888,39.695,39.356
2010-03-10,39.416,39.116,39.893,39.644
2010-03-11,39.674,39.362,40.123,39.888
2010-03-12,39.95,39.628,40.273,40.0
2010-03-15,40.03,39.72,40.4,40.198
2010-03-16,40.296,39.94,40.618,40.442
2010-03-17,40.544,40.216,40.892,40.7
2010-03-18,40.81,40.426,41.074,40.878
2010-03-19,40.96,40.396,41.13,40.792
2010-03-22,40.816,40.3486,41.184,40.868
2010-03-23,40.862,40.4224,41.252,40.932
2010-03-24,40.834,40.4524,41.282,40.932
2010-03-25,40.928,40.5964,41.526,41.016
2010-03-26,40.996,40.7224,41.624,41.174
2010-03-29,41.24,40.9798,41.6,41.182
2010-03-30,41.282,41.03,41.625,41.192
2010-03-31,41.276,41.026,41.653,41.242
2010-04-01,41.338,41.058,41.577,41.298
2010-04-05,41.39,41.224,41.759,41.608
2010-04-06,41.644,41.46,42.1635,42.008
2010-04-07,41.958,41.652,42.5385,42.224
2010-04-08,42.2,41.898,42.9865,42.71
2010-04-09,42.602,42.334,43.4245,43.146
2010-04-12,43.038,42.774,43.8045,43.52
2010-04-13,43.438,43.18,44.188,43.894
2010-04-14,43.954,43.818,44.84,44.712
2010-04-15,44.754,44.61,45.408,45.308
2010-04-16,45.314,44.738,45.912,45.552
2010-04-19,45.474,44.876,46.154,45.796
2010-04-20,45.818,45.114,46.4,46.038
2010-04-21,45.958,45.17,46.35,45.944
2010-04-22,45.846,45.002,46.436,45.964
2010-04-23,46.132,45.698,46.952,46.554
2010-04-26,46.594,46.134,47.388,46.83
2010-04-27,46.714,46.152,47.628,46.748
2010-04-28,46.728,46.156,47.626,46.766
2010-04-29,46.922,46.402,47.766,46.932
2010-04-30,46.842,46.03,47.534,46.546
2010-05-03,46.66,45.892,47.414,46.558
2010-05-04,46.658,45.86,47.276,46.572
2010-05-05,46.494,45.542,47.24,46.242
2010-05-06,46.038,44.292,46.706,45.222
2010-05-07,44.982,43.232,45.668,44.118
2010-05-10,44.338,42.522,44.854,43.296
2010-05-11,43.556,41.942,44.348,42.79
2010-05-12,43.186,41.792,43.952,42.724
2010-05-13,43.086,42.304,43.736,42.786
2010-05-14,43.044,42.216,43.59,42.794
2010-05-17,42.696,41.662,43.278,42.42
2010-05-18,42.45,41.004,42.772,41.722
2010-05-19,41.608,40.196,42.086,40.936
2010-05-20,40.772,39.364,41.388,40.098
2010-05-21,39.88,38.824,40.978,39.934
2010-05-24,39.612,38.65,40.63,39.498
2010-05-25,38.892,38.318,40.082,39.33
2010-05-26,38.914,38.082,39.858,38.93
2010-05-27,38.786,38.176,39.828,39.272
2010-05-28,39.306,38.614,39.958,39.282
2010-06-01,39.16,38.638,40.018,39.312
2010-06-02,39.46,38.918,40.418,39.706
2010-06-03,39.83,39.362,40.76,40.18
2010-06-04,39.918,39.196,40.642,39.796
2010-06-07,39.622,38.808,40.31,39.364
2010-06-08,39.374,38.424,39.954,39.212
2010-06-09,39.248,38.218,39.602,38.64
2010-06-10,38.726,37.916,39.352,38.538
2010-06-11,38.73,38.142,39.426,38.882
2010-06-14,39.086,38.594,39.752,39.318
2010-06-15,39.59,39.204,40.376,39.95
2010-06-16,40.112,39.848,41.03,40.796
2010-06-17,40.912,40.404,41.552,41.202
2010-06-18,41.442,40.872,41.964,41.582
2010-06-21,41.9,41.304,42.456,42.124
2010-06-22,42.336,41.636,42.712,42.194
2010-06-23,42.446,41.622,42.706,42.16
2010-06-24,42.27,41.52,42.628,41.96
2010-06-25,42.144,41.3741,42.71,42.088
2010-06-28,42.096,41.3301,42.63,41.99
2010-06-29,41.866,40.9121,42.354,41.62
2010-06-30,41.432,40.6041,41.978,41.126
2010-07-01,40.978,40.1001,41.526,40.81
2010-07-02,40.638,39.694,40.97,40.16
2010-07-06,40.166,39.08,40.488,39.58
2010-07-07,39.682,38.934,40.424,39.792
2010-07-08,40.058,39.3,40.74,40.276
2010-07-09,40.57,40.002,41.246,40.896
