date,open,low,high,close
2010-01-04,40.6567,40.1465,41.108,40.6257
2010-01-05,40.6739,40.1706,41.1171,40.6387
2010-01-06,40.6851,40.1922,41.1212,40.6515
2010-01-07,40.6951,40.2135,41.1264,40.6658
2010-01-08,40.708,40.2369,41.1365,40.6848
2010-01-11,40.7248,40.2631,41.1503,40.7063
2010-01-12,40.7437,40.2914,41.1685,40.7304
2010-01-13,40.7645,40.3201,41.1871,40.7537
2010-01-14,40.7858,40.3493,41.2057,40.7789
2010-01-15,40.8097,40.3807,41.2279,40.8079
2010-01-19,40.8366,40.4159,41.2537,40.843
2010-01-20,40.8698,40.4582,41.2868,40.8867
2010-01-21,40.9099,40.5043,41.3262,40.9347
2010-01-22,40.9515,40.5446,41.3654,40.9756
2010-01-25,40.9891,40.578,41.4,41.009
2010-01-26,41.0176,40.6023,41.4284,41.0343
2010-01-27,41.0383,40.6198,41.4502,41.0541
2010-01-28,41.051,40.6273,41.4649,41.0652
2010-01-29,41.0563,40.6281,41.4763,41.071
2010-02-01,41.0582,40.6241,41.4844,41.0726
2010-02-02,41.055,40.6155,41.4884,41.0709
2010-02-03,41.0478,40.598,41.4866,41.0583
2010-02-04,41.0312,40.5687,41.478,41.0342
2010-02-05,41.0037,40.5246,41.4576,40.9969
2010-02-08,40.9619,40.4645,41.42,40.9406
2010-02-09,40.9028,40.3886,41.3666,40.8699
2010-02-10,40.8309,40.2993,41.2989,40.7862
2010-02-11,40.7471,40.1978,41.2186,40.6901
2010-02-12,40.6505,40.0832,41.1268,40.5819
2010-02-16,40.5421,39.9569,41.0244,40.463
2010-02-17,40.4243,39.8201,40.9114,40.3321
2010-02-18,40.2942,39.6705,40.7842,40.1861
2010-02-19,40.149,39.5085,40.6417,40.0268
2010-02-22,39.9929,39.3454,40.4893,39.8656
2010-02-23,39.8348,39.1889,40.3356,39.7115
2010-02-24,39.6841,39.0423,40.1866,39.5663
2010-02-25,39.5418,38.9027,40.0418,39.4281
2010-02-26,39.4072,38.7726,39.9032,39.2974
2010-03-01,39.2795,38.6527,39.7696,39.176
2010-03-02,39.1596,38.5405,39.6424,39.0626
2010-03-03,39.0465,38.4341,39.5213,38.9528
2010-03-04,38.937,38.3323,39.4049,38.849
2010-03-05,38.8346,38.2395,39.2981,38.7574
2010-03-08,38.745,38.162,39.2023,38.6781
2010-03-09,38.6681,38.1013,39.1215,38.6156
2010-03-10,38.6072,38.057,39.0568,38.5705
2010-03-11,38.5616,38.0286,39.0068,38.5405
2010-03-12,38.5312,38.0174,38.9732,38.5264
2010-03-15,38.5171,38.0221,38.9542,38.527
2010-03-16,38.5181,38.0419,38.9486,38.5409
2010-03-17,38.5318,38.0742,38.9547,38.566
2010-03-18,38.5563,38.1185,38.9734,38.6048
2010-03-19,38.5956,38.1752,39.0066,38.6557
2010-03-22,38.6465,38.2414,39.0538,38.7192
2010-03-23,38.7086,38.3133,39.1128,38.7897
2010-03-24,38.7786,38.3911,39.1798,38.8661
2010-03-25,38.856,38.4773,39.258,38.9498
2010-03-26,38.9421,38.573,39.346,39.0419
2010-03-29,39.0365,38.6741,39.4417,39.1394
2010-03-30,39.137,38.7812,39.5446,39.2427
2010-03-31,39.2429,38.8939,39.6524,39.3526
2010-04-01,39.3575,39.0147,39.7675,39.471
2010-04-05,39.48,39.1419,39.8883,39.5939
2010-04-06,39.6052,39.2715,40.0117,39.7186
2010-04-07,39.7322,39.4004,40.1377,39.8452
2010-04-08,39.8604,39.5296,40.268,39.9744
2010-04-09,39.9921,39.6632,40.4027,40.1073
2010-04-12,40.1274,39.7994,40.5409,40.2436
2010-04-13,40.2654,39.9386,40.6829,40.3842
2010-04-14,40.4075,40.0831,40.8324,40.5326
2010-04-15,40.5568,40.2359,40.9914,40.6914
2010-04-16,40.7154,40.393,41.1594,40.8553
2010-04-19,40.8782,40.5564,41.334,41.0277
2010-04-20,41.0502,40.7293,41.5155,41.2093
2010-04-21,41.2323,40.9108,41.7042,41.397
2010-04-22,41.4197,41.0955,41.9,41.5906
2010-04-23,41.6158,41.289,42.1057,41.7938
2010-04-26,41.8163,41.4866,42.3162,42.0033
2010-04-27,42.022,41.6875,42.5337,42.2169
2010-04-28,42.2324,41.8912,42.756,42.4348
2010-04-29,42.4486,42.1011,42.987,42.6609
2010-04-30,42.6726,42.3152,43.2264,42.8905
2010-05-03,42.899,42.5323,43.4699,43.1241
2010-05-04,43.1292,42.7506,43.7164,43.3583
2010-05-05,43.3602,42.967,43.963,43.5894
2010-05-06,43.5883,43.1725,44.2044,43.8112
2010-05-07,43.8075,43.3642,44.4336,44.0158
2010-05-10,44.0145,43.5429,44.6504,44.208
2010-05-11,44.2093,43.709,44.8567,44.3872
2010-05-12,44.3906,43.8601,45.0476,44.5506
2010-05-13,44.5553,43.9919,45.2189,44.6916
2010-05-14,44.6974,44.1013,45.3667,44.8085
2010-05-17,44.8177,44.1904,45.4916,44.9048
2010-05-18,44.9187,44.2543,45.595,44.9731
2010-05-19,44.9886,44.2894,45.673,45.0153
2010-05-20,45.0323,44.2976,45.7235,45.0268
2010-05-21,45.0403,44.271,45.7388,45.005
2010-05-24,45.0155,44.2103,45.7187,44.9481
2010-05-25,44.9567,44.1165,45.6636,44.8607
2010-05-26,44.8685,43.9939,45.5774,44.7434
2010-05-27,44.7504,43.8432,45.4619,44.5974
2010-05-28,44.6015,43.6643,45.3143,44.4213
2010-06-01,44.4219,43.458,45.1352,44.2157
2010-06-02,44.2147,43.226,44.9312,43.9877
2010-06-03,43.9874,42.9775,44.7069,43.7438
2010-06-04,43.7425,42.7198,44.4633,43.4854
2010-06-07,43.4841,42.4597,44.2076,43.2228
2010-06-08,43.2171,42.194,43.9435,42.957
2010-06-09,42.9431,41.9205,43.6705,42.6822
2010-06-10,42.6613,41.6406,43.3895,42.4017
