,open,low,high,close
2010-01-04,41.0218,40.6177,41.2798,40.9598
2010-01-05,40.9862,40.5733,41.2664,40.9287
2010-01-06,40.9482,40.6053,41.1715,40.8918
2010-01-07,40.9853,40.6826,41.3391,41.0675
2010-01-08,41.1075,40.8035,41.5375,41.2275
2010-01-11,41.2231,40.8911,41.6296,41.2867
2010-01-12,41.2462,40.9793,41.788,41.4498
2010-01-13,41.3824,41.1187,41.9162,41.6189
2010-01-14,41.5378,41.3224,42.1173,41.8613
2010-01-15,41.7544,41.4955,42.3018,42.0167
2010-01-19,41.8905,41.6571,42.4925,42.2418
2010-01-20,42.1262,41.8147,42.6842,42.4335
2010-01-21,42.3345,41.8053,42.8118,42.4369
2010-01-22,42.2073,41.1758,42.6055,41.7671
2010-01-25,41.6673,40.474,42.0127,41.0135
2010-01-26,40.892,39.8467,41.4671,40.3918
2010-01-27,40.2695,39.3436,40.9002,39.9351
2010-01-28,39.8362,38.7209,40.3662,39.3138
2010-01-29,39.2662,38.2807,39.9153,38.8202
2010-02-01,38.8205,38.0089,39.4529,38.5178
2010-02-02,38.6127,37.928,39.2293,38.4387
2010-02-03,38.5115,37.8664,39.0289,38.3058
2010-02-04,38.3233,37.7478,38.8475,38.112
2010-02-05,38.158,37.5449,38.6373,38.0605
2010-02-08,38.0782,37.4036,38.4729,37.8298
2010-02-09,37.9336,37.3191,38.3289,37.7536
2010-02-10,37.8504,37.24,38.2465,37.7258
2010-02-11,37.8158,37.2633,38.2592,37.8129
2010-02-12,37.7933,37.2729,38.2857,37.908
2010-02-16,37.9527,37.4951,38.5145,38.2075
2010-02-17,38.2255,37.7331,38.7103,38.3776
2010-02-18,38.3991,37.9498,38.8423,38.5655
2010-02-19,38.5371,38.1293,38.9513,38.722
2010-02-22,38.6976,38.3229,39.0604,38.8271
2010-02-23,38.7556,38.3024,39.0463,38.7307
2010-02-24,38.7005,38.312,39.0174,38.7009
2010-02-25,38.5422,38.1131,38.8711,38.588
2010-02-26,38.4695,38.0424,38.7578,38.4971
2010-03-01,38.3996,37.9847,38.6402,38.3971
2010-03-02,38.3078,37.9636,38.6473,38.3496
2010-03-03,38.2904,37.9671,38.6687,38.3045
2010-03-04,38.2596,37.9858,38.7107,38.3844
2010-03-05,38.3924,38.178,38.9849,38.7071
2010-03-08,38.7249,38.4536,39.2551,38.92
2010-03-09,38.9135,38.6669,39.4335,39.1169
2010-03-10,39.1591,38.8469,39.5893,39.2853
2010-03-11,39.3049,39.0246,39.7605,39.5007
2010-03-12,39.5816,39.3407,40.0495,39.7967
2010-03-15,39.8415,39.5429,40.2843,40.0351
2010-03-16,40.1027,39.774,40.4811,40.2667
2010-03-17,40.3704,40.0078,40.6908,40.4687
2010-03-18,40.5376,40.1558,40.8122,40.6193
2010-03-19,40.7173,40.226,40.9361,40.6096
2010-03-22,40.6164,40.1935,41.034,40.734
2010-03-23,40.7395,40.3361,41.1391,40.8625
2010-03-24,40.8233,40.4577,41.2345,40.9213
2010-03-25,40.9471,40.6151,41.4515,41.0311
2010-03-26,41.0745,40.6877,41.5369,41.0625
2010-03-29,41.1004,40.7896,41.4902,41.0875
2010-03-30,41.1516,40.8634,41.5089,41.1356
2010-03-31,41.1404,40.8823,41.5383,41.1716
2010-04-01,41.254,40.9951,41.6169,41.2831
2010-04-05,41.3807,41.1611,41.8221,41.5582
2010-04-06,41.5984,41.4023,42.0859,41.8725
2010-04-07,41.8598,41.5496,42.3565,42.0135
2010-04-08,41.9689,41.6804,42.6762,42.3738
2010-04-09,42.3238,42.0582,42.998,42.72
2010-04-12,42.6947,42.4662,43.3761,43.1415
2010-04-13,43.0904,42.89,43.7903,43.5825
2010-04-14,43.6211,43.4173,44.4184,44.2205
2010-04-15,44.2145,44.0145,44.9621,44.8027
2010-04-16,44.7624,44.1829,45.4008,45.0011
2010-04-19,44.9173,44.3818,45.6048,45.2576
2010-04-20,45.2544,44.69,45.8431,45.538
2010-04-21,45.5329,44.936,46.0405,45.7242
2010-04-22,45.6609,45.0607,46.316,45.9864
2010-04-23,46.1373,45.5796,46.9102,46.4253
2010-04-26,46.3913,45.8691,47.1898,46.6229
2010-04-27,46.5142,45.8882,47.3205,46.5278
2010-04-28,46.5076,45.8676,47.2035,46.4709
2010-04-29,46.5598,46.0035,47.3529,46.6973
2010-04-30,46.7664,46.0213,47.5218,46.6376
2010-05-03,46.716,46.0678,47.5449,46.7558
2010-05-04,46.7293,45.9655,47.4356,46.6042
2010-05-05,46.4973,45.588,47.2062,46.1987
2010-05-06,46.0862,44.5536,46.7893,45.4707
2010-05-07,45.3153,43.6724,45.99,44.4749
2010-05-10,44.784,43.2976,45.3898,44.0673
2010-05-11,44.2915,42.9964,45.0509,43.7769
2010-05-12,44.0102,42.8653,44.7596,43.6713
2010-05-13,43.8302,42.6931,44.4804,43.3671
2010-05-14,43.3698,42.1044,43.9147,42.7555
2010-05-17,42.8675,41.5727,43.3895,42.3489
2010-05-18,42.5116,41.0578,42.9665,41.8002
2010-05-19,41.8475,40.6336,42.4611,41.4209
2010-05-20,41.3516,40.1911,42.0158,40.8373
2010-05-21,40.5591,39.5595,41.5609,40.5424
2010-05-24,40.2769,39.2704,41.1456,40.1198
