date,open,low,high,close
2010-01-04,40.021,39.5535,40.4975,40.0555
2010-01-05,40.0901,39.6232,40.5614,40.1218
2010-01-06,40.1555,39.7045,40.6087,40.1849
2010-01-07,40.2318,39.7914,40.6992,40.2825
2010-01-08,40.3212,39.8845,40.7938,40.3753
2010-01-11,40.4061,39.969,40.8677,40.4485
2010-01-12,40.4721,40.0499,40.9507,40.5362
2010-01-13,40.5535,40.1374,41.0264,40.6247
2010-01-14,40.6374,40.2358,41.1148,40.7266
2010-01-15,40.7332,40.3304,41.2027,40.8152
2010-01-19,40.8162,40.4242,41.2938,40.9187
2010-01-20,40.9181,40.5191,41.3879,41.0185
2010-01-21,41.0178,40.586,41.4733,41.0879
2010-01-22,41.0602,40.5394,41.5027,41.0361
2010-01-25,41.0251,40.4682,41.457,40.956
2010-01-26,40.9366,40.3962,41.4075,40.8851
2010-01-27,40.8609,40.3327,41.3435,40.8311
2010-01-28,40.8068,40.2349,41.2725,40.7351
2010-01-29,40.7163,40.1532,41.2036,40.6453
2010-02-01,40.6323,40.0851,41.118,40.5724
2010-02-02,40.5743,40.036,41.0594,40.5249
2010-02-03,40.5226,39.977,40.9909,40.4531
2010-02-04,40.4407,39.8931,40.911,40.3547
2010-02-05,40.3461,39.7804,40.8108,40.2667
2010-02-08,40.2549,39.6741,40.708,40.1445
2010-02-09,40.1482,39.5768,40.6053,40.0485
2010-02-10,40.0532,39.4803,40.5106,39.9608
2010-02-11,39.967,39.4008,40.4317,39.8918
2010-02-12,39.8812,39.322,40.3557,39.8281
2010-02-16,39.8304,39.2835,40.3173,39.8054
2010-02-17,39.8046,39.2516,40.2783,39.765
2010-02-18,39.7646,39.2182,40.2302,39.7293
2010-02-19,39.72,39.181,40.1804,39.6916
2010-02-22,39.6833,39.151,40.1336,39.6508
2010-02-23,39.6343,39.0908,40.0704,39.5786
2010-02-24,39.5695,39.0413,40.0088,39.5241
2010-02-25,39.491,38.9596,39.9306,39.4593
2010-02-26,39.4298,38.9029,39.8604,39.4009
2010-03-01,39.3718,38.8512,39.7909,39.3425
2010-03-02,39.3134,38.809,39.7452,39.2944
2010-03-03,39.2676,38.7709,39.701,39.2441
2010-03-04,39.2174,38.7337,39.6597,39.2142
2010-03-05,39.1947,38.7263,39.6601,39.2274
2010-03-08,39.2093,38.7356,39.6634,39.2242
2010-03-09,39.201,38.7362,39.6532,39.2202
2010-03-10,39.2055,38.7355,39.6431,39.2171
2010-03-11,39.1979,38.7388,39.6401,39.227
2010-03-12,39.2206,38.7752,39.6653,39.2585
2010-03-15,39.248,38.8,39.6898,39.2884
2010-03-16,39.2837,38.8374,39.7166,39.3257
2010-03-17,39.3298,38.8833,39.753,39.366
2010-03-18,39.3666,38.9217,39.7811,39.4058
2010-03-19,39.414,38.9533,39.8163,39.4233
2010-03-22,39.4176,38.9704,39.8501,39.4657
2010-03-23,39.4611,39.0202,39.8882,39.5136
2010-03-24,39.5029,39.0712,39.9296,39.554
2010-03-25,39.5556,39.1339,39.9981,39.6081
2010-03-26,39.6151,39.1869,40.0495,39.6522
2010-03-29,39.6596,39.2466,40.0793,39.6962
2010-03-30,39.71,39.3042,40.1213,39.7456
2010-03-31,39.7503,39.3537,40.1665,39.7936
2010-04-01,39.8125,39.4203,40.2212,39.8558
2010-04-05,39.8791,39.4988,40.3012,39.9494
2010-04-06,39.9636,39.5952,40.3953,40.0567
2010-04-07,40.0635,39.6821,40.4964,40.1387
2010-04-08,40.1411,39.7696,40.6124,40.2639
2010-04-09,40.2667,39.9052,40.7355,40.394
2010-04-12,40.4015,40.0526,40.8738,40.5448
2010-04-13,40.5475,40.2116,41.0265,40.709
2010-04-14,40.7273,40.3985,41.2295,40.9202
2010-04-15,40.9305,40.6098,41.432,41.136
2010-04-16,41.1403,40.7587,41.6302,41.2983
2010-04-19,41.2931,40.9213,41.7998,41.4811
2010-04-20,41.4875,41.1114,41.9842,41.6763
2010-04-21,41.681,41.2968,42.169,41.8605
2010-04-22,41.8542,41.4674,42.3738,42.0658
2010-04-23,42.0971,41.7151,42.6425,42.3084
2010-04-26,42.3083,41.9295,42.8656,42.5159
2010-04-27,42.5014,42.0991,43.0678,42.6739
2010-04-28,42.6738,42.2613,43.2286,42.837
2010-04-29,42.8548,42.4485,43.4321,43.0456
2010-04-30,43.0606,42.6113,43.6382,43.201
2010-05-03,43.2187,42.7804,43.8176,43.3875
2010-05-04,43.3884,42.9229,43.9736,43.5248
2010-05-05,43.5109,43.0106,44.1047,43.6109
2010-05-06,43.5945,42.9709,44.1968,43.6295
2010-05-07,43.605,42.9406,44.2096,43.5831
2010-05-10,43.6376,42.9763,44.2348,43.6168
2010-05-11,43.6607,43.0085,44.2892,43.6557
2010-05-12,43.7064,43.0586,44.3384,43.7172
2010-05-13,43.759,43.0911,44.3803,43.734
2010-05-14,43.7496,43.0343,44.3558,43.6775
2010-05-17,43.713,42.9682,44.3176,43.6393
2010-05-18,43.6852,42.8838,44.278,43.5546
2010-05-19,43.5836,42.7952,44.2055,43.4802
2010-05-20,43.4922,42.6868,44.125,43.3538
2010-05-21,43.3311,42.5389,44.0268,43.2667
2010-05-24,43.2468,42.4422,43.9256,43.1529
2010-05-25,43.0975,42.3013,43.7906,43.0375
2010-05-26,42.9976,42.1724,43.6769,42.8943
2010-05-27,42.8828,42.0786,43.5877,42.822
2010-05-28,42.8052,42.0014,43.5072,42.7336
2010-06-01,42.694,41.907,43.4124,42.6223
2010-06-02,42.5919,41.8111,43.3405,42.57
2010-06-03,42.551,41.7541,43.2803,42.5028
2010-06-04,42.4487,41.6318,43.1689,42.3654
2010-06-07,42.3211,41.4908,43.0319,42.2057
2010-06-08,42.1694,41.335,42.8782,42.0709
2010-06-09,42.0483,41.2086,42.7494,41.927
2010-06-10,41.9239,41.1063,42.6505,41.8473
2010-06-11,41.8266,41.0265,42.5546,41.7715
2010-06-14,41.7623,40.9653,42.4751,41.6883
2010-06-15,41.6979,40.9145,42.4273,41.6614
2010-06-16,41.6661,40.8969,42.4078,41.6584
2010-06-17,41.6748,40.8871,42.3948,41.6455
2010-06-18,41.6642,40.8841,42.3657,41.6312
2010-06-21,41.6734,40.8925,42.365,41.6351
2010-06-22,41.6778,40.8943,42.3566,41.6166
2010-06-23,41.6604,40.8719,42.3332,41.6053
2010-06-24,41.6369,40.8436,42.3044,41.557
2010-06-25,41.603,40.8154,42.286,41.5616
2010-06-28,41.6019,40.8156,42.2692,41.547
