,open,low,high,close
2010-01-04,15.6818,15.4975,15.8355,15.636
2010-01-05,15.6846,15.5113,15.8571,15.6714
2010-01-06,15.7175,15.5458,15.8989,15.7174
2010-01-07,15.7792,15.6095,15.9803,15.7959
2010-01-08,15.8572,15.6777,16.0523,15.861
2010-01-11,15.9321,15.7484,16.1234,15.9325
2010-01-12,15.9858,15.7802,16.1658,15.9637
2010-01-13,16.0182,15.809,16.208,16.0101
2010-01-14,16.0618,15.8656,16.2572,16.067
2010-01-15,16.1038,15.8952,16.2864,16.085
2010-01-19,16.1063,15.8981,16.3026,16.1059
2010-01-20,16.1189,15.9227,16.3282,16.1366
2010-01-21,16.1463,15.8828,16.3545,16.0999
2010-01-22,16.0949,15.8131,16.3058,16.0282
2010-01-25,16.0394,15.7506,16.2433,15.965
2010-01-26,15.9724,15.6878,16.1774,15.8913
2010-01-27,15.8938,15.6255,16.1224,15.8482
2010-01-28,15.8634,15.5874,16.0893,15.8188
2010-01-29,15.8403,15.5564,16.0553,15.7786
2010-02-01,15.8035,15.5294,16.0158,15.7558
2010-02-02,15.7808,15.5153,15.9938,15.7457
2010-02-03,15.7669,15.5155,15.9805,15.7316
2010-02-04,15.7395,15.4647,15.9441,15.6679
2010-02-05,15.6805,15.3893,15.8856,15.6234
2010-02-08,15.6309,15.3267,15.8235,15.5476
2010-02-09,15.5663,15.2542,15.7529,15.4749
2010-02-10,15.4947,15.1989,15.6942,15.4187
2010-02-11,15.4369,15.1515,15.6313,15.3627
2010-02-12,15.3691,15.0898,15.5549,15.298
2010-02-16,15.3169,15.0531,15.5319,15.2823
2010-02-17,15.312,15.0589,15.5469,15.2997
2010-02-18,15.3183,15.0807,15.5691,15.3306
2010-02-19,15.338,15.115,15.5929,15.3601
2010-02-22,15.3717,15.164,15.6388,15.4095
2010-02-23,15.4142,15.1996,15.6814,15.4392
2010-02-24,15.4456,15.2446,15.7206,15.4927
2010-02-25,15.4802,15.2867,15.7715,15.5578
2010-02-26,15.5466,15.3566,15.8374,15.6269
2010-03-01,15.6157,15.4334,15.9015,15.6958
2010-03-02,15.684,15.4948,15.9585,15.7446
2010-03-03,15.7342,15.5494,16.0012,15.7859
2010-03-04,15.7754,15.5819,16.0341,15.8271
2010-03-05,15.8243,15.6399,16.0814,15.8856
2010-03-08,15.8857,15.7106,16.1368,15.9437
2010-03-09,15.9363,15.768,16.1945,16.0029
2010-03-10,16.0088,15.8513,16.2727,16.0791
2010-03-11,16.0888,15.9353,16.3424,16.1521
2010-03-12,16.1699,15.9905,16.4099,16.204
2010-03-15,16.2134,16.0371,16.4489,16.2533
2010-03-16,16.2695,16.1013,16.4961,16.3116
2010-03-17,16.3357,16.1703,16.5558,16.3825
2010-03-18,16.4062,16.2328,16.6137,16.4374
2010-03-19,16.4647,16.2767,16.6629,16.4728
2010-03-22,16.4854,16.3092,16.6927,16.5153
2010-03-23,16.5345,16.3618,16.737,16.5664
2010-03-24,16.5837,16.422,16.8118,16.6433
2010-03-25,16.6767,16.5177,16.9228,16.7272
2010-03-26,16.7739,16.6117,17.0205,16.817
2010-03-29,16.8785,16.7022,17.1112,16.9113
2010-03-30,16.9706,16.7816,17.1921,16.9826
2010-03-31,17.0341,16.8567,17.2597,17.056
2010-04-01,17.1154,16.9421,17.3315,17.1377
2010-04-05,17.2016,17.0314,17.4091,17.221
2010-04-06,17.2831,17.1212,17.5013,17.3231
2010-04-07,17.3875,17.234,17.6094,17.4282
2010-04-08,17.4871,17.3266,17.7105,17.5298
2010-04-09,17.5956,17.4267,17.8064,17.6221
2010-04-12,17.6913,17.5278,17.8958,17.7141
2010-04-13,17.7761,17.6165,17.9741,17.8017
2010-04-14,17.8803,17.7282,18.0932,17.9318
2010-04-15,18.0208,17.8623,18.2348,18.0602
2010-04-16,18.1436,17.9049,18.3441,18.1128
