,open,low,high,close
2010-01-04,15.8547,15.5108,16.0235,15.7857
2010-01-05,15.8542,15.5119,16.0253,15.788
2010-01-06,15.8561,15.5167,16.031,15.7989
2010-01-07,15.8875,15.5751,16.1158,15.8835
2010-01-08,15.9725,15.6577,16.2142,15.9396
2010-01-11,16.0436,15.769,16.3045,16.0262
2010-01-12,16.0902,15.7853,16.3269,16.0347
2010-01-13,16.1004,15.7961,16.3497,16.055
2010-01-14,16.1295,15.8566,16.3955,16.1131
2010-01-15,16.1636,15.8714,16.4105,16.1178
2010-01-19,16.1606,15.8701,16.4135,16.1304
2010-01-20,16.1637,15.8863,16.4282,16.1527
2010-01-21,16.1795,15.8835,16.4421,16.1478
2010-01-22,16.1742,15.8643,16.4371,16.1334
2010-01-25,16.1647,15.8523,16.4283,16.1249
2010-01-26,16.1535,15.8373,16.4209,16.1081
2010-01-27,16.1299,15.8221,16.414,16.1031
2010-01-28,16.126,15.8177,16.4069,16.0975
2010-01-29,16.1185,15.8134,16.3956,16.0924
2010-02-01,16.113,15.8094,16.3883,16.0862
2010-02-02,16.1083,15.8059,16.3846,16.0836
2010-02-03,16.1047,15.8039,16.3766,16.074
2010-02-04,16.0869,15.7637,16.3368,16.0133
2010-02-05,16.0067,15.6457,16.1806,15.9506
2010-02-08,15.9222,15.5505,16.0303,15.8419
2010-02-09,15.8091,15.4281,15.8584,15.7258
2010-02-10,15.6972,15.3714,15.7628,15.6702
2010-02-11,15.6324,15.3274,15.6568,15.5966
2010-02-12,15.5323,15.2257,15.4977,15.4898
2010-02-16,15.4696,15.1917,15.4884,15.4799
2010-02-17,15.4674,15.1927,15.4949,15.4828
2010-02-18,15.4684,15.1983,15.504,15.4885
2010-02-19,15.4734,15.2064,15.5135,15.4932
2010-02-22,15.4842,15.2436,15.5417,15.5257
2010-02-23,15.5046,15.2634,15.5806,15.5376
2010-02-24,15.5219,15.2953,15.6216,15.5795
2010-02-25,15.5505,15.3265,15.6753,15.6239
2010-02-26,15.5984,15.3837,15.7397,15.6688
2010-03-01,15.6482,15.4501,15.8066,15.7284
2010-03-02,15.7192,15.4904,15.8702,15.7523
2010-03-03,15.7497,15.5184,15.8993,15.7669
2010-03-04,15.7682,15.5261,15.9152,15.7844
2010-03-05,15.8062,15.596,15.9698,15.8758
2010-03-08,15.9182,15.7433,16.0827,15.9533
2010-03-09,15.987,15.8297,16.2106,16.0982
2010-03-10,16.1481,16.0093,16.4323,16.289
2010-03-11,16.3504,16.1664,16.5796,16.438
2010-03-12,16.5253,16.2171,16.722,16.4952
2010-03-15,16.5545,16.261,16.7542,16.5554
2010-03-16,16.6119,16.3355,16.7972,16.622
2010-03-17,16.6748,16.3994,16.8542,16.7024
2010-03-18,16.7425,16.443,16.9037,16.7322
2010-03-19,16.7763,16.456,16.9324,16.7365
2010-03-22,16.7724,16.4596,16.9336,16.7452
2010-03-23,16.7838,16.4837,16.9477,16.7756
2010-03-24,16.8,16.5144,17.012,16.8409
2010-03-25,16.8799,16.6065,17.1531,16.9119
2010-03-26,16.9462,16.6742,17.2347,16.9931
2010-03-29,17.0254,16.7321,17.3037,17.0852
2010-03-30,17.0816,16.788,17.3602,17.1427
2010-03-31,17.1088,16.8455,17.4059,17.2154
2010-04-01,17.1678,16.9623,17.4716,17.3084
2010-04-05,17.2316,17.0636,17.541,17.3902
2010-04-06,17.2828,17.1532,17.6373,17.5215
2010-04-07,17.3892,17.3372,17.771,17.6572
2010-04-08,17.4691,17.4118,17.8642,17.763
2010-04-09,17.5611,17.5024,17.9582,17.843
2010-04-12,17.6256,17.6664,18.0379,17.9647
2010-04-13,17.7208,17.7863,18.1329,18.0703
2010-04-14,17.8509,17.9592,18.3516,18.3114
2010-04-15,18.0708,18.1971,18.6247,18.5133
2010-04-16,18.2114,18.1921,18.7261,18.5075
2010-04-19,18.2184,18.1799,18.7223,18.4984
2010-04-20,18.2643,18.1975,18.7305,18.5075
2010-04-21,18.2866,18.1943,18.7429,18.4972
2010-04-22,18.2806,18.1885,18.7387,18.4988
2010-04-23,18.2824,18.19,18.7371,18.4971
2010-04-26,18.2839,18.1885,18.7345,18.4939
2010-04-27,18.2809,18.1808,18.732,18.4761
2010-04-28,18.274,18.1765,18.7264,18.473
2010-04-29,18.2718,18.1749,18.7221,18.4708
2010-04-30,18.2718,18.1704,18.7188,18.466
2010-05-03,18.2686,18.1676,18.7154,18.4639
2010-05-04,18.2635,18.1581,18.6994,18.4419
2010-05-05,18.2254,18.1071,18.6668,18.4144
2010-05-06,18.2061,17.9237,18.6179,18.268
2010-05-07,18.1013,17.8089,18.4749,18.1223
2010-05-10,18.0756,17.7875,18.4312,18.1005
2010-05-11,18.0454,17.7665,18.4001,18.0726
2010-05-12,18.0175,17.7381,18.3148,18.0128
2010-05-13,17.9482,17.6891,18.1684,17.934
2010-05-14,17.8559,17.6234,17.9771,17.8473
2010-05-17,17.7765,17.5454,17.8113,17.7674
2010-05-18,17.7154,17.4054,17.7099,17.6286
2010-05-19,17.5635,17.3105,17.5643,17.5643
2010-05-20,17.4778,17.1714,17.3817,17.3626
2010-05-21,17.2201,16.9571,17.2161,17.2905
2010-05-24,17.1574,16.8553,17.0941,17.1822
2010-05-25,17.0158,16.7231,16.9098,17.1128
2010-05-26,16.9858,16.6636,16.859,17.0251
2010-05-27,16.9402,16.6048,16.8006,16.9864
2010-05-28,16.9128,16.5679,16.7475,16.9302
2010-06-01,16.8611,16.5033,16.6803,16.8382
2010-06-02,16.8138,16.4465,16.6192,16.8067
2010-06-03,16.7975,16.4281,16.583,16.7725
2010-06-04,16.7555,16.4194,16.5233,16.746
2010-06-07,16.7298,16.3738,16.4658,16.6948
2010-06-08,16.642,16.241,16.344,16.6282
2010-06-09,16.6078,16.1485,16.2549,16.5418
2010-06-10,16.5594,16.0851,16.1797,16.5053
2010-06-11,16.5224,16.0497,16.1475,16.4823
2010-06-14,16.5088,16.0362,16.1335,16.4622
2010-06-15,16.4953,16.0249,16.1264,16.4548
2010-06-16,16.4814,16.0233,16.1209,16.4519
2010-06-17,16.4784,16.02,16.12,16.4451
2010-06-18,16.4755,16.016,16.1183,16.4371
2010-06-21,16.4654,16.0088,16.1182,16.4324
2010-06-22,16.4607,16.0054,16.1163,16.4263
2010-06-23,16.4449,15.9926,16.1126,16.4212
2010-06-24,16.4223,15.9768,16.075,16.4041
2010-06-25,16.4028,15.9601,16.062,16.3829
2010-06-28,16.3837,15.945,16.0461,16.366
2010-06-29,16.3587,15.8872,15.9995,16.3218
2010-06-30,16.306,15.819,15.9313,16.2155
2010-07-01,16.177,15.56,15.7771,16.0739
2010-07-02,16.0625,15.4243,15.6216,15.9531
2010-07-06,15.9701,15.3629,15.5523,15.9075
2010-07-07,15.917,15.3323,15.5337,15.8855
2010-07-08,15.8975,15.324,15.5221,15.8785
2010-07-09,15.8825,15.3172,15.5173,15.8696
2010-07-12,15.8746,15.3133,15.5132,15.8612
2010-07-13,15.8712,15.3137,15.5143,15.8595
2010-07-14,15.8699,15.3143,15.5156,15.8582
2010-07-15,15.8689,15.3098,15.5173,15.8512
2010-07-16,15.8109,15.2436,15.4785,15.743
2010-07-19,15.6858,15.0892,15.3873,15.5943
2010-07-20,15.4492,14.9458,15.2613,15.4863
2010-07-21,15.3715,14.8295,15.1756,15.3475
2010-07-22,15.2635,14.7637,15.0955,15.2705
2010-07-23,15.1954,14.7072,15.029,15.2223
2010-07-26,15.1477,14.6688,14.9917,15.1889
2010-07-27,15.1344,14.6568,14.9837,15.1636
2010-07-28,15.1149,14.6481,14.9678,15.1465
2010-07-29,15.104,14.6401,14.9558,15.1357
2010-07-30,15.0909,14.6316,14.9516,15.1309
2010-08-02,15.0854,14.6254,14.9461,15.12
2010-08-03,15.0802,14.621,14.9428,15.1132
2010-08-04,15.075,14.6188,14.9365,15.0991
2010-08-05,15.0566,14.6055,14.9142,15.0718
2010-08-06,15.0311,14.5772,14.878,15.0278
2010-08-09,15.0076,14.5391,14.8398,14.9746
2010-08-10,14.947,14.4564,14.7331,14.8419
2010-08-11,14.8546,14.3114,14.5886,14.6474
2010-08-12,14.7075,14.1796,14.433,14.471
2010-08-13,14.6346,14.1373,14.3518,14.4315
2010-08-16,14.5978,14.1259,14.3094,14.4092
2010-08-17,14.592,14.1176,14.2929,14.3781
2010-08-18,14.5597,14.1118,14.2741,14.3726
2010-08-19,14.5464,14.0833,14.2505,14.3262
2010-08-20,14.5073,14.036,14.1983,14.2525
2010-08-23,14.4655,13.9809,14.1166,14.0979
2010-08-24,14.2835,13.794,13.8842,13.8972
2010-08-25,14.1208,13.6142,13.6992,13.7507
2010-08-26,14.0146,13.4809,13.6082,13.5696
2010-08-27,13.9122,13.3553,13.4895,13.4683
2010-08-30,13.7071,13.1111,13.3103,13.2071
2010-08-31,13.4854,12.8773,13.1475,13.0717
2010-09-01,13.3948,12.8425,13.1517,13.0785
2010-09-02,13.385,12.855,13.1611,13.0856
2010-09-03,13.3867,12.8638,13.1688,13.0934
2010-09-07,13.3865,12.8719,13.1754,13.0967
2010-09-08,13.3841,12.8779,13.1797,13.0997
2010-09-09,13.3852,12.8869,13.1894,13.1051
2010-09-10,13.3902,12.902,13.1953,13.1148
2010-09-13,13.4096,12.9389,13.2188,13.1418
2010-09-14,13.4291,12.9555,13.2377,13.1522
2010-09-15,13.4308,12.9637,13.2445,13.1631
2010-09-16,13.4336,12.9702,13.2476,13.1668
2010-09-17,13.4377,12.9754,13.2531,13.1704
2010-09-20,13.4381,12.9874,13.2721,13.1915
2010-09-21,13.456,13.0126,13.2996,13.2058
2010-09-22,13.4621,13.0293,13.3186,13.2125
2010-09-23,13.4579,13.0322,13.3216,13.2118
2010-09-24,13.4558,13.0426,13.3288,13.229
2010-09-27,13.4621,13.0498,13.3402,13.2292
2010-09-28,13.4581,13.0541,13.3397,13.2307
2010-09-29,13.4506,13.0539,13.3382,13.228
2010-09-30,13.4455,13.0538,13.3387,13.2272
2010-10-01,13.4442,13.0539,13.339,13.2275
2010-10-04,13.4423,13.0548,13.3403,13.2264
2010-10-05,13.4416,13.0554,13.3436,13.231
2010-10-06,13.4447,13.0573,13.3466,13.2317
2010-10-07,13.4448,13.06,13.3495,13.2324
2010-10-08,13.4435,13.061,13.351,13.2316
2010-10-11,13.4339,13.0644,13.3447,13.2285
2010-10-12,13.4183,13.0657,13.3493,13.2309
2010-10-13,13.4191,13.0693,13.3521,13.2319
2010-10-14,13.4092,13.0152,13.3414,13.2087
2010-10-15,13.378,12.8638,13.3039,13.14
2010-10-18,13.2904,12.7516,13.2219,13.0965
2010-10-19,13.2229,12.5753,13.1421,13.0026
2010-10-20,13.0781,12.3117,12.9864,12.9208
2010-10-21,13.0102,12.1742,12.872,12.8103
2010-10-22,12.8948,12.0408,12.6775,12.6683
2010-10-25,12.7781,11.8664,12.5095,12.5175
2010-10-26,12.6168,11.7181,12.3628,12.4095
2010-10-27,12.5236,11.6583,12.2882,12.3562
2010-10-28,12.4872,11.6328,12.2225,12.3055
2010-10-29,12.435,11.6036,12.1329,12.2358
2010-11-01,12.3828,11.575,12.0612,12.1841
2010-11-02,12.3374,11.5383,11.9841,12.0909
2010-11-03,12.2677,11.5035,11.9102,12.0362
2010-11-04,12.2428,11.5205,11.9301,12.04
2010-11-05,12.2406,11.5448,11.9516,12.0481
2010-11-08,12.2458,11.5656,11.9658,12.0568
2010-11-09,12.2504,11.5855,11.9907,12.0657
2010-11-10,12.2535,11.6102,12.0181,12.0762
2010-11-11,12.2567,11.6148,12.0292,12.0787
2010-11-12,12.257,11.6202,12.0338,12.0789
2010-11-15,12.2567,11.6253,12.0355,12.0791
2010-11-16,12.2538,11.6257,12.0357,12.0781
2010-11-17,12.25,11.6252,12.0354,12.0749
2010-11-18,12.2474,11.6252,12.0341,12.0697
2010-11-19,12.2426,11.6244,12.0317,12.0657
2010-11-22,12.2398,11.621,12.0298,12.06
2010-11-23,12.2332,11.6183,12.0255,12.051
2010-11-24,12.2254,11.6138,12.0113,12.0425
2010-11-26,12.1987,11.6055,11.9889,12.028
2010-11-29,12.1809,11.5978,11.9824,12.0228
2010-11-30,12.1726,11.5963,11.9729,12.0168
2010-12-01,12.1556,11.587,11.9626,12.012
2010-12-02,12.1507,11.5858,11.9605,12.0095
2010-12-03,12.1453,11.5854,11.9589,12.0078
2010-12-06,12.1387,11.5865,11.9511,11.9963
2010-12-07,12.1239,11.5814,11.9445,11.9732
2010-12-08,12.0831,11.5821,11.9508,11.9735
2010-12-09,12.0842,11.5856,11.9566,11.9775
2010-12-10,12.0887,11.5928,11.9694,11.9909
2010-12-13,12.1084,11.6127,11.998,11.9997
2010-12-14,12.115,11.6209,12.0133,12.0043
2010-12-15,12.1192,11.6386,12.0272,12.008
2010-12-16,12.1277,11.6695,12.0606,12.028
2010-12-17,12.1426,11.7037,12.0902,12.0484
2010-12-20,12.1645,11.7565,12.1412,12.0728
2010-12-21,12.2011,11.8665,12.229,12.1621
2010-12-22,12.3117,12.0562,12.4431,12.3464
