,open,low,high,close
2010-01-04,15.218,15.0998,15.3811,15.2576
2010-01-05,15.3116,15.207,15.5336,15.4338
2010-01-06,15.4775,15.3594,15.7287,15.6233
2010-01-07,15.7105,15.584,16.0211,15.8907
2010-01-08,15.9742,15.8087,16.2663,16.1018
2010-01-11,16.212,16.0229,16.4891,16.3113
2010-01-12,16.3687,16.1095,16.6072,16.3865
2010-01-13,16.4471,16.1738,16.7064,16.4896
2010-01-14,16.5413,16.3018,16.8046,16.6018
2010-01-15,16.6084,16.3319,16.8207,16.5804
2010-01-19,16.5418,16.2689,16.7785,16.548
2010-01-20,16.4895,16.2546,16.7522,16.5351
2010-01-21,16.472,16.0535,16.7237,16.3315
2010-01-22,16.2318,15.7783,16.4858,16.0409
2010-01-25,15.9993,15.5467,16.2327,15.8018
2010-01-26,15.7598,15.3399,15.9947,15.5573
2010-01-27,15.5158,15.1622,15.8144,15.4284
2010-01-28,15.4338,15.0715,15.7151,15.3535
2010-01-29,15.3869,15.0162,15.6302,15.2667
2010-02-01,15.3189,14.9956,15.5502,15.2535
2010-02-02,15.3105,15.0278,15.5358,15.2882
2010-02-03,15.3351,15.1078,15.5576,15.3233
2010-02-04,15.3315,15.0562,15.5273,15.234
2010-02-05,15.2553,14.9367,15.452,15.2033
2010-02-08,15.2049,14.85,15.3669,15.0762
2010-02-09,15.1095,14.7327,15.2547,14.9564
2010-02-10,14.9898,14.6622,15.1733,14.8784
2010-02-11,14.9029,14.6102,15.0787,14.8025
2010-02-12,14.7929,14.5195,14.9513,14.7075
2010-02-16,14.736,14.5053,14.9822,14.7547
2010-02-17,14.8155,14.6149,15.1191,14.8976
2010-02-18,14.9276,14.7711,15.2742,15.0795
2010-02-19,15.0789,14.9658,15.4329,15.2549
2010-02-22,15.2651,15.1882,15.646,15.4698
2010-02-23,15.46,15.3496,15.8311,15.6136
2010-02-24,15.608,15.5176,15.9867,15.8018
2010-02-25,15.7449,15.6527,16.1518,15.9962
2010-02-26,15.9484,15.8444,16.3358,16.1764
2010-03-01,16.1336,16.0311,16.4864,16.3287
2010-03-02,16.2864,16.1435,16.5838,16.3927
2010-03-03,16.3602,16.2127,16.6215,16.4187
2010-03-04,16.3955,16.2078,16.6238,16.4373
2010-03-05,16.4425,16.2696,16.6625,16.5009
2010-03-08,16.5171,16.3616,16.7175,16.5569
2010-03-09,16.5555,16.4131,16.7776,16.6142
2010-03-10,16.6536,16.5318,16.8922,16.7122
2010-03-11,16.764,16.6455,16.976,16.7978
2010-03-12,16.8684,16.67,17.0505,16.824
2010-03-15,16.8656,16.6732,17.0458,16.8467
2010-03-16,16.9033,16.7324,17.0693,16.8996
2010-03-17,16.9724,16.805,17.1296,16.9856
2010-03-18,17.0505,16.8568,17.1813,17.0207
2010-03-19,17.0884,16.8477,17.2016,16.9962
2010-03-22,17.0164,16.8079,17.166,16.9949
2010-03-23,17.0304,16.8315,17.1747,17.0205
2010-03-24,17.0435,16.877,17.272,17.1202
2010-03-25,17.1855,17.0295,17.4751,17.2424
2010-03-26,17.3409,17.1794,17.6369,17.3824
2010-03-29,17.5178,17.3135,17.7764,17.5287
2010-03-30,17.6487,17.4079,17.8778,17.6025
2010-03-31,17.6925,17.4884,17.9347,17.6795
2010-04-01,17.7869,17.5971,18.0011,17.7804
2010-04-05,17.8935,17.7129,18.0805,17.8802
2010-04-06,17.9818,17.82,18.1942,18.0216
2010-04-07,18.1185,17.978,18.3375,18.1589
2010-04-08,18.2298,18.0671,18.4473,18.2745
2010-04-09,18.3544,18.1687,18.5369,18.3596
2010-04-12,18.4413,18.274,18.614,18.442
2010-04-13,18.4987,18.3438,18.6622,18.5124
2010-04-14,18.6155,18.4787,18.8282,18.704
2010-04-15,18.8336,18.6709,19.0513,18.8804
2010-04-16,18.9875,18.5942,19.1703,18.8325
2010-04-19,18.9222,18.4818,19.1133,18.7744
2010-04-20,18.9215,18.4758,19.0818,18.7515
2010-04-21,18.8875,18.4036,19.0595,18.6664
2010-04-22,18.7355,18.31,18.98,18.6347
2010-04-23,18.6609,18.2829,18.8921,18.5851
2010-04-26,18.5956,18.2135,18.7935,18.4693
2010-04-27,18.4447,18.0426,18.6545,18.2591
2010-04-28,18.2593,17.9096,18.4853,18.1271
2010-04-29,18.1689,17.8895,18.4227,18.1191
2010-04-30,18.1511,17.8253,18.3685,18.0471
2010-05-03,18.0822,17.7999,18.3085,18.0275
2010-05-04,18.0029,17.7216,18.214,17.9229
2010-05-05,17.8385,17.5535,18.1235,17.832
2010-05-06,17.7518,17.1549,18.0105,17.5275
2010-05-07,17.4933,16.8826,17.7665,17.2458
2010-05-10,17.4051,16.8455,17.6633,17.2087
2010-05-11,17.3121,16.8195,17.5973,17.1598
2010-05-12,17.2687,16.8051,17.5147,17.1002
2010-05-13,17.1886,16.7747,17.4164,17.0171
2010-05-14,17.0687,16.6324,17.2565,16.8636
2010-05-17,16.9192,16.468,17.0764,16.7391
2010-05-18,16.8549,16.306,16.9816,16.5729
2010-05-19,16.6445,16.2005,16.8553,16.5015
2010-05-20,16.4885,16.0204,16.6795,16.2685
2010-05-21,16.1785,15.7842,16.5229,16.1789
2010-05-24,16.0815,15.6462,16.3953,15.9855
2010-05-25,15.8125,15.4304,16.1933,15.8429
2010-05-26,15.7649,15.3595,16.1285,15.7271
