date,open,low,high,close
2010-01-04,3284.3775,3278.8682,3298.1819,3289.5892
2010-01-05,3294.622,3287.7398,3307.4604,3301.1051
2010-01-06,3304.1205,3295.1582,3312.9126,3304.0502
2010-01-07,3306.2105,3299.6232,3317.1273,3310.5159
2010-01-08,3312.363,3305.5007,3319.7296,3314.9264
2010-01-11,3319.5109,3307.4352,3328.0591,3319.1044
2010-01-12,3317.7666,3306.1042,3328.691,3313.8316
2010-01-13,3316.3753,3304.8461,3327.7357,3309.8447
2010-01-14,3314.9356,3301.5132,3322.6422,3306.1892
2010-01-15,3315.4615,3280.3064,3320.4674,3286.6119
2010-01-19,3302.9058,3273.4057,3326.4342,3300.2961
2010-01-20,3326.6692,3294.0456,3385.1909,3358.108
2010-01-21,2251.6886,2228.5584,2294.8251,2275.6545
2010-01-22,1460.5741,1443.5778,1491.4233,1477.3465
2010-01-25,884.6421,872.2893,906.232,896.0049
2010-01-26,471.5087,463.1601,486.2159,479.2204
2010-01-27,182.9589,176.8871,192.4684,187.7325
2010-01-28,-14.2712,-17.6652,-7.8779,-10.4527
2010-01-29,-142.5885,-144.076,-138.0315,-139.4526
2010-02-01,-220.2377,-221.409,-217.955,-219.0085
2010-02-02,-263.0565,-263.2954,-262.2789,-262.499
2010-02-03,-280.611,-280.406,-280.98,-280.8188
2010-02-04,-281.1312,-280.8335,-282.2795,-281.9195
2010-02-05,-270.2586,-269.5996,-271.4145,-270.619
2010-02-08,-251.0825,-250.3634,-252.465,-251.4579
2010-02-09,-227.258,-226.4782,-228.8984,-227.7653
2010-02-10,-201.3862,-200.4433,-203.1284,-201.9481
2010-02-11,-174.9587,-173.9674,-175.966,-174.779
2010-02-12,-148.145,-147.9027,-149.0766,-148.209
2010-02-16,-123.1674,-122.743,-124.1363,-123.2618
2010-02-17,-99.7147,-99.4115,-100.7366,-99.9066
2010-02-18,-78.2445,-77.8738,-79.1205,-78.3199
2010-02-19,-58.6245,-58.1623,-58.623,-58.0525
2010-02-22,-40.1403,-39.9138,-40.0958,-39.6919
2010-02-23,-23.8121,-23.5711,-23.7302,-23.5942
2010-02-24,-9.3937,-9.297,-9.3634,-9.2464
2010-02-25,3.0264,3.1115,3.0098,3.2055
2010-02-26,14.0677,14.0699,14.0759,14.3012
2010-03-01,23.7335,23.5687,24.2508,24.4935
2010-03-02,32.824,32.2966,33.2303,32.8377
2010-03-03,40.2372,39.7411,41.0166,40.7286
2010-03-04,47.1343,46.6323,47.6813,47.3175
2010-03-05,52.9768,52.5607,53.3444,53.122
2010-03-08,58.0063,57.4734,58.1851,57.8189
2010-03-09,61.9141,61.3861,61.9838,61.6828
2010-03-10,65.1792,64.5652,65.2519,64.8243
2010-03-11,67.6744,67.1787,67.8723,67.5932
2010-03-12,70.1039,69.4913,70.2584,69.8953
2010-03-15,72.0088,71.4857,72.1563,71.8214
2010-03-16,73.6414,73.1359,73.772,73.4958
2010-03-17,75.0893,74.6143,75.1855,74.9738
2010-03-18,76.3065,75.8451,76.3483,76.1624
2010-03-19,77.1806,76.8065,77.4739,77.0668
2010-03-22,77.7584,77.4167,78.2111,77.9398
2010-03-23,78.5681,78.1156,78.8656,78.6574
2010-03-24,79.0765,78.4705,79.2734,78.965
2010-03-25,79.4163,78.9107,79.7291,79.3386
2010-03-26,79.7215,79.1509,80.0755,79.5346
2010-03-29,79.9443,79.5661,80.3132,79.8729
2010-03-30,80.1462,79.873,80.4804,80.1119
2010-03-31,80.2151,79.9249,80.5276,80.2119
2010-04-01,80.4259,80.0617,80.743,80.4395
2010-04-05,80.7117,80.1753,80.9272,80.4699
2010-04-06,80.6388,80.12,80.7768,80.4304
2010-04-07,80.5391,79.7623,80.6247,80.1024
2010-04-08,80.0318,79.3822,80.1663,79.7886
2010-04-09,79.7952,79.2511,80.1132,79.8427
2010-04-12,79.9617,79.3768,80.2705,79.897
2010-04-13,79.9058,79.3437,80.2707,79.9427
2010-04-14,79.9941,79.5218,80.4037,80.1355
2010-04-15,80.1446,79.5103,80.4315,80.0185
2010-04-16,79.959,78.0973,80.2738,79.4955
2010-04-19,79.2758,77.7473,79.9553,79.3711
2010-04-20,79.3438,78.0826,79.9051,79.4666
2010-04-21,79.5158,77.948,79.9051,79.1716
2010-04-22,79.009,77.612,79.4686,78.9014
2010-04-23,78.7471,77.5767,79.2353,78.8024
2010-04-26,78.7077,77.8961,79.266,78.8369
2010-04-27,78.4692,77.3579,78.9693,78.0303
2010-04-28,77.8683,77.0807,78.4336,77.6048
2010-04-29,77.672,77.1338,78.2021,77.6097
2010-04-30,77.6047,76.9745,78.1509,77.2685
2010-05-03,77.5032,77.0207,78.1797,77.5072
2010-05-04,77.5575,76.6794,78.0251,77.0929
2010-05-05,76.8664,76.1803,77.5687,76.8294
2010-05-06,76.5701,74.4983,77.333,75.9512
2010-05-07,75.6524,73.6799,76.7097,75.2588
2010-05-10,75.924,74.3899,77.0739,76.03
2010-05-11,76.2627,75.0152,77.5235,76.4141
2010-05-12,76.6139,75.6105,77.7841,76.8396
2010-05-13,76.9507,76.0487,77.835,76.9215
2010-05-14,76.9626,75.7642,77.5837,76.6441
2010-05-17,76.6165,75.4629,77.1783,76.4711
2010-05-18,76.4655,75.3226,77.1599,76.0723
2010-05-19,75.9279,74.899,76.8038,75.9044
2010-05-20,75.3241,73.9298,75.99,74.6161
2010-05-21,73.8117,72.4817,74.9501,73.9177
2010-05-24,73.0977,71.6617,73.9597,72.683
2010-05-25,71.7937,70.3471,72.7007,71.777
2010-05-26,71.3835,69.9607,71.999,71.0004
2010-05-27,70.9831,70.016,72.1535,71.4596
2010-05-28,71.1517,69.9101,72.074,70.904
2010-06-01,70.529,69.662,71.7783,70.4244
2010-06-02,70.2483,69.5781,71.7146,70.7558
2010-06-03,70.6939,69.9151,71.7981,71.0568
2010-06-04,70.556,69.684,71.4194,70.5899
2010-06-07,70.2705,69.5391,71.071,70.2146
2010-06-08,70.0502,69.3879,71.4562,70.8171
2010-06-09,70.7903,69.8725,71.9952,71.0063
2010-06-10,71.1694,70.5569,72.6164,71.9166
