,open,low,high,close
2010-01-04,3292.9997,3287.9115,3310.811,3298.7521
2010-01-05,3308.0706,3299.7053,3322.3525,3315.2346
2010-01-06,3319.0943,3307.2019,3325.7763,3314.4229
2010-01-07,3316.3166,3309.178,3327.4894,3320.793
2010-01-08,3322.158,3314.2587,3327.1965,3323.3138
2010-01-11,3329.4033,3312.7102,3337.5444,3325.9549
2010-01-12,3321.2453,3307.0542,3333.6386,3313.1337
2010-01-13,3316.4811,3303.4789,3328.9428,3305.9761
2010-01-14,3313.1991,3297.5588,3318.9733,3301.0198
2010-01-15,3314.1628,3262.9767,3316.3231,3270.1481
2010-01-19,3293.0175,3259.3317,3327.776,3301.0776
2010-01-20,3337.2843,3301.1193,3425.3911,3398.2599
2010-01-21,1525.2212,1507.6283,1572.3043,1559.3787
2010-01-22,559.2775,550.2025,582.0797,575.4583
2010-01-25,75.1384,70.6196,84.6122,81.3094
2010-01-26,-141.6355,-142.9894,-139.0725,-140.1645
2010-01-27,-212.3444,-213.3646,-213.2932,-213.6013
2010-01-28,-212.779,-212.123,-214.0443,-213.2497
2010-01-29,-179.8867,-178.5642,-180.2632,-179.7157
2010-02-01,-135.1971,-135.4287,-136.4601,-136.9177
2010-02-02,-92.831,-92.7575,-94.1798,-94.2489
2010-02-03,-55.4259,-55.5851,-56.8275,-57.0617
2010-02-04,-25.1675,-25.8156,-26.4723,-26.9039
2010-02-05,-1.584,-1.9553,-1.9009,-1.91
2010-02-08,18.068,17.5566,17.8688,17.9517
2010-02-09,33.4213,32.92,33.0699,33.199
2010-02-10,44.7338,44.496,44.3815,44.5067
2010-02-11,53.0511,52.8913,53.9931,54.1172
2010-02-12,60.6031,59.218,61.388,61.0133
2010-02-16,65.0926,64.3356,65.5603,65.3712
2010-02-17,68.542,67.7506,68.7314,68.6057
2010-02-18,70.8582,70.3561,71.155,71.1093
2010-02-19,72.719,72.4812,74.3205,74.0032
2010-02-22,75.4572,74.8833,76.6973,76.2712
2010-02-23,77.11,76.6994,78.114,77.4169
2010-02-24,78.2213,77.6656,78.9265,78.4131
2010-02-25,78.5728,78.1221,79.0736,78.841
2010-02-26,79.1399,78.6426,79.6085,79.4989
2010-03-01,79.6286,78.9469,80.8876,80.8503
2010-03-02,81.1637,79.9981,82.0119,80.9353
2010-03-03,81.4545,80.5488,82.8247,82.1659
2010-03-04,82.5399,81.7437,83.3221,82.6499
2010-03-05,83.1456,82.5722,83.5829,83.2461
2010-03-08,83.622,82.8734,83.773,83.2071
2010-03-09,83.3168,82.6325,83.3626,82.9657
2010-03-10,83.046,82.2518,83.1755,82.581
2010-03-11,82.425,81.8824,82.8051,82.5144
2010-03-12,82.5673,81.8213,82.8499,82.401
2010-03-15,82.4097,81.8518,82.6754,82.2938
2010-03-16,82.352,81.8174,82.5839,82.3046
2010-03-17,82.4349,81.9435,82.6072,82.42
2010-03-18,82.4835,82.0013,82.5712,82.3969
2010-03-19,82.2625,81.9158,82.7918,82.2203
2010-03-22,81.8584,81.5316,82.5774,82.2962
2010-03-23,82.1446,81.6018,82.499,82.3159
2010-03-24,82.0335,81.255,82.2088,81.8318
2010-03-25,81.8148,81.2725,82.2121,81.7175
2010-03-26,81.7071,81.0623,82.1489,81.4426
2010-03-29,81.5784,81.2841,82.0154,81.5546
2010-03-30,81.517,81.35,81.8721,81.5427
2010-03-31,81.3033,81.0438,81.6193,81.3605
2010-04-01,81.4191,81.0039,81.7482,81.4805
2010-04-05,81.6685,80.9724,81.8278,81.2805
2010-04-06,81.2961,80.6948,81.3602,81.0393
2010-04-07,80.9922,79.9909,81.0145,80.3844
2010-04-08,80.0813,79.4024,80.2304,79.8951
2010-04-09,79.8119,79.3306,80.2774,80.1037
2010-04-12,80.2375,79.663,80.6286,80.2338
2010-04-13,80.1614,79.6238,80.6137,80.3023
2010-04-14,80.3274,79.9315,80.8156,80.5936
2010-04-15,80.5492,79.8447,80.7925,80.3004
2010-04-16,80.1568,77.4234,80.4663,79.3946
2010-04-19,79.015,77.2803,79.9396,79.3392
2010-04-20,79.358,78.2166,79.9611,79.6247
2010-04-21,79.7507,78.0831,80.0327,79.1611
2010-04-22,78.8919,77.6046,79.3332,78.8171
2010-04-23,78.611,77.6969,79.1019,78.799
2010-04-26,78.7194,78.3216,79.32,78.9688
2010-04-27,78.4255,77.3469,78.9003,77.6578
2010-04-28,77.5498,77.0107,78.1381,77.2342
2010-04-29,77.4939,77.2601,78.0041,77.55
2010-04-30,77.5987,77.0576,78.1374,77.1447
2010-05-03,77.5676,77.2167,78.3213,77.7486
2010-05-04,77.7629,76.6645,78.1196,77.0771
2010-05-05,76.6316,75.9441,77.4278,76.7767
2010-05-06,76.3753,73.3479,77.2206,75.4625
2010-05-07,75.0653,72.6721,76.3539,74.6815
2010-05-10,75.9591,74.5448,77.2739,76.4264
2010-05-11,76.6798,75.7366,78.0746,77.0579
2010-05-12,77.2279,76.5855,78.3721,77.6165
2010-05-13,77.634,77.01,78.2741,77.5019
2010-05-14,77.4318,76.1831,77.7168,76.8474
2010-05-17,76.705,75.5575,77.035,76.5324
2010-05-18,76.477,75.3475,77.137,75.901
2010-05-19,75.6349,74.6933,76.6182,75.7725
2010-05-20,74.8346,73.2378,75.4134,73.7495
2010-05-21,72.6194,71.2311,74.0331,73.0927
2010-05-24,72.1206,70.5913,72.9326,71.5527
2010-05-25,70.5754,69.0858,71.4766,70.7546
2010-05-26,70.6959,69.2826,71.1009,70.1694
2010-05-27,70.6199,69.9843,72.0539,71.6094
2010-05-28,71.3661,70.119,72.2514,70.8872
2010-06-01,70.5071,69.8934,71.9491,70.3677
2010-06-02,70.3301,69.9217,72.0303,71.2304
2010-06-03,71.3214,70.5896,72.2775,71.7771
2010-06-04,71.054,70.1209,71.651,70.8882
2010-06-07,70.5748,69.8859,71.178,70.3322
2010-06-08,70.2801,69.6663,71.9902,71.4971
2010-06-09,71.6236,70.5347,72.8423,71.6807
