date,open,low,high,close
2010-01-04,3293.5618,3282.8579,3305.4056,3295.3124
2010-01-05,3298.2778,3287.3383,3309.7864,3301.0738
2010-01-06,3303.1364,3291.4586,3312.5525,3302.6967
2010-01-07,3304.3843,3294.2843,3314.9066,3306.3882
2010-01-08,3307.9508,3298.0508,3316.5599,3309.2267
2010-01-11,3312.3234,3299.8597,3321.4581,3312.0946
2010-01-12,3312.0828,3299.8852,3322.4657,3309.8956
2010-01-13,3311.8859,3299.8152,3322.5629,3308.0964
2010-01-14,3311.543,3298.4852,3320.2787,3306.2607
2010-01-15,3312.1716,3287.1242,3319.319,3295.486
2010-01-19,3305.5949,3282.6471,3322.7155,3302.1249
2010-01-20,3318.3958,3293.0749,3355.4036,3333.7386
2010-01-21,2727.9839,2707.154,2758.6811,2740.8261
2010-01-22,2245.2413,2227.5551,2270.4246,2255.2395
2010-01-25,1850.012,1834.9487,1870.6692,1857.7123
2010-01-26,1526.2516,1513.6617,1543.2166,1532.3101
2010-01-27,1262.075,1251.1614,1275.9554,1266.6828
2010-01-28,1045.6868,1036.7302,1057.4162,1049.7859
2010-01-29,869.1165,861.7647,879.3024,872.8121
2010-02-01,725.2389,718.6475,733.611,727.8299
2010-02-02,607.1409,601.6043,614.0763,609.2263
2010-02-03,510.4662,505.7035,516.1552,511.9779
2010-02-04,431.0724,426.8574,435.7269,432.0928
2010-02-05,365.8319,362.267,369.902,366.9068
2010-02-08,312.7698,309.6603,316.1926,313.6929
2010-02-09,269.488,266.7948,272.2885,270.2087
2010-02-10,234.0429,231.7866,236.3433,234.6108
2010-02-11,205.0351,203.1254,207.3354,205.8979
2010-02-12,181.7833,179.7517,183.7944,182.4437
2010-02-16,162.5281,160.8241,164.2245,163.0994
2010-02-17,146.8576,145.2997,148.2583,147.3086
2010-02-18,134.0089,132.6743,135.2477,134.4598
2010-02-19,123.5746,122.4608,125.0845,124.3289
2010-02-22,115.521,114.4352,116.9036,116.1891
2010-02-23,108.9354,107.9888,110.2048,109.4547
2010-02-24,103.5908,102.6836,104.713,104.0411
2010-02-25,99.1233,98.3102,100.1107,99.5609
2010-02-26,95.5864,94.8174,96.4869,96.028
2010-03-01,92.7507,91.967,93.842,93.4611
2010-03-02,90.8487,89.9275,91.8216,91.1536
2010-03-03,89.1235,88.2589,90.245,89.6621
2010-03-04,88.0283,87.1973,88.9877,88.3926
2010-03-05,87.1523,86.4014,87.9718,87.4776
2010-03-08,86.5009,85.7193,87.1714,86.6253
2010-03-09,85.8008,85.0467,86.3621,85.8698
2010-03-10,85.2079,84.4291,85.7217,85.1789
2010-03-11,84.5774,83.8802,85.1159,84.6664
2010-03-12,84.2233,83.482,84.704,84.2252
2010-03-15,83.8591,83.1798,84.3032,83.8515
2010-03-16,83.572,82.918,83.9772,83.5694
2010-03-17,83.3752,82.7529,83.7341,83.375
2010-03-18,83.2161,82.616,83.5188,83.1886
2010-03-19,83.0059,82.4677,83.4208,82.9834
2010-03-22,82.7412,82.2372,83.2316,82.8719
2010-03-23,82.6883,82.1395,83.0895,82.7734
2010-03-24,82.5558,81.9323,82.8914,82.5309
2010-03-25,82.3948,81.8283,82.7802,82.3799
2010-03-26,82.2648,81.6686,82.6656,82.1835
2010-03-29,82.133,81.6452,82.5373,82.1047
2010-03-30,82.0252,81.6061,82.4069,82.0129
2010-03-31,81.8752,81.4613,82.2402,81.8779
2010-04-01,81.8251,81.3829,82.1874,81.8364
2010-04-05,81.8424,81.3133,82.1443,81.7134
2010-04-06,81.6892,81.1691,81.9399,81.5674
2010-04-07,81.5294,80.8674,81.7399,81.2733
2010-04-08,81.1513,80.5479,81.3763,80.9836
2010-04-09,80.9092,80.3592,81.226,80.8939
