,open,low,high,close
2010-01-04,47.134,52.6725,54.1177,53.0666
2010-01-05,55.5682,57.8169,56.2002,59.3551
2010-01-06,57.6839,58.8961,53.5021,51.2486
2010-01-07,50.41,56.9533,53.776,56.3177
2010-01-08,56.1449,60.786,52.7402,55.8216
2010-01-11,59.1448,55.9434,63.0272,57.0818
2010-01-12,49.3074,50.8039,52.3201,45.1553
2010-01-13,49.3074,50.4819,50.0307,45.1553
2010-01-14,48.8299,45.9506,43.204,44.2423
2010-01-15,51.4422,25.4574,46.3334,28.1286
2010-01-19,35.6633,39.5152,58.1259,57.0782
2010-01-20,65.6665,62.4974,84.7521,75.5877
2010-01-21,3.6231,3.3224,5.3888,6.1332
2010-01-22,3.6772,3.3212,5.3885,6.1284
2010-01-25,3.6754,3.3199,5.3858,6.1259
2010-01-26,3.6723,3.3194,5.3816,6.1239
2010-01-27,3.8375,3.4063,5.5229,6.2534
2010-01-28,3.835,3.4951,5.5539,6.3554
2010-01-29,3.9693,3.6329,5.7373,6.4822
2010-02-01,4.1538,3.6445,5.7486,6.4785
2010-02-02,4.1481,3.6632,5.742,6.4844
2010-02-03,4.1473,3.6611,5.7393,6.4792
2010-02-04,4.1418,3.6548,5.7317,6.4705
2010-02-05,4.136,3.6533,5.7311,6.547
2010-02-08,4.3026,3.7826,5.8043,6.6055
2010-02-09,4.38,3.8879,5.8264,6.6349
2010-02-10,4.3791,3.9301,5.8255,6.6341
2010-02-11,4.3788,3.9295,6.0981,6.9084
2010-02-12,4.7625,3.9919,6.2428,6.9365
2010-02-16,4.7524,4.1697,6.2257,6.9271
2010-02-17,4.834,4.168,6.2676,6.9601
2010-02-18,4.8325,4.2531,6.3216,7.0315
2010-02-19,4.9266,4.3968,6.8663,7.4563
2010-02-22,5.5679,4.8481,7.034,7.6395
2010-02-23,5.5733,5.0288,7.0334,7.6311
2010-02-24,5.6442,5.026,7.0322,7.7765
2010-02-25,5.634,5.0228,7.0181,7.7694
2010-02-26,5.8699,5.1984,7.2857,8.0154
2010-03-01,5.9984,5.215,7.95,8.6756
2010-03-02,7.0124,5.9502,8.2777,8.6315
2010-03-03,6.9786,5.9502,8.4702,9.6074
2010-03-04,7.902,6.8753,8.5616,9.5933
2010-03-05,7.9662,7.1184,8.601,9.9631
2010-03-08,8.1988,7.1097,8.7072,9.9253
2010-03-09,8.1404,7.0738,8.6514,9.9019
2010-03-10,8.1327,7.0506,8.7432,9.8695
2010-03-11,8.071,7.0339,8.7067,10.1062
2010-03-12,8.9249,7.3174,9.1373,10.0941
2010-03-15,8.8826,7.4629,9.101,10.0862
2010-03-16,8.9527,7.4549,9.1124,10.2309
2010-03-17,9.2241,7.8257,9.2776,10.4772
2010-03-18,9.2384,7.8244,9.2646,10.4533
2010-03-19,9.1677,7.7958,9.9321,10.4023
2010-03-22,9.0783,7.7021,9.8201,10.9183
2010-03-23,10.785,8.718,9.9518,10.9093
2010-03-24,10.6639,8.5713,9.8491,10.6912
2010-03-25,10.5858,9.4423,10.4876,11.2669
2010-03-26,10.6109,9.3298,10.4494,11.1441
2010-03-29,10.5647,11.0246,10.388,12.3383
2010-03-30,10.5647,10.982,10.3383,12.2772
2010-03-31,10.4288,10.723,10.2102,12.1303
2010-04-01,11.9106,11.5456,11.9004,13.4549
2010-04-05,13.1873,11.5295,11.9004,13.1705
2010-04-06,12.6038,11.2506,11.3664,13.0145
2010-04-07,12.4771,10.6486,11.2577,12.3885
2010-04-08,11.5535,10.4036,10.5716,12.205
2010-04-09,13.4893,12.6368,14.8193,16.335
2010-04-12,18.7243,16.2327,17.7144,16.3244
2010-04-13,17.9958,15.7337,17.2323,16.2894
2010-04-14,20.0461,19.384,19.425,19.1167
2010-04-15,21.4182,18.6441,19.0359,17.8671
