date,open,low,high,close
2010-01-04,3287.5333,3277.3667,3297.0667,3289.8167
2010-01-05,3288.4333,3278.95,3297.8833,3290.25
2010-01-06,3290.6667,3281.4833,3300.3333,3292.2833
2010-01-07,3293.9833,3285.45,3304.5167,3296.0667
2010-01-08,3299.2,3290.8,3310.0167,3301.5667
2010-01-11,3305.55,3296.3833,3316.0667,3307.5333
2010-01-12,3311.0167,3301.0167,3321.0667,3311.8
2010-01-13,3314.7,3304.2167,3324.6833,3314.35
2010-01-14,3317.05,3305.6,3326.6,3315.0667
2010-01-15,3318.2,3303.45,3327.0167,3312.1667
2010-01-19,3316.35,3298.6167,3326.4833,3308.3
2010-01-20,3315.6,3294.7167,3331.1833,3309.8333
2010-01-21,3207.1377,3183.4337,3227.6477,3204.6907
2010-01-22,2991.2387,2965.0627,3016.2877,2992.2847
2010-01-25,2667.2223,2641.5823,2697.3367,2674.7733
2010-01-26,2236.617,2214.2477,2269.7417,2250.962
2010-01-27,1697.7877,1679.4267,1728.0227,1713.4293
2010-01-28,1156.8187,1143.315,1180.4723,1170.0643
2010-01-29,723.9003,715.005,741.3917,734.4863
2010-02-01,399.0957,394.3463,410.4097,406.724
2010-02-02,182.6207,179.515,187.7517,185.1507
2010-02-03,73.1063,71.3127,74.112,72.4773
2010-02-04,73.7447,72.122,74.7733,73.254
2010-02-05,74.2793,72.795,75.2793,73.901
2010-02-08,74.6323,73.243,75.518,74.2977
2010-02-09,74.7423,73.444,75.5007,74.4427
2010-02-10,74.6103,73.4137,75.2363,74.3393
2010-02-11,74.43,73.312,74.9977,74.272
2010-02-12,74.351,73.3003,74.9043,74.3537
2010-02-16,74.4117,73.473,75.003,74.5913
2010-02-17,74.653,73.7533,75.2747,74.9257
2010-02-18,74.982,74.121,75.665,75.3667
2010-02-19,75.4113,74.5637,76.171,75.874
2010-02-22,75.8883,75.0613,76.6513,76.334
2010-02-23,76.316,75.5713,77.1227,76.7863
2010-02-24,76.7873,76.103,77.6583,77.2923
2010-02-25,77.299,76.6757,78.2277,77.833
2010-02-26,77.8573,77.2813,78.7543,78.346
2010-03-01,78.3687,77.836,79.2577,78.869
2010-03-02,78.9087,78.3247,79.7757,79.3573
2010-03-03,79.3953,78.767,80.2687,79.8513
2010-03-04,79.9113,79.2233,80.773,80.3403
2010-03-05,80.451,79.7113,81.2947,80.845
2010-03-08,81.0083,80.2297,81.843,81.3327
2010-03-09,81.554,80.763,82.3293,81.7987
2010-03-10,82.0393,81.2673,82.7163,82.1813
2010-03-11,82.4187,81.6733,82.967,82.4443
2010-03-12,82.6427,81.9153,83.0683,82.5607
2010-03-15,82.7037,82.0057,83.0267,82.5487
2010-03-16,82.633,81.9697,82.9237,82.5017
2010-03-17,82.5487,81.9033,82.8143,82.4123
2010-03-18,82.4503,81.8267,82.7207,82.352
2010-03-19,82.3783,81.7873,82.6627,82.2963
2010-03-22,82.3033,81.765,82.619,82.2847
2010-03-23,82.279,81.769,82.609,82.2947
2010-03-24,82.2493,81.7487,82.5847,82.275
2010-03-25,82.1937,81.695,82.558,82.2193
2010-03-26,82.1,81.5933,82.4983,82.1387
2010-03-29,82.025,81.4993,82.4203,82.0433
2010-03-30,81.942,81.417,82.3253,81.917
2010-03-31,81.828,81.3297,82.2153,81.784
2010-04-01,81.7293,81.265,82.1157,81.6847
2010-04-05,81.6663,81.2233,82.0183,81.6023
2010-04-06,81.598,81.176,81.9173,81.5173
2010-04-07,81.5057,81.0533,81.7977,81.398
2010-04-08,81.3853,80.883,81.6407,81.25
2010-04-09,81.231,80.6683,81.454,81.069
2010-04-12,81.0417,80.4357,81.2497,80.867
2010-04-13,80.818,80.174,81.041,80.6543
2010-04-14,80.604,79.9717,80.8707,80.501
2010-04-15,80.4587,79.8563,80.7683,80.4157
2010-04-16,80.3727,79.6647,80.7137,80.3243
2010-04-19,80.2583,79.4387,80.6557,80.2383
2010-04-20,80.17,79.229,80.6073,80.1603
2010-04-21,80.096,78.9747,80.5417,80.0303
2010-04-22,79.946,78.6133,80.404,79.8227
2010-04-23,79.7087,78.31,80.193,79.6097
2010-04-26,79.4977,78.1853,79.9953,79.4477
2010-04-27,79.3227,78.054,79.7993,79.2083
2010-04-28,79.0523,77.895,79.5383,78.927
2010-04-29,78.776,77.8177,79.282,78.6933
2010-04-30,78.562,77.7903,79.0697,78.441
2010-05-03,78.348,77.6323,78.8603,78.1543
2010-05-04,78.0977,77.4193,78.6277,77.873
2010-05-05,77.859,77.2517,78.42,77.6867
2010-05-06,77.6837,76.9197,78.2667,77.4403
2010-05-07,77.4047,76.4357,78.05,77.1273
2010-05-10,77.1267,75.9557,77.8437,76.8723
2010-05-11,76.871,75.5443,77.6973,76.6773
2010-05-12,76.6873,75.199,77.624,76.5283
2010-05-13,76.593,75.089,77.6023,76.4843
2010-05-14,76.6387,75.2697,77.6557,76.6177
2010-05-17,76.7723,75.539,77.737,76.7733
2010-05-18,76.8913,75.7823,77.781,76.8647
2010-05-19,76.943,75.9083,77.725,76.8503
2010-05-20,76.8153,75.8137,77.5003,76.6263
2010-05-21,76.438,75.353,77.1153,76.2057
2010-05-24,75.839,74.6623,76.5517,75.54
2010-05-25,75.058,73.7997,75.8307,74.7803
2010-05-26,74.1937,72.854,74.997,73.9083
2010-05-27,73.307,71.968,74.1987,73.1443
2010-05-28,72.5787,71.2643,73.4997,72.4647
2010-06-01,71.9753,70.7127,72.913,71.875
2010-06-02,71.5177,70.3613,72.5083,71.5203
2010-06-03,71.3063,70.2737,72.359,71.391
2010-06-04,71.208,70.279,72.298,71.34
2010-06-07,71.1497,70.298,72.218,71.2363
2010-06-08,71.0543,70.2873,72.1857,71.294
2010-06-09,71.113,70.3413,72.2143,71.3543
2010-06-10,71.148,70.3723,72.246,71.4227
2010-06-11,71.242,70.481,72.3547,71.5643
2010-06-14,71.4947,70.793,72.6953,71.974
2010-06-15,71.9887,71.303,73.2433,72.5543
2010-06-16,72.6107,71.9953,73.893,73.2453
2010-06-17,73.3343,72.8233,74.6713,74.122
2010-06-18,74.256,73.815,75.573,75.124
2010-06-21,75.2623,74.843,76.5147,76.1483
2010-06-22,76.2563,75.855,77.3967,77.086
2010-06-23,77.1657,76.738,78.2083,77.9243
2010-06-24,77.9803,77.4647,78.9027,78.5603
2010-06-25,78.6113,78.019,79.491,79.091
2010-06-28,79.086,78.4343,79.9347,79.478
2010-06-29,79.4117,78.7123,80.259,79.7187
2010-06-30,79.6087,78.899,80.513,79.9017
2010-07-01,79.7423,79.0393,80.686,80.0287
2010-07-02,79.8277,79.079,80.763,80.0127
2010-07-06,79.7943,78.9767,80.694,79.816
2010-07-07,79.6377,78.7367,80.547,79.5753
2010-07-08,79.4493,78.4603,80.3347,79.3087
2010-07-09,79.2397,78.1637,80.0987,79.055
2010-07-12,79.0243,77.9357,79.8763,78.8773
2010-07-13,78.8907,77.873,79.7793,78.9313
2010-07-14,78.951,78.0123,79.762,79.0813
2010-07-15,79.092,78.2227,79.7947,79.245
2010-07-16,79.2403,78.3917,79.842,79.3297
2010-07-19,79.325,78.4547,79.8183,79.311
2010-07-20,79.2807,78.358,79.726,79.164
2010-07-21,79.118,78.0873,79.5487,78.85
2010-07-22,78.8163,77.713,79.3227,78.5097
2010-07-23,78.4823,77.3747,79.0777,78.213
2010-07-26,78.193,77.1607,78.8993,78.0517
2010-07-27,78.0603,77.0873,78.802,77.9713
2010-07-28,78.0327,77.152,78.7637,77.9847
2010-07-29,78.0847,77.3113,78.777,78.0783
2010-07-30,78.173,77.4937,78.825,78.1977
2010-08-02,78.299,77.658,78.908,78.3033
2010-08-03,78.4107,77.8033,78.975,78.406
2010-08-04,78.4947,77.957,79.0963,78.5977
2010-08-05,78.643,78.154,79.2857,78.8427
2010-08-06,78.855,78.4017,79.5407,79.1763
2010-08-09,79.166,78.7097,79.8427,79.5557
2010-08-10,79.4797,78.992,80.1383,79.8917
2010-08-11,79.7263,79.1523,80.3357,80.075
2010-08-12,79.8107,79.1293,80.35,80.0333
2010-08-13,79.7283,78.9493,80.189,79.7757
2010-08-16,79.405,78.592,79.8297,79.311
2010-08-17,78.9303,78.1227,79.3647,78.747
2010-08-18,78.411,77.6707,78.9037,78.2293
2010-08-19,77.9783,77.3223,78.543,77.8377
2010-08-20,77.65,77.086,78.3147,77.6047
2010-08-23,77.4767,76.9577,78.219,77.5077
2010-08-24,77.412,76.9333,78.2223,77.5077
2010-08-25,77.3817,76.9177,78.2193,77.5147
2010-08-26,77.3447,76.8557,78.1523,77.4397
2010-08-27,77.257,76.7637,78.0677,77.3823
2010-08-30,77.183,76.69,77.995,77.3157
2010-08-31,77.11,76.616,77.9463,77.3093
2010-09-01,77.1747,76.677,78.0517,77.4717
2010-09-02,77.4097,76.9393,78.3767,77.861
2010-09-03,77.8423,77.3727,78.8453,78.3837
2010-09-07,78.3637,77.9067,79.377,78.9677
2010-09-08,78.9847,78.539,79.9677,79.6263
2010-09-09,79.648,79.2213,80.556,80.2583
2010-09-10,80.2563,79.8527,81.0583,80.8043
2010-09-13,80.7967,80.42,81.4797,81.2473
2010-09-14,81.2657,80.9347,81.874,81.6713
2010-09-15,81.707,81.3963,82.244,82.0587
2010-09-16,82.0853,81.7803,82.5603,82.39
2010-09-17,82.4303,82.0977,82.876,82.6747
2010-09-20,82.7237,82.3563,83.1573,82.914
2010-09-21,82.971,82.5357,83.3897,83.097
2010-09-22,83.146,82.6427,83.5513,83.1693
2010-09-23,83.2143,82.643,83.6273,83.1053
2010-09-24,83.176,82.5767,83.7233,83.0203
2010-09-27,83.107,82.4877,83.7773,82.914
2010-09-28,83.0213,82.3723,83.8057,82.8013
2010-09-29,82.9107,82.2543,83.8207,82.688
2010-09-30,82.819,82.1867,83.8713,82.658
2010-10-01,82.813,82.195,83.8687,82.6843
2010-10-04,82.826,82.1833,83.775,82.6653
2010-10-05,82.805,82.1603,83.687,82.6797
2010-10-06,82.8253,82.1817,83.6207,82.7313
2010-10-07,82.8963,82.2107,83.562,82.7987
2010-10-08,82.9453,82.1987,83.4677,82.833
2010-10-11,82.9753,82.2123,83.4677,82.9157
2010-10-12,83.0467,82.2883,83.489,83.0193
2010-10-13,83.1353,82.3893,83.51,83.115
2010-10-14,83.2027,82.49,83.544,83.1887
2010-10-15,83.26,82.5997,83.603,83.253
2010-10-18,83.3193,82.717,83.6873,83.3207
2010-10-19,83.3663,82.788,83.7593,83.329
2010-10-20,83.3793,82.8087,83.823,83.317
2010-10-21,83.3517,82.7933,83.8433,83.281
2010-10-22,83.2907,82.7447,83.8163,83.2293
2010-10-25,83.2163,82.6903,83.7617,83.165
