,open,low,high,close
2010-01-04,3326.0185,3300.977,3345.523,3322.3576
2010-01-05,3326.5056,3301.7196,3345.7676,3322.9654
2010-01-06,3327.0189,3302.4394,3345.8769,3323.2326
2010-01-07,3327.2277,3303.0532,3345.9453,3323.6627
2010-01-08,3327.6153,3303.7435,3345.9369,3324.0223
2010-01-11,3328.0813,3304.2657,3346.1983,3324.3808
2010-01-12,3328.1515,3304.6078,3346.1397,3324.2818
2010-01-13,3328.178,3304.8967,3345.9702,3324.1388
2010-01-14,3328.1406,3305.0246,3345.5444,3323.9226
2010-01-15,3328.1437,3304.1855,3345.1683,3322.839
2010-01-19,3327.4736,3303.754,3345.1438,3323.1326
2010-01-20,3328.4216,3304.5698,3347.789,3325.76
2010-01-21,3275.1575,3251.7543,3294.1701,3272.5497
2010-01-22,3222.3366,3199.3312,3240.9626,3219.7094
2010-01-25,3169.9073,3147.3048,3188.1541,3167.2702
2010-01-26,3117.8652,3095.6925,3135.7338,3115.2388
2010-01-27,3066.3121,3044.5379,3083.8107,3063.6963
2010-01-28,3015.1701,2993.8464,3032.337,3012.6304
2010-01-29,2964.5105,2943.636,2981.3893,2962.0661
2010-02-01,2914.3695,2893.8811,2930.9144,2911.9512
2010-02-02,2864.6646,2844.5904,2880.8825,2862.3074
2010-02-03,2815.4206,2795.7257,2831.3062,2813.0938
2010-02-04,2766.5976,2747.2568,2782.1495,2764.2845
2010-02-05,2718.1818,2699.2136,2733.4384,2715.9311
2010-02-08,2670.2395,2651.6307,2685.1898,2668.033
2010-02-09,2622.7493,2604.502,2637.388,2620.5809
2010-02-10,2575.6853,2557.7964,2590.0157,2573.5545
2010-02-11,2529.0497,2511.5171,2543.114,2526.9989
2010-02-12,2482.8858,2465.6729,2496.6716,2480.878
2010-02-16,2437.1359,2420.2755,2450.6363,2435.1764
2010-02-17,2391.8322,2375.3108,2405.0462,2389.9189
2010-02-18,2346.9686,2330.792,2359.9085,2345.108
2010-02-19,2302.557,2286.7234,2315.2605,2300.7742
2010-02-22,2258.6279,2243.1195,2271.0664,2256.89
2010-02-23,2215.1356,2199.9541,2227.3082,2213.4337
2010-02-24,2172.0856,2157.2221,2183.9895,2170.4235
2010-02-25,2129.4587,2114.9151,2141.0958,2127.8431
2010-02-26,2087.278,2073.0367,2098.6507,2085.7015
2010-03-01,2045.525,2031.5791,2056.6582,2044.0104
2010-03-02,2004.233,1990.5697,2015.1048,2002.7244
2010-03-03,1963.3479,1949.9808,1973.9823,1961.8984
2010-03-04,1922.9238,1909.8412,1933.2964,1921.4903
2010-03-05,1882.9258,1870.1287,1893.0415,1881.5211
2010-03-08,1843.3641,1830.8412,1853.221,1841.9716
2010-03-09,1804.2166,1791.9726,1813.8189,1802.8479
2010-03-10,1765.4964,1753.5243,1774.85,1764.1477
2010-03-11,1727.1936,1715.5006,1736.3096,1725.8882
2010-03-12,1689.3441,1677.9199,1698.2298,1688.0736
2010-03-15,1651.9376,1640.7848,1660.6004,1650.7032
2010-03-16,1614.9776,1604.0885,1623.422,1613.775
2010-03-17,1578.4643,1567.8351,1586.6896,1577.2888
2010-03-18,1542.3938,1532.0185,1550.3997,1541.2441
2010-03-19,1506.7611,1496.6411,1514.5657,1505.6389
2010-03-22,1471.5636,1461.6899,1479.1666,1470.4761
2010-03-23,1436.8181,1427.1763,1444.2061,1435.7443
2010-03-24,1402.4986,1393.083,1409.6747,1401.4326
2010-03-25,1368.6072,1359.4284,1375.5917,1367.5668
2010-03-26,1335.1548,1326.2042,1341.9505,1334.1336
2010-03-29,1302.1337,1293.417,1308.7458,1301.1386
2010-03-30,1269.5375,1261.0519,1275.9709,1268.5723
2010-03-31,1237.3657,1229.1051,1243.6265,1236.4346
2010-04-01,1205.6376,1197.5959,1211.729,1204.7377
2010-04-05,1174.3454,1166.517,1180.2671,1173.4675
