date,open,low,high,close
2010-01-04,51.2927,50.9344,51.6391,51.2435
2010-01-05,51.2277,50.8544,51.575,51.1653
2010-01-06,51.1488,50.7694,51.4912,51.0674
2010-01-07,51.0599,50.681,51.3943,50.9805
2010-01-08,50.9705,50.5946,51.2971,50.8868
2010-01-11,50.8838,50.503,51.2092,50.8118
2010-01-12,50.8149,50.431,51.1322,50.7417
2010-01-13,50.7463,50.3753,51.0614,50.6784
2010-01-14,50.6772,50.3194,51.0024,50.6315
2010-01-15,50.6227,50.2605,50.9349,50.5687
2010-01-19,50.5535,50.2055,50.8833,50.5271
2010-01-20,50.4985,50.1566,50.8263,50.4838
2010-01-21,50.4558,50.0953,50.7703,50.4308
2010-01-22,50.4011,50.0378,50.7117,50.362
2010-01-25,50.3472,49.9873,50.6537,50.3126
2010-01-26,50.3,49.9529,50.6245,50.268
2010-01-27,50.252,49.9121,50.5805,50.2376
2010-01-28,50.2235,49.8803,50.5431,50.2037
2010-01-29,50.1898,49.8517,50.5231,50.1848
2010-02-01,50.1744,49.8335,50.4951,50.1582
2010-02-02,50.1544,49.8058,50.4761,50.1497
2010-02-03,50.1706,49.8002,50.48,50.1445
2010-02-04,50.1472,49.7527,50.4684,50.0897
2010-02-05,50.0993,49.6876,50.4249,50.0425
2010-02-08,50.0648,49.6501,50.3801,49.9959
2010-02-09,50.0328,49.6209,50.3421,49.9629
2010-02-10,49.9975,49.591,50.3034,49.9336
2010-02-11,49.9675,49.5591,50.2676,49.9047
2010-02-12,49.9239,49.5198,50.2274,49.8773
2010-02-16,49.909,49.4882,50.2095,49.8727
2010-02-17,49.9008,49.4918,50.2044,49.8766
2010-02-18,49.8811,49.487,50.2238,49.8988
2010-02-19,49.8888,49.5015,50.2424,49.9228
2010-02-22,49.9111,49.5357,50.2669,49.9561
2010-02-23,49.9391,49.57,50.2872,49.9752
2010-02-24,49.95,49.5893,50.2966,49.9951
2010-02-25,49.9599,49.6097,50.3066,50.0157
2010-02-26,49.9865,49.6279,50.3213,50.0234
2010-03-01,49.996,49.6502,50.3332,50.0452
2010-03-02,50.0209,49.6805,50.3461,50.0637
2010-03-03,50.0412,49.7023,50.3675,50.0883
2010-03-04,50.0612,49.7283,50.3941,50.1219
2010-03-05,50.0979,49.7675,50.4378,50.1754
2010-03-08,50.1509,49.8314,50.4958,50.2382
2010-03-09,50.2051,49.8559,50.5373,50.2543
2010-03-10,50.2286,49.8618,50.5478,50.2539
2010-03-11,50.2213,49.8617,50.5485,50.2632
2010-03-12,50.2406,49.8799,50.556,50.271
2010-03-15,50.2455,49.8925,50.5744,50.2982
2010-03-16,50.2765,49.9264,50.6045,50.3394
2010-03-17,50.3249,49.9828,50.6586,50.3873
2010-03-18,50.369,50.0263,50.6976,50.4345
2010-03-19,50.4341,50.0928,50.772,50.5189
2010-03-22,50.5093,50.1669,50.8387,50.5924
2010-03-23,50.5861,50.2433,50.9118,50.6756
2010-03-24,50.6654,50.3311,50.9986,50.7597
2010-03-25,50.757,50.4209,51.0807,50.8347
