date,open,low,high,close
2010-01-04,50.2715,49.6945,50.5747,49.9362
2010-01-05,49.711,49.0263,50.0698,49.3441
2010-01-06,49.1807,48.5109,49.5165,48.7294
2010-01-07,48.7071,48.1139,48.9944,48.4096
2010-01-08,48.3647,47.8493,48.6196,48.1064
2010-01-11,48.1432,47.5995,48.443,48.0743
2010-01-12,48.1588,47.613,48.4154,48.0862
2010-01-13,48.1558,47.772,48.4436,48.1475
2010-01-14,48.1339,47.8647,48.5657,48.3416
2010-01-15,48.2526,47.8831,48.5471,48.2978
2010-01-19,48.1684,47.9221,48.6814,48.4718
2010-01-20,48.2423,47.9981,48.7043,48.5612
2010-01-21,48.4048,47.912,48.7162,48.5108
2010-01-22,48.3799,47.878,48.6841,48.3039
2010-01-25,48.3599,47.9153,48.6561,48.3493
2010-01-26,48.4033,48.0936,48.9174,48.4162
2010-01-27,48.4122,48.139,48.9349,48.5974
2010-01-28,48.6081,48.2527,49.0033,48.675
2010-01-29,48.6788,48.3551,49.2189,48.8733
2010-02-01,48.9058,48.5234,49.2759,48.9222
2010-02-02,49.0072,48.5356,49.4006,49.1348
2010-02-03,49.4415,48.7637,49.7137,49.3099
2010-02-04,49.331,48.4858,49.7658,48.9166
2010-02-05,49.0007,48.1106,49.4705,48.7211
2010-02-08,48.9071,48.127,49.2504,48.584
2010-02-09,48.8614,48.2147,49.1636,48.6227
2010-02-10,48.7909,48.2598,49.0891,48.6785
2010-02-11,48.7906,48.2632,49.0594,48.7123
2010-02-12,48.6437,48.1821,48.9862,48.7449
2010-02-16,48.8292,48.1981,49.1575,48.9932
2010-02-17,49.0194,48.5621,49.3983,49.2455
2010-02-18,49.0263,48.7214,49.8089,49.6037
2010-02-19,49.3075,49.0242,50.0793,49.8658
2010-02-22,49.6484,49.4328,50.3262,50.1439
2010-02-23,49.9389,49.7152,50.4541,50.1926
2010-02-24,49.9659,49.7601,50.4327,50.2384
2010-02-25,49.9773,49.8068,50.4285,50.2823
2010-02-26,50.1582,49.8212,50.4757,50.1848
2010-03-01,50.1121,49.8775,50.4838,50.2666
2010-03-02,50.2414,50.005,50.5025,50.2944
2010-03-03,50.2876,50.01,50.605,50.3796
2010-03-04,50.3217,50.0633,50.7333,50.5364
2010-03-05,50.5212,50.2422,51.0022,50.8543
2010-03-08,50.8308,50.6248,51.3382,51.1762
2010-03-09,51.0638,50.4932,51.4088,50.9274
2010-03-10,50.9192,50.2221,51.1492,50.5983
2010-03-11,50.5128,49.9814,50.8795,50.4789
2010-03-12,50.5152,50.0109,50.7696,50.3859
2010-03-15,50.3735,49.9773,50.8098,50.5273
2010-03-16,50.549,50.1782,50.9632,50.7715
2010-03-17,50.8527,50.5521,51.3188,51.0143
2010-03-18,51.0251,50.6848,51.4159,51.1829
2010-03-19,51.3667,51.0198,51.8539,51.6886
2010-03-22,51.7145,51.3399,52.0859,51.9357
