,open,low,high,close
2010-01-04,50.4236,49.9752,50.8598,50.3889
2010-01-05,50.3634,49.9002,50.8008,50.3158
2010-01-06,50.2899,49.8209,50.7224,50.2235
2010-01-07,50.2069,49.7389,50.6315,50.143
2010-01-08,50.1241,49.6596,50.5409,50.0564
2010-01-11,50.0446,49.5757,50.4606,49.9893
2010-01-12,49.9838,49.5122,50.3917,49.9277
2010-01-13,49.9237,49.4656,50.3297,49.8733
2010-01-14,49.8636,49.4192,50.2799,49.8358
2010-01-15,49.8185,49.37,50.2218,49.7825
2010-01-19,49.7589,49.3251,50.1801,49.751
2010-01-20,49.714,49.2866,50.1332,49.7178
2010-01-21,49.6818,49.2359,50.0876,49.6749
2010-01-22,49.6374,49.1891,50.0394,49.6164
2010-01-25,49.5942,49.1498,49.9922,49.5779
2010-01-26,49.558,49.1268,49.9741,49.5442
2010-01-27,49.521,49.0974,49.9412,49.525
2010-01-28,49.504,49.0772,49.9149,49.5022
2010-01-29,49.4815,49.0602,49.9063,49.4946
2010-02-01,49.4776,49.0537,49.8893,49.479
2010-02-02,49.4688,49.0375,49.8815,49.4817
2010-02-03,49.4964,49.0435,49.8965,49.4875
2010-02-04,49.4837,49.007,49.8957,49.443
2010-02-05,49.4462,48.953,49.8624,49.4065
2010-02-08,49.4224,48.927,49.8278,49.3706
2010-02-09,49.401,48.9094,49.8004,49.3486
2010-02-10,49.3764,48.891,49.7722,49.3303
2010-02-11,49.3571,48.8707,49.7469,49.3122
2010-02-12,49.3241,48.8428,49.7171,49.2958
2010-02-16,49.3201,48.8227,49.71,49.3021
2010-02-17,49.3227,48.838,49.7156,49.3168
2010-02-18,49.3134,48.8446,49.7456,49.3497
2010-02-19,49.3317,48.8704,49.7742,49.3838
2010-02-22,49.3644,48.9156,49.8085,49.427
2010-02-23,49.4023,48.9603,49.8381,49.4553
2010-02-24,49.4225,48.9895,49.8562,49.484
2010-02-25,49.4415,49.0194,49.8747,49.513
2010-02-26,49.4768,49.0466,49.8974,49.5286
2010-03-01,49.4946,49.0775,49.9172,49.5582
2010-03-02,49.5276,49.1163,49.9376,49.5842
2010-03-03,49.5555,49.1459,49.9662,49.6158
2010-03-04,49.5829,49.1795,49.9998,49.6563
2010-03-05,49.6267,49.2261,50.0503,49.7164
2010-03-08,49.6865,49.297,50.1145,49.7854
