date,open,low,high,close
2010-01-04,50.5938,50.1074,51.1644,50.652
2010-01-05,50.6371,50.1465,51.2092,50.6908
2010-01-06,50.6708,50.1809,51.2397,50.715
2010-01-07,50.6978,50.2056,51.2576,50.7348
2010-01-08,50.7188,50.2316,51.2784,50.7601
2010-01-11,50.7476,50.2598,51.3079,50.7938
2010-01-12,50.781,50.2887,51.333,50.8183
2010-01-13,50.8104,50.3183,51.3502,50.8339
2010-01-14,50.8266,50.3355,51.3602,50.8451
2010-01-15,50.835,50.3393,51.3574,50.8436
2010-01-19,50.8317,50.3403,51.3586,50.8502
2010-01-20,50.8382,50.3482,51.355,50.8496
2010-01-21,50.839,50.3488,51.3499,50.8532
2010-01-22,50.8391,50.3548,51.3517,50.8574
2010-01-25,50.8492,50.3621,51.3467,50.8523
2010-01-26,50.842,50.3566,51.3411,50.8399
2010-01-27,50.8321,50.3459,51.3255,50.8273
2010-01-28,50.8214,50.3395,51.3155,50.8175
2010-01-29,50.8066,50.3297,51.3045,50.8093
2010-02-01,50.7914,50.3167,51.2865,50.7968
2010-02-02,50.7796,50.3106,51.2772,50.7964
2010-02-03,50.7882,50.3117,51.2821,50.8
2010-02-04,50.7873,50.301,51.2756,50.7829
2010-02-05,50.7719,50.2802,51.2625,50.7686
2010-02-08,50.7591,50.2739,51.2504,50.7605
2010-02-09,50.7638,50.2783,51.2524,50.767
2010-02-10,50.7696,50.2855,51.2528,50.7674
2010-02-11,50.7768,50.2888,51.2446,50.758
2010-02-12,50.7641,50.2735,51.2256,50.7417
2010-02-16,50.7503,50.2555,51.2111,50.7332
2010-02-17,50.7402,50.2513,51.2025,50.7319
2010-02-18,50.7287,50.2409,51.1965,50.7279
2010-02-19,50.7235,50.2377,51.191,50.7227
2010-02-22,50.7179,50.2335,51.1771,50.709
2010-02-23,50.7004,50.2203,51.1558,50.6917
2010-02-24,50.685,50.2043,51.1389,50.6764
2010-02-25,50.6691,50.1985,51.1236,50.6738
2010-02-26,50.6684,50.196,51.12,50.6703
2010-03-01,50.6613,50.1899,51.1043,50.6546
2010-03-02,50.6507,50.1828,51.092,50.6446
2010-03-03,50.6393,50.1759,51.0831,50.637
2010-03-04,50.6285,50.1695,51.0761,50.6321
2010-03-05,50.6226,50.1669,51.0739,50.6312
2010-03-08,50.6198,50.1707,51.0758,50.636
2010-03-09,50.6254,50.1685,51.0769,50.6283
2010-03-10,50.6201,50.1631,51.0706,50.6227
2010-03-11,50.6107,50.1551,51.0565,50.6092
2010-03-12,50.6001,50.149,51.0427,50.6038
2010-03-15,50.5926,50.1487,51.0413,50.6102
2010-03-16,50.6038,50.1575,51.0487,50.6186
2010-03-17,50.6155,50.1756,51.0606,50.6355
2010-03-18,50.6299,50.1871,51.0655,50.6493
2010-03-19,50.6452,50.204,51.0844,50.6726
2010-03-22,50.666,50.2231,51.0918,50.6807
2010-03-23,50.6723,50.2262,51.0872,50.6792
2010-03-24,50.6711,50.2257,51.084,50.6748
2010-03-25,50.669,50.2252,51.0807,50.6683
2010-03-26,50.6618,50.2172,51.0712,50.6601
2010-03-29,50.6586,50.2127,51.0617,50.6512
2010-03-30,50.6498,50.2072,51.0515,50.6412
2010-03-31,50.6389,50.1938,51.0336,50.6217
2010-04-01,50.6236,50.1789,51.0154,50.6036
2010-04-05,50.6012,50.1597,50.994,50.5851
2010-04-06,50.5855,50.1462,50.9782,50.5704
2010-04-07,50.5659,50.1312,50.9679,50.565
2010-04-08,50.5603,50.1279,50.9635,50.5615
2010-04-09,50.5545,50.1226,50.9545,50.5508
2010-04-12,50.545,50.1138,50.9435,50.5374
2010-04-13,50.5338,50.1074,50.9296,50.5255
2010-04-14,50.5226,50.0962,50.9166,50.5151
2010-04-15,50.5116,50.0835,50.9031,50.5032
2010-04-16,50.4985,50.0737,50.8917,50.493
2010-04-19,50.4804,50.0557,50.8683,50.4735
2010-04-20,50.4612,50.0381,50.8508,50.4597
2010-04-21,50.4472,50.0281,50.8345,50.4516
2010-04-22,50.4366,50.0174,50.8212,50.4427
2010-04-23,50.4245,50.0182,50.8129,50.4528
2010-04-26,50.4312,50.0206,50.8145,50.4512
2010-04-27,50.4311,50.0292,50.8155,50.4598
2010-04-28,50.4477,50.0459,50.8304,50.4781
2010-04-29,50.4595,50.0595,50.8533,50.4935
2010-04-30,50.4708,50.0683,50.8629,50.5071
2010-05-03,50.4845,50.0847,50.8778,50.5225
2010-05-04,50.4973,50.0946,50.8856,50.5291
2010-05-05,50.4958,50.0955,50.8823,50.524
2010-05-06,50.4902,50.0699,50.8756,50.51
2010-05-07,50.4738,50.0545,50.8662,50.4958
2010-05-10,50.4746,50.0513,50.8637,50.4955
2010-05-11,50.4674,50.0454,50.8611,50.4965
2010-05-12,50.4678,50.056,50.8767,50.5183
2010-05-13,50.4898,50.0802,50.8993,50.5375
2010-05-14,50.5084,50.0964,50.915,50.5545
2010-05-17,50.5315,50.1174,50.9346,50.5796
2010-05-18,50.5601,50.1421,50.9637,50.6045
2010-05-19,50.5804,50.167,50.9886,50.6299
2010-05-20,50.6003,50.1703,51.0093,50.6311
2010-05-21,50.5974,50.1678,51.0038,50.6318
2010-05-24,50.6189,50.1772,51.0164,50.6398
2010-05-25,50.6212,50.1737,51.0169,50.6398
2010-05-26,50.6212,50.1664,51.0114,50.6283
2010-05-27,50.6126,50.1607,51.005,50.6274
2010-05-28,50.6108,50.1671,51.0031,50.6334
2010-06-01,50.6129,50.1698,51.0091,50.6313
2010-06-02,50.6048,50.1612,51.0064,50.6322
2010-06-03,50.6054,50.1631,51.0106,50.6404
2010-06-04,50.6044,50.1561,51.007,50.63
2010-06-07,50.5939,50.144,50.9964,50.6168
2010-06-08,50.5809,50.1279,50.9857,50.6098
2010-06-09,50.5708,50.1195,50.9807,50.6026
2010-06-10,50.5741,50.1298,50.9895,50.6133
2010-06-11,50.5821,50.1409,51.0041,50.6303
2010-06-14,50.6024,50.1616,51.0276,50.6536
2010-06-15,50.6244,50.1844,51.0565,50.6822
2010-06-16,50.6508,50.2116,51.084,50.7098
2010-06-17,50.6793,50.2405,51.1073,50.7338
2010-06-18,50.7048,50.266,51.1341,50.7597
2010-06-21,50.7382,50.2925,51.165,50.787
2010-06-22,50.764,50.3188,51.1954,50.8126
2010-06-23,50.7885,50.3398,51.2193,50.8337
2010-06-24,50.8086,50.3604,51.2399,50.8525
2010-06-25,50.8283,50.3745,51.261,50.8756
2010-06-28,50.8522,50.405,51.2868,50.9096
2010-06-29,50.8874,50.4366,51.3189,50.9394
2010-06-30,50.9184,50.4692,51.3513,50.9723
2010-07-01,50.95,50.4961,51.3827,51.0007
2010-07-02,50.9809,50.5234,51.4145,51.0282
2010-07-06,51.0122,50.551,51.4446,51.0517
2010-07-07,51.0347,50.5774,51.4738,51.083
2010-07-08,51.0688,50.607,51.505,51.1156
2010-07-09,51.1301,50.661,51.5617,51.1649
2010-07-12,51.1807,50.7158,51.6178,51.2212
2010-07-13,51.241,50.7759,51.6756,51.2795
2010-07-14,51.3029,50.833,51.7345,51.3329
2010-07-15,51.3543,50.8871,51.7872,51.3874
2010-07-16,51.4052,50.9346,51.8398,51.4356
2010-07-19,51.4504,50.976,51.8833,51.476
