date,open,low,high,close
2010-01-04,50.32,49.99,50.6678,50.2989
2010-01-05,50.24,49.68,50.56,49.9189
2010-01-06,49.7944,49.0067,50.1056,49.2167
2010-01-07,49.0389,48.2256,49.3478,48.4656
2010-01-08,48.35,47.6578,48.6356,47.9033
2010-01-11,47.9078,47.3722,48.1733,47.72
2010-01-12,47.8078,47.3244,48.0511,47.7411
2010-01-13,47.8611,47.4033,48.1311,47.9211
2010-01-14,48.0044,47.63,48.3267,48.1244
2010-01-15,48.1333,47.8522,48.4933,48.3011
2010-01-19,48.1933,47.9789,48.64,48.4533
2010-01-20,48.2433,48.0111,48.7,48.5267
2010-01-21,48.2867,47.9922,48.7689,48.6111
2010-01-22,48.3833,47.9622,48.7511,48.5311
2010-01-25,48.4389,47.9033,48.7233,48.4167
2010-01-26,48.4411,47.9433,48.7478,48.2956
2010-01-27,48.4178,48.0511,48.8478,48.3967
2010-01-28,48.4778,48.2311,49.0244,48.5744
2010-01-29,48.6011,48.3444,49.1467,48.8167
2010-02-01,48.8167,48.4811,49.2767,48.9467
2010-02-02,48.98,48.5722,49.4033,49.1144
2010-02-03,49.2722,48.7244,49.5833,49.2456
2010-02-04,49.4333,48.7033,49.77,49.2711
2010-02-05,49.4744,48.54,49.8144,49.0789
2010-02-08,49.1733,48.1856,49.6122,48.6933
2010-02-09,48.8622,47.9856,49.2589,48.47
2010-02-10,48.6822,48.0289,48.9978,48.4344
2010-02-11,48.6867,48.2022,48.9278,48.6011
2010-02-12,48.6822,48.2833,48.9389,48.7167
2010-02-16,48.7044,48.2411,49.0056,48.8589
2010-02-17,48.7867,48.3,49.1489,49.0567
2010-02-18,48.9922,48.5133,49.5078,49.41
2010-02-19,49.2111,48.8956,49.9289,49.7856
2010-02-22,49.4656,49.2711,50.3567,50.1589
2010-02-23,49.8078,49.6711,50.5944,50.3611
2010-02-24,50.0922,49.94,50.6822,50.4567
2010-02-25,50.2367,50.0633,50.6211,50.41
2010-02-26,50.2167,50.0011,50.5356,50.3333
