date,open,low,high,close
2010-01-04,337.5792,335.7339,341.2008,339.1493
2010-01-05,339.0727,337.0768,342.7947,340.749
2010-01-06,340.1437,338.0506,343.1572,341.0986
2010-01-07,340.5158,338.7167,343.3979,341.4289
2010-01-08,340.7223,339.0032,346.1412,344.6154
2010-01-11,344.3577,341.9658,349.0917,346.8808
2010-01-12,346.5421,342.4795,350.6254,346.1352
2010-01-13,346.3102,340.5278,349.4232,345.8553
2010-01-14,345.5839,340.834,348.3693,345.092
2010-01-15,344.8967,340.0226,347.1237,342.9796
2010-01-19,342.7789,338.6027,345.5258,341.6898
2010-01-20,340.0643,335.3925,342.6175,338.0
2010-01-21,337.0351,325.6144,338.693,328.9941
2010-01-22,327.3556,319.1757,331.6121,322.7381
2010-01-25,322.9752,313.9754,326.4419,316.5003
2010-01-26,314.8249,303.4656,317.269,305.1375
2010-01-27,304.3895,295.0507,308.588,299.5926
2010-01-28,300.4485,290.9078,303.8317,294.4439
2010-01-29,296.1353,286.9489,299.3244,289.6474
2010-02-01,291.3397,283.4984,294.9767,287.7976
2010-02-02,288.7096,282.7036,293.0042,287.3302
2010-02-03,287.698,283.0016,291.8603,286.8481
2010-02-04,285.2586,275.392,288.0962,279.1556
2010-02-05,278.5427,271.7148,284.2575,277.4848
2010-02-08,278.4257,272.2643,285.3246,276.3041
2010-02-09,278.4655,272.9038,284.3267,276.6038
2010-02-10,277.647,272.1552,281.7173,274.7639
2010-02-11,276.8734,272.5256,281.5759,276.4674
2010-02-12,277.3135,273.9621,283.3382,279.8756
2010-02-16,281.7726,278.8956,287.0747,284.5371
2010-02-17,286.2633,282.5058,289.9038,286.7291
2010-02-18,287.8178,284.7213,290.7608,287.9469
2010-02-19,288.2482,286.0634,292.8188,288.9222
2010-02-22,288.3043,285.8689,292.5852,288.0967
2010-02-23,287.7243,282.495,291.2115,284.048
2010-02-24,284.6257,280.7338,290.8773,285.7186
2010-02-25,284.9463,282.3237,292.128,288.6072
2010-02-26,288.5032,285.8638,295.0642,292.833
2010-03-01,292.8396,289.7013,297.678,295.7363
2010-03-02,295.9566,293.3815,302.8066,300.6417
2010-03-03,300.929,296.823,306.0554,303.0269
2010-03-04,303.5128,299.2507,307.7618,305.266
2010-03-05,306.4239,303.0028,309.8379,307.7022
2010-03-08,308.5636,304.7882,311.9931,310.4051
2010-03-09,310.2127,306.2151,312.5104,310.6549
2010-03-10,310.2851,306.8135,312.182,310.6597
2010-03-11,310.0478,307.4166,313.2391,312.3502
2010-03-12,312.7618,310.2171,315.4919,313.8894
2010-03-15,313.6691,310.9649,315.9606,314.8481
2010-03-16,314.8421,312.207,316.7008,315.5263
2010-03-17,315.7307,313.864,317.6884,316.4928
2010-03-18,316.8271,313.5297,318.0277,315.4343
2010-03-19,317.0209,313.0429,317.6783,314.8234
2010-03-22,315.4667,312.4187,316.7969,314.2993
2010-03-23,314.8799,311.6617,315.9591,313.5223
2010-03-24,313.6117,311.304,318.2703,315.6524
2010-03-25,316.25,314.2826,320.964,317.4997
2010-03-26,318.2963,314.8788,322.8511,317.4422
2010-03-29,318.0366,315.1328,321.916,317.3262
2010-03-30,317.9143,315.1001,320.9622,317.3614
2010-03-31,317.038,314.9823,320.2605,317.3317
2010-04-01,317.8468,316.1758,321.2901,318.4616
2010-04-05,319.3546,316.3765,322.5208,318.4029
2010-04-06,318.1519,314.8836,321.539,318.2486
2010-04-07,316.8145,314.5829,320.7863,317.2445
2010-04-08,316.2001,313.4982,318.9104,315.6356
2010-04-09,314.8737,312.6905,317.4801,314.5399
2010-04-12,314.3678,311.964,316.1184,313.1935
2010-04-13,313.4316,310.5701,314.5067,312.107
2010-04-14,312.5137,310.0786,316.0322,314.3811
2010-04-15,314.5784,312.5156,318.7005,316.6171
2010-04-16,316.1186,311.7759,319.5833,315.3107
2010-04-19,315.2146,312.0597,321.0263,317.2685
2010-04-20,317.9814,314.3854,322.7984,318.4701
2010-04-21,318.9893,316.4261,323.4274,320.0444
2010-04-22,320.0888,318.0729,330.6232,326.2935
2010-04-23,326.329,323.2427,335.0851,329.8347
2010-04-26,329.8574,326.5787,340.1932,334.649
2010-04-27,333.9355,329.2113,343.3583,335.3
2010-04-28,335.4068,325.122,342.9165,334.6931
2010-04-29,335.6573,324.163,342.5141,334.5353
2010-04-30,335.9186,325.9788,342.2132,333.5922
2010-05-03,335.0496,327.2383,340.7881,332.7122
2010-05-04,332.3182,325.2977,337.0435,329.7508
2010-05-05,328.1902,323.0325,335.5763,328.3501
2010-05-06,326.7257,318.0483,333.792,326.2065
2010-05-07,325.5359,315.6658,331.0011,322.5628
2010-05-10,325.1448,318.2592,331.576,325.7674
2010-05-11,326.3487,321.192,332.2956,326.8956
2010-05-12,327.9027,323.5377,332.2112,327.7435
2010-05-13,328.4431,323.8865,331.5791,326.5758
2010-05-14,326.6566,320.3767,328.6893,322.9139
2010-05-17,323.6734,316.9578,325.0053,320.4261
2010-05-18,322.2719,313.3343,323.8192,316.0342
2010-05-19,317.2917,308.9945,319.4979,313.6464
2010-05-20,312.9829,306.1094,316.4226,309.4081
2010-05-21,307.91,303.2818,316.3133,311.4864
2010-05-24,309.2034,306.2312,320.3848,314.5974
2010-05-25,309.9312,305.713,319.1667,313.4175
2010-05-26,311.1324,306.1859,318.6086,311.7181
2010-05-27,312.1464,307.9938,318.4742,313.5793
2010-05-28,314.098,310.2102,319.2509,314.2462
2010-06-01,314.2746,310.3597,319.5014,313.1126
2010-06-02,314.4753,311.4614,320.3533,316.0369
2010-06-03,317.113,313.6551,321.7622,318.4105
2010-06-04,317.2604,312.3003,321.4404,315.9195
2010-06-07,315.6668,308.0462,318.8544,310.4145
2010-06-08,310.8002,302.0938,313.1645,305.8913
