,open,low,high,close
2010-01-04,336.6186,334.5376,340.1793,337.9483
2010-01-05,337.8891,335.6718,341.5462,339.3422
2010-01-06,338.7627,336.4745,341.6975,339.4981
2010-01-07,338.9851,337.023,341.835,339.7421
2010-01-08,339.1268,337.2478,344.5733,342.9347
2010-01-11,342.7912,340.2352,347.3919,345.0398
2010-01-12,344.7908,340.6035,348.6946,344.0832
2010-01-13,344.3405,338.5723,347.2931,343.7988
2010-01-14,343.5603,339.0449,346.272,343.1159
2010-01-15,342.9569,338.3633,345.1847,341.1572
2010-01-19,340.9879,337.1255,343.8264,340.1682
2010-01-20,338.5586,334.1537,341.2143,336.7754
2010-01-21,335.9291,324.7191,337.6995,328.1903
2010-01-22,326.6727,319.1961,331.133,322.8369
2010-01-25,323.2585,314.984,326.7753,317.5546
2010-01-26,315.939,305.336,318.3902,307.1031
2010-01-27,306.4893,298.094,310.7602,302.8454
2010-01-28,303.8195,295.15,307.1734,298.7336
2010-01-29,300.4164,292.0467,303.5756,294.7624
2010-02-01,296.3076,289.2078,299.9337,293.5816
2010-02-02,294.2617,288.8418,298.5292,293.4577
2010-02-03,293.6045,289.2546,297.6802,293.0085
2010-02-04,291.2363,281.4197,293.9535,285.1023
2010-02-05,284.4909,277.9465,290.1923,283.6682
2010-02-08,284.6606,278.691,291.4049,282.5388
2010-02-09,284.6737,279.1973,290.2033,282.7525
2010-02-10,283.6225,278.1049,287.3288,280.6184
2010-02-11,282.565,278.1299,287.0359,282.1022
2010-02-12,282.7067,279.1566,288.5506,285.0915
2010-02-16,286.8111,283.6044,291.8637,289.111
2010-02-17,290.6241,286.4263,294.0225,290.434
2010-02-18,291.3027,287.7858,294.135,290.8527
2010-02-19,290.9785,288.3572,295.5867,291.1684
2010-02-22,290.459,287.5215,294.7408,289.7923
2010-02-23,289.4527,283.6943,292.9338,285.3849
2010-02-24,286.0584,281.8596,292.3825,287.1132
2010-02-25,286.389,283.513,293.4884,289.8888
2010-02-26,289.9093,286.962,296.2229,293.8226
2010-03-01,293.9462,290.4747,298.4786,296.225
2010-03-02,296.5475,293.677,303.2124,300.6367
2010-03-03,300.9983,296.5746,305.8533,302.3778
2010-03-04,302.9155,298.4464,306.9722,304.0919
2010-03-05,305.277,301.7409,308.6115,306.1046
2010-03-08,306.9247,303.0273,310.4076,308.4464
2010-03-09,308.1865,304.0915,310.6051,308.3443
2010-03-10,307.971,304.441,310.1067,308.1962
2010-03-11,307.6306,304.934,311.1645,309.8908
2010-03-12,310.4038,307.7293,313.4263,311.4005
2010-03-15,311.2292,308.3532,313.8042,312.317
2010-03-16,312.3761,309.5621,314.5328,312.988
2010-03-17,313.2507,311.2081,315.5385,313.992
2010-03-18,314.3638,310.8287,315.889,312.958
2010-03-19,314.5692,310.4258,315.5894,312.5187
2010-03-22,313.0761,309.9705,314.8262,312.2158
2010-03-23,312.7174,309.437,314.1842,311.6739
2010-03-24,311.6916,309.3414,316.7541,314.0826
2010-03-25,314.6564,312.5942,319.5027,316.005
2010-03-26,316.7709,313.1928,321.2852,315.9034
2010-03-29,316.4473,313.4619,320.1901,315.8156
2010-03-30,316.3582,313.4746,319.2601,315.9271
2010-03-31,315.5555,313.4397,318.695,315.988
2010-04-01,316.5303,314.7532,319.92,317.2287
2010-04-05,318.1335,314.9854,321.2467,317.1925
2010-04-06,316.9057,313.5303,320.2645,317.095
2010-04-07,315.6738,313.4069,319.6213,316.1666
2010-04-08,315.2559,312.4812,317.8909,314.7011
2010-04-09,314.1139,311.8775,316.7106,313.8341
2010-04-12,313.8393,311.355,315.6204,312.7194
2010-04-13,313.0895,310.1467,314.2769,311.8796
2010-04-14,312.3575,309.8811,316.1046,314.4097
2010-04-15,314.625,312.5174,318.8597,316.6465
2010-04-16,316.1433,311.7083,319.5965,315.161
2010-04-19,315.1022,312.0105,320.8971,317.1307
2010-04-20,317.8815,314.347,322.4948,318.2071
2010-04-21,318.701,316.238,322.9015,319.6381
2010-04-22,319.6307,317.662,329.9943,325.7487
2010-04-23,325.7538,322.6313,333.9129,328.7858
2010-04-26,328.7925,325.5076,338.4419,333.1072
