,open,low,high,close
2010-01-04,331.652,329.454,334.8595,333.001
2010-01-05,333.023,331.222,336.5355,334.766
2010-01-06,334.715,332.798,338.1015,336.313
2010-01-07,336.158,334.207,339.5185,337.6
2010-01-08,337.357,335.4758,341.672,339.732
2010-01-11,339.563,337.3208,343.8579,341.54
2010-01-12,341.286,338.2988,344.9969,341.8
2010-01-13,341.675,338.1708,345.0789,342.284
2010-01-14,342.252,338.7358,345.5279,342.626
2010-01-15,342.436,338.8408,345.7979,342.754
2010-01-19,342.293,338.5538,345.5609,342.332
2010-01-20,341.62,337.5808,344.7319,341.118
2010-01-21,340.636,334.3578,343.5989,338.239
2010-01-22,337.509,331.3608,341.1879,335.429
2010-01-25,335.211,328.247,337.9889,331.196
2010-01-26,330.329,322.23,332.848,324.891
2010-01-27,324.209,316.457,327.268,320.107
2010-01-28,319.713,311.9322,322.819,314.835
2010-01-29,314.874,306.5172,318.034,309.342
2010-02-01,309.508,301.1702,312.998,304.74
2010-02-02,304.82,296.5162,308.459,300.242
2010-02-03,300.679,292.7032,304.4582,296.454
2010-02-04,296.262,288.6932,300.0412,292.281
2010-02-05,292.546,284.9782,296.5082,289.148
2010-02-08,289.403,282.3402,294.0852,286.477
2010-02-09,287.743,281.7572,292.7032,286.175
2010-02-10,287.136,280.9882,291.3112,284.377
2010-02-11,285.333,279.88,289.9562,283.833
2010-02-12,284.271,279.417,289.4762,284.258
2010-02-16,284.964,280.314,290.0602,284.851
2010-02-17,285.772,280.71,290.3222,284.838
2010-02-18,285.809,280.7525,290.16,284.796
2010-02-19,286.192,283.1275,291.359,287.047
2010-02-22,288.034,284.6125,292.3969,287.671
2010-02-23,288.278,284.1985,291.9459,287.3
2010-02-24,287.735,283.9965,292.2939,288.039
2010-02-25,288.288,285.0865,293.7059,289.948
2010-02-26,289.938,286.6545,295.2301,291.61
2010-03-01,291.841,288.2835,296.3711,292.606
2010-03-02,292.514,289.0417,297.7901,293.837
2010-03-03,293.679,290.0717,299.0696,295.115
2010-03-04,295.088,291.2402,300.5546,296.698
2010-03-05,297.055,293.1232,301.8946,298.531
2010-03-08,299.135,295.0982,303.9897,301.14
2010-03-09,301.462,298.1162,306.1577,304.297
2010-03-10,304.289,300.8112,307.9407,306.03
2010-03-11,306.279,302.7212,309.6987,307.814
2010-03-12,308.179,304.6672,311.3245,309.087
2010-03-15,309.265,305.8772,312.4815,310.399
2010-03-16,310.557,307.0671,312.8125,310.886
2010-03-17,311.067,308.2801,313.454,311.9
2010-03-18,312.051,309.0681,314.192,312.237
2010-03-19,312.549,309.1971,314.502,312.388
2010-03-22,312.536,309.5431,314.432,312.236
2010-03-23,312.665,309.7581,314.622,312.481
2010-03-24,312.875,310.1591,315.9004,313.581
2010-03-25,314.2386,311.4771,317.0724,314.238
2010-03-26,314.7436,311.5841,317.7624,314.366
2010-03-29,315.0356,312.024,318.1064,314.515
2010-03-30,315.1866,312.176,318.2474,314.697
2010-03-31,315.0816,312.063,318.2489,314.708
2010-04-01,315.2706,312.794,318.8269,315.59
2010-04-05,315.9066,313.377,319.7179,316.138
2010-04-06,316.3426,313.533,320.2179,316.667
2010-04-07,316.4636,314.012,320.7614,317.039
2010-04-08,316.9416,314.16,320.015,316.326
2010-04-09,316.066,313.317,318.95,315.551
2010-04-12,315.295,312.909,317.809,315.03
2010-04-13,314.874,312.282,317.168,314.486
2010-04-14,314.3453,311.867,317.404,314.818
2010-04-15,314.8663,312.309,318.0845,315.319
2010-04-16,314.9363,311.58,317.9545,314.567
2010-04-19,314.1043,311.2965,317.9143,314.962
2010-04-20,315.0033,312.1365,318.6533,315.308
2010-04-21,315.7163,312.8225,319.1913,316.127
2010-04-22,316.4233,313.8105,322.1663,318.747
2010-04-23,319.0403,316.0005,324.9063,321.023
2010-04-26,321.1983,318.0955,328.3123,324.149
2010-04-27,323.9953,320.5225,331.7533,326.455
2010-04-28,326.425,320.9895,333.5763,327.539
2010-04-29,327.808,321.2615,334.9554,328.577
2010-04-30,329.244,323.0835,336.6984,330.285
2010-05-03,331.004,324.643,337.8655,331.073
2010-05-04,331.116,324.7102,338.0255,331.252
2010-05-05,330.92,324.4412,338.795,331.469
2010-05-06,331.1,323.1312,337.317,329.811
2010-05-07,329.6,321.0102,335.643,327.844
2010-05-10,328.561,320.3302,334.193,326.969
2010-05-11,327.503,319.8762,332.98,326.563
2010-05-12,327.082,321.2732,332.381,326.457
2010-05-13,326.699,321.6072,331.593,325.692
2010-05-14,325.604,320.0292,330.0378,324.306
2010-05-17,324.301,318.2162,328.3438,323.016
2010-05-18,323.845,316.92,327.8928,321.625
2010-05-19,322.807,315.347,325.9732,320.227
2010-05-20,321.076,314.846,324.2722,318.388
2010-05-21,318.782,313.716,323.6402,318.72
2010-05-24,317.837,312.773,323.4392,317.721
2010-05-25,316.342,310.688,321.8522,316.031
2010-05-26,314.822,308.789,320.5417,314.072
2010-05-27,313.501,307.727,319.4727,313.5807
2010-05-28,313.184,308.049,319.3879,313.7047
2010-06-01,312.972,308.157,319.6649,313.2627
2010-06-02,312.532,308.895,319.6789,314.7307
2010-06-03,314.038,310.56,320.9775,316.0107
2010-06-04,315.197,311.245,321.8415,316.7747
2010-06-07,316.433,311.182,321.3625,314.8797
2010-06-08,315.055,308.769,318.5055,312.3897
2010-06-09,313.598,307.221,316.9875,310.3067
2010-06-10,311.785,305.721,315.548,309.6997
2010-06-11,310.19,304.304,314.1668,308.051
2010-06-14,308.577,302.784,313.2008,307.107
2010-06-15,308.088,302.445,312.4058,306.919
2010-06-16,307.242,301.748,311.4938,305.692
2010-06-17,305.914,300.515,310.222,304.295
2010-06-18,305.264,300.14,309.269,303.945
2010-06-21,305.032,300.763,309.217,304.719
2010-06-22,305.71,302.025,310.38,305.315
2010-06-23,306.168,302.852,310.887,306.225
2010-06-24,306.286,302.419,310.526,304.885
2010-06-25,305.773,301.839,310.0462,304.368
2010-06-28,305.365,301.464,309.1582,303.327
2010-06-29,303.642,299.389,307.3032,301.143
2010-06-30,301.644,296.753,304.9682,298.233
2010-07-01,298.796,293.438,302.1155,295.131
2010-07-02,295.591,290.251,298.9645,291.903
2010-07-06,292.547,286.925,295.7165,288.625
2010-07-07,289.095,283.924,292.1535,286.031
2010-07-08,286.617,281.648,289.6445,284.137
2010-07-09,284.899,280.181,287.8495,282.837
2010-07-12,282.98,278.355,285.6795,280.811
2010-07-13,280.947,276.392,283.4115,278.961
2010-07-14,279.302,274.809,281.8565,277.719
2010-07-15,278.076,273.92,280.5295,277.199
2010-07-16,277.427,273.095,279.743,275.972
2010-07-19,276.217,272.274,278.746,275.233
2010-07-20,274.83,271.54,278.251,275.305
2010-07-21,275.073,271.472,278.093,274.807
2010-07-22,274.734,271.322,278.132,274.816
2010-07-23,274.6,271.819,278.607,275.753
2010-07-26,275.661,272.519,279.461,276.418
2010-07-27,276.293,273.1102,280.023,276.974
2010-07-28,277.18,274.3412,280.918,277.776
