date,open,low,high,close
2010-01-04,300.4438,296.1485,304.8513,300.6551
2010-01-05,301.0093,296.7633,305.4308,301.2616
2010-01-06,301.5673,297.3168,305.9111,301.7733
2010-01-07,302.0619,297.9011,306.4202,302.3332
2010-01-08,302.6201,298.4659,307.0121,302.9511
2010-01-11,303.229,299.0479,307.592,303.5298
2010-01-12,303.7794,299.6333,308.1629,304.092
2010-01-13,304.3711,300.1582,308.6818,304.6749
2010-01-14,304.8846,300.7942,309.2129,305.2183
2010-01-15,305.428,301.3814,309.7667,305.7671
2010-01-19,305.9787,301.9387,310.3181,306.3297
2010-01-20,306.5382,302.5165,310.88,306.8539
2010-01-21,307.0727,302.8689,311.3666,307.1992
2010-01-22,307.3553,303.1792,311.6459,307.4912
2010-01-25,307.6299,303.4496,311.934,307.724
2010-01-26,307.8018,303.5315,312.0811,307.7525
2010-01-27,307.8708,303.5964,312.1529,307.8797
2010-01-28,308.0299,303.7041,312.3062,307.9744
2010-01-29,308.1317,303.8351,312.425,308.0876
2010-02-01,308.2314,303.9052,312.4326,308.131
2010-02-02,308.3027,303.9595,312.4973,308.2159
2010-02-03,308.3973,304.0852,312.5922,308.3491
2010-02-04,308.4551,303.9879,312.5843,308.2439
2010-02-05,308.3461,303.8919,312.5332,308.2083
2010-02-08,308.3452,303.9118,312.6021,308.2022
2010-02-09,308.4114,304.0043,312.6876,308.3142
2010-02-10,308.5008,304.0788,312.7546,308.3752
2010-02-11,308.6269,304.1951,312.8917,308.512
2010-02-12,308.7561,304.3216,313.0434,308.6705
2010-02-16,308.9132,304.4964,313.2127,308.8443
2010-02-17,309.0812,304.7036,313.3745,309.0511
2010-02-18,309.2767,304.8977,313.5688,309.2424
2010-02-19,309.4613,305.0878,313.7425,309.3708
2010-02-22,309.5726,305.199,313.8503,309.4463
2010-02-23,309.6505,305.1827,313.8762,309.3718
2010-02-24,309.628,305.1588,313.8661,309.3679
2010-02-25,309.6101,305.2263,313.8571,309.5024
2010-02-26,309.7624,305.3686,313.9874,309.7001
2010-03-01,309.9467,305.6088,314.1569,309.9444
2010-03-02,310.2087,305.9273,314.4997,310.2663
2010-03-03,310.499,306.1927,314.778,310.541
2010-03-04,310.7931,306.4744,315.0524,310.8174
2010-03-05,311.0865,306.7868,315.3451,311.1024
2010-03-08,311.3761,307.0604,315.6461,311.4192
2010-03-09,311.6811,307.3548,315.9167,311.6687
2010-03-10,311.9131,307.5956,316.0954,311.8634
2010-03-11,312.0945,307.7868,316.2664,312.0428
2010-03-12,312.288,307.9712,316.4428,312.2173
2010-03-15,312.4361,308.1072,316.5139,312.3012
2010-03-16,312.516,308.2019,316.5717,312.3816
2010-03-17,312.5984,308.3009,316.6058,312.4207
2010-03-18,312.628,308.3345,316.619,312.4603
2010-03-19,312.7063,308.4548,316.685,312.5698
2010-03-22,312.8146,308.6102,316.8138,312.7197
2010-03-23,312.9613,308.7273,316.8395,312.7322
2010-03-24,312.9749,308.7763,316.9197,312.8415
2010-03-25,313.0932,308.9341,317.0536,312.9378
2010-03-26,313.2428,309.1152,317.2342,313.1294
2010-03-29,313.4643,309.3342,317.3642,313.3183
2010-03-30,313.639,309.5274,317.5452,313.5099
2010-03-31,313.8032,309.7521,317.7179,313.7456
2010-04-01,314.0692,310.0478,317.9836,313.9939
2010-04-05,314.3056,310.2859,318.2134,314.2402
2010-04-06,314.5407,310.4973,318.4044,314.4234
2010-04-07,314.6936,310.6563,318.5607,314.5599
