date,open,low,high,close
2010-01-04,331.7547,329.3241,335.076,332.7091
2010-01-05,332.7218,330.3598,336.1079,333.8122
2010-01-06,333.6681,331.3474,336.8785,334.6397
2010-01-07,334.4748,332.2635,337.6261,335.4303
2010-01-08,335.1877,333.0457,339.0358,336.9878
2010-01-11,336.8244,334.5364,340.6249,338.4264
2010-01-12,338.2196,335.4583,341.9411,339.089
2010-01-13,339.024,335.667,342.5296,339.8144
2010-01-14,339.6553,336.384,343.0546,340.3502
2010-01-15,340.2127,336.766,343.4082,340.4065
2010-01-19,340.2632,336.8757,343.5328,340.5213
2010-01-20,339.9515,336.3239,343.1309,339.7902
2010-01-21,339.318,333.6047,342.182,337.2262
2010-01-22,336.507,331.183,340.0058,334.8314
2010-01-25,334.5639,328.6855,337.8826,332.0195
2010-01-26,331.232,324.3216,334.2435,327.3277
2010-01-27,326.722,319.9249,330.1623,323.6243
2010-01-28,323.4584,316.2948,326.7211,319.7726
2010-01-29,319.9266,312.5603,323.1431,315.7974
2010-02-01,316.072,308.8369,319.4163,312.4865
2010-02-02,312.6623,305.7992,316.2089,309.5782
2010-02-03,309.6845,303.1844,313.2539,306.7995
2010-02-04,306.3846,298.4804,309.6258,302.0856
2010-02-05,301.8656,294.6209,305.8972,298.8037
2010-02-08,299.0059,291.9552,303.5146,295.7552
2010-02-09,296.3766,289.5663,300.8253,293.3118
2010-02-10,293.756,287.0831,297.8543,290.5324
2010-02-11,291.3539,285.1267,295.6791,288.897
2010-02-12,289.4936,283.727,294.2689,288.11
2010-02-16,289.06,283.6825,293.7674,288.1433
2010-02-17,289.1566,283.809,293.4637,287.9799
2010-02-18,288.9056,283.9892,292.9846,287.899
2010-02-19,288.628,284.2532,293.097,288.0109
2010-02-22,288.456,284.2475,292.8446,287.761
2010-02-23,288.1845,283.4136,292.3557,286.6334
2010-02-24,287.273,282.9299,292.1904,286.984
2010-02-25,287.2074,283.3054,292.4953,287.7776
2010-02-26,288.0872,284.3361,293.37,289.1612
2010-03-01,289.4572,285.6916,294.3601,290.4287
2010-03-02,290.7614,287.2375,296.2417,292.4313
2010-03-03,292.7767,288.9224,297.8807,294.0043
2010-03-04,294.3981,290.5224,299.263,295.6751
2010-03-05,296.2601,292.6494,300.8376,297.5211
2010-03-08,298.0312,294.3136,302.4921,299.4583
2010-03-09,299.6622,295.8722,303.7118,300.7664
2010-03-10,300.8689,297.2039,304.6698,301.9189
2010-03-11,301.9106,298.4911,305.9234,303.4661
2010-03-12,303.6884,300.3403,307.4708,304.946
2010-03-15,305.0047,301.6679,308.5453,306.2604
2010-03-16,306.3492,303.0869,309.6466,307.4821
2010-03-17,307.6315,304.6532,310.8131,308.781
2010-03-18,308.9855,305.6907,311.7968,309.4841
