date,open,low,high,close
2010-01-04,3.4557,3.4154,3.4747,3.445
2010-01-05,3.4444,3.4062,3.4661,3.4379
2010-01-06,3.438,3.4006,3.4621,3.4346
2010-01-07,3.436,3.3984,3.4588,3.4318
2010-01-08,3.4329,3.3931,3.4548,3.4272
2010-01-11,3.4303,3.3909,3.451,3.4241
2010-01-12,3.4255,3.3849,3.4454,3.4175
2010-01-13,3.4196,3.3799,3.439,3.4106
2010-01-14,3.413,3.375,3.4319,3.4042
2010-01-15,3.4057,3.367,3.4235,3.3952
2010-01-19,3.3937,3.3561,3.4173,3.3903
2010-01-20,3.3886,3.3504,3.4126,3.383
2010-01-21,3.3808,3.3367,3.4036,3.3699
2010-01-22,3.3676,3.3242,3.3926,3.3564
2010-01-25,3.3559,3.3116,3.38,3.3428
2010-01-26,3.3417,3.2976,3.3659,3.3269
2010-01-27,3.3262,3.2836,3.3509,3.3131
2010-01-28,3.3139,3.2719,3.3383,3.3011
2010-01-29,3.3025,3.2629,3.3277,3.292
2010-02-01,3.2945,3.2555,3.3185,3.2839
2010-02-02,3.2864,3.2487,3.3109,3.2783
2010-02-03,3.2799,3.2438,3.3051,3.2717
2010-02-04,3.272,3.2325,3.296,3.2591
2010-02-05,3.2601,3.2209,3.2837,3.2482
2010-02-08,3.2493,3.2097,3.2717,3.2354
2010-02-09,3.2375,3.1976,3.2598,3.2239
2010-02-10,3.2258,3.1868,3.2473,3.2135
2010-02-11,3.2147,3.1773,3.2359,3.2037
2010-02-12,3.2034,3.1674,3.2245,3.1933
2010-02-16,3.194,3.1599,3.2173,3.1874
2010-02-17,3.1902,3.1574,3.2143,3.185
2010-02-18,3.1872,3.1561,3.2122,3.1834
2010-02-19,3.1843,3.1549,3.2092,3.1816
2010-02-22,3.1829,3.1544,3.2076,3.1812
2010-02-23,3.1816,3.1521,3.2062,3.1773
2010-02-24,3.1781,3.1505,3.2039,3.1768
2010-02-25,3.1755,3.1488,3.2002,3.1745
2010-02-26,3.173,3.1478,3.1982,3.1727
2010-03-01,3.1716,3.1457,3.1961,3.1706
2010-03-02,3.17,3.1452,3.194,3.169
2010-03-03,3.1685,3.1448,3.1918,3.1675
2010-03-04,3.1668,3.1445,3.1914,3.1671
2010-03-05,3.1675,3.1463,3.1917,3.169
2010-03-08,3.1706,3.1509,3.1953,3.1729
2010-03-09,3.1739,3.1556,3.2074,3.1853
2010-03-10,3.1906,3.1725,3.226,3.202
2010-03-11,3.2076,3.1901,3.2479,3.2255
2010-03-12,3.2316,3.2069,3.2706,3.2416
2010-03-15,3.2445,3.2199,3.2837,3.2549
2010-03-16,3.2594,3.2355,3.3008,3.273
2010-03-17,3.2789,3.253,3.3208,3.2908
2010-03-18,3.2976,3.2706,3.3378,3.3072
2010-03-19,3.314,3.2844,3.3531,3.3194
2010-03-22,3.3255,3.2974,3.3698,3.3359
2010-03-23,3.3433,3.3164,3.3877,3.355
2010-03-24,3.3611,3.3358,3.4066,3.3743
2010-03-25,3.383,3.3591,3.4312,3.3971
2010-03-26,3.4077,3.3827,3.455,3.4207
2010-03-29,3.4331,3.401,3.4795,3.4396
2010-03-30,3.4498,3.4169,3.496,3.4551
2010-03-31,3.4649,3.4312,3.5099,3.469
2010-04-01,3.4803,3.4455,3.5257,3.4868
2010-04-05,3.5006,3.4663,3.5445,3.5068
2010-04-06,3.5204,3.4873,3.5635,3.5273
2010-04-07,3.541,3.5094,3.5853,3.5496
2010-04-08,3.5626,3.5314,3.6096,3.5751
2010-04-09,3.5898,3.5596,3.6359,3.6025
2010-04-12,3.6191,3.5892,3.6639,3.6322
2010-04-13,3.6476,3.6184,3.6927,3.6606
2010-04-14,3.6787,3.6505,3.7291,3.6984
2010-04-15,3.7178,3.6831,3.7689,3.7314
2010-04-16,3.7504,3.7042,3.8,3.7555
2010-04-19,3.7766,3.7323,3.8335,3.7894
2010-04-20,3.8144,3.7688,3.8705,3.8254
2010-04-21,3.8516,3.8012,3.906,3.8593
2010-04-22,3.8821,3.8312,3.9357,3.8904
2010-04-23,3.9124,3.8625,3.9667,3.9204
2010-04-26,3.9393,3.8854,3.9921,3.9416
2010-04-27,3.9579,3.8991,4.0094,3.9535
2010-04-28,3.9718,3.9147,4.0257,3.9687
2010-04-29,3.989,3.9331,4.0441,3.9871
2010-04-30,4.0064,3.9469,4.0595,3.9988
2010-05-03,4.0204,3.9607,4.0722,4.0116
2010-05-04,4.0302,3.9692,4.0808,4.0192
2010-05-05,4.034,3.9714,4.0855,4.0241
2010-05-06,4.0389,3.969,4.0908,4.0242
2010-05-07,4.0398,3.9673,4.0914,4.0231
2010-05-10,4.0488,3.9735,4.0992,4.0291
2010-05-11,4.0511,3.9778,4.1032,4.0334
2010-05-12,4.0566,3.9829,4.1068,4.0378
2010-05-13,4.0594,3.9861,4.108,4.0393
2010-05-14,4.0582,3.9836,4.1053,4.0371
2010-05-17,4.0561,3.9764,4.1016,4.0311
2010-05-18,4.0524,3.9677,4.0965,4.0211
2010-05-19,4.0416,3.9592,4.0879,4.0138
2010-05-20,4.0317,3.9476,4.0769,4.0009
2010-05-21,4.0153,3.9338,4.0675,3.9922
2010-05-24,4.0096,3.9281,4.0627,3.9848
2010-05-25,3.997,3.9157,4.0534,3.9775
2010-05-26,3.9954,3.9134,4.0517,3.9729
2010-05-27,3.9958,3.915,4.0514,3.9737
2010-05-28,3.9959,3.9156,4.0502,3.9726
2010-06-01,3.9921,3.9126,4.0463,3.9679
2010-06-02,3.988,3.9101,4.0416,3.9656
2010-06-03,3.9863,3.9102,4.0403,3.9646
2010-06-04,3.9811,3.9051,4.0353,3.9582
2010-06-07,3.9748,3.8952,4.0273,3.947
2010-06-08,3.9647,3.8866,4.0172,3.9388
2010-06-09,3.9577,3.8818,4.012,3.9356
2010-06-10,3.9565,3.8807,4.0092,3.9335
2010-06-11,3.9524,3.8789,4.0051,3.9308
2010-06-14,3.9504,3.8782,4.0015,3.9281
2010-06-15,3.9487,3.8778,3.9999,3.9291
2010-06-16,3.9481,3.8788,3.9987,3.9301
2010-06-17,3.9491,3.8791,3.9985,3.9301
2010-06-18,3.9488,3.88,3.9977,3.9318
2010-06-21,3.9511,3.8835,3.9989,3.9337
2010-06-22,3.9517,3.8846,3.9987,3.933
2010-06-23,3.9507,3.8835,3.9969,3.9307
2010-06-24,3.9468,3.8791,3.9913,3.9248
2010-06-25,3.9427,3.8765,3.9888,3.9244
2010-06-28,3.9413,3.8772,3.9887,3.9259
2010-06-29,3.9396,3.8711,3.9853,3.9186
2010-06-30,3.9344,3.8651,3.98,3.9124
2010-07-01,3.93,3.8563,3.9745,3.9071
2010-07-02,3.9254,3.8507,3.9704,3.9022
2010-07-06,3.9225,3.8456,3.9668,3.8975
2010-07-07,3.918,3.8422,3.9636,3.8964
2010-07-08,3.9179,3.8438,3.9634,3.8977
2010-07-09,3.9185,3.846,3.9649,3.9012
2010-07-12,3.9217,3.8514,3.969,3.9069
2010-07-13,3.9292,3.8612,3.9785,3.9187
2010-07-14,3.9393,3.8699,3.9871,3.9273
2010-07-15,3.9478,3.875,3.9942,3.934
2010-07-16,3.9503,3.8752,3.9966,3.9321
2010-07-19,3.9488,3.8738,3.997,3.9329
2010-07-20,3.9467,3.874,3.9981,3.934
2010-07-21,3.9493,3.8748,3.9991,3.9334
2010-07-22,3.9498,3.878,4.0011,3.9378
2010-07-23,3.9513,3.881,4.0021,3.9397
2010-07-26,3.9528,3.885,4.006,3.9459
2010-07-27,3.9604,3.8934,4.0137,3.9522
2010-07-28,3.9652,3.8987,4.0177,3.9561
2010-07-29,3.9703,3.9035,4.0212,3.9609
2010-07-30,3.9726,3.9083,4.0237,3.9649
2010-08-02,3.9791,3.9161,4.0287,3.9718
2010-08-03,3.9844,3.922,4.0326,3.9765
2010-08-04,3.9894,3.9279,4.0361,3.9815
2010-08-05,3.9929,3.9323,4.0379,3.985
2010-08-06,3.995,3.9347,4.0387,3.9871
2010-08-09,3.9974,3.9371,4.0406,3.9899
2010-08-10,3.9981,3.939,4.0407,3.99
2010-08-11,3.9962,3.9357,4.0379,3.9852
2010-08-12,3.9908,3.9322,4.0325,3.9811
2010-08-13,3.9874,3.9304,4.0292,3.9775
2010-08-16,3.9832,3.9276,4.0247,3.9737
2010-08-17,3.9805,3.9243,4.0206,3.9693
2010-08-18,3.9761,3.9214,4.016,3.9654
2010-08-19,3.9715,3.9166,4.0112,3.9592
2010-08-20,3.9648,3.9096,4.0033,3.952
