,open,low,high,close
2010-01-04,3.3424,3.319,3.3767,3.3532
2010-01-05,3.3818,3.3687,3.4696,3.4499
2010-01-06,3.4813,3.451,3.5921,3.5629
2010-01-07,3.6065,3.5497,3.6674,3.6272
2010-01-08,3.6492,3.5447,3.6878,3.625
2010-01-11,3.6738,3.5886,3.6949,3.6424
2010-01-12,3.6443,3.5427,3.662,3.5876
2010-01-13,3.603,3.5265,3.6249,3.5446
2010-01-14,3.562,3.5163,3.5867,3.5261
2010-01-15,3.5225,3.4544,3.5379,3.4661
2010-01-19,3.418,3.3653,3.5454,3.501
2010-01-20,3.474,3.4018,3.5725,3.4764
2010-01-21,3.4562,3.2845,3.5099,3.3581
2010-01-22,3.3504,3.2341,3.4376,3.2846
2010-01-25,3.3144,3.2045,3.3668,3.237
2010-01-26,3.248,3.1587,3.298,3.1706
2010-01-27,3.1875,3.1318,3.242,3.1666
2010-01-28,3.2032,3.1541,3.2492,3.1907
2010-01-29,3.2264,3.208,3.2847,3.2514
2010-02-01,3.2916,3.261,3.3232,3.2971
2010-02-02,3.3226,3.2956,3.3678,3.361
2010-02-03,3.3617,3.3415,3.4201,3.3727
2010-02-04,3.3544,3.2539,3.3866,3.272
2010-02-05,3.2773,3.1946,3.3066,3.2393
2010-02-08,3.2467,3.1632,3.2636,3.1837
2010-02-09,3.209,3.1256,3.2363,3.1719
2010-02-10,3.1846,3.1238,3.2068,3.1787
2010-02-11,3.1788,3.1415,3.2041,3.1896
2010-02-12,3.1664,3.1414,3.1991,3.1801
2010-02-16,3.189,3.1757,3.2647,3.248
2010-02-17,3.2914,3.278,3.3678,3.3407
2010-02-18,3.3579,3.3493,3.4339,3.4007
2010-02-19,3.3921,3.3855,3.4506,3.425
2010-02-22,3.4304,3.4132,3.4791,3.4575
2010-02-23,3.4485,3.3918,3.4918,3.4111
2010-02-24,3.4167,3.3888,3.4795,3.4393
2010-02-25,3.4085,3.3798,3.443,3.4196
2010-02-26,3.4028,3.3847,3.4498,3.4132
2010-03-01,3.4155,3.3665,3.4472,3.4033
2010-03-02,3.4161,3.3814,3.4453,3.403
2010-03-03,3.4157,3.3889,3.4383,3.4025
2010-03-04,3.4093,3.3924,3.4621,3.4187
2010-03-05,3.4443,3.427,3.4857,3.466
2010-03-08,3.5016,3.495,3.5534,3.5242
2010-03-09,3.5369,3.5302,3.7331,3.6984
2010-03-10,3.7818,3.758,3.9437,3.8672
2010-03-11,3.9216,3.8939,4.1125,4.0747
2010-03-12,4.1152,3.955,4.2172,4.062
2010-03-15,4.0307,3.9194,4.1085,4.0017
2010-03-16,4.0152,3.9436,4.1124,4.0513
2010-03-17,4.0845,3.9907,4.166,4.0733
2010-03-18,4.1114,4.017,4.1458,4.0638
2010-03-19,4.0877,3.9713,4.1084,3.988
2010-03-22,3.9929,3.932,4.1145,4.0223
2010-03-23,4.0505,4.0163,4.1423,4.0896
2010-03-24,4.086,4.0748,4.1777,4.135
2010-03-25,4.1812,4.1758,4.3003,4.2236
2010-03-26,4.2855,4.2434,4.3581,4.2903
2010-03-29,4.3602,4.1919,4.4074,4.2499
2010-03-30,4.2567,4.1266,4.3018,4.1742
2010-03-31,4.1744,4.0669,4.2024,4.109
2010-04-01,4.1395,4.0395,4.1869,4.1457
2010-04-05,4.2097,4.1419,4.2348,4.2102
2010-04-06,4.2475,4.2083,4.2722,4.2611
2010-04-07,4.2891,4.2702,4.3475,4.3258
2010-04-08,4.3321,4.3066,4.4368,4.4195
2010-04-09,4.4588,4.4398,4.5268,4.5112
2010-04-12,4.5713,4.5413,4.6105,4.6063
2010-04-13,4.6245,4.5962,4.675,4.6411
2010-04-14,4.7032,4.6811,4.8473,4.8265
2010-04-15,4.8901,4.7431,5.0063,4.8537
2010-04-16,4.8898,4.587,4.9508,4.7221
2010-04-19,4.7847,4.6257,4.9682,4.8233
2010-04-20,4.9308,4.8001,5.0439,4.9246
2010-04-21,5.0112,4.8353,5.0683,4.9525
2010-04-22,4.949,4.8215,4.9926,4.929
2010-04-23,4.9215,4.843,4.9809,4.9065
2010-04-26,4.8563,4.7233,4.8889,4.7524
2010-04-27,4.6889,4.5064,4.7104,4.5181
2010-04-28,4.5268,4.4293,4.6071,4.4553
2010-04-29,4.504,4.4452,4.5964,4.4879
2010-04-30,4.5079,4.3879,4.5515,4.4049
2010-05-03,4.4643,4.3659,4.4925,4.3863
2010-05-04,4.3778,4.2744,4.3982,4.2973
2010-05-05,4.2351,4.1232,4.2909,4.2092
2010-05-06,4.1856,3.969,4.2498,4.089
2010-05-07,4.0985,3.9039,4.156,4.0079
2010-05-10,4.1966,4.0101,4.2337,4.0932
2010-05-11,4.144,4.0462,4.22,4.1175
2010-05-12,4.1746,4.0835,4.2106,4.1396
2010-05-13,4.1499,4.075,4.1697,4.1039
2010-05-14,4.0722,3.9773,4.0837,4.0254
2010-05-17,4.0164,3.8431,4.024,3.9188
2010-05-18,3.962,3.7465,3.9681,3.7927
2010-05-19,3.8142,3.6994,3.8813,3.7741
2010-05-20,3.7503,3.6242,3.7948,3.6698
2010-05-21,3.6052,3.5447,3.7758,3.6857
2010-05-24,3.7112,3.6411,3.8462,3.7166
2010-05-25,3.6527,3.5816,3.8079,3.7374
2010-05-26,3.8086,3.7194,3.9177,3.7958
2010-05-27,3.9291,3.8629,4.0013,3.9178
2010-05-28,3.9884,3.9231,4.0294,3.95
2010-06-01,3.9515,3.8917,3.9986,3.9043
2010-06-02,3.9239,3.8775,3.964,3.9169
2010-06-03,3.9467,3.9126,4.0003,3.945
2010-06-04,3.8972,3.8413,3.9562,3.8648
2010-06-07,3.8478,3.7183,3.879,3.7374
2010-06-08,3.7549,3.6694,3.7993,3.7145
2010-06-09,3.7564,3.7066,3.8361,3.7882
2010-06-10,3.8542,3.7902,3.8974,3.8467
2010-06-11,3.8583,3.8251,3.9093,3.8676
2010-06-14,3.8936,3.8601,3.9214,3.8782
2010-06-15,3.9178,3.8834,3.961,3.9442
2010-06-16,3.9466,3.9167,3.9874,3.9787
2010-06-17,3.9886,3.9219,4.0172,3.9786
2010-06-18,3.9875,3.9339,4.0208,4.0042
2010-06-21,4.0295,3.9833,4.0545,4.0218
2010-06-22,4.0226,3.9693,4.049,3.985
2010-06-23,3.9893,3.921,4.0166,3.9359
2010-06-24,3.9201,3.8383,3.9315,3.8478
2010-06-25,3.8771,3.8217,3.9358,3.89
2010-06-28,3.8995,3.8697,3.9804,3.9477
2010-06-29,3.9072,3.78,3.9472,3.8291
2010-06-30,3.851,3.7323,3.8962,3.7821
2010-07-01,3.8325,3.6586,3.8639,3.7698
2010-07-02,3.8185,3.6716,3.8685,3.7711
2010-07-06,3.8402,3.6872,3.8799,3.7737
2010-07-07,3.8254,3.7255,3.8927,3.8378
2010-07-08,3.8904,3.8309,3.9503,3.9121
2010-07-09,3.9371,3.8987,4.0093,3.9904
2010-07-12,4.0059,3.989,4.0844,4.0697
2010-07-13,4.1164,4.1126,4.2173,4.2149
2010-07-14,4.2203,4.1583,4.2745,4.2389
2010-07-15,4.2498,4.1222,4.2783,4.2186
2010-07-16,4.1607,4.0147,4.1979,4.0586
2010-07-19,4.0422,3.9265,4.118,4.0143
