,open,low,high,close
2010-01-04,3.3971,3.3622,3.4776,3.4795
2010-01-05,3.3985,3.3687,3.4901,3.4855
2010-01-06,3.4266,3.3954,3.5384,3.5213
2010-01-07,3.5134,3.4908,3.6102,3.5728
2010-01-08,3.5542,3.4934,3.6296,3.5768
2010-01-11,3.585,3.5108,3.642,3.5881
2010-01-12,3.5855,3.5102,3.6405,3.5876
2010-01-13,3.5853,3.5101,3.6257,3.5725
2010-01-14,3.5615,3.5094,3.592,3.5617
2010-01-15,3.5358,3.5017,3.5511,3.5338
2010-01-19,3.4488,3.4301,3.5522,3.5341
2010-01-20,3.4504,3.4303,3.5527,3.5318
2010-01-21,3.4503,3.3996,3.5448,3.5002
2010-01-22,3.4353,3.3792,3.5278,3.4645
2010-01-25,3.4286,3.3659,3.5047,3.4389
2010-01-26,3.4213,3.3526,3.4372,3.3105
2010-01-27,3.3394,3.2766,3.3451,3.2829
2010-01-28,3.3288,3.2763,3.3355,3.282
2010-01-29,3.3284,3.276,3.3356,3.2838
2010-02-01,3.3292,3.2794,3.3366,3.2892
2010-02-02,3.3322,3.2942,3.3513,3.3429
2010-02-03,3.3541,3.3279,3.3996,3.349
2010-02-04,3.3527,3.3258,3.3977,3.3449
2010-02-05,3.3482,3.311,3.3885,3.3382
2010-02-08,3.3313,3.2841,3.3736,3.316
2010-02-09,3.3077,3.2453,3.3443,3.2898
2010-02-10,3.2662,3.2143,3.2802,3.2784
2010-02-11,3.2475,3.2142,3.2636,3.2764
2010-02-12,3.2403,3.2139,3.258,3.2719
2010-02-16,3.2401,3.2136,3.2668,3.2815
2010-02-17,3.2782,3.2635,3.3137,3.3193
2010-02-18,3.3183,3.3066,3.3748,3.3518
2010-02-19,3.3449,3.3341,3.3915,3.3689
2010-02-22,3.3872,3.3678,3.419,3.4047
2010-02-23,3.4106,3.3651,3.4339,3.4034
2010-02-24,3.4102,3.3652,3.434,3.4045
2010-02-25,3.4099,3.3649,3.4299,3.4042
2010-02-26,3.4097,3.3651,3.4301,3.4042
2010-03-01,3.4099,3.3627,3.4307,3.4035
2010-03-02,3.4099,3.3644,3.4312,3.4034
2010-03-03,3.41,3.3652,3.4312,3.4028
2010-03-04,3.4096,3.3666,3.4418,3.4087
2010-03-05,3.4227,3.3776,3.451,3.438
