,open,low,high,close
2010-01-04,-0.75,-0.62,-0.76,-0.57
2010-01-05,-0.63,-0.59,-0.53,-0.53
2010-01-06,-0.43,-0.45,-0.38,-0.42
2010-01-07,-0.45,-0.49,-0.49,-0.54
2010-01-08,-0.5,-0.63,-0.59,-0.59
2010-01-11,-0.59,-0.54,-0.61,-0.53
2010-01-12,-0.55,-0.57,-0.56,-0.54
2010-01-13,-0.55,-0.53,-0.5625,-0.55
2010-01-14,-0.7,-0.68,-0.7,-0.67
2010-01-15,-0.68,-0.76,-0.75,-0.82
2010-01-19,-0.9,-0.93,-0.75,-0.75
2010-01-20,-0.72,-0.75,-0.67,-0.8
2010-01-21,-0.74,-0.99,-0.77,-0.93
2010-01-22,-0.985,-1.01,-0.89,-1.03
2010-01-25,-0.98,-1.0,-0.97,-0.98
2010-01-26,-1.01,-0.99,-0.97,-1.02
2010-01-27,-0.81,-0.81,-0.9,-0.86
2010-01-28,-0.83,-0.86,-0.87,-0.87
2010-01-29,-0.88,-0.78,-0.82,-0.78
2010-02-01,-0.72,-0.71,-0.73,-0.76
2010-02-02,-0.8,-0.71,-0.8,-0.64
2010-02-03,-0.73,-0.68,-0.66,-0.69
2010-02-04,-0.75,-0.86,-0.77,-0.85
2010-02-05,-0.8,-0.7,-0.8,-0.69
2010-02-08,-0.71,-0.64,-0.71,-0.71
2010-02-09,-0.69,-0.73,-0.68,-0.69
2010-02-10,-0.72,-0.73,-0.75,-0.75
2010-02-11,-0.61,-0.49,-0.62,-0.49
2010-02-12,-0.5,-0.36,-0.4913,-0.38
2010-02-16,-0.28,-0.23,-0.25,-0.14
2010-02-17,0.23,0.23,0.2,0.21
2010-02-18,0.14,0.18,0.07,0.03
2010-02-19,0.01,0.03,0.02,0.0
2010-02-22,0.0,0.07,0.04,0.12
2010-02-23,0.08,0.09,0.1,0.06
2010-02-24,0.05,0.09,0.1,0.1
2010-02-25,0.02,0.051,-0.01,0.0
2010-02-26,0.0,0.03,0.04,0.03
2010-03-01,0.06,0.0443,0.08,0.07
2010-03-02,0.08,0.08,0.08,0.09
2010-03-03,0.05,0.05,0.02,0.0
2010-03-04,-0.02,-0.02,-0.07,-0.1
2010-03-05,-0.09,-0.06,-0.18,-0.14
2010-03-08,-0.15,-0.07,-0.1,-0.09
2010-03-09,-0.1,0.03,0.19,0.23
2010-03-10,0.3,0.32,0.4,0.33
2010-03-11,0.39,0.47,0.57,0.66
2010-03-12,0.655,0.44,0.64,0.47
2010-03-15,0.36,0.33,0.39,0.38
2010-03-16,0.46,0.52,0.5676,0.63
2010-03-17,0.76,0.69,0.61,0.51
2010-03-18,0.55,0.55,0.49,0.56
2010-03-19,0.58,0.7,0.59,0.63
2010-03-22,0.615,0.66,0.7126,0.79
2010-03-23,0.78,0.8637,0.82,0.9
2010-03-24,0.88,0.95,0.92,1.0
2010-03-25,1.07,1.09,1.15,1.07
2010-03-26,1.09,1.06,1.08,1.07
2010-03-29,1.11,0.84,1.07,0.86
2010-03-30,0.77,0.74,0.81,0.75
2010-03-31,0.74,0.69,0.7,0.64
2010-04-01,0.72,0.65,0.72,0.81
2010-04-05,0.93,1.06,0.93,1.08
2010-04-06,1.06,1.1,1.06,1.07
2010-04-07,1.08,1.15,1.16,1.21
2010-04-08,1.16,1.2,1.26,1.29
2010-04-09,1.36,1.38,1.37,1.35
2010-04-12,1.435,1.41,1.42,1.43
2010-04-13,1.45,1.44,1.4733,1.44
2010-04-14,1.5,1.49,1.61,1.62
2010-04-15,1.61,1.38,1.62,1.4
2010-04-16,1.42,1.02,1.36,1.13
2010-04-19,1.245,1.25,1.49,1.46
2010-04-20,1.58,1.51,1.58,1.51
2010-04-21,1.59,1.47,1.56,1.58
2010-04-22,1.48,1.4,1.44,1.42
2010-04-23,1.48,1.47,1.55,1.47
2010-04-26,1.395,1.22,1.35,1.21
2010-04-27,1.13,0.9857,1.13,0.95
2010-04-28,1.01,1.01,1.115,1.05
2010-04-29,1.12,1.1062,1.1988,1.16
2010-04-30,1.15,0.98,1.07,0.94
2010-05-03,0.99,0.93,0.98,0.91
2010-05-04,0.8,0.69,0.76,0.7
2010-05-05,0.61,0.5,0.39,0.36
2010-05-06,0.24,-0.02,0.2,0.08
2010-05-07,0.1,-0.03,-0.05,-0.18
2010-05-10,0.125,0.22,0.13,0.25
2010-05-11,0.25,0.28,0.3,0.28
2010-05-12,0.28,0.2155,0.1624,0.13
2010-05-13,0.05,0.09,-0.01,0.04
2010-05-14,-0.06,-0.09,-0.05,-0.04
2010-05-17,-0.03,-0.14,-0.04,-0.04
2010-05-18,0.06,-0.17,-0.1426,-0.31
2010-05-19,-0.36,-0.3637,-0.3,-0.32
2010-05-20,-0.35,-0.49,-0.42,-0.52
2010-05-21,-0.7,-0.7,-0.57,-0.52
2010-05-24,-0.48,-0.49,-0.425,-0.53
2010-05-25,-0.74,-0.55,-0.61,-0.4
2010-05-26,-0.16,-0.19,-0.15,-0.23
2010-05-27,-0.06,-0.03,-0.04,-0.03
2010-05-28,-0.09,-0.07,-0.14,-0.22
2010-06-01,-0.37,-0.39,-0.32,-0.41
2010-06-02,-0.38,-0.4,-0.37,-0.37
2010-06-03,-0.35,-0.37,-0.37,-0.4
2010-06-04,-0.5,-0.54,-0.5745,-0.68
2010-06-07,-0.73,-0.9,-0.75,-0.91
2010-06-08,-0.935,-0.93,-0.89,-0.92
2010-06-09,-0.84,-0.83,-0.7933,-0.75
2010-06-10,-0.77,-0.83,-0.98,-1.03
2010-06-11,-1.13,-0.89,-1.15,-0.93
2010-06-14,-0.9,-0.53,-0.9,-0.68
2010-06-15,-0.715,-0.75,-0.94,-0.89
2010-06-16,-1.06,-0.99,-1.06,-0.98
2010-06-17,-1.02,-0.91,-1.01,-0.97
2010-06-18,-0.88,-0.84,-0.88,-0.86
2010-06-21,-0.82,-0.82,-0.88,-0.84
2010-06-22,-0.785,-0.66,-0.77,-0.67
