,open,low,high,close
2010-01-04,3.869,3.8075,3.9118,3.8547
2010-01-05,3.8532,3.7927,3.8986,3.8415
2010-01-06,3.8425,3.7815,3.8891,3.831
2010-01-07,3.8312,3.7692,3.8768,3.8175
2010-01-08,3.8187,3.7535,3.8621,3.8027
2010-01-11,3.804,3.74,3.8468,3.7895
2010-01-12,3.7902,3.7257,3.8328,3.776
2010-01-13,3.7765,3.7125,3.8188,3.7622
2010-01-14,3.759,3.6955,3.8013,3.7455
2010-01-15,3.742,3.6765,3.7825,3.725
2010-01-19,3.7195,3.6532,3.7638,3.7062
2010-01-20,3.7015,3.6345,3.747,3.6862
2010-01-21,3.683,3.6097,3.7278,3.663
2010-01-22,3.6584,3.5845,3.7055,3.6372
2010-01-25,3.6339,3.5595,3.6813,3.6127
2010-01-26,3.6086,3.5347,3.657,3.5872
2010-01-27,3.5884,3.5145,3.6345,3.5657
2010-01-28,3.5676,3.493,3.6128,3.544
2010-01-29,3.5456,3.4735,3.5923,3.5245
2010-02-01,3.5276,3.4557,3.574,3.5055
2010-02-02,3.5076,3.438,3.554,3.4895
2010-02-03,3.4894,3.421,3.5375,3.4722
2010-02-04,3.4706,3.3995,3.5183,3.451
2010-02-05,3.4506,3.382,3.4983,3.4337
2010-02-08,3.4329,3.366,3.4805,3.416
2010-02-09,3.4156,3.3477,3.4635,3.3987
2010-02-10,3.3976,3.3295,3.4448,3.38
2010-02-11,3.3824,3.3172,3.4293,3.3677
2010-02-12,3.3699,3.3082,3.417,3.3582
2010-02-16,3.3629,3.3025,3.4107,3.3547
2010-02-17,3.3686,3.3082,3.4157,3.36
2010-02-18,3.3721,3.3127,3.4175,3.3607
2010-02-19,3.3724,3.3135,3.418,3.3607
2010-02-22,3.3724,3.3152,3.419,3.3637
2010-02-23,3.3744,3.3175,3.4215,3.3652
2010-02-24,3.3756,3.3197,3.424,3.3677
2010-02-25,3.3761,3.321,3.4237,3.3677
2010-02-26,3.3761,3.3218,3.4247,3.3685
2010-03-01,3.3776,3.3229,3.4267,3.3702
2010-03-02,3.3796,3.3249,3.4287,3.3725
2010-03-03,3.3809,3.3261,3.4292,3.3725
2010-03-04,3.3804,3.3256,3.4275,3.37
2010-03-05,3.3781,3.3241,3.423,3.3665
2010-03-08,3.3744,3.3224,3.4205,3.3642
2010-03-09,3.3719,3.3231,3.4252,3.37
2010-03-10,3.3794,3.3311,3.4352,3.3782
2010-03-11,3.3891,3.3429,3.4495,3.3947
2010-03-12,3.4055,3.3539,3.4655,3.4065
2010-03-15,3.4145,3.3621,3.4752,3.416
2010-03-16,3.426,3.3751,3.4894,3.4317
2010-03-17,3.445,3.3924,3.5047,3.4445
2010-03-18,3.4587,3.4061,3.5169,3.4585
2010-03-19,3.4732,3.4236,3.5317,3.4742
2010-03-22,3.4886,3.4401,3.5495,3.494
2010-03-23,3.5081,3.4617,3.57,3.5165
2010-03-24,3.5301,3.4855,3.593,3.5415
2010-03-25,3.5569,3.5127,3.6218,3.5682
2010-03-26,3.5841,3.5392,3.6488,3.595
2010-03-29,3.6119,3.5602,3.6755,3.6165
2010-03-30,3.6311,3.5787,3.6958,3.6352
2010-03-31,3.6496,3.596,3.7133,3.6512
2010-04-01,3.6676,3.6122,3.7313,3.6715
2010-04-05,3.6909,3.6387,3.7545,3.6985
2010-04-06,3.7174,3.6662,3.781,3.7252
2010-04-07,3.7444,3.695,3.81,3.7555
2010-04-08,3.7734,3.725,3.8415,3.7877
2010-04-09,3.8074,3.7595,3.8758,3.8215
2010-04-12,3.8432,3.7947,3.9113,3.8572
2010-04-13,3.8795,3.8307,3.9481,3.8932
2010-04-14,3.917,3.868,3.9883,3.9337
2010-04-15,3.9572,3.9025,4.0288,3.9687
2010-04-16,3.9927,3.928,4.0628,3.997
2010-04-19,4.0239,3.9592,4.1001,4.0335
2010-04-20,4.0634,3.997,4.1396,4.0712
2010-04-21,4.1031,4.0337,4.1786,4.1107
2010-04-22,4.1401,4.0687,4.2146,4.1462
2010-04-23,4.1771,4.1055,4.2533,4.183
2010-04-26,4.212,4.136,4.2871,4.2132
2010-04-27,4.2402,4.1606,4.3153,4.237
2010-04-28,4.2655,4.1858,4.3432,4.2632
2010-04-29,4.2935,4.2135,4.3732,4.2922
2010-04-30,4.3222,4.238,4.3999,4.3157
2010-05-03,4.347,4.2612,4.4244,4.3385
2010-05-04,4.367,4.2785,4.4434,4.356
2010-05-05,4.3822,4.291,4.4532,4.365
2010-05-06,4.3882,4.2905,4.4582,4.367
2010-05-07,4.3907,4.2897,4.4569,4.3625
2010-05-10,4.3939,4.2952,4.4602,4.3687
2010-05-11,4.4001,4.3022,4.4677,4.3757
2010-05-12,4.4071,4.3076,4.4717,4.379
2010-05-13,4.4084,4.3099,4.4715,4.38
2010-05-14,4.4069,4.3076,4.4702,4.379
2010-05-17,4.4061,4.3041,4.4692,4.378
2010-05-18,4.4076,4.2999,4.4657,4.3702
2010-05-19,4.3986,4.2908,4.4582,4.3622
2010-05-20,4.3899,4.2785,4.4477,4.3492
2010-05-21,4.3724,4.261,4.4334,4.3362
2010-05-24,4.3604,4.2488,4.4228,4.323
2010-05-25,4.3419,4.235,4.4076,4.313
2010-05-26,4.3379,4.2303,4.4038,4.3072
2010-05-27,4.3364,4.2295,4.4028,4.3065
2010-05-28,4.3341,4.2278,4.3993,4.301
2010-06-01,4.3249,4.218,4.3913,4.2907
2010-06-02,4.3154,4.208,4.3821,4.2815
2010-06-03,4.3066,4.1988,4.3728,4.2715
2010-06-04,4.2941,4.1853,4.3584,4.2545
2010-06-07,4.2759,4.1628,4.3397,4.2317
2010-06-08,4.2525,4.1395,4.3174,4.2087
2010-06-09,4.2315,4.1188,4.2976,4.19
2010-06-10,4.2122,4.098,4.2731,4.1642
2010-06-11,4.184,4.0758,4.2444,4.141
2010-06-14,4.1615,4.0625,4.2219,4.124
2010-06-15,4.1436,4.0438,4.1984,4.1017
2010-06-16,4.1171,4.019,4.1719,4.0772
2010-06-17,4.0916,3.9963,4.1466,4.053
2010-06-18,4.0696,3.9753,4.1246,4.0315
2010-06-21,4.0491,3.9548,4.1026,4.0105
2010-06-22,4.0295,3.9383,4.0834,3.9937
2010-06-23,4.0145,3.9268,4.0686,3.9825
2010-06-24,4.0005,3.911,4.0512,3.9657
2010-06-25,3.9835,3.8941,4.0343,3.9502
2010-06-28,3.968,3.8829,4.0211,3.941
2010-06-29,3.9545,3.8661,4.0071,3.924
2010-06-30,3.9412,3.8531,3.9946,3.9115
2010-07-01,3.933,3.8426,3.9846,3.9015
2010-07-02,3.9235,3.8379,3.975,3.8952
2010-07-06,3.9182,3.8329,3.9693,3.89
2010-07-07,3.9055,3.8231,3.9583,3.882
2010-07-08,3.901,3.8184,3.9523,3.877
2010-07-09,3.8945,3.8135,3.9478,3.8735
2010-07-12,3.892,3.8125,3.947,3.874
2010-07-13,3.8959,3.8193,3.9535,3.882
2010-07-14,3.9026,3.829,3.9603,3.8907
2010-07-15,3.9096,3.8375,3.9673,3.9015
2010-07-16,3.9176,3.8423,3.9735,3.9037
2010-07-19,3.9221,3.8483,3.9803,3.9125
2010-07-20,3.9314,3.8575,3.9865,3.9185
2010-07-21,3.9361,3.8613,3.9894,3.9225
2010-07-22,3.9449,3.872,3.9967,3.9302
2010-07-23,3.9461,3.8753,3.9975,3.9342
2010-07-26,3.9459,3.8763,3.9995,3.9375
2010-07-27,3.9506,3.8815,4.0052,3.9425
2010-07-28,3.9564,3.8873,4.0102,3.9485
2010-07-29,3.9626,3.8925,4.0157,3.9535
2010-07-30,3.9651,3.8958,4.018,3.957
2010-08-02,3.9736,3.9055,4.0251,3.967
2010-08-03,3.9824,3.9176,4.0338,3.9792
2010-08-04,3.9939,3.9291,4.0441,3.9897
2010-08-05,4.0021,3.9368,4.0496,3.9955
2010-08-06,4.0051,3.9403,4.0526,3.9995
2010-08-09,4.0106,3.9443,4.0574,4.0045
2010-08-10,4.0134,3.9473,4.0607,4.0075
2010-08-11,4.0139,3.9461,4.0602,4.004
2010-08-12,4.0109,3.9436,4.0574,4.001
2010-08-13,4.0081,3.9428,4.0554,3.999
2010-08-16,4.0056,3.9408,4.0529,3.9955
2010-08-17,4.0022,3.9363,4.0492,3.9912
2010-08-18,3.9987,3.9338,4.0459,3.9892
2010-08-19,3.9962,3.9316,4.0437,3.9867
2010-08-20,3.9942,3.9301,4.0419,3.986
2010-08-23,3.9927,3.9283,4.0389,3.9812
2010-08-24,3.987,3.9223,4.0321,3.974
2010-08-25,3.9814,3.9206,4.0271,3.9727
2010-08-26,3.9794,3.9193,4.0243,3.9702
2010-08-27,3.976,3.9198,4.0221,3.9697
2010-08-30,3.9742,3.9188,4.0189,3.9667
2010-08-31,3.9695,3.9166,4.0147,3.9647
2010-09-01,3.9677,3.9158,4.0132,3.9634
2010-09-02,3.9649,3.9136,4.0114,3.9612
2010-09-03,3.9641,3.9126,4.0097,3.9579
2010-09-07,3.9599,3.9071,4.0034,3.9509
2010-09-08,3.9515,3.8983,3.9924,3.9394
2010-09-09,3.942,3.8916,3.9842,3.9319
2010-09-10,3.9342,3.8878,3.9767,3.9257
2010-09-13,3.932,3.8893,3.9744,3.9279
2010-09-14,3.9331,3.8908,3.9732,3.9269
2010-09-15,3.9334,3.8908,3.9699,3.9252
2010-09-16,3.9294,3.8898,3.9679,3.9259
2010-09-17,3.9296,3.8888,3.9662,3.9224
2010-09-20,3.9279,3.8876,3.9646,3.9217
2010-09-21,3.9279,3.8856,3.9614,3.9164
2010-09-22,3.9209,3.8786,3.9541,3.9094
2010-09-23,3.9136,3.8718,3.9474,3.9022
2010-09-24,3.9066,3.8666,3.9414,3.8968
2010-09-27,3.9026,3.8618,3.9366,3.891
2010-09-28,3.8951,3.8538,3.9291,3.8833
2010-09-29,3.8882,3.848,3.9246,3.8781
2010-09-30,3.8835,3.8425,3.9209,3.8723
2010-10-01,3.8802,3.8393,3.9206,3.8721
2010-10-04,3.8805,3.8398,3.9216,3.8713
2010-10-05,3.8802,3.8413,3.9225,3.8726
2010-10-06,3.883,3.8433,3.925,3.8751
2010-10-07,3.8877,3.8505,3.9305,3.8833
2010-10-08,3.8962,3.8583,3.9382,3.8913
2010-10-11,3.904,3.8643,3.9447,3.8988
2010-10-12,3.911,3.8713,3.953,3.9081
2010-10-13,3.9194,3.88,3.9625,3.9181
2010-10-14,3.9271,3.8838,3.9692,3.9231
2010-10-15,3.9334,3.887,3.9747,3.9271
2010-10-18,3.9389,3.8935,3.985,3.9376
