date,open,low,high,close
2010-01-04,4.1033,4.0248,4.1514,4.0794
2010-01-05,4.0834,4.0061,4.1311,4.06
2010-01-06,4.0633,3.987,4.1108,4.0405
2010-01-07,4.0431,3.9677,4.0902,4.0207
2010-01-08,4.0227,3.9481,4.0696,4.0008
2010-01-11,4.0022,3.9285,4.049,3.9809
2010-01-12,3.982,3.9092,4.0286,3.9614
2010-01-13,3.9622,3.89,4.0084,3.9419
2010-01-14,3.9424,3.8706,3.988,3.9224
2010-01-15,3.9224,3.8511,3.9676,3.9026
2010-01-19,3.9022,3.8312,3.947,3.8826
2010-01-20,3.8816,3.811,3.9263,3.8623
2010-01-21,3.8606,3.7903,3.9052,3.8417
2010-01-22,3.8393,3.7694,3.884,3.8208
2010-01-25,3.8179,3.7484,3.8626,3.7996
2010-01-26,3.7962,3.727,3.8409,3.7781
2010-01-27,3.7741,3.705,3.8189,3.756
2010-01-28,3.7517,3.6829,3.7966,3.7338
2010-01-29,3.7293,3.6608,3.7745,3.7117
2010-02-01,3.7073,3.639,3.7526,3.69
2010-02-02,3.6859,3.6178,3.7313,3.6692
2010-02-03,3.6657,3.5976,3.7111,3.6491
2010-02-04,3.6463,3.5782,3.6916,3.6295
2010-02-05,3.6273,3.5591,3.6726,3.6105
2010-02-08,3.6088,3.5407,3.6541,3.5922
2010-02-09,3.5911,3.5232,3.6366,3.5748
2010-02-10,3.5742,3.5063,3.6198,3.5579
2010-02-11,3.5579,3.4901,3.6036,3.5416
2010-02-12,3.5422,3.4744,3.588,3.5259
2010-02-16,3.5273,3.4595,3.5733,3.5112
2010-02-17,3.5133,3.4456,3.5597,3.4974
2010-02-18,3.5002,3.4327,3.5469,3.4845
2010-02-19,3.4878,3.4204,3.5347,3.4721
2010-02-22,3.4759,3.4087,3.5228,3.4602
2010-02-23,3.4643,3.3975,3.5113,3.4486
2010-02-24,3.4532,3.3867,3.5003,3.4375
2010-02-25,3.4424,3.3765,3.4896,3.4269
2010-02-26,3.4319,3.3665,3.4794,3.4167
2010-03-01,3.4218,3.3571,3.4697,3.4071
2010-03-02,3.4123,3.3482,3.4606,3.3981
2010-03-03,3.4035,3.3401,3.4519,3.3896
2010-03-04,3.3955,3.3327,3.4439,3.3817
2010-03-05,3.3881,3.3262,3.4364,3.3747
2010-03-08,3.3817,3.3209,3.4299,3.3688
2010-03-09,3.3763,3.3167,3.4247,3.3643
2010-03-10,3.3724,3.3139,3.4209,3.3613
2010-03-11,3.37,3.3128,3.4189,3.3601
2010-03-12,3.3695,3.3132,3.4187,3.3605
2010-03-15,3.3703,3.3147,3.4197,3.3621
2010-03-16,3.372,3.3172,3.4218,3.3646
2010-03-17,3.3748,3.3205,3.425,3.368
2010-03-18,3.3781,3.3242,3.4287,3.3718
2010-03-19,3.382,3.3286,3.4331,3.3765
2010-03-22,3.3867,3.334,3.4384,3.3823
2010-03-23,3.3925,3.3406,3.445,3.3892
2010-03-24,3.3995,3.3483,3.4528,3.3974
2010-03-25,3.4077,3.3574,3.4619,3.4069
2010-03-26,3.4174,3.3679,3.4725,3.4178
2010-03-29,3.4286,3.3796,3.4846,3.4299
2010-03-30,3.441,3.3923,3.4978,3.443
2010-03-31,3.4543,3.4059,3.5117,3.4568
2010-04-01,3.4683,3.4201,3.5264,3.4714
2010-04-05,3.4833,3.4352,3.542,3.4871
2010-04-06,3.4993,3.4514,3.5588,3.5038
2010-04-07,3.5165,3.4688,3.5768,3.5218
2010-04-08,3.535,3.4874,3.5961,3.5412
2010-04-09,3.5551,3.5075,3.6169,3.562
2010-04-12,3.5767,3.529,3.6393,3.5843
2010-04-13,3.5998,3.5519,3.6631,3.6081
2010-04-14,3.6244,3.5765,3.6886,3.6336
2010-04-15,3.6507,3.6025,3.7159,3.6606
2010-04-16,3.6786,3.6295,3.7449,3.689
2010-04-19,3.7078,3.6579,3.7755,3.719
2010-04-20,3.7386,3.6874,3.8076,3.7502
