,open,low,high,close
2010-01-04,3.4402,3.3813,3.4787,3.4291
2010-01-05,3.4248,3.3716,3.472,3.4264
2010-01-06,3.426,3.3746,3.4804,3.4366
2010-01-07,3.4422,3.3895,3.4928,3.4497
2010-01-08,3.456,3.396,3.504,3.4582
2010-01-11,3.4722,3.4124,3.5165,3.4719
2010-01-12,3.4828,3.4186,3.5245,3.4762
2010-01-13,3.491,3.4285,3.5312,3.4807
2010-01-14,3.4976,3.4392,3.5363,3.4871
2010-01-15,3.502,3.4403,3.5373,3.4851
2010-01-19,3.4922,3.4322,3.5445,3.4948
2010-01-20,3.5006,3.4375,3.554,3.4951
2010-01-21,3.499,3.4179,3.5491,3.4771
2010-01-22,3.4805,3.401,3.5375,3.458
2010-01-25,3.4661,3.3837,3.5203,3.4373
2010-01-26,3.4433,3.3609,3.4977,3.4093
2010-01-27,3.4163,3.3377,3.4717,3.387
2010-01-28,3.3979,3.3211,3.4522,3.3694
2010-01-29,3.382,3.3119,3.438,3.3601
2010-02-01,3.3751,3.3066,3.4269,3.3527
2010-02-02,3.3671,3.3022,3.4194,3.3518
2010-02-03,3.363,3.3028,3.4168,3.347
2010-02-04,3.3543,3.2844,3.404,3.3249
2010-02-05,3.3342,3.2658,3.3824,3.3088
2010-02-08,3.3183,3.2494,3.363,3.2881
2010-02-09,3.3006,3.2309,3.3447,3.2723
2010-02-10,3.2842,3.2175,3.3256,3.2606
2010-02-11,3.2707,3.2087,3.3103,3.2514
2010-02-12,3.257,3.1995,3.2959,3.2407
2010-02-16,3.2498,3.1977,3.2944,3.2439
2010-02-17,3.259,3.211,3.3052,3.2572
2010-02-18,3.27,3.227,3.3185,3.273
2010-02-19,3.2816,3.2432,3.3295,3.288
2010-02-22,3.2973,3.2605,3.3444,3.3061
2010-02-23,3.3122,3.2711,3.3589,3.3127
2010-02-24,3.3199,3.283,3.3698,3.3283
2010-02-25,3.3287,3.2928,3.375,3.3367
2010-02-26,3.3364,3.3035,3.3843,3.3452
2010-03-01,3.3464,3.31,3.3918,3.352
2010-03-02,3.3547,3.3204,3.3989,3.3593
2010-03-03,3.3627,3.3305,3.4046,3.3664
2010-03-04,3.3695,3.3403,3.415,3.3764
2010-03-05,3.383,3.3556,3.4273,3.3928
2010-03-08,3.4024,3.3782,3.4483,3.4134
2010-03-09,3.4213,3.399,3.4924,3.4571
2010-03-10,3.4777,3.454,3.5536,3.511
2010-03-11,3.5323,3.5081,3.6212,3.582
2010-03-12,3.6045,3.5574,3.688,3.6285
2010-03-15,3.641,3.5925,3.7233,3.6637
2010-03-16,3.6807,3.6329,3.7673,3.7107
2010-03-17,3.7313,3.6767,3.8175,3.7542
2010-03-18,3.7774,3.7184,3.8567,3.7919
2010-03-19,3.8146,3.7476,3.8892,3.8152
2010-03-22,3.8354,3.7726,3.9237,3.8497
2010-03-23,3.8732,3.8137,3.9598,3.8899
2010-03-24,3.9088,3.8539,3.9965,3.9283
2010-03-25,3.9542,3.903,4.0478,3.9749
2010-03-26,4.0051,3.9508,4.0935,4.021
2010-03-29,4.0554,3.9802,4.1386,4.0504
2010-03-30,4.0772,4.0002,4.1572,4.0675
2010-03-31,4.0918,4.0132,4.1655,4.0775
2010-04-01,4.105,4.0242,4.1773,4.0968
2010-04-05,4.1302,4.0523,4.1953,4.1201
2010-04-06,4.1515,4.0785,4.2115,4.1427
2010-04-07,4.1731,4.1061,4.2339,4.1685
2010-04-08,4.195,4.131,4.2623,4.2021
2010-04-09,4.233,4.1741,4.2963,4.241
2010-04-12,4.2765,4.2202,4.3351,4.2867
2010-04-13,4.3175,4.2642,4.376,4.3272
2010-04-14,4.3646,4.315,4.4379,4.3939
2010-04-15,4.4336,4.3659,4.5079,4.4449
2010-04-16,4.4823,4.3819,4.5509,4.4684
2010-04-19,4.5108,4.4177,4.5998,4.5199
2010-04-20,4.5721,4.4768,4.6569,4.5753
2010-04-21,4.6289,4.5213,4.7076,4.6224
2010-04-22,4.6642,4.5576,4.7397,4.66
2010-04-23,4.6977,4.5963,4.7742,4.6933
2010-04-26,4.7202,4.6103,4.7917,4.6999
2010-04-27,4.7182,4.597,4.7853,4.6794
2010-04-28,4.703,4.5893,4.7766,4.6686
2010-04-29,4.6969,4.5891,4.7732,4.6665
2010-04-30,4.6905,4.5745,4.7599,4.644
2010-05-03,4.6736,4.5592,4.7381,4.6243
2010-05-04,4.6443,4.529,4.7039,4.5896
2010-05-05,4.5975,4.4807,4.6589,4.5475
2010-05-06,4.5552,4.4203,4.6166,4.4929
2010-05-07,4.5022,4.3638,4.562,4.4365
2010-05-10,4.4753,4.3331,4.5305,4.4037
2010-05-11,4.4306,4.2995,4.4898,4.3681
2010-05-12,4.3979,4.2707,4.4503,4.3356
2010-05-13,4.3598,4.2392,4.4075,4.2981
2010-05-14,4.3144,4.1947,4.3577,4.2536
2010-05-17,4.2698,4.1383,4.3087,4.2004
2010-05-18,4.2235,4.0814,4.2593,4.1397
2010-05-19,4.1614,4.0302,4.2048,4.0925
2010-05-20,4.1074,3.9748,4.1482,4.0335
2010-05-21,4.0386,3.9172,4.1008,3.9919
2010-05-24,4.0066,3.8887,4.0717,3.9583
2010-05-25,3.9581,3.8442,4.0328,3.9288
2010-05-26,3.9453,3.8319,4.0196,3.9095
2010-05-27,3.9404,3.8336,4.0126,3.9082
2010-05-28,3.937,3.8349,4.0054,3.9039
2010-06-01,3.9246,3.8278,3.9931,3.891
2010-06-02,3.9139,3.8241,3.9803,3.8874
2010-06-03,3.912,3.8299,3.9792,3.8892
2010-06-04,3.9007,3.821,3.9681,3.876
2010-06-07,3.8871,3.7984,3.9497,3.8496
2010-06-08,3.8635,3.7801,3.9261,3.8325
2010-06-09,3.8514,3.7746,3.9187,3.8321
2010-06-10,3.8572,3.7814,3.9196,3.836
2010-06-11,3.8558,3.7875,3.9179,3.8394
2010-06-14,3.8615,3.7975,3.9184,3.8437
2010-06-15,3.8686,3.8087,3.9251,3.859
2010-06-16,3.879,3.823,3.9329,3.8737
2010-06-17,3.894,3.8344,3.9433,3.8842
2010-06-18,3.9039,3.8467,3.951,3.8989
