date,open,low,high,close
2010-01-04,173.0762,172.3447,175.2229,173.5606
2010-01-05,173.0744,172.3495,175.2471,173.5936
2010-01-06,173.1126,172.3774,175.2499,173.604
2010-01-07,173.1379,172.4104,175.3105,173.6567
2010-01-08,173.1796,172.4352,175.3424,173.6654
2010-01-11,173.2213,172.3747,175.3341,173.6196
2010-01-12,173.1412,172.2034,175.1758,173.4931
2010-01-13,173.0128,172.0371,175.0181,173.4218
2010-01-14,172.8995,171.9196,174.9108,173.334
2010-01-15,172.7736,171.6926,174.688,173.1658
2010-01-19,172.5619,171.5053,174.4791,173.0813
2010-01-20,172.4328,171.332,174.325,172.9894
2010-01-21,172.3703,170.8143,174.256,172.7346
2010-01-22,171.9686,170.0515,173.7625,172.229
2010-01-25,171.4752,169.5119,173.2581,171.7968
2010-01-26,170.9619,168.9161,172.7088,171.3242
2010-01-27,170.3125,168.0914,171.941,170.6954
2010-01-28,169.8227,167.5508,171.4042,170.3604
2010-01-29,169.4754,167.0305,170.9694,169.8181
2010-02-01,168.9801,166.4794,170.594,169.4838
2010-02-02,168.5752,166.1952,170.2765,169.3143
2010-02-03,168.4002,166.0441,170.0853,169.1011
2010-02-04,168.125,165.5963,169.7438,168.683
2010-02-05,167.6122,164.9843,169.25,168.3258
2010-02-08,167.2354,164.4704,168.7483,167.845
2010-02-09,166.7482,163.8053,168.0817,167.3672
2010-02-10,166.232,163.3341,167.5659,166.9872
2010-02-11,165.8493,162.9507,167.1177,166.6628
2010-02-12,165.3924,162.4994,166.6267,166.3322
2010-02-16,165.1198,162.2699,166.3639,166.1507
2010-02-17,164.9637,162.102,166.1395,165.9652
2010-02-18,164.7428,161.9399,165.8724,165.7779
2010-02-19,164.5369,161.7829,165.6785,165.6333
2010-02-22,164.4137,161.6645,165.507,165.4836
2010-02-23,164.2832,161.5525,165.4203,165.3437
2010-02-24,164.2176,161.5061,165.3534,165.2863
2010-02-25,164.1342,161.4152,165.2284,165.1973
2010-02-26,164.0423,161.3323,165.0721,165.0583
2010-03-01,163.9002,161.2525,164.943,164.9438
2010-03-02,163.8074,161.1977,164.8792,164.8808
2010-03-03,163.7507,161.1563,164.7999,164.8161
2010-03-04,163.6834,161.129,164.7928,164.8082
2010-03-05,163.6906,161.1486,164.8094,164.8232
2010-03-08,163.7225,161.2094,164.8689,164.874
2010-03-09,163.7756,161.2811,164.9324,164.8968
2010-03-10,163.8192,161.3423,164.9912,164.9515
2010-03-11,163.8719,161.4298,165.0696,165.0343
2010-03-12,163.9956,161.6044,165.2271,165.1417
2010-03-15,164.1127,161.7054,165.3578,165.2495
2010-03-16,164.2483,161.8699,165.52,165.3944
2010-03-17,164.4757,162.1365,165.7682,165.6066
2010-03-18,164.6845,162.4151,166.0111,165.8111
2010-03-19,164.9251,162.6445,166.2118,165.9962
2010-03-22,165.0762,162.8285,166.3751,166.1404
2010-03-23,165.2322,162.9697,166.5396,166.2599
2010-03-24,165.3342,163.1191,166.6887,166.3652
2010-03-25,165.4697,163.295,166.9095,166.4817
2010-03-26,165.6022,163.3964,167.0313,166.5523
2010-03-29,165.7025,163.4868,167.1095,166.6257
2010-03-30,165.7841,163.5377,167.1717,166.6535
2010-03-31,165.8018,163.5654,167.1996,166.6766
2010-04-01,165.8313,163.6044,167.2372,166.7076
2010-04-05,165.868,163.6501,167.2724,166.7391
2010-04-06,165.9036,163.6967,167.329,166.7871
2010-04-07,165.9496,163.742,167.3766,166.8406
