,open,low,high,close
2010-01-04,-3.42,0.49,-0.35,3.58
2010-01-05,2.02,3.36,2.76,2.74
2010-01-06,3.42,2.76,1.431,2.48
2010-01-07,0.64,0.45,2.0,1.1
2010-01-08,-0.07,-1.37,-0.315,-2.2
2010-01-11,-2.97,-7.4301,-5.78,-8.29
2010-01-12,-9.69,-10.76,-10.95,-10.66
2010-01-13,-10.88,-9.52,-9.32,-7.69
2010-01-14,-9.99,-9.2175,-8.66,-8.72
2010-01-15,-9.41,-10.92,-10.45,-11.39
2010-01-19,-11.46,-11.11,-10.0525,-10.04
2010-01-20,-9.73,-7.11,-8.02,-5.04
2010-01-21,-2.11,-13.24,-1.44,-9.14
2010-01-22,-12.98,-19.0,-13.88,-17.88
2010-01-25,-15.51,-15.78,-13.7,-16.15
2010-01-26,-9.36,-12.52,-9.8,-13.28
2010-01-27,-13.52,-14.95,-13.37,-12.31
2010-01-28,-11.24,-14.82,-14.79,-16.37
2010-01-29,-16.81,-19.26,-16.45,-18.91
2010-02-01,-17.83,-16.36,-12.56,-13.53
2010-02-02,-14.3,-10.29,-11.66,-7.36
2010-02-03,-9.58,-6.42,-7.86,-10.01
2010-02-04,-11.25,-13.31,-11.3,-13.17
2010-02-05,-12.305,-12.18,-9.64,-7.68
2010-02-08,-7.86,-9.9,-12.45,-15.34
2010-02-09,-13.99,-14.51,-14.41,-14.24
2010-02-10,-14.77,-13.66,-12.6,-12.37
2010-02-11,-12.08,-11.61,-11.18,-12.05
2010-02-12,-12.44,-10.97,-11.5,-8.81
2010-02-16,-8.55,-8.47,-8.15,-7.59
2010-02-17,-4.31,-5.02,-5.43,-3.67
2010-02-18,-6.2,-5.32,-6.79,-7.46
2010-02-19,-9.28,-8.93,-9.75,-9.27
2010-02-22,-8.3,-8.47,-8.33,-7.89
2010-02-23,-8.25,-7.48,-5.59,-6.93
2010-02-24,-6.66,-6.44,-5.65,-5.64
2010-02-25,-7.8,-9.17,-9.27,-7.67
2010-02-26,-8.22,-7.95,-8.2,-7.77
2010-03-01,-7.55,-7.52,-8.99,-10.16
2010-03-02,-10.11,-10.0188,-10.38,-10.09
2010-03-03,-11.01,-12.28,-14.8,-15.36
2010-03-04,-14.75,-14.46,-12.41,-12.53
2010-03-05,-10.27,-8.76,-7.13,-7.08
2010-03-08,-6.44,-6.49,-8.06,-7.83
2010-03-09,-7.11,-5.95,-5.23,-5.46
2010-03-10,-4.8,-1.65,-2.72,0.38
2010-03-11,1.39,4.07,3.09,5.69
2010-03-12,7.0,7.88,6.67,5.89
2010-03-15,5.95,3.1675,4.48,5.0
2010-03-16,6.73,8.98,8.62,10.98
2010-03-17,11.85,11.67,10.4825,9.78
2010-03-18,10.4,11.34,9.57,9.66
2010-03-19,8.9,19.18,7.21,17.03
2010-03-22,17.52,22.98,17.2,22.0375
2010-03-23,20.12,18.79,18.51,19.85
2010-03-24,18.73,22.94,19.46,23.53
2010-03-25,24.49,26.51,25.8,23.4
2010-03-26,21.15,21.96,20.28,19.58
