,open,low,high,close
2010-01-04,51.8217,52.7334,53.2262,52.724
2010-01-05,52.8566,53.9554,54.0511,53.6952
2010-01-06,53.673,54.4214,53.63,53.0147
2010-01-07,53.2553,54.4962,54.9955,54.0879
2010-01-08,53.9465,54.4962,54.3579,52.8777
2010-01-11,53.4388,52.8766,53.231,51.9109
2010-01-12,51.4795,51.2991,51.1473,50.6306
2010-01-13,50.7304,50.8964,50.7897,51.041
2010-01-14,50.7266,51.3625,51.2391,50.8553
2010-01-15,50.5744,50.195,49.9491,49.724
2010-01-19,49.5945,49.8971,49.7734,50.283
2010-01-20,49.8957,50.0832,50.1202,50.5978
2010-01-21,51.2053,46.8987,51.3513,48.2841
2010-01-22,47.3802,45.1508,46.6775,46.1891
2010-01-25,46.5266,46.1665,46.1272,46.4899
2010-01-26,46.1239,44.7435,45.4508,45.2631
2010-01-27,44.7798,43.8643,44.1451,45.4843
2010-01-28,46.1156,44.6292,45.1637,46.1237
2010-01-29,46.1955,43.8551,45.046,44.7607
2010-02-01,44.7126,44.4956,45.2139,46.3174
2010-02-02,46.1694,46.4655,46.2304,47.6144
2010-02-03,47.7308,47.93,47.3086,47.7122
2010-02-04,46.8727,45.4939,45.8228,45.7506
2010-02-05,45.475,44.9427,45.2271,46.9295
2010-02-08,46.7279,45.7673,45.2904,46.0349
2010-02-09,46.2369,45.3529,44.8873,46.506
2010-02-10,46.2625,46.2456,45.7229,46.8926
2010-02-11,46.8617,46.4522,45.7113,47.036
2010-02-12,46.2091,46.0445,45.3907,46.9992
2010-02-16,47.2865,47.5049,46.8875,48.1936
2010-02-17,48.2577,48.0054,47.0923,48.1491
2010-02-18,47.4704,47.6503,46.4447,47.6598
2010-02-19,47.1107,47.5005,46.6359,47.8184
2010-02-22,48.089,48.1551,47.0905,48.0071
2010-02-23,47.9582,48.1076,48.1281,48.0038
2010-02-24,48.1531,48.5211,47.7202,48.5951
2010-02-25,47.7721,47.4988,46.546,47.8349
2010-02-26,47.7835,47.9102,46.8065,47.931
2010-03-01,47.8795,48.309,47.4225,48.0023
2010-03-02,48.1395,48.6342,48.1088,48.8302
2010-03-03,48.8596,48.7759,47.978,48.4644
2010-03-04,48.5683,49.1681,50.0063,50.6155
2010-03-05,51.1407,52.089,51.9131,51.8542
2010-03-08,52.1239,53.0681,52.9256,52.7522
2010-03-09,52.5933,53.2813,53.5412,52.3824
2010-03-10,52.9573,53.6264,53.5984,53.4188
2010-03-11,53.3565,54.5023,54.1035,53.9369
2010-03-12,54.5973,55.6112,55.2197,54.413
2010-03-15,54.167,53.9423,54.6633,53.8547
2010-03-16,54.2983,55.1448,55.155,54.7334
2010-03-17,55.168,55.8852,55.7393,54.8812
2010-03-18,54.8909,55.9183,55.6736,55.1492
2010-03-19,55.5751,56.0265,55.8608,55.2993
2010-03-22,54.735,55.6814,55.2114,54.5802
2010-03-23,54.7491,54.7571,55.139,54.0359
2010-03-24,53.6441,54.8945,54.696,53.8631
2010-03-25,54.2201,55.3436,55.871,54.0375
2010-03-26,54.2707,53.9679,54.1939,53.1903
2010-03-29,53.6211,53.8398,53.6646,53.6201
2010-03-30,53.7664,53.3913,53.8175,52.5105
2010-03-31,51.9576,52.9855,52.2545,52.202
2010-04-01,52.6122,52.8173,52.4076,52.032
2010-04-05,52.1751,52.9345,53.0252,53.1446
