,open,low,high,close
2010-01-04,165.007,164.1649,166.969,165.734
2010-01-05,166.126,165.4019,168.257,167.029
2010-01-06,167.285,166.4359,169.12,167.91
2010-01-07,168.167,167.3809,170.365,169.217
2010-01-08,169.294,168.4369,171.528,170.285
2010-01-11,170.4,169.1579,172.544,171.044
2010-01-12,170.998,169.5119,173.021,171.45
2010-01-13,171.351,169.8029,173.469,171.945
2010-01-14,171.745,170.1551,173.813,172.128
2010-01-15,171.776,169.9202,173.58,171.765
2010-01-19,171.272,169.3592,172.8948,171.143
2010-01-20,170.552,168.5342,172.0868,170.308
2010-01-21,169.943,166.8352,171.6488,168.969
2010-01-22,168.38,164.6652,169.7488,166.614
2010-01-25,166.36,162.7202,167.8358,164.681
2010-01-26,164.345,160.7382,165.9798,162.613
2010-01-27,162.419,158.8622,164.2248,160.981
2010-01-28,161.041,157.2452,162.7778,159.403
2010-01-29,159.685,155.305,161.1938,157.422
2010-02-01,157.907,153.768,159.9388,156.214
2010-02-02,156.771,152.743,158.949,155.222
2010-02-03,155.983,152.022,158.125,154.166
2010-02-04,154.581,151.39,156.631,153.147
2010-02-05,153.7935,151.052,156.102,153.151
2010-02-08,153.6075,150.684,155.732,152.763
2010-02-09,153.3865,150.579,155.435,152.924
2010-02-10,153.5885,150.928,155.677,153.137
2010-02-11,153.6055,151.158,155.689,153.213
2010-02-12,153.3985,151.491,155.651,153.734
2010-02-16,153.9465,152.03,155.9,154.161
2010-02-17,154.3815,152.246,155.969,154.193
2010-02-18,154.1505,152.023,155.634,154.043
2010-02-19,154.0745,152.427,155.728,154.593
2010-02-22,154.713,153.143,156.079,154.848
2010-02-23,154.967,153.652,156.64,155.408
2010-02-24,155.431,154.374,157.212,155.992
2010-02-25,155.777,154.63,157.321,156.238
2010-02-26,155.963,154.931,157.488,156.468
2010-03-01,156.377,155.434,157.867,156.729
2010-03-02,156.565,155.665,158.068,156.864
2010-03-03,156.669,155.807,158.194,156.91
2010-03-04,156.933,156.13,158.92,157.698
2010-03-05,157.993,157.181,160.045,158.798
2010-03-08,159.061,158.324,161.317,160.111
2010-03-09,160.302,159.533,162.516,161.326
2010-03-10,161.594,160.733,163.825,162.687
2010-03-11,163.111,162.411,165.538,164.429
2010-03-12,164.986,164.285,167.473,166.29
2010-03-15,166.73,165.706,169.164,167.989
2010-03-16,168.445,167.371,170.831,169.733
2010-03-17,170.227,169.205,172.674,171.625
2010-03-18,172.022,170.96,174.064,173.009
2010-03-19,173.33,172.055,175.06,174.081
2010-03-22,174.163,172.832,175.686,174.7127
2010-03-23,174.866,173.361,176.147,175.3108
2010-03-24,175.204,173.838,176.509,175.5577
2010-03-25,175.588,174.206,177.025,175.6968
2010-03-26,175.625,173.997,176.939,175.4878
2010-03-29,175.617,174.123,176.862,175.5397
2010-03-30,175.61,173.837,176.698,175.0588
2010-03-31,174.924,173.265,176.076,174.4578
2010-04-01,174.476,172.649,175.501,173.7348
2010-04-05,173.725,172.031,175.017,173.2608
2010-04-06,173.365,171.723,174.711,172.935
2010-04-07,173.029,171.675,174.82,173.088
2010-04-08,173.275,171.839,175.304,173.597
2010-04-09,173.779,172.111,175.531,174.019
2010-04-12,174.177,172.704,176.0214,174.516
2010-04-13,174.546,173.251,176.5784,175.036
2010-04-14,175.511,174.488,177.6944,176.39
2010-04-15,177.065,175.869,179.0884,177.754
2010-04-16,178.255,174.474,180.5294,176.802
2010-04-19,176.747,172.997,179.5654,175.818
2010-04-20,176.13,171.582,178.8474,174.526
2010-04-21,175.008,170.001,177.3714,172.783
2010-04-22,173.191,168.102,175.4914,170.738
2010-04-23,171.182,166.052,173.4634,168.566
2010-04-26,168.918,163.42,171.124,165.985
2010-04-27,166.187,160.724,168.743,163.364
2010-04-28,163.462,157.886,165.914,160.573
2010-04-29,160.863,155.354,163.459,158.17
2010-04-30,157.691,154.129,160.068,156.62
2010-05-03,156.915,153.2825,158.76,155.238
2010-05-04,155.174,152.2655,157.324,154.185
