,open,low,high,close
2010-01-04,164.7003,163.8459,166.3047,164.9467
2010-01-05,165.3243,164.5489,167.1707,165.8813
2010-01-06,166.2377,165.4938,168.2987,167.135
2010-01-07,167.47,166.7878,169.861,168.7987
2010-01-08,169.0517,168.3428,171.634,170.5747
2010-01-11,170.726,169.8135,173.2897,172.1263
2010-01-12,172.099,170.8929,174.441,173.097
2010-01-13,172.9273,171.4149,175.0503,173.482
2010-01-14,173.1817,171.3607,175.0523,173.2243
2010-01-15,172.803,170.6522,174.351,172.2977
2010-01-19,171.788,169.4889,173.1509,171.032
2010-01-20,170.4657,168.2017,171.8472,169.816
2010-01-21,169.2857,166.7874,170.7804,168.604
2010-01-22,168.041,165.1291,169.5383,167.0847
2010-01-25,166.6247,163.3593,168.2472,165.529
2010-01-26,165.1627,161.4619,166.9139,163.744
2010-01-27,163.534,159.2502,165.3277,161.5727
2010-01-28,161.5437,156.9014,163.2914,159.1497
2010-01-29,159.369,154.7163,161.0485,156.82
2010-02-01,157.2943,152.8537,159.0696,154.909
2010-02-02,155.56,151.4253,157.4407,153.541
2010-02-03,154.4013,150.7317,156.4087,152.8967
2010-02-04,153.779,150.5897,155.9137,152.7083
2010-02-05,153.5378,150.7103,155.9313,152.954
2010-02-08,153.5867,151.0327,156.0897,153.312
2010-02-09,153.8142,151.398,156.2173,153.5833
2010-02-10,153.912,151.4867,156.1587,153.5327
2010-02-11,153.7418,151.3407,155.8417,153.4033
2010-02-12,153.5888,151.2537,155.4973,153.3533
2010-02-16,153.591,151.2573,155.2717,153.332
2010-02-17,153.6215,151.4127,155.223,153.5373
2010-02-18,153.7783,151.8053,155.348,153.961
2010-02-19,154.1105,152.451,155.682,154.5757
2010-02-22,154.6327,153.1997,156.1563,155.1707
2010-02-23,155.1533,153.9163,156.7117,155.75
2010-02-24,155.6177,154.5423,157.1977,156.155
2010-02-25,155.926,154.9443,157.5233,156.413
2010-02-26,156.198,155.268,157.8073,156.6067
2010-03-01,156.4433,155.5217,158.046,156.7237
2010-03-02,156.54,155.6457,158.1537,156.8163
2010-03-03,156.643,155.738,158.1857,156.912
2010-03-04,156.8353,155.9213,158.4293,157.2227
2010-03-05,157.302,156.448,159.0533,157.8823
2010-03-08,158.0893,157.3253,160.091,158.9797
2010-03-09,159.301,158.5677,161.533,160.4193
2010-03-10,160.8743,160.1647,163.42,162.2647
2010-03-11,162.8293,162.1827,165.6243,164.4603
2010-03-12,165.047,164.3743,167.8513,166.6647
2010-03-15,167.172,166.3387,169.8533,168.631
2010-03-16,169.0883,168.112,171.5827,170.3987
2010-03-17,170.8233,169.739,173.0817,171.9863
2010-03-18,172.3443,171.13,174.2903,173.2313
2010-03-19,173.533,172.153,175.2373,174.2443
2010-03-22,174.467,173.0377,175.973,175.0856
2010-03-23,175.2627,173.816,176.5713,175.7585
2010-03-24,175.7807,174.3447,176.965,176.1124
2010-03-25,176.0467,174.6207,177.2067,176.2247
2010-03-26,176.059,174.61,177.218,176.0379
2010-03-29,175.8873,174.4147,177.083,175.6829
2010-03-30,175.574,173.9713,176.822,175.1253
2010-03-31,175.0753,173.4107,176.4047,174.4871
2010-04-01,174.5667,172.7383,175.827,173.7672
2010-04-05,173.9333,172.024,175.1463,173.1419
2010-04-06,173.3517,171.4613,174.5387,172.646
2010-04-07,172.8023,171.0887,174.119,172.3863
2010-04-08,172.5227,170.9833,174.0717,172.5373
2010-04-09,172.6497,171.271,174.4677,173.111
2010-04-12,173.1833,172.0037,175.3218,173.9967
2010-04-13,174.0387,172.973,176.4499,175.0843
2010-04-14,175.3033,174.2673,177.8641,176.4957
2010-04-15,176.9283,175.7707,179.3342,177.9
2010-04-16,178.4613,176.3613,180.68,178.3947
2010-04-19,178.917,175.924,181.1707,178.1087
2010-04-20,178.7127,174.5807,180.9845,177.0243
2010-04-21,177.602,172.203,179.8347,174.862
2010-04-22,175.2037,168.571,177.6303,171.5737
