date,open,low,high,close
2010-01-04,175.3343,173.2859,177.1302,175.2352
2010-01-05,175.4199,173.3653,177.2094,175.3066
2010-01-06,175.4895,173.4303,177.2732,175.364
2010-01-07,175.5453,173.4816,177.3248,175.4091
2010-01-08,175.5877,173.5195,177.3641,175.4409
2010-01-11,175.6187,173.5455,177.3918,175.4604
2010-01-12,175.6349,173.5564,177.4046,175.4647
2010-01-13,175.6378,173.5534,177.4033,175.4559
2010-01-14,175.628,173.5391,177.3904,175.4365
2010-01-15,175.607,173.5135,177.3669,175.4062
2010-01-19,175.575,173.4768,177.332,175.3657
2010-01-20,175.5323,173.4314,177.287,175.3179
2010-01-21,175.4818,173.3746,177.2327,175.2577
2010-01-22,175.418,173.3049,177.1652,175.1849
2010-01-25,175.3423,173.2243,177.0864,175.101
2010-01-26,175.2556,173.1322,176.9968,175.0055
2010-01-27,175.1581,173.0316,176.8971,174.9023
2010-01-28,175.0521,172.9219,176.7876,174.7886
2010-01-29,174.9369,172.8049,176.6697,174.6688
2010-02-01,174.8152,172.6837,176.5463,174.5433
2010-02-02,174.6892,172.5569,176.4179,174.4116
2010-02-03,174.5563,172.4242,176.2826,174.2742
2010-02-04,174.4162,172.2839,176.1397,174.1269
2010-02-05,174.2672,172.1345,175.9889,173.9727
2010-02-08,174.1107,171.9761,175.8292,173.8084
2010-02-09,173.9445,171.8068,175.6593,173.6339
2010-02-10,173.7664,171.625,175.4769,173.4464
2010-02-11,173.5762,171.4314,175.282,173.2474
2010-02-12,173.3735,171.2264,175.0755,173.0377
2010-02-16,173.16,171.0112,174.8588,172.8187
2010-02-17,172.9378,170.7871,174.6331,172.5909
2010-02-18,172.7067,170.5543,174.3988,172.3535
2010-02-19,172.4667,170.3146,174.1563,172.1096
2010-02-22,172.2209,170.0695,173.9084,171.861
2010-02-23,171.9696,169.8181,173.6548,171.6064
2010-02-24,171.7129,169.5612,173.3962,171.3466
2010-02-25,171.4536,169.3015,173.1348,171.0849
2010-02-26,171.1924,169.0387,172.8709,170.8203
2010-03-01,170.9273,168.7718,172.6015,170.5492
2010-03-02,170.6554,168.5002,172.3266,170.274
2010-03-03,170.3795,168.2251,172.0484,169.9955
2010-03-04,170.1003,167.9489,171.7683,169.7176
2010-03-05,169.8205,167.674,171.489,169.4405
2010-03-08,169.5423,167.4018,171.2127,169.1679
2010-03-09,169.2694,167.135,170.9424,168.9007
2010-03-10,169.0017,166.8738,170.6763,168.638
2010-03-11,168.7383,166.6175,170.4145,168.3797
2010-03-12,168.4797,166.3664,170.1581,168.1277
2010-03-15,168.2267,166.1214,169.9085,167.8817
2010-03-16,167.9808,165.8844,169.6665,167.6448
2010-03-17,167.7431,165.6556,169.4326,167.4158
2010-03-18,167.515,165.4368,169.2084,167.1978
2010-03-19,167.2979,165.2284,168.9948,166.9893
2010-03-22,167.0898,165.028,168.789,166.7883
2010-03-23,166.8891,164.8335,168.5906,166.5941
2010-03-24,166.6947,164.6459,168.3994,166.4079
2010-03-25,166.5085,164.4663,168.2173,166.2299
2010-03-26,166.3308,164.294,168.0431,166.0599
2010-03-29,166.161,164.1281,167.8767,165.8965
2010-03-30,165.9972,163.9673,167.716,165.7379
2010-03-31,165.8378,163.8109,167.5601,165.5845
2010-04-01,165.6838,163.6586,167.4077,165.434
2010-04-05,165.5327,163.5091,167.2584,165.2866
2010-04-06,165.3854,163.3629,167.1132,165.1426
2010-04-07,165.2415,163.2202,166.9707,165.0013
2010-04-08,165.1015,163.0818,166.8328,164.8657
2010-04-09,164.966,162.9492,166.6999,164.7364
2010-04-12,164.8388,162.8258,166.5758,164.6163
2010-04-13,164.7196,162.7111,166.4602,164.5042
2010-04-14,164.6098,162.6049,166.3533,164.4008
2010-04-15,164.5094,162.5088,166.2562,164.3079
2010-04-16,164.4194,162.4159,166.1697,164.2183
2010-04-19,164.332,162.3244,166.0866,164.1305
2010-04-20,164.2466,162.2395,166.0059,164.0486
2010-04-21,164.1688,162.1629,165.9328,163.9751
2010-04-22,164.0981,162.0932,165.8672,163.9092
2010-04-23,164.0354,162.0323,165.8091,163.8525
2010-04-26,163.9815,161.9785,165.7589,163.8015
2010-04-27,163.9321,161.9312,165.7153,163.7573
2010-04-28,163.8893,161.8915,165.6785,163.721
2010-04-29,163.8551,161.8587,165.6481,163.6914
2010-04-30,163.8245,161.8271,165.6204,163.6625
2010-05-03,163.7953,161.7958,165.5941,163.6349
2010-05-04,163.7687,161.7689,165.5714,163.6131
2010-05-05,163.747,161.7475,165.5532,163.5943
2010-05-06,163.7288,161.7291,165.5393,163.5801
2010-05-07,163.7149,161.7153,165.53,163.5698
2010-05-10,163.7069,161.7058,165.5261,163.5638
2010-05-11,163.7024,161.7002,165.5266,163.5612
2010-05-12,163.7028,161.6988,165.5318,163.563
2010-05-13,163.7075,161.7006,165.5404,163.5666
2010-05-14,163.7134,161.7039,165.5505,163.5717
2010-05-17,163.7216,161.7083,165.563,163.5789
2010-05-18,163.7326,161.7124,165.5771,163.5855
2010-05-19,163.7422,161.7148,165.5902,163.5913
2010-05-20,163.7508,161.716,165.6014,163.5956
2010-05-21,163.7578,161.7153,165.6118,163.5986
2010-05-24,163.7631,161.7121,165.6212,163.5986
2010-05-25,163.7648,161.7055,165.6294,163.5969
2010-05-26,163.7657,161.6967,165.6374,163.5943
2010-05-27,163.7664,161.6864,165.6446,163.5904
2010-05-28,163.7656,161.6745,165.6503,163.5853
2010-06-01,163.7636,161.6598,165.6528,163.5745
2010-06-02,163.756,161.6383,165.6488,163.5578
2010-06-03,163.7419,161.609,165.6372,163.5325
2010-06-04,163.7189,161.5709,165.6163,163.4982
2010-06-07,163.6862,161.5222,165.5862,163.4534
2010-06-08,163.6436,161.462,165.5455,163.3972
2010-06-09,163.5891,161.3893,165.4925,163.3284
2010-06-10,163.5229,161.3043,165.4272,163.2469
