date,open,low,high,close
2010-01-04,168.9796,167.1921,170.6162,168.8035
2010-01-05,168.9682,167.2345,170.6597,168.9092
2010-01-06,169.0452,167.3241,170.683,168.9597
2010-01-07,169.0947,167.4278,170.8247,169.1303
2010-01-08,169.2192,167.5395,170.9297,169.1976
2010-01-11,169.3075,167.5449,170.9627,169.1817
2010-01-12,169.2393,167.4468,170.8556,169.0546
2010-01-13,169.1157,167.3298,170.7332,168.9798
2010-01-14,169.0019,167.258,170.655,168.8957
2010-01-15,168.8843,167.1086,170.4898,168.712
2010-01-19,168.6913,166.9476,170.3223,168.5931
2010-01-20,168.5353,166.8086,170.1902,168.5116
2010-01-21,168.5015,166.4304,170.1593,168.2118
2010-01-22,168.1281,165.9162,169.7671,167.7014
2010-01-25,167.6828,165.4897,169.3397,167.233
2010-01-26,167.2102,164.9512,168.8653,166.643
2010-01-27,166.6137,164.3444,168.2857,166.0851
2010-01-28,166.1443,163.8065,167.7947,165.6006
2010-01-29,165.6943,163.2091,167.3053,164.9755
2010-02-01,165.1023,162.6673,166.8382,164.507
2010-02-02,164.6463,162.2817,166.4541,164.1735
2010-02-03,164.3411,162.0179,166.1594,163.8563
2010-02-04,163.9562,161.5424,165.7448,163.3333
2010-02-05,163.4343,161.0263,165.2876,162.9359
2010-02-08,163.0382,160.5876,164.8472,162.4504
2010-02-09,162.6028,160.124,164.3843,162.0243
2010-02-10,162.1834,159.7449,163.996,161.6506
2010-02-11,161.8323,159.3962,163.6209,161.3043
2010-02-12,161.4279,159.0239,163.2319,160.9664
2010-02-16,161.1336,158.7788,162.9628,160.755
2010-02-17,160.9397,158.5848,162.7196,160.5495
2010-02-18,160.6776,158.3708,162.4345,160.3046
2010-02-19,160.3902,158.1531,162.1735,160.0838
2010-02-22,160.2003,157.9943,161.9528,159.888
2010-02-23,160.0055,157.8399,161.814,159.7001
2010-02-24,159.8362,157.7249,161.6503,159.5736
2010-02-25,159.6342,157.5297,161.3982,159.3768
2010-02-26,159.4377,157.3702,161.1696,159.1928
2010-03-01,159.2544,157.2457,160.9907,159.0223
2010-03-02,159.1011,157.1515,160.8668,158.9303
2010-03-03,159.0145,157.0724,160.7375,158.8088
2010-03-04,158.9069,157.0259,160.7577,158.8841
2010-03-05,159.0292,157.2083,160.9244,159.0784
2010-03-08,159.2431,157.4706,161.1705,159.3581
2010-03-09,159.4984,157.7471,161.4626,159.6009
2010-03-10,159.7839,158.0482,161.7565,159.9438
2010-03-11,160.1048,158.4198,162.0882,160.3352
2010-03-12,160.542,158.8834,162.5078,160.7701
2010-03-15,160.9398,159.2228,162.8845,161.1533
2010-03-16,161.345,159.6619,163.2963,161.6178
2010-03-17,161.8274,160.1612,163.7501,162.091
2010-03-18,162.2803,160.6554,164.192,162.5821
2010-03-19,162.7905,161.1506,164.641,163.0802
2010-03-22,163.228,161.6154,165.0424,163.5143
2010-03-23,163.6609,162.0107,165.4335,163.8986
2010-03-24,164.0021,162.4121,165.7907,164.263
2010-03-25,164.3905,162.8452,166.2326,164.6378
2010-03-26,164.7774,163.1781,166.5609,164.9399
2010-03-29,165.1088,163.4973,166.8491,165.2759
2010-03-30,165.4476,163.7814,167.1449,165.5204
2010-03-31,165.643,164.0355,167.3358,165.7389
2010-04-01,165.8948,164.278,167.5393,165.9453
2010-04-05,166.1132,164.531,167.7901,166.2513
2010-04-06,166.3974,164.8643,168.059,166.5494
2010-04-07,166.6917,165.2201,168.4621,166.9635
2010-04-08,167.0932,165.6576,168.9599,167.4795
2010-04-09,167.6311,166.1652,169.4612,167.9787
2010-04-12,168.1333,166.6783,169.9365,168.4297
