date,open,low,high,close
2010-01-04,41.7011,41.347,42.1257,41.7702
2010-01-05,41.8048,41.4834,42.289,41.9521
2010-01-06,41.9615,41.6574,42.4605,42.1395
2010-01-07,42.1356,41.8434,42.7138,42.3919
2010-01-08,42.3484,42.0564,42.9029,42.6098
2010-01-11,42.6124,42.271,43.1208,42.7927
2010-01-12,42.7436,42.3347,43.2188,42.8591
2010-01-13,42.8204,42.3857,43.3437,42.9916
2010-01-14,42.9518,42.549,43.4814,43.1533
2010-01-15,43.0802,42.6243,43.5717,43.2035
2010-01-19,43.1106,42.6506,43.5887,43.2108
2010-01-20,43.1011,42.6562,43.5974,43.2288
2010-01-21,43.0952,42.4337,43.5548,42.9727
2010-01-22,42.8624,42.0896,43.3301,42.6096
2010-01-25,42.5669,41.7801,43.0024,42.2858
2010-01-26,42.2272,41.4468,42.7008,41.9196
2010-01-27,41.8579,41.1252,42.395,41.6729
2010-01-28,41.6505,40.8961,42.1707,41.4641
2010-01-29,41.46,40.6965,41.9497,41.2237
2010-02-01,41.2352,40.5302,41.7573,41.0719
2010-02-02,41.0985,40.4511,41.6547,41.0222
2010-02-03,41.0492,40.4243,41.6019,40.9525
2010-02-04,40.9292,40.2268,41.4417,40.7046
2010-02-05,40.7112,39.9218,41.1977,40.4756
2010-02-08,40.4806,39.674,40.9208,40.2113
2010-02-09,40.2625,39.4994,40.7093,40.0378
2010-02-10,40.1079,39.4061,40.5941,39.9266
2010-02-11,39.9872,39.3065,40.4776,39.8403
2010-02-12,39.8617,39.2163,40.354,39.7555
2010-02-16,39.7749,39.1719,40.3336,39.7854
2010-02-17,39.8211,39.2279,40.3447,39.8097
2010-02-18,39.8324,39.2795,40.3604,39.8668
2010-02-19,39.8589,39.3386,40.3928,39.8824
2010-02-22,39.9104,39.4254,40.4792,39.9745
2010-02-23,40.0047,39.4573,40.5526,39.9655
2010-02-24,40.009,39.509,40.5923,40.0498
2010-02-25,40.0234,39.5272,40.6016,40.106
2010-02-26,40.0868,39.6293,40.7639,40.2835
2010-03-01,40.2719,39.7989,40.8987,40.4308
2010-03-02,40.4346,39.9478,41.0417,40.544
2010-03-03,40.5503,40.0803,41.1387,40.6379
2010-03-04,40.6798,40.2308,41.2283,40.76
2010-03-05,40.836,40.4174,41.3847,40.9553
2010-03-08,41.0278,40.6129,41.5414,41.111
2010-03-09,41.1576,40.7497,41.6632,41.2356
2010-03-10,41.3207,40.946,41.8371,41.397
2010-03-11,41.472,41.1225,41.9669,41.5668
2010-03-12,41.6499,41.2871,42.1168,41.7176
2010-03-15,41.7709,41.4121,42.2209,41.8464
2010-03-16,41.9213,41.5338,42.3313,41.9791
2010-03-17,42.0535,41.6987,42.5007,42.1516
2010-03-18,42.2151,41.8369,42.6235,42.2933
2010-03-19,42.3584,41.96,42.7441,42.4035
