,open,low,high,close
2010-01-04,42.8401,42.9266,43.9095,42.7231
2010-01-05,42.8393,42.9245,43.9085,42.7311
2010-01-06,42.8457,42.9288,43.9105,42.7424
2010-01-07,42.858,42.9363,43.9206,42.7575
2010-01-08,42.87,42.9428,43.9271,42.7701
2010-01-11,42.8951,42.9635,43.9433,42.7915
2010-01-12,42.9086,42.963,43.9468,42.8027
2010-01-13,42.9188,42.9612,43.9542,42.8159
2010-01-14,42.9336,42.9718,43.9624,42.8299
2010-01-15,42.9457,42.9772,43.968,42.8389
2010-01-19,42.9517,42.9763,43.9649,42.8423
2010-01-20,42.9523,42.9728,43.9615,42.8484
2010-01-21,42.9536,42.899,43.9484,42.8027
2010-01-22,42.9021,42.7833,43.8911,42.7309
2010-01-25,42.8355,42.6681,43.7925,42.661
2010-01-26,42.7449,42.5562,43.7109,42.5847
2010-01-27,42.638,42.4258,43.5988,42.5124
2010-01-28,42.5773,42.3598,43.526,42.4784
2010-01-29,42.5394,42.3023,43.4673,42.4178
2010-02-01,42.4883,42.241,43.4102,42.378
2010-02-02,42.4423,42.2047,43.3665,42.3619
2010-02-03,42.4224,42.1778,43.3325,42.3265
2010-02-04,42.3787,42.0764,43.2662,42.2312
2010-02-05,42.2771,41.8836,43.1354,42.1126
2010-02-08,42.155,41.7115,42.9767,41.9699
2010-02-09,42.0251,41.5762,42.8272,41.8682
2010-02-10,41.9308,41.5007,42.7385,41.8065
2010-02-11,41.8633,41.4313,42.6698,41.7564
2010-02-12,41.789,41.3543,42.5878,41.7028
2010-02-16,41.7327,41.2997,42.5498,41.6799
2010-02-17,41.7121,41.2735,42.5172,41.655
2010-02-18,41.6854,41.2527,42.4894,41.6419
2010-02-19,41.6668,41.2357,42.4696,41.6233
2010-02-22,41.6508,41.2222,42.4549,41.6144
2010-02-23,41.6419,41.202,42.4414,41.5933
2010-02-24,41.6216,41.1885,42.4268,41.5877
2010-02-25,41.6121,41.1771,42.4127,41.5821
2010-02-26,41.606,41.173,42.4122,41.5842
2010-03-01,41.6084,41.1741,42.4108,41.5855
2010-03-02,41.6101,41.175,42.4108,41.5857
2010-03-03,41.6103,41.1757,42.4082,41.5854
2010-03-04,41.6119,41.1783,42.4064,41.5869
2010-03-05,41.6162,41.1862,42.4097,41.5973
2010-03-08,41.6286,41.2,42.4158,41.6051
2010-03-09,41.6343,41.2077,42.4193,41.6111
2010-03-10,41.6451,41.2266,42.4311,41.6225
2010-03-11,41.6582,41.2445,42.4397,41.6389
2010-03-12,41.6783,41.2635,42.4504,41.6509
2010-03-15,41.6887,41.2782,42.4575,41.6663
2010-03-16,41.7074,41.2928,42.4667,41.6817
2010-03-17,41.726,41.3251,42.4934,41.7172
2010-03-18,41.7583,41.3554,42.5116,41.7427
2010-03-19,41.781,41.3731,42.5254,41.7579
2010-03-22,41.7905,41.3878,42.5383,41.7773
2010-03-23,41.8125,41.4191,42.5717,41.8187
2010-03-24,41.8485,41.4601,42.6114,41.8651
2010-03-25,41.8962,41.5211,42.6826,41.9136
2010-03-26,41.9469,41.5795,42.7526,41.9675
2010-03-29,42.0119,41.629,42.8043,42.0146
2010-03-30,42.0584,41.6714,42.8386,42.0518
2010-03-31,42.0865,41.7074,42.8631,42.0786
2010-04-01,42.1202,41.7479,42.8855,42.1061
2010-04-05,42.1515,41.7759,42.907,42.1338
2010-04-06,42.1778,41.8078,42.9275,42.161
2010-04-07,42.2093,41.8309,42.9552,42.1798
2010-04-08,42.2218,41.8478,42.9754,42.2079
2010-04-09,42.2596,41.8996,43.0161,42.2575
2010-04-12,42.3084,41.9678,43.0574,42.299
2010-04-13,42.3471,42.0101,43.0916,42.3272
2010-04-14,42.4258,42.1067,43.1895,42.4421
2010-04-15,42.5417,42.2574,43.3258,42.5735
2010-04-16,42.6701,42.2954,43.4321,42.6064
2010-04-19,42.6985,42.3534,43.4638,42.6821
2010-04-20,42.7827,42.5039,43.5458,42.8203
2010-04-21,42.9016,42.6045,43.6771,42.9149
2010-04-22,42.9683,42.6559,43.7247,42.986
2010-04-23,43.0343,42.7191,43.7729,43.0535
2010-04-26,43.0861,42.7498,43.8037,43.074
2010-04-27,43.094,42.7413,43.8192,43.062
2010-04-28,43.089,42.7421,43.8168,43.0699
2010-04-29,43.1061,42.7599,43.8276,43.0867
2010-04-30,43.1227,42.754,43.8313,43.0807
2010-05-03,43.1201,42.7574,43.829,43.0935
2010-05-04,43.1165,42.7418,43.8155,43.0803
2010-05-05,43.0958,42.7149,43.8001,43.0684
2010-05-06,43.0847,42.6851,43.7734,43.0407
2010-05-07,43.0592,42.6618,43.7456,43.0174
2010-05-10,43.0467,42.6431,43.7352,43.0022
2010-05-11,43.0252,42.6227,43.7123,42.9838
2010-05-12,43.0079,42.6033,43.6926,42.972
2010-05-13,42.996,42.5904,43.6756,42.9585
2010-05-14,42.9828,42.5714,43.6565,42.9417
2010-05-17,42.9688,42.5438,43.6342,42.9274
2010-05-18,42.9577,42.5072,43.6154,42.8896
2010-05-19,42.9084,42.4765,43.5779,42.8704
2010-05-20,42.872,42.4102,43.5348,42.7973
2010-05-21,42.79,42.3413,43.5157,42.7819
2010-05-24,42.776,42.3014,43.4776,42.7192
2010-05-25,42.687,42.2096,43.4031,42.6697
2010-05-26,42.6475,42.1611,43.3439,42.6194
2010-05-27,42.6196,42.1352,43.3179,42.6043
2010-05-28,42.602,42.1056,43.289,42.5723
2010-06-01,42.5637,42.0484,43.239,42.4998
2010-06-02,42.5161,41.9931,43.1758,42.4621
2010-06-03,42.4888,41.9426,43.1281,42.416
2010-06-04,42.4243,41.8383,43.0184,42.3129
