,open,low,high,close
2010-01-04,41.4545,41.043,41.8335,41.4665
2010-01-05,41.4815,41.121,41.9,41.5635
2010-01-06,41.5725,41.2335,42.0065,41.697
2010-01-07,41.7115,41.3827,42.1925,41.876
2010-01-08,41.8675,41.5567,42.352,42.0505
2010-01-11,42.0555,41.7394,42.5335,42.2135
2010-01-12,42.2055,41.8489,42.6785,42.34
2010-01-13,42.3325,41.9574,42.8085,42.464
2010-01-14,42.4675,42.1314,42.963,42.6555
2010-01-15,42.624,42.2544,43.0995,42.7715
2010-01-19,42.741,42.3899,43.231,42.922
2010-01-20,42.865,42.5235,43.3555,43.0445
2010-01-21,42.9395,42.4645,43.401,42.9765
2010-01-22,42.872,42.321,43.3558,42.8375
2010-01-25,42.768,42.1905,43.2533,42.72
2010-01-26,42.634,42.029,43.1505,42.5475
2010-01-27,42.459,41.8545,43.0185,42.428
2010-01-28,42.3565,41.7175,42.9305,42.3275
2010-01-29,42.2755,41.596,42.842,42.198
2010-02-01,42.1495,41.471,42.732,42.0985
2010-02-02,42.05,41.3725,42.6165,41.9835
2010-02-03,41.9395,41.242,42.4795,41.814
2010-02-04,41.7565,40.994,42.271,41.5355
2010-02-05,41.499,40.6648,41.959,41.211
2010-02-08,41.195,40.3268,41.6385,40.862
2010-02-09,40.8485,40.0033,41.314,40.555
2010-02-10,40.581,39.7823,41.0815,40.324
2010-02-11,40.3455,39.5568,40.8235,40.0625
2010-02-12,40.069,39.2698,40.543,39.7755
2010-02-16,39.8015,39.0403,40.3285,39.595
2010-02-17,39.6445,38.8833,40.1635,39.433
2010-02-18,39.491,38.7363,40.005,39.2835
2010-02-19,39.3445,38.7153,39.8825,39.258
2010-02-22,39.332,38.7868,39.8878,39.3425
2010-02-23,39.389,38.8327,39.9558,39.376
2010-02-24,39.4415,38.9187,40.0125,39.4965
2010-02-25,39.532,39.0002,40.0725,39.562
2010-02-26,39.5825,39.0942,40.1858,39.6865
2010-03-01,39.7015,39.2247,40.3023,39.831
2010-03-02,39.8455,39.3453,40.4258,39.9305
2010-03-03,39.938,39.4273,40.4948,39.9795
2010-03-04,40.0045,39.5018,40.5438,40.061
2010-03-05,40.131,39.6938,40.6913,40.284
2010-03-08,40.3415,39.9661,40.8988,40.4985
2010-03-09,40.5465,40.2026,41.1253,40.7345
2010-03-10,40.7805,40.4511,41.3648,40.9615
2010-03-11,40.994,40.6651,41.5498,41.177
2010-03-12,41.219,40.8896,41.7583,41.3835
2010-03-15,41.4315,41.1016,41.9598,41.5895
2010-03-16,41.6515,41.2986,42.1218,41.748
2010-03-17,41.804,41.4738,42.3048,41.9355
2010-03-18,41.9945,41.6428,42.4688,42.097
2010-03-19,42.175,41.8043,42.6283,42.268
2010-03-22,42.3085,41.9438,42.7528,42.4125
2010-03-23,42.456,42.1448,42.9273,42.6475
2010-03-24,42.6755,42.3548,43.1273,42.852
2010-03-25,42.9165,42.6143,43.3953,43.067
2010-03-26,43.134,42.8241,43.5745,43.2195
2010-03-29,43.295,42.9766,43.7345,43.371
2010-03-30,43.441,43.1264,43.867,43.519
2010-03-31,43.574,43.2719,44.014,43.6775
2010-04-01,43.73,43.4384,44.1755,43.8405
2010-04-05,43.878,43.5684,44.302,43.967
2010-04-06,43.997,43.7024,44.4475,44.1295
2010-04-07,44.169,43.8509,44.6088,44.2745
2010-04-08,44.2835,43.9509,44.7328,44.416
2010-04-09,44.432,44.0834,44.8838,44.556
2010-04-12,44.5665,44.2359,45.0303,44.7055
2010-04-13,44.7225,44.3984,45.1888,44.8455
2010-04-14,44.925,44.6029,45.4163,45.07
2010-04-15,45.142,44.8141,45.6208,45.271
2010-04-16,45.338,44.9136,45.8188,45.3665
2010-04-19,45.4135,44.9866,45.9093,45.4635
2010-04-20,45.5485,45.1126,46.0273,45.5705
2010-04-21,45.658,45.1736,46.1098,45.609
2010-04-22,45.6815,45.1651,46.1175,45.599
2010-04-23,45.669,45.1331,46.0685,45.599
2010-04-26,45.656,45.0799,46.0145,45.5425
2010-04-27,45.5675,44.9719,45.964,45.42
2010-04-28,45.4645,44.893,45.897,45.364
2010-04-29,45.4435,44.8602,45.8635,45.329
2010-04-30,45.393,44.7222,45.8005,45.199
2010-05-03,45.2775,44.6272,45.717,45.1085
2010-05-04,45.1645,44.4822,45.588,44.94
2010-05-05,44.9785,44.3122,45.4541,44.8055
2010-05-06,44.852,44.0362,45.2946,44.558
2010-05-07,44.6095,43.7527,45.0756,44.297
2010-05-10,44.424,43.5287,44.9171,44.0875
2010-05-11,44.195,43.2937,44.7256,43.8715
2010-05-12,43.912,42.9952,44.4186,43.5695
2010-05-13,43.6015,42.6597,44.0886,43.2195
2010-05-14,43.223,42.3632,43.7061,42.9365
2010-05-17,42.958,42.0722,43.4231,42.659
2010-05-18,42.7005,41.7217,43.1466,42.316
2010-05-19,42.3255,41.3977,42.8101,42.0175
2010-05-20,42.0075,41.0617,42.5165,41.672
2010-05-21,41.622,40.7002,42.271,41.4275
2010-05-24,41.391,40.4387,42.043,41.164
2010-05-25,41.1005,40.1912,41.775,40.9905
2010-05-26,40.918,39.9757,41.5645,40.7565
2010-05-27,40.7025,39.766,41.3725,40.5775
2010-05-28,40.518,39.6225,41.1875,40.4275
2010-06-01,40.3355,39.403,40.999,40.178
2010-06-02,40.1455,39.224,40.812,40.032
2010-06-03,40.033,39.074,40.6405,39.8555
2010-06-04,39.826,38.9845,40.4365,39.696
2010-06-07,39.664,38.8285,40.251,39.494
2010-06-08,39.391,38.585,39.976,39.2855
2010-06-09,39.2255,38.378,39.7565,39.064
2010-06-10,39.0225,38.208,39.5855,38.894
2010-06-11,38.84,38.045,39.414,38.758
2010-06-14,38.7335,37.946,39.3225,38.63
2010-06-15,38.6145,37.8705,39.2343,38.5505
2010-06-16,38.4845,37.8425,39.1473,38.5255
2010-06-17,38.4875,37.8125,39.1093,38.4785
2010-06-18,38.49,37.866,39.1103,38.546
2010-06-21,38.6165,37.948,39.0913,38.487
2010-06-22,38.555,37.934,39.0578,38.4725
2010-06-23,38.586,37.9675,39.0627,38.47
2010-06-24,38.554,37.915,39.0227,38.4325
2010-06-25,38.514,37.8587,38.9782,38.3835
2010-06-28,38.475,37.8142,38.9427,38.3315
2010-06-29,38.4045,37.7332,38.8402,38.2575
2010-06-30,38.297,37.6252,38.7337,38.1105
2010-07-01,38.131,37.4522,38.5712,37.9595
2010-07-02,38.022,37.3442,38.4707,37.87
2010-07-06,37.967,37.3042,38.4084,37.8505
2010-07-07,37.956,37.2972,38.4304,37.869
2010-07-08,37.9875,37.3042,38.4634,37.921
2010-07-09,37.991,37.3177,38.4894,37.949
2010-07-12,38.0445,37.3717,38.5479,38.004
2010-07-13,38.1365,37.4972,38.6689,38.1615
2010-07-14,38.2665,37.6262,38.7742,38.2665
2010-07-15,38.4015,37.6922,38.8722,38.3635
2010-07-16,38.4855,37.7392,38.9447,38.3915
2010-07-19,38.507,37.7262,38.9492,38.3845
2010-07-20,38.4455,37.7072,38.9422,38.4225
2010-07-21,38.5115,37.7132,38.9757,38.427
2010-07-22,38.545,37.7487,39.0003,38.45
2010-07-23,38.576,37.8262,39.0633,38.54
2010-07-26,38.627,37.8875,39.1013,38.5845
2010-07-27,38.6865,37.9945,39.1813,38.692
2010-07-28,38.813,38.158,39.3308,38.855
2010-07-29,38.9975,38.328,39.4978,39.035
2010-07-30,39.1565,38.556,39.6978,39.245
2010-08-02,39.39,38.8255,39.9483,39.5355
2010-08-03,39.6305,39.076,40.1865,39.773
2010-08-04,39.8595,39.2985,40.3448,39.93
2010-08-05,39.969,39.488,40.4753,40.0855
2010-08-06,40.1185,39.6025,40.5783,40.165
2010-08-09,40.203,39.6555,40.6392,40.1965
2010-08-10,40.196,39.6265,40.5912,40.131
2010-08-11,40.121,39.522,40.5112,40.002
2010-08-12,39.953,39.4175,40.3687,39.8695
2010-08-13,39.829,39.3495,40.2532,39.7945
2010-08-16,39.7435,39.3075,40.1762,39.727
2010-08-17,39.726,39.2635,40.0977,39.6195
2010-08-18,39.583,39.216,39.9947,39.593
2010-08-19,39.518,39.1295,39.9132,39.479
2010-08-20,39.415,39.0215,39.7832,39.3445
2010-08-23,39.2855,38.8885,39.6357,39.172
2010-08-24,39.078,38.654,39.4085,38.948
2010-08-25,38.8535,38.43,39.1855,38.7435
2010-08-26,38.636,38.2155,38.975,38.5145
2010-08-27,38.4435,38.007,38.775,38.3305
2010-08-30,38.2145,37.762,38.52,38.041
2010-08-31,37.9365,37.505,38.2695,37.805
2010-09-01,37.7125,37.295,38.0892,37.6275
2010-09-02,37.556,37.1225,37.9277,37.472
