date,open,low,high,close
2010-01-04,43.4491,42.8309,44.0255,43.4525
2010-01-05,43.476,42.8568,44.0476,43.475
2010-01-06,43.4992,42.8793,44.0661,43.4943
2010-01-07,43.5191,42.8987,44.0819,43.5107
2010-01-08,43.5356,42.915,44.0945,43.5241
2010-01-11,43.5494,42.929,44.1046,43.5348
2010-01-12,43.5596,42.9393,44.111,43.5418
2010-01-13,43.5667,42.9461,44.114,43.5453
2010-01-14,43.5703,42.9497,44.1139,43.5459
2010-01-15,43.5707,42.9504,44.1111,43.5438
2010-01-19,43.5685,42.9481,44.1053,43.5388
2010-01-20,43.5632,42.9433,44.0968,43.5317
2010-01-21,43.5556,42.9354,44.0856,43.5212
2010-01-22,43.5444,42.9238,44.071,43.507
2010-01-25,43.5299,42.9094,44.0532,43.4901
2010-01-26,43.5126,42.8921,44.0326,43.4704
2010-01-27,43.4926,42.8726,44.0098,43.4489
2010-01-28,43.4706,42.851,43.9847,43.425
2010-01-29,43.4464,42.8283,43.958,43.4004
2010-02-01,43.4215,42.8045,43.9304,43.3745
2010-02-02,43.3957,42.7799,43.9023,43.3479
2010-02-03,43.3689,42.7548,43.8733,43.3209
2010-02-04,43.3413,42.7282,43.8429,43.2917
2010-02-05,43.3119,42.6994,43.8109,43.2608
2010-02-08,43.2807,42.6687,43.7768,43.2277
2010-02-09,43.2475,42.636,43.7409,43.1926
2010-02-10,43.2119,42.601,43.7025,43.1551
2010-02-11,43.1741,42.5643,43.662,43.116
2010-02-12,43.1345,42.5261,43.62,43.0754
2010-02-16,43.0934,42.4865,43.5768,43.0339
2010-02-17,43.0515,42.4462,43.5331,42.9916
2010-02-18,43.0089,42.405,43.4887,42.9485
2010-02-19,42.9656,42.3634,43.4439,42.905
2010-02-22,42.922,42.3216,43.3991,42.8612
2010-02-23,42.8779,42.2789,43.3535,42.8166
2010-02-24,42.833,42.2356,43.3075,42.7717
2010-02-25,42.7875,42.1919,43.2613,42.7267
2010-02-26,42.7424,42.1482,43.2156,42.6819
2010-03-01,42.6974,42.1044,43.1697,42.6366
2010-03-02,42.6519,42.0604,43.1236,42.5911
2010-03-03,42.6063,42.0164,43.0775,42.5455
2010-03-04,42.5607,41.9726,43.0312,42.5004
2010-03-05,42.5153,41.9295,42.9851,42.4559
2010-03-08,42.4704,41.887,42.9396,42.4123
2010-03-09,42.4265,41.8454,42.895,42.3693
2010-03-10,42.3833,41.8047,42.8516,42.3274
2010-03-11,42.3411,41.7652,42.8094,42.2866
2010-03-12,42.3001,41.7269,42.7687,42.2474
2010-03-15,42.2606,41.69,42.7291,42.2094
2010-03-16,42.2225,41.6548,42.691,42.1731
2010-03-17,42.1859,41.6211,42.6544,42.1383
2010-03-18,42.1511,41.5894,42.62,42.1061
2010-03-19,42.1187,41.5598,42.5877,42.0757
2010-03-22,42.0877,41.5314,42.5567,42.0465
2010-03-23,42.0577,41.504,42.5271,42.0184
2010-03-24,42.0291,41.4779,42.4991,41.9921
2010-03-25,42.0021,41.4535,42.473,41.9674
2010-03-26,41.9769,41.4305,42.4488,41.9441
2010-03-29,41.953,41.4083,42.4259,41.9218
2010-03-30,41.93,41.3867,42.4042,41.9003
2010-03-31,41.9079,41.3661,42.3837,41.8803
2010-04-01,41.8874,41.3471,42.3644,41.8614
2010-04-05,41.8681,41.3291,42.3461,41.8435
2010-04-06,41.8499,41.312,42.3289,41.8265
2010-04-07,41.8327,41.2957,42.3121,41.81
2010-04-08,41.8163,41.2799,42.2962,41.7941
2010-04-09,41.8002,41.2645,42.2808,41.7789
2010-04-12,41.7855,41.2508,42.2668,41.7654
2010-04-13,41.7723,41.239,42.2542,41.7531
2010-04-14,41.7605,41.2283,42.2429,41.742
2010-04-15,41.7503,41.2193,42.2332,41.7326
2010-04-16,41.7418,41.2117,42.2253,41.7246
2010-04-19,41.7348,41.2052,42.2187,41.7175
2010-04-20,41.729,41.2012,42.2136,41.7131
2010-04-21,41.726,41.2006,42.2113,41.7121
2010-04-22,41.7258,41.2026,42.2118,41.7138
2010-04-23,41.7285,41.2077,42.215,41.7187
2010-04-26,41.7344,41.2154,42.2208,41.7257
2010-04-27,41.7422,41.2253,42.2289,41.7349
2010-04-28,41.7521,41.237,42.2392,41.746
2010-04-29,41.7641,41.2506,42.2515,41.759
2010-04-30,41.7778,41.2655,42.2652,41.7732
2010-05-03,41.7929,41.2817,42.2804,41.7888
2010-05-04,41.8096,41.3,42.2976,41.807
2010-05-05,41.8284,41.3211,42.3173,41.8277
2010-05-06,41.8499,41.3444,42.3398,41.8511
2010-05-07,41.8738,41.3697,42.3647,41.8766
2010-05-10,41.9002,41.3972,42.392,41.9044
2010-05-11,41.9287,41.4267,42.4217,41.9341
2010-05-12,41.9592,41.458,42.4531,41.9656
2010-05-13,41.9916,41.4908,42.4859,41.998
2010-05-14,42.0246,41.5243,42.5193,42.0313
2010-05-17,42.0585,41.5584,42.5534,42.0652
2010-05-18,42.0933,41.5927,42.5882,42.0995
2010-05-19,42.1282,41.627,42.6228,42.1338
2010-05-20,42.163,41.6615,42.6576,42.1685
2010-05-21,42.1979,41.6958,42.6928,42.2035
2010-05-24,42.2334,41.7304,42.7284,42.2383
2010-05-25,42.2682,41.7642,42.763,42.2721
2010-05-26,42.3021,41.7971,42.7971,42.3053
2010-05-27,42.3356,41.8297,42.8306,42.3383
2010-05-28,42.3688,41.8617,42.8638,42.3708
2010-06-01,42.4014,41.8928,42.8967,42.4024
2010-06-02,42.4332,41.9226,42.9285,42.4328
2010-06-03,42.4638,41.9511,42.9593,42.4619
2010-06-04,42.493,41.978,42.9886,42.4893
2010-06-07,42.5204,42.0026,43.0159,42.5146
2010-06-08,42.5457,42.0249,43.0413,42.538
2010-06-09,42.5691,42.0451,43.0647,42.5592
2010-06-10,42.5905,42.0634,43.0864,42.5787
2010-06-11,42.6099,42.0798,43.1062,42.5962
2010-06-14,42.6273,42.0939,43.1239,42.6113
2010-06-15,42.6424,42.1056,43.1393,42.624
2010-06-16,42.655,42.1151,43.1527,42.6348
2010-06-17,42.666,42.1229,43.1643,42.6436
2010-06-18,42.6751,42.1286,43.1738,42.6503
2010-06-21,42.6822,42.1321,43.181,42.6545
2010-06-22,42.6868,42.1328,43.1854,42.656
2010-06-23,42.6887,42.1309,43.187,42.655
2010-06-24,42.6879,42.1263,43.1858,42.6513
2010-06-25,42.6845,42.1192,43.1822,42.6453
2010-06-28,42.679,42.1099,43.1764,42.6369
2010-06-29,42.6708,42.0974,43.168,42.6257
2010-06-30,42.6597,42.0822,43.157,42.6117
2010-07-01,42.6457,42.0638,43.1431,42.5945
2010-07-02,42.6287,42.0424,43.1264,42.5747
2010-07-06,42.6091,42.0184,43.1069,42.552
2010-07-07,42.5869,41.9917,43.085,42.5268
2010-07-08,42.5622,41.9618,43.0604,42.4988
2010-07-09,42.5346,41.9289,43.0333,42.4685
2010-07-12,42.5038,41.8931,43.0031,42.435
2010-07-13,42.47,41.8542,42.9698,42.3985
2010-07-14,42.4331,41.8132,42.9334,42.3599
2010-07-15,42.3943,41.7702,42.8953,42.3195
2010-07-16,42.3534,41.7241,42.8547,42.2758
2010-07-19,42.3091,41.6744,42.8109,42.2288
2010-07-20,42.2616,41.6218,42.7642,42.1789
2010-07-21,42.2114,41.5661,42.7147,42.1255
2010-07-22,42.158,41.5074,42.6625,42.0696
2010-07-23,42.1023,41.4469,42.6079,42.0123
2010-07-26,42.045,41.3844,42.5514,41.9529
2010-07-27,41.9855,41.3199,42.4928,41.8914
2010-07-28,41.9239,41.2542,42.4325,41.8288
2010-07-29,41.8611,41.1869,42.3707,41.7645
2010-07-30,41.7965,41.1179,42.3073,41.6984
2010-08-02,41.7308,41.0474,42.2422,41.6309
2010-08-03,41.6635,40.9768,42.1756,41.5626
2010-08-04,41.5955,40.906,42.1081,41.4939
2010-08-05,41.5262,40.8343,42.039,41.4241
2010-08-06,41.456,40.7615,41.9687,41.3534
2010-08-09,41.3847,40.6877,41.8973,41.2814
2010-08-10,41.3121,40.613,41.825,41.2088
2010-08-11,41.2393,40.538,41.7524,41.1356
2010-08-12,41.1658,40.4629,41.6795,41.0621
2010-08-13,41.0913,40.3878,41.6058,40.9884
2010-08-16,41.0171,40.3129,41.5321,40.9147
2010-08-17,40.9433,40.2387,41.4586,40.8414
2010-08-18,40.8704,40.1653,41.3848,40.7677
2010-08-19,40.7969,40.0919,41.3106,40.6942
2010-08-20,40.724,40.0192,41.2367,40.621
2010-08-23,40.6513,39.9469,41.163,40.5481
2010-08-24,40.5785,39.8741,41.0888,40.4745
2010-08-25,40.5049,39.8009,41.0141,40.4004
2010-08-26,40.4311,39.7278,40.939,40.3265
2010-08-27,40.3574,39.6548,40.8639,40.2526
2010-08-30,40.2835,39.582,40.7888,40.1788
2010-08-31,40.2099,39.5101,40.7143,40.106
2010-09-01,40.1375,39.4397,40.6411,40.0351
2010-09-02,40.0669,39.3713,40.5695,39.9657
2010-09-03,39.9978,39.3049,40.4996,39.8985
2010-09-07,39.9304,39.24,40.4311,39.8327
2010-09-08,39.8647,39.1768,40.3644,39.7684
2010-09-09,39.8009,39.1157,40.2997,39.7067
2010-09-10,39.7394,39.0569,40.2371,39.6468
2010-09-13,39.6802,39.0001,40.1766,39.5889
2010-09-14,39.6228,38.9454,40.1179,39.5331
2010-09-15,39.5673,38.8927,40.0613,39.4792
2010-09-16,39.5134,38.8419,40.0064,39.4275
2010-09-17,39.4617,38.7935,39.9536,39.378
2010-09-20,39.4124,38.7473,39.9033,39.3308
2010-09-21,39.3656,38.704,39.8555,39.2862
2010-09-22,39.3209,38.6626,39.8095,39.243
2010-09-23,39.2775,38.6229,39.7649,39.2017
2010-09-24,39.2365,38.5861,39.7229,39.1632
2010-09-27,39.1983,38.5521,39.6835,39.1278
