,open,low,high,close
2010-01-04,42.2482,41.7461,42.663,42.2066
2010-01-05,42.2369,41.7537,42.672,42.2276
2010-01-06,42.2491,41.78,42.6907,42.2572
2010-01-07,42.2735,41.817,42.7442,42.3165
2010-01-08,42.3184,41.8705,42.7846,42.3729
2010-01-11,42.3885,41.9317,42.8418,42.4249
2010-01-12,42.4227,41.9492,42.8662,42.4442
2010-01-13,42.4438,41.9664,42.9047,42.4905
2010-01-14,42.488,42.0255,42.9531,42.5521
2010-01-15,42.5366,42.0605,42.9905,42.5814
2010-01-19,42.5565,42.0824,43.0069,42.5988
2010-01-20,42.5651,42.099,43.0224,42.6209
2010-01-21,42.5757,42.0384,43.0217,42.5505
2010-01-22,42.5094,41.9312,42.9585,42.4374
2010-01-25,42.4163,41.8272,42.8548,42.3285
2010-01-26,42.3007,41.7075,42.7519,42.197
2010-01-27,42.1663,41.5832,42.6399,42.0969
2010-01-28,42.0782,41.4828,42.5485,42.0045
2010-01-29,41.9914,41.3867,42.4531,41.8956
2010-02-01,41.888,41.2969,42.362,41.8113
2010-02-02,41.8092,41.2334,42.2971,41.7589
2010-02-03,41.7578,41.1867,42.2476,41.6989
2010-02-04,41.6816,41.0815,42.1609,41.5772
2010-02-05,41.5696,40.9353,42.0423,41.4567
2010-02-08,41.4489,40.8022,41.9073,41.3198
2010-02-09,41.3282,40.6896,41.789,41.209
2010-02-10,41.2256,40.6025,41.7004,41.1173
2010-02-11,41.1325,40.5127,41.6104,41.0329
2010-02-12,41.0362,40.425,41.5162,40.9483
2010-02-16,40.9516,40.3525,41.456,40.9026
2010-02-17,40.9121,40.3152,41.4076,40.8577
2010-02-18,40.8637,40.2799,41.3628,40.8267
2010-02-19,40.8226,40.2503,41.3257,40.7845
2010-02-22,40.7923,40.2334,41.3094,40.7704
2010-02-23,40.7797,40.2017,41.2927,40.7259
2010-02-24,40.7406,40.1793,41.268,40.7146
2010-02-25,40.7066,40.1481,41.235,40.6971
2010-02-26,40.6903,40.147,41.2557,40.7236
2010-03-01,40.7185,40.173,41.2724,40.7458
2010-03-02,40.7453,40.1974,41.2966,40.7614
2010-03-03,40.7615,40.2212,41.3095,40.7741
2010-03-04,40.7865,40.2555,41.3237,40.7996
2010-03-05,40.8251,40.3069,41.364,40.8542
2010-03-08,40.8807,40.3669,41.409,40.9006
2010-03-09,40.9203,40.4121,41.4463,40.9408
2010-03-10,40.9749,40.4815,41.5048,40.997
2010-03-11,41.0301,40.5493,41.5528,41.0605
2010-03-12,41.0982,40.6176,41.6108,41.1218
2010-03-15,41.1514,40.6766,41.6571,41.1797
2010-03-16,41.2179,40.7374,41.7082,41.242
2010-03-17,41.2818,40.8162,41.7823,41.3213
2010-03-18,41.359,40.8894,41.8443,41.3938
2010-03-19,41.4334,40.9603,41.9081,41.4585
2010-03-22,41.4853,41.0274,41.9678,41.5319
2010-03-23,41.5623,41.118,42.0577,41.6319
2010-03-24,41.6574,41.221,42.1535,41.742
2010-03-25,41.7688,41.3453,42.2832,41.8505
2010-03-26,41.8804,41.4646,42.4054,41.9598
2010-03-29,41.9971,41.5711,42.5087,42.062
2010-03-30,42.1001,41.6724,42.599,42.1531
2010-03-31,42.182,41.7687,42.6862,42.2466
2010-04-01,42.2861,41.8878,42.7824,42.3548
2010-04-05,42.3972,41.9991,42.8808,42.4674
2010-04-06,42.5057,42.1215,42.9962,42.5956
2010-04-07,42.6331,42.2387,43.1146,42.7062
2010-04-08,42.7376,42.3485,43.2298,42.8309
2010-04-09,42.8658,42.4791,43.3527,42.9622
