date,open,low,high,close
2010-01-04,22.4647,22.4395,22.7458,22.6931
2010-01-05,22.6282,22.62,23.1754,23.1367
2010-01-06,23.0877,23.0357,23.6036,23.5086
2010-01-07,23.4467,23.3521,24.1624,23.9519
2010-01-08,23.811,23.6425,24.3238,24.1953
2010-01-11,24.2851,23.9879,24.5218,24.3663
2010-01-12,24.3418,24.1161,24.6296,24.4315
2010-01-13,24.4102,24.2091,24.862,24.6693
2010-01-14,24.5995,24.4683,25.2573,25.1239
2010-01-15,25.0281,24.5515,25.3444,24.9544
2010-01-19,24.8343,24.3727,25.1193,24.7697
2010-01-20,24.8822,24.6396,25.2971,24.9454
2010-01-21,25.1277,24.7116,25.6031,25.1029
2010-01-22,25.1581,24.6879,26.3654,24.9159
2010-01-25,25.133,24.581,25.807,24.8833
2010-01-26,24.7637,24.41,25.3613,24.5828
2010-01-27,24.4358,24.2529,25.2881,24.869
2010-01-28,24.8495,24.5405,25.3291,24.9518
2010-01-29,25.0589,24.7516,25.4019,25.0429
2010-02-01,25.1399,24.8664,25.3847,25.1431
2010-02-02,25.1826,24.8378,25.3469,25.0194
2010-02-03,24.9768,24.5209,25.0704,24.7201
2010-02-04,24.6002,24.0133,24.6731,24.1082
2010-02-05,24.1427,23.5551,24.3828,23.9631
2010-02-08,23.9547,23.3931,24.1168,23.6327
2010-02-09,23.7062,23.2396,23.8945,23.47
2010-02-10,23.4983,23.1793,23.803,23.4666
2010-02-11,23.5139,23.1708,23.6708,23.4143
2010-02-12,23.3049,23.0103,23.4431,23.2717
2010-02-16,23.2114,23.069,23.6083,23.5404
2010-02-17,23.4975,23.2563,23.7174,23.6231
2010-02-18,23.546,23.3921,23.8462,23.7717
2010-02-19,23.6881,23.6234,24.0594,23.9809
2010-02-22,24.1392,23.9969,24.4309,24.3193
2010-02-23,24.3409,24.1588,24.5826,24.3398
2010-02-24,24.4404,24.3354,24.8108,24.6245
2010-02-25,24.3279,24.2077,24.8511,24.5016
2010-02-26,24.2915,24.2445,24.8222,24.5969
2010-03-01,24.494,24.357,24.808,24.5851
2010-03-02,24.7258,24.5163,24.893,24.6993
2010-03-03,24.7538,24.6108,24.9327,24.7046
2010-03-04,24.7369,24.6194,24.8922,24.7508
2010-03-05,24.8364,24.6655,25.1096,25.0258
2010-03-08,25.0443,24.8776,25.2551,25.0506
2010-03-09,24.9541,24.7232,25.087,24.8772
2010-03-10,24.8968,24.7654,25.1671,24.9382
2010-03-11,24.8995,24.8169,25.3841,25.2511
2010-03-12,25.353,25.2512,25.7595,25.5255
2010-03-15,25.5364,25.4174,25.9442,25.7914
2010-03-16,25.8295,25.6894,26.1192,26.0438
2010-03-17,26.0131,25.8781,26.2992,26.2145
2010-03-18,26.1299,25.9088,26.3455,26.1676
2010-03-19,26.1996,25.8937,26.431,26.2104
2010-03-22,26.0895,25.9288,26.4589,26.266
2010-03-23,26.2073,25.9768,26.418,26.3023
2010-03-24,26.19,26.0829,26.4701,26.2793
2010-03-25,26.3056,26.1486,26.6299,26.248
2010-03-26,26.2664,26.198,26.4143,26.2254
2010-03-29,26.1604,26.0113,26.2802,26.0926
2010-03-30,26.0711,25.9159,26.2395,25.9633
2010-03-31,25.8713,25.7629,26.1014,25.9054
2010-04-01,25.9479,25.809,26.1732,26.0769
2010-04-05,26.1477,25.9918,26.337,26.299
2010-04-06,26.289,26.2184,26.8146,26.7556
2010-04-07,26.7841,26.3926,27.0897,26.7835
2010-04-08,26.7215,26.4909,27.2653,27.0255
2010-04-09,27.0035,26.7467,27.335,27.1613
2010-04-12,27.1784,27.0085,27.5448,27.416
2010-04-13,27.3819,27.2178,27.6642,27.5507
2010-04-14,27.6333,27.5355,28.0868,28.0083
2010-04-15,28.0479,27.885,28.3661,28.2441
2010-04-16,28.2202,27.3042,28.3973,27.9006
2010-04-19,27.6979,27.1523,28.0893,27.7868
2010-04-20,27.5227,27.1545,28.2897,28.0499
2010-04-21,27.5678,27.3039,28.4088,28.0346
2010-04-22,27.6181,27.2043,28.0741,27.7007
2010-04-23,27.4985,27.0918,27.7304,27.4766
2010-04-26,27.3488,26.9193,27.5399,27.1185
2010-04-27,26.9524,26.4728,27.193,26.5762
2010-04-28,26.6993,26.3773,26.9873,26.4856
2010-04-29,26.7347,26.5319,27.3035,26.8547
2010-04-30,27.0543,26.6248,27.3658,26.7782
2010-05-03,26.9948,26.6911,27.3318,26.9933
2010-05-04,26.9145,26.4516,27.1553,26.7141
2010-05-05,26.4849,26.2138,26.9363,26.5218
2010-05-06,26.309,25.0811,26.6638,25.9028
2010-05-07,25.7476,24.8464,26.2156,25.3973
2010-05-10,26.0151,25.4258,26.4325,25.9174
2010-05-11,26.0045,25.6938,26.7541,26.2956
2010-05-12,26.437,26.1969,26.88,26.6174
2010-05-13,26.6152,26.3298,26.8659,26.5119
2010-05-14,26.3649,25.7,26.4634,25.967
2010-05-17,25.9053,25.2734,25.9875,25.7296
2010-05-18,25.6783,24.5679,25.7685,24.9163
2010-05-19,24.8109,24.1256,25.0824,24.3764
2010-05-20,24.0597,23.484,24.3428,23.5891
2010-05-21,22.8781,22.5895,24.0115,23.6248
2010-05-24,23.3476,22.8831,23.9675,23.4635
2010-05-25,22.9288,22.7311,23.7926,23.5725
2010-05-26,23.485,23.0334,23.9591,23.5118
2010-05-27,23.6072,23.3307,24.1554,23.9424
2010-05-28,24.0207,23.5872,24.2653,23.9268
2010-06-01,23.8566,23.4026,24.1503,23.5514
2010-06-02,23.6474,23.2547,24.0447,23.7444
2010-06-03,23.8225,23.2907,24.0394,23.6241
2010-06-04,23.3667,22.9877,23.555,23.1646
2010-06-07,23.1145,22.6467,23.2469,22.7088
2010-06-08,22.6286,22.2565,22.9069,22.6341
2010-06-09,22.7094,22.3169,22.9473,22.5182
2010-06-10,22.771,22.5774,23.3044,23.0892
2010-06-11,23.0449,22.8623,23.4705,23.203
2010-06-14,23.2394,22.7893,23.4364,22.9933
2010-06-15,23.1126,22.7524,23.2972,23.0919
2010-06-16,23.0549,22.8169,23.2635,23.1033
2010-06-17,23.0809,22.8692,23.2381,23.0769
2010-06-18,23.119,22.9581,23.4281,23.3466
2010-06-21,23.4905,23.3101,23.7383,23.5469
2010-06-22,23.6667,23.4398,23.9142,23.5829
2010-06-23,23.6376,23.1953,23.7685,23.3619
2010-06-24,23.2749,22.8227,23.393,22.949
2010-06-25,23.1587,22.7657,23.4232,23.1445
2010-06-28,23.2206,22.8953,23.4207,23.1165
2010-06-29,23.0902,22.6689,23.2884,22.8311
2010-06-30,22.8556,22.4385,23.1642,22.5308
2010-07-01,22.4896,22.0706,22.8686,22.3661
2010-07-02,22.4014,21.816,22.6218,22.0389
2010-07-06,22.2943,21.7155,22.3941,21.9647
2010-07-07,22.1151,21.7491,22.6514,22.4346
2010-07-08,22.6193,22.2919,22.9911,22.8706
2010-07-09,22.9557,22.7252,23.5231,23.4777
2010-07-12,23.4635,23.2105,23.7781,23.7178
2010-07-13,23.8454,23.7384,24.276,24.197
2010-07-14,24.2024,23.9598,24.4123,24.2747
2010-07-15,24.3307,23.906,24.5381,24.4387
2010-07-16,24.351,23.4892,24.4598,23.7532
2010-07-19,23.6711,23.0508,23.8406,23.3403
2010-07-20,23.0821,22.7169,23.4764,23.2068
2010-07-21,23.3901,22.8311,23.7283,23.0967
2010-07-22,23.3814,23.0673,23.8177,23.3726
2010-07-23,23.4796,23.2148,23.8921,23.5494
2010-07-26,23.6233,23.4431,24.0594,23.878
2010-07-27,24.0335,23.8898,24.3138,24.1565
2010-07-28,24.1776,23.9384,24.3564,24.1084
2010-07-29,24.2008,23.779,24.2769,24.055
2010-07-30,24.0199,23.7328,24.1775,23.9963
2010-08-02,24.1373,23.9186,24.3758,24.2984
2010-08-03,24.2742,24.0913,24.4744,24.295
2010-08-04,24.348,24.0046,24.4333,24.1241
2010-08-05,24.0476,23.6833,24.1002,23.8877
2010-08-06,23.6755,23.2235,23.7355,23.504
2010-08-09,23.4717,23.041,23.6772,23.5352
2010-08-10,23.3699,23.092,23.6105,23.4496
2010-08-11,23.1413,22.7077,23.2886,22.8772
2010-08-12,22.5451,22.305,22.819,22.5564
2010-08-13,22.3829,22.1699,22.6249,22.2787
2010-08-16,22.1327,21.9487,22.3308,22.0987
2010-08-17,22.129,21.9223,22.3722,22.1222
