,open,low,high,close
2010-01-04,23.3654,23.0948,23.5684,23.3308
2010-01-05,23.3417,23.0887,23.5782,23.3539
2010-01-06,23.362,23.12,23.6105,23.3919
2010-01-07,23.3947,23.1611,23.6803,23.4573
2010-01-08,23.4469,23.2155,23.7324,23.5219
2010-01-11,23.5304,23.2907,23.7971,23.5902
2010-01-12,23.5889,23.3575,23.8609,23.6542
2010-01-13,23.6514,23.4258,23.944,23.7406
2010-01-14,23.7305,23.517,24.0563,23.8625
2010-01-15,23.8455,23.5988,24.1505,23.9322
2010-01-19,23.9074,23.6524,24.2107,23.9898
2010-01-20,23.986,23.7469,24.3045,24.0778
2010-01-21,24.0874,23.8293,24.4191,24.1695
2010-01-22,24.1732,23.9014,24.5987,24.226
2010-01-25,24.2512,23.96,24.6588,24.2884
2010-01-26,24.285,24.003,24.7014,24.3151
2010-01-27,24.3026,24.0364,24.7617,24.3923
2010-01-28,24.3872,24.111,24.828,24.4568
2010-01-29,24.4654,24.1879,24.8964,24.5237
2010-02-01,24.536,24.2612,24.9546,24.5932
2010-02-02,24.6035,24.3209,25.0062,24.6389
2010-02-03,24.6413,24.3429,25.0252,24.6555
2010-02-04,24.6466,24.3248,25.0137,24.6185
2010-02-05,24.6214,24.2851,24.9926,24.6035
2010-02-08,24.6029,24.2552,24.9579,24.5579
2010-02-09,24.566,24.2167,24.9135,24.514
2010-02-10,24.5203,24.1803,24.8721,24.4796
2010-02-11,24.4892,24.1463,24.8207,24.4388
2010-02-12,24.4322,24.0938,24.7514,24.3847
2010-02-16,24.3783,24.059,24.7167,24.3716
2010-02-17,24.364,24.0423,24.684,24.3504
2010-02-18,24.3365,24.0293,24.6596,24.3415
2010-02-19,24.323,24.0347,24.6523,24.3476
2010-02-22,24.353,24.0685,24.6746,24.3795
2010-02-23,24.3767,24.0965,24.6904,24.3915
2010-02-24,24.3989,24.1344,24.7232,24.4354
2010-02-25,24.4017,24.1456,24.7456,24.446
2010-02-26,24.4079,24.1694,24.7622,24.4757
2010-03-01,24.44,24.2034,24.7789,24.4971
2010-03-02,24.485,24.2476,24.8061,24.5321
2010-03-03,24.5171,24.2913,24.8316,24.5592
2010-03-04,24.5448,24.3286,24.8491,24.5904
2010-03-05,24.5844,24.3696,24.8939,24.6495
2010-03-08,24.6404,24.4308,24.94,24.6918
