,open,low,high,close
2010-01-04,22.5231,22.365,22.7612,22.5969
2010-01-05,22.5662,22.4332,22.8973,22.7538
2010-01-06,22.7233,22.5944,23.0742,22.9277
2010-01-07,22.8899,22.7591,23.3298,23.1535
2010-01-08,23.0863,22.9374,23.4989,23.3456
2010-01-11,23.3433,23.1506,23.6809,23.5228
2010-01-12,23.4955,23.3123,23.8371,23.6659
2010-01-13,23.6399,23.4592,24.0286,23.8557
2010-01-14,23.8145,23.6539,24.2797,24.1238
2010-01-15,24.07,23.8004,24.4507,24.214
2010-01-19,24.1464,23.8531,24.5087,24.2642
2010-01-20,24.2652,24.0198,24.6599,24.3998
2010-01-21,24.4388,24.1362,24.8563,24.5344
2010-01-22,24.5518,24.2151,25.2169,24.559
2010-01-25,24.6351,24.2524,25.2011,24.6047
2010-01-26,24.5905,24.2483,25.1482,24.5511
2010-01-27,24.5141,24.225,25.1622,24.6545
2010-01-28,24.6442,24.3277,25.2,24.7155
2010-01-29,24.7453,24.4299,25.2472,24.7818
2010-02-01,24.8189,24.5154,25.2676,24.8542
2010-02-02,24.8809,24.5581,25.2753,24.8571
2010-02-03,24.8589,24.4966,25.198,24.7849
2010-02-04,24.7555,24.3372,25.0529,24.5785
2010-02-05,24.5872,24.145,24.9069,24.4679
2010-02-08,24.4659,24.0114,24.7475,24.2901
2010-02-09,24.3139,23.8747,24.5861,24.1446
2010-02-10,24.1605,23.7648,24.4577,24.0474
2010-02-11,24.0713,23.6776,24.32,23.9461
2010-02-12,23.922,23.5507,24.1509,23.8213
2010-02-16,23.8016,23.4906,24.1016,23.8284
2010-02-17,23.8086,23.4887,24.0632,23.8105
2010-02-18,23.7761,23.4962,24.0517,23.8286
2010-02-19,23.7859,23.5532,24.0877,23.8852
2010-02-22,23.9158,23.6817,24.2009,24.0061
2010-02-23,24.0093,23.776,24.2789,24.0541
2010-02-24,24.0858,23.8858,24.3936,24.186
2010-02-25,24.0974,23.9066,24.4639,24.2068
2010-02-26,24.1179,23.9617,24.5086,24.2801
2010-03-01,24.2092,24.0396,24.5489,24.3219
2010-03-02,24.3257,24.1379,24.6145,24.3979
2010-03-03,24.3919,24.2237,24.6683,24.4437
2010-03-04,24.4389,24.283,24.694,24.4976
2010-03-05,24.5154,24.3479,24.7951,24.6253
2010-03-08,24.6308,24.4647,24.8887,24.6916
2010-03-09,24.6616,24.4747,24.8871,24.6877
2010-03-10,24.6867,24.5266,24.944,24.7372
2010-03-11,24.7201,24.5799,25.0487,24.8704
2010-03-12,24.8964,24.7581,25.2208,25.0158
2010-03-15,25.0225,24.8839,25.3588,25.1766
2010-03-16,25.193,25.0505,25.5009,25.3481
2010-03-17,25.3452,25.2049,25.6498,25.5048
2010-03-18,25.4806,25.3131,25.7598,25.593
2010-03-19,25.5987,25.3962,25.8744,25.6925
2010-03-22,25.6516,25.4823,25.9663,25.7884
2010-03-23,25.7568,25.5656,26.027,25.8723
2010-03-24,25.8192,25.6627,26.1039,25.9301
2010-03-25,25.9139,25.7477,26.2123,25.9737
2010-03-26,25.9604,25.8245,26.2046,26.0094
2010-03-29,25.9731,25.82,26.1947,26.0004
2010-03-30,25.9744,25.82,26.1975,25.9749
2010-03-31,25.9263,25.7873,26.1616,25.9576
2010-04-01,25.947,25.8023,26.1795,26.009
2010-04-05,26.0148,25.8655,26.2341,26.0928
2010-04-06,26.0812,25.9591,26.4061,26.2723
2010-04-07,26.2737,26.0538,26.5541,26.3501
2010-04-08,26.3258,26.1349,26.6879,26.4919
2010-04-09,26.4756,26.2704,26.7937,26.6133
2010-04-12,26.6091,26.4249,26.9412,26.7764
2010-04-13,26.7584,26.5776,27.0683,26.9134
2010-04-14,26.9314,26.7744,27.294,27.1564
2010-04-15,27.1693,26.9991,27.5006,27.3571
2010-04-16,27.3531,26.9374,27.6368,27.374
2010-04-19,27.3089,26.9452,27.6483,27.4169
2010-04-20,27.3127,26.9806,27.7823,27.5611
2010-04-21,27.3631,27.0587,27.8982,27.63
2010-04-22,27.4135,27.0644,27.8658,27.5827
2010-04-23,27.4074,27.0508,27.7884,27.5313
2010-04-26,27.3751,27.0034,27.7232,27.4111
2010-04-27,27.2451,26.8482,27.5881,27.1963
2010-04-28,27.1242,26.7667,27.4684,27.0825
2010-04-29,27.078,26.7637,27.506,27.1202
2010-04-30,27.1347,26.7612,27.4976,27.0565
2010-05-03,27.1029,26.7628,27.4672,27.0862
2010-05-04,27.0606,26.6732,27.3895,26.9797
2010-05-05,26.8987,26.5635,27.2841,26.8779
2010-05-06,26.7825,26.1429,27.1452,26.6237
2010-05-07,26.5312,25.9169,26.9297,26.3558
2010-05-10,26.5073,25.9538,26.8989,26.3893
2010-05-11,26.4314,25.9622,26.9354,26.4421
2010-05-12,26.5094,26.0836,26.9472,26.5217
2010-05-13,26.5531,26.1375,26.9295,26.496
2010-05-14,26.4762,25.9543,26.786,26.3167
2010-05-17,26.3078,25.7772,26.5831,26.1882
2010-05-18,26.1755,25.4741,26.4261,25.8558
2010-05-19,25.8199,25.2006,26.1068,25.5457
2010-05-20,25.4308,24.8369,25.7183,25.121
2010-05-21,24.8489,24.3502,25.4132,24.9135
2010-05-24,24.7218,24.1938,25.1962,24.6729
2010-05-25,24.3833,23.9513,24.9587,24.5306
2010-05-26,24.3518,23.8692,24.8408,24.3668
2010-05-27,24.2587,23.8384,24.7715,24.3783
2010-05-28,24.2917,23.8405,24.7113,24.3022
2010-06-01,24.1896,23.735,24.6019,24.1182
2010-06-02,24.066,23.6323,24.4961,24.0949
2010-06-03,24.0576,23.5846,24.4241,23.9995
2010-06-04,23.869,23.4383,24.2052,23.7905
2010-06-07,23.711,23.2586,24.0079,23.5486
2010-06-08,23.4635,23.0407,23.7846,23.4016
2010-06-09,23.3683,22.946,23.6692,23.2504
2010-06-10,23.2905,22.9376,23.6785,23.3285
2010-06-11,23.3013,22.9744,23.6733,23.3251
2010-06-14,23.3229,22.9291,23.6272,23.2333
2010-06-15,23.2642,22.8929,23.5496,23.2272
2010-06-16,23.2198,22.8905,23.4987,23.2077
2010-06-17,23.2016,22.8941,23.4535,23.1809
2010-06-18,23.1941,22.917,23.482,23.2516
2010-06-21,23.3024,23.0357,23.5725,23.3277
2010-06-22,23.3838,23.1147,23.6502,23.3681
2010-06-23,23.4122,23.0793,23.6375,23.3248
2010-06-24,23.3245,22.974,23.5321,23.1949
2010-06-25,23.2801,22.9351,23.5227,23.2249
2010-06-28,23.2837,22.9541,23.5076,23.204
2010-06-29,23.2321,22.8716,23.4517,23.0978
2010-06-30,23.1354,22.7676,23.3878,22.9618
2010-07-01,22.9762,22.6008,23.2591,22.847
2010-07-02,22.8787,22.4425,23.1229,22.6712
2010-07-06,22.7753,22.3202,22.9769,22.5564
2010-07-07,22.6471,22.2438,22.9775,22.6243
2010-07-08,22.7349,22.3486,23.0397,22.7363
2010-07-09,22.8249,22.4779,23.2034,22.9497
2010-07-12,23.0058,22.6674,23.3283,23.0988
2010-07-13,23.192,22.9133,23.5522,23.3409
2010-07-14,23.3989,23.1,23.6973,23.4862
2010-07-15,23.5537,23.2036,23.8396,23.6523
2010-07-16,23.6712,23.1684,23.9142,23.5414
2010-07-19,23.5473,23.0742,23.7916,23.4412
2010-07-20,23.3769,22.9661,23.6841,23.3882
2010-07-21,23.4411,22.9723,23.7415,23.3304
2010-07-22,23.4336,23.0319,23.7712,23.3903
2010-07-23,23.4602,23.0861,23.8037,23.4466
2010-07-26,23.5111,23.1795,23.8721,23.569
2010-07-27,23.6618,23.3632,23.9827,23.7038
2010-07-28,23.7615,23.4536,24.044,23.7522
2010-07-29,23.8285,23.4711,24.0633,23.7863
2010-07-30,23.8233,23.5018,24.0627,23.807
2010-08-02,23.8918,23.5978,24.1458,23.9348
2010-08-03,23.9733,23.7019,24.212,23.9867
2010-08-04,24.0418,23.7306,24.2371,23.9764
2010-08-05,23.9887,23.6669,24.1576,23.9225
2010-08-06,23.8781,23.522,24.0326,23.7948
2010-08-09,23.7857,23.4234,23.974,23.7666
2010-08-10,23.7101,23.3883,23.9114,23.7072
2010-08-11,23.5883,23.2213,23.7639,23.4841
2010-08-12,23.3304,23.0174,23.5432,23.2943
2010-08-13,23.1667,22.8724,23.3772,23.0989
2010-08-16,22.9727,22.6993,23.1731,22.9228
2010-08-17,22.8504,22.5821,23.0653,22.8114
2010-08-18,22.7449,22.5199,22.9661,22.7366
2010-08-19,22.664,22.3709,22.8632,22.5517
2010-08-20,22.476,22.2234,22.6772,22.4041
2010-08-23,22.3622,22.1119,22.5577,22.2634
2010-08-24,22.1763,21.9443,22.3726,22.09
2010-08-25,22.0025,21.7526,22.1813,21.9319
2010-08-26,21.8711,21.5994,22.0574,21.757
2010-08-27,21.7291,21.4759,21.9851,21.7393
2010-08-30,21.6929,21.333,21.9206,21.5522
2010-08-31,21.4869,21.1706,21.7532,21.4154
2010-09-01,21.4166,21.1487,21.7672,21.4872
2010-09-02,21.5081,21.2653,21.8313,21.6022
2010-09-03,21.6484,21.4498,21.9893,21.7964
2010-09-07,21.7887,21.5898,22.0948,21.8752
2010-09-08,21.8744,21.688,22.1685,21.9561
2010-09-09,22.0209,21.8193,22.3146,22.0822
2010-09-10,22.1316,21.9285,22.3956,22.1818
2010-09-13,22.3059,22.1342,22.6,22.3979
2010-09-14,22.4775,22.288,22.7518,22.5546
2010-09-15,22.5525,22.3247,22.7915,22.5756
2010-09-16,22.5648,22.3402,22.7821,22.5982
2010-09-17,22.6021,22.4038,22.8181,22.6367
2010-09-20,22.6472,22.4704,22.9166,22.7537
2010-09-21,22.7641,22.5303,23.0409,22.7748
2010-09-22,22.7651,22.4957,23.0425,22.7285
2010-09-23,22.6642,22.3674,22.9275,22.5633
2010-09-24,22.5507,22.3006,22.8353,22.5354
2010-09-27,22.5324,22.2169,22.7816,22.4126
2010-09-28,22.412,22.0956,22.6213,22.3067
2010-09-29,22.2807,22.0055,22.492,22.1909
2010-09-30,22.2042,21.9154,22.4007,22.0871
2010-10-01,22.1253,21.8599,22.3278,22.0186
2010-10-04,22.0352,21.809,22.2446,21.9461
2010-10-05,22.0106,21.7692,22.2801,22.0177
2010-10-06,22.0687,21.8621,22.3237,22.089
2010-10-07,22.1508,21.8835,22.3594,22.1383
2010-10-08,22.1906,21.9229,22.3795,22.1695
2010-10-11,22.2196,21.9623,22.3978,22.1842
2010-10-12,22.2088,21.9983,22.4946,22.3107
2010-10-13,22.3599,22.0986,22.6281,22.4105
2010-10-14,22.4345,22.1098,22.6539,22.4395
2010-10-15,22.4846,22.1007,22.7041,22.4578
2010-10-18,22.4892,22.1751,22.787,22.5855
2010-10-19,22.5711,22.2269,22.8466,22.6263
2010-10-20,22.6418,22.3057,22.8927,22.6633
2010-10-21,22.7015,22.421,23.0195,22.79
2010-10-22,22.8594,22.539,23.1414,22.9355
2010-10-25,23.0268,22.6992,23.2575,23.0326
2010-10-26,23.051,22.7811,23.3889,23.1976
2010-10-27,23.229,23.0009,23.5745,23.4053
2010-10-28,23.4546,23.1535,23.7501,23.5462
2010-10-29,23.5665,23.2892,23.8428,23.6651
2010-11-01,23.6817,23.3403,23.9205,23.7132
2010-11-02,23.7687,23.4039,23.9749,23.729
2010-11-03,23.7907,23.4395,23.9995,23.7874
2010-11-04,23.867,23.5614,24.2268,24.0369
2010-11-05,24.1166,23.8557,24.6201,24.412
2010-11-08,24.4627,24.1401,24.9019,24.6462
2010-11-09,24.6731,24.3165,25.0616,24.7487
2010-11-10,24.7871,24.4117,25.1504,24.8871
2010-11-11,24.8749,24.5077,25.1958,24.9404
2010-11-12,24.9049,24.4954,25.1838,24.8821
2010-11-15,24.8767,24.5326,25.2195,24.8927
2010-11-16,24.8501,24.5303,25.1978,24.8613
2010-11-17,24.8246,24.5421,25.1609,24.8374
2010-11-18,24.8456,24.5926,25.1789,24.8688
2010-11-19,24.8609,24.6085,25.1409,24.869
2010-11-22,24.8244,24.5742,25.0771,24.8292
2010-11-23,24.7436,24.4789,24.9758,24.693
2010-11-24,24.6466,24.3846,24.8548,24.5979
2010-11-26,24.529,24.3001,24.7466,24.4837
2010-11-29,24.3837,24.1801,24.6437,24.414
2010-11-30,24.3122,24.1019,24.5721,24.2987
2010-12-01,24.2754,24.0615,24.5099,24.2826
2010-12-02,24.2671,24.0776,24.5972,24.3694
2010-12-03,24.3368,24.1671,24.6559,24.4404
2010-12-06,24.3828,24.2313,24.6885,24.4785
2010-12-07,24.4732,24.2365,24.7596,24.4588
2010-12-08,24.469,24.2626,24.8343,24.5881
2010-12-09,24.6346,24.4476,25.0408,24.8157
2010-12-10,24.8592,24.6608,25.3006,25.1129
2010-12-13,25.1503,24.9188,25.5132,25.3069
2010-12-14,25.343,25.0845,25.6817,25.422
2010-12-15,25.4442,25.1909,25.7741,25.4907
2010-12-16,25.5089,25.2835,25.8534,25.6015
2010-12-17,25.6091,25.381,25.9237,25.7103
2010-12-20,25.7111,25.5081,25.9976,25.7884
2010-12-21,25.8182,25.6376,26.1453,25.9287
2010-12-22,25.9658,25.8089,26.3461,26.1144
2010-12-23,26.1465,25.98,26.4741,26.2791
2010-12-27,26.2763,26.14,26.6061,26.432
2010-12-28,26.4297,26.3036,26.7323,26.568
2010-12-29,26.5443,26.4157,26.81,26.652
2010-12-30,26.6326,26.4892,26.8664,26.7043
2010-12-31,26.6939,26.5548,26.9089,26.7526
2011-01-03,26.7859,26.6212,26.9982,26.7867
2011-01-04,26.8121,26.621,27.0058,26.7819
2011-01-05,26.7736,26.579,26.9829,26.7888
2011-01-06,26.7929,26.4974,26.9696,26.6981
2011-01-07,26.6997,26.3433,26.8752,26.5875
2011-01-10,26.567,26.2372,26.7842,26.5262
2011-01-11,26.5457,26.1905,26.7598,26.4396
2011-01-12,26.4974,26.2031,26.7853,26.4851
2011-01-13,26.5706,26.2935,26.8716,26.5333
2011-01-14,26.5923,26.3637,26.9877,26.6854
2011-01-18,26.761,26.5031,27.1136,26.799
2011-01-19,26.8426,26.457,27.1311,26.7482
2011-01-20,26.7367,26.4121,27.0745,26.7395
2011-01-21,26.8046,26.4608,27.0883,26.7796
2011-01-24,26.7346,26.4534,27.0831,26.7906
2011-01-25,26.7374,26.4255,27.0516,26.785
2011-01-26,26.7488,26.4572,27.0441,26.7514
2011-01-27,26.7199,26.4432,27.0306,26.7893
2011-01-28,26.7636,26.5063,27.0759,26.7912
2011-01-31,26.772,26.5288,27.084,26.8292
2011-02-01,26.8244,26.6144,27.2014,26.9803
2011-02-02,26.9181,26.7209,27.2848,27.0548
2011-02-03,26.993,26.7971,27.3276,27.1303
2011-02-04,27.0652,26.8249,27.3608,27.1829
2011-02-07,27.1388,26.9367,27.4879,27.3224
2011-02-08,27.2972,27.0973,27.6319,27.4856
2011-02-09,27.4413,27.236,27.7498,27.5864
2011-02-10,27.5284,27.304,27.7971,27.6361
2011-02-11,27.5323,27.3305,27.9322,27.7696
2011-02-14,27.6901,27.5032,28.079,27.9351
2011-02-15,27.8537,27.6862,28.2192,28.0651
2011-02-16,28.0148,27.8251,28.3503,28.1805
2011-02-17,28.1249,27.9224,28.412,28.2132
2011-02-18,28.1694,27.9637,28.4408,28.2762
2011-02-22,28.1223,27.8958,28.3824,28.1696
2011-02-23,28.0364,27.7511,28.2984,28.0515
2011-02-24,27.9243,27.6509,28.1896,27.9512
2011-02-25,27.8781,27.6098,28.126,27.8728
2011-02-28,27.8293,27.5935,28.0704,27.8469
2011-03-01,27.8222,27.4838,28.023,27.7147
