,open,low,high,close
2010-01-04,46.7701,48.4609,47.0394,49.5728
2010-01-05,48.4283,50.9563,52.9903,54.0603
2010-01-06,53.7734,57.0079,56.1054,55.8432
2010-01-07,55.3018,58.6737,60.745,58.9303
2010-01-08,57.6197,60.8053,58.4015,59.1914
2010-01-11,61.0357,63.8325,60.1662,59.929
2010-01-12,58.0614,62.8656,60.4605,59.8255
2010-01-13,58.7881,63.5302,62.9795,62.5482
2010-01-14,60.8029,66.7413,66.3338,66.2771
2010-01-15,64.4607,65.7017,64.1,59.175
2010-01-19,57.7782,60.4613,59.1353,57.9776
2010-01-20,59.6481,65.7466,62.9604,61.2768
2010-01-21,62.0454,64.2834,65.3558,62.0607
2010-01-22,60.6016,63.0745,70.8187,57.6217
2010-01-25,60.1413,61.0611,56.2932,58.5513
2010-01-26,54.7163,58.5656,54.7718,54.0908
2010-01-27,52.9328,57.1431,56.542,59.3691
2010-01-28,59.6098,62.9178,57.3508,58.2379
2010-01-29,59.3589,63.6865,57.8632,58.8098
2010-02-01,58.9239,63.7656,57.0559,59.4592
2010-02-02,58.9872,61.6462,56.6486,56.55
2010-02-03,55.3939,54.8639,52.9368,52.9438
2010-02-04,51.5127,48.5047,49.5908,46.7446
2010-02-05,48.0447,45.368,48.5149,49.2173
2010-02-08,48.7553,46.7538,46.9425,45.8555
2010-02-09,46.594,45.3564,45.7367,45.8555
2010-02-10,45.4245,45.4707,45.9088,46.861
2010-02-11,47.1692,45.6504,44.5699,45.9625
2010-02-12,44.0559,42.6438,42.3319,44.2508
2010-02-16,44.1483,45.6109,46.7793,49.423
2010-02-17,49.2639,48.6406,46.8664,48.3989
2010-02-18,47.6022,49.2133,47.8647,49.9116
2010-02-19,49.3161,52.3455,50.1073,51.8116
2010-02-22,54.5575,56.8479,53.9443,55.0138
2010-02-23,53.944,56.104,53.1953,52.5056
2010-02-24,53.944,57.8461,55.4729,56.3235
2010-02-25,51.3831,53.1579,54.1843,52.1688
2010-02-26,51.8982,55.2669,53.4802,54.4528
2010-03-01,55.3044,57.0131,53.6613,53.584
2010-03-02,57.0984,58.8001,55.3095,55.3104
2010-03-03,55.4681,59.0828,55.3095,54.4758
2010-03-04,55.0544,58.2414,54.1244,55.1876
2010-03-05,56.8335,59.1597,58.2661,58.6645
2010-03-08,59.182,62.5325,58.8,56.5558
2010-03-09,55.3559,55.9958,53.6247,53.4728
2010-03-10,55.3559,58.3367,56.6159,55.7727
2010-03-11,55.9864,58.912,59.3742,59.4806
2010-03-12,62.5151,65.1572,63.0453,60.8359
2010-03-15,61.347,63.6435,62.8564,62.36
2010-03-16,63.9692,66.2681,64.0648,63.7793
2010-03-17,64.4495,66.9849,65.3978,64.358
2010-03-18,64.8719,65.5193,64.4885,61.8166
2010-03-19,65.1625,65.0698,65.5361,62.8689
2010-03-22,61.9276,65.891,65.3857,63.4347
2010-03-23,64.5518,66.4718,64.146,63.6533
2010-03-24,62.8094,67.7914,65.4393,62.8621
2010-03-25,64.663,68.0397,67.4963,62.5891
2010-03-26,62.3461,68.3817,59.5827,62.5891
2010-03-29,60.468,61.9282,59.3065,59.5792
2010-03-30,59.7908,62.1316,59.8936,58.1768
2010-03-31,56.2127,59.1391,56.8706,58.383
2010-04-01,59.343,61.6251,59.5325,61.939
2010-04-05,61.7831,64.4005,61.6411,64.0073
2010-04-06,62.2936,66.4958,67.3408,68.7484
2010-04-07,67.9936,67.3746,67.6301,63.2823
2010-04-08,60.6307,67.5538,68.1499,66.4588
2010-04-09,64.7214,70.7648,67.8224,66.6706
2010-04-12,65.1094,72.5696,70.3359,69.0688
2010-04-13,66.5305,73.6058,70.5886,69.2021
2010-04-14,68.2622,76.1855,74.897,73.5254
2010-04-15,71.2284,78.1751,75.5717,73.5796
2010-04-16,70.4438,58.3743,72.4953,62.6408
2010-04-19,58.3744,60.8486,64.1023,63.761
2010-04-20,59.8627,62.0363,68.8329,67.5964
2010-04-21,61.572,63.9774,69.0522,64.3694
2010-04-22,61.9005,60.1411,60.1416,58.1956
2010-04-23,59.1339,58.9777,57.0422,57.4829
2010-04-26,57.5714,56.6699,56.9319,53.2648
2010-04-27,52.0679,50.0704,52.155,47.7728
