date,open,low,high,close
2010-01-04,53.6042,64.4353,59.205,66.2761
2010-01-05,61.7271,73.7647,75.6171,79.5942
2010-01-06,78.3979,86.2328,81.2689,83.1743
2010-01-07,81.547,88.3758,87.4368,88.0118
2010-01-08,85.6548,90.7703,76.1347,88.3751
2010-01-11,90.0855,93.3931,79.7109,89.4718
2010-01-12,73.0557,87.5122,80.3251,88.5228
2010-01-13,75.08,88.5428,85.2193,92.5003
2010-01-14,80.2949,92.5054,89.8899,95.513
2010-01-15,87.063,86.1468,78.5529,60.6417
2010-01-19,57.8294,59.2416,57.1966,55.9652
2010-01-20,64.2088,76.2686,70.0773,68.2193
2010-01-21,71.5081,70.3278,76.3264,70.762
2010-01-22,65.1783,65.1387,86.2194,51.9711
2010-01-25,62.9999,56.4648,47.5814,56.2927
2010-01-26,41.5008,46.6232,44.3828,40.1606
2010-01-27,36.0449,41.4035,50.3558,62.1345
2010-01-28,64.3063,68.367,53.245,57.8712
2010-01-29,63.3165,70.868,55.2649,60.2325
2010-02-01,61.3492,71.1531,52.1159,63.1047
2010-02-02,61.6471,60.1214,50.3598,49.3055
2010-02-03,44.4978,35.6854,36.152,36.2138
2010-02-04,31.5905,22.6551,26.879,21.872
2010-02-05,23.3162,17.9996,24.2837,34.6521
2010-02-08,27.9326,25.333,20.6316,26.5186
2010-02-09,22.4815,22.4387,18.0146,26.5186
2010-02-10,19.8146,23.1702,19.5159,32.6901
2010-02-11,32.353,24.5051,16.1822,29.5842
2010-02-12,22.9378,16.9981,11.8314,24.0987
2010-02-16,23.5995,36.2173,42.4235,52.6986
2010-02-17,52.913,51.4428,42.9235,47.8186
2010-02-18,45.0842,54.0779,49.0673,55.0266
2010-02-19,53.3084,66.7201,60.9949,63.1555
2010-02-22,71.3042,78.5713,74.6493,73.7342
2010-02-23,67.8871,74.1693,69.3701,59.2195
2010-02-24,67.8871,78.654,76.6077,71.8404
2010-02-25,52.2404,53.9404,67.3691,52.6651
