date,open,low,high,close
2010-01-04,23.606,23.2264,23.8668,23.5528
2010-01-05,23.5811,23.2049,23.8392,23.5272
2010-01-06,23.5555,23.1829,23.8115,23.5015
2010-01-07,23.5296,23.1604,23.7843,23.4761
2010-01-08,23.5037,23.1376,23.7568,23.4506
2010-01-11,23.4778,23.1148,23.7293,23.425
2010-01-12,23.4529,23.0931,23.7033,23.4012
2010-01-13,23.4302,23.0728,23.6786,23.3792
2010-01-14,23.4081,23.0531,23.6544,23.3575
2010-01-15,23.3859,23.0333,23.6303,23.3355
2010-01-19,23.3631,23.0136,23.6059,23.3141
2010-01-20,23.3415,22.997,23.5843,23.2956
2010-01-21,23.3227,22.9836,23.5668,23.2813
2010-01-22,23.3082,22.9742,23.5554,23.2709
2010-01-25,23.2971,22.9678,23.5476,23.2639
2010-01-26,23.2887,22.9642,23.5428,23.2596
2010-01-27,23.2827,22.9624,23.5413,23.2582
2010-01-28,23.2796,22.9637,23.5432,23.26
2010-01-29,23.2797,22.9681,23.5484,23.265
2010-02-01,23.283,22.9765,23.5579,23.2748
2010-02-02,23.2909,22.9896,23.572,23.2895
2010-02-03,23.304,23.0067,23.5905,23.3079
2010-02-04,23.3207,23.0263,23.6124,23.3289
2010-02-05,23.3397,23.048,23.6367,23.3519
2010-02-08,23.361,23.0723,23.6639,23.3781
2010-02-09,23.3856,23.0997,23.6945,23.4073
2010-02-10,23.4136,23.1302,23.7287,23.4398
2010-02-11,23.445,23.1632,23.766,23.475
2010-02-12,23.4791,23.1981,23.8058,23.5124
2010-02-16,23.5157,23.235,23.8486,23.5521
2010-02-17,23.5547,23.2736,23.8935,23.594
2010-02-18,23.5957,23.3139,23.9398,23.6372
2010-02-19,23.6379,23.355,23.9865,23.6804
2010-02-22,23.6806,23.3965,24.0329,23.7237
2010-02-23,23.7236,23.4384,24.0788,23.7663
2010-02-24,23.766,23.4802,24.1247,23.8089
2010-02-25,23.8075,23.5211,24.1701,23.8507
2010-02-26,23.8475,23.5608,24.2141,23.8909
2010-03-01,23.8865,23.5995,24.2565,23.9296
2010-03-02,23.9247,23.6376,24.2977,23.9674
2010-03-03,23.9623,23.6758,24.3381,24.0051
2010-03-04,23.9996,23.7128,24.3778,24.0412
2010-03-05,24.0354,23.748,24.4152,24.0758
2010-03-08,24.0694,23.7817,24.4486,24.1084
2010-03-09,24.101,23.8135,24.4778,24.1391
2010-03-10,24.131,23.8441,24.5051,24.1684
2010-03-11,24.1603,23.874,24.5311,24.1967
2010-03-12,24.1889,23.9034,24.5556,24.2235
2010-03-15,24.2159,23.9311,24.5783,24.2491
2010-03-16,24.2413,23.9571,24.5994,24.2729
2010-03-17,24.265,23.981,24.6187,24.2947
2010-03-18,24.2866,24.0035,24.6361,24.3149
