date,open,low,high,close
2010-01-04,26.8528,26.7017,27.1998,27.0509
2010-01-05,27.0026,26.9054,27.5594,27.4152
2010-01-06,27.3629,27.2347,27.8524,27.6939
2010-01-07,27.656,27.5164,28.4279,28.2314
2010-01-08,28.1253,27.9431,28.8199,28.5317
2010-01-11,28.5279,28.2439,29.0403,28.7237
2010-01-12,28.6111,28.0993,28.9871,28.6168
2010-01-13,28.5034,28.0819,29.0066,28.6927
2010-01-14,28.5829,28.2923,29.1602,28.8754
2010-01-15,28.7392,28.2351,29.1622,28.7006
2010-01-19,28.5523,28.0958,29.0127,28.6292
2010-01-20,28.4363,28.0162,28.9542,28.4178
2010-01-21,28.3317,27.7806,28.8554,28.3161
2010-01-22,28.2468,27.5997,28.7477,27.9928
2010-01-25,28.0089,27.471,28.5455,27.8845
2010-01-26,27.8311,27.2863,28.4929,27.583
2010-01-27,27.5177,27.1374,28.4166,27.7616
2010-01-28,27.7437,27.3068,28.5349,27.9783
2010-01-29,27.9656,27.6521,28.7541,28.1324
2010-02-01,28.1827,27.9503,28.8881,28.4106
2010-02-02,28.4509,28.3072,28.9317,28.6141
2010-02-03,28.5273,28.2527,28.9111,28.4995
2010-02-04,28.3749,27.8832,28.6617,28.054
2010-02-05,28.044,27.4811,28.3531,27.8418
2010-02-08,27.7747,27.1107,28.0261,27.3586
2010-02-09,27.464,26.8293,27.6976,27.097
2010-02-10,27.1445,26.6853,27.5981,27.0644
2010-02-11,27.0915,26.6373,27.4245,27.0134
2010-02-12,26.9389,26.5282,27.236,26.9153
2010-02-16,26.9641,26.6087,27.2191,27.0171
2010-02-17,27.1206,26.723,27.296,27.0777
2010-02-18,27.1451,26.8349,27.3358,27.13
2010-02-19,27.0938,26.8908,27.3404,27.1818
2010-02-22,27.1913,27.0366,27.5695,27.4343
2010-02-23,27.4215,27.0794,27.6926,27.3843
2010-02-24,27.4277,27.1114,27.7091,27.47
2010-02-25,27.3401,27.0888,27.6262,27.461
2010-02-26,27.3816,27.0357,27.5726,27.4212
2010-03-01,27.3634,27.0694,27.564,27.3952
2010-03-02,27.3702,27.1673,27.7641,27.5482
2010-03-03,27.5576,27.428,27.9921,27.7703
2010-03-04,27.8283,27.7087,28.1995,28.0092
2010-03-05,28.1193,28.0256,28.5821,28.4211
2010-03-08,28.4962,28.3443,28.8873,28.635
2010-03-09,28.6538,28.4577,29.064,28.8163
2010-03-10,28.8792,28.7423,29.3891,29.1382
2010-03-11,29.1706,28.9909,29.5981,29.4307
2010-03-12,29.4767,29.2482,29.8029,29.5945
2010-03-15,29.5776,29.3524,29.928,29.7912
2010-03-16,29.7907,29.5777,30.1526,30.0551
2010-03-17,30.0966,29.9059,30.4243,30.3284
2010-03-18,30.3316,30.0017,30.5792,30.4328
2010-03-19,30.5034,30.0972,30.6728,30.5277
2010-03-22,30.4827,30.1864,30.7491,30.5962
2010-03-23,30.5816,30.3506,30.9701,30.8575
2010-03-24,30.7663,30.5574,31.1759,30.967
