date,open,low,high,close
2010-01-04,26.7954,26.3213,27.2376,26.7869
2010-01-05,26.8032,26.3364,27.254,26.8079
2010-01-06,26.8233,26.3602,27.2716,26.8292
2010-01-07,26.8446,26.3858,27.307,26.867
2010-01-08,26.8783,26.4221,27.3405,26.8996
2010-01-11,26.9145,26.4575,27.3705,26.9308
2010-01-12,26.94,26.4746,27.3898,26.9496
2010-01-13,26.9572,26.4963,27.4123,26.9763
2010-01-14,26.9825,26.5291,27.4418,27.0094
2010-01-15,27.0126,26.5513,27.4657,27.0269
2010-01-19,27.0277,26.5686,27.4822,27.0475
2010-01-20,27.0439,26.5872,27.5013,27.0601
2010-01-21,27.0593,26.5969,27.5177,27.0755
2010-01-22,27.0742,26.6063,27.5323,27.0786
2010-01-25,27.0804,26.6159,27.5408,27.0881
2010-01-26,27.0864,26.6208,27.554,27.0865
2010-01-27,27.0834,26.6251,27.5653,27.1047
2010-01-28,27.103,26.643,27.585,27.1268
2010-01-29,27.1249,26.6715,27.611,27.1481
2010-02-01,27.1491,26.7017,27.6353,27.1774
2010-02-02,27.1783,26.7382,27.6565,27.2061
2010-02-03,27.2011,26.7585,27.6749,27.2214
2010-02-04,27.2134,26.7625,27.6816,27.2188
2010-02-05,27.2148,26.7602,27.682,27.2221
2010-02-08,27.2151,26.7543,27.6776,27.2091
2010-02-09,27.2097,26.748,27.6688,27.2009
2010-02-10,27.1999,26.7447,27.667,27.2005
2010-02-11,27.1991,26.7442,27.66,27.1986
2010-02-12,27.1924,26.7397,27.6498,27.1933
2010-02-16,27.1923,26.7429,27.6455,27.1966
2010-02-17,27.1989,26.7486,27.6455,27.1988
2010-02-18,27.2005,26.7554,27.6442,27.2011
2010-02-19,27.1985,26.7605,27.6415,27.2038
2010-02-22,27.2031,26.7707,27.6499,27.2171
2010-02-23,27.2154,26.7774,27.6556,27.2183
2010-02-24,27.2192,26.784,27.6575,27.2255
2010-02-25,27.2184,26.7882,27.6546,27.229
2010-02-26,27.2229,26.7905,27.652,27.2308
2010-03-01,27.2248,26.7964,27.651,27.2328
2010-03-02,27.2277,26.8058,27.6602,27.2432
2010-03-03,27.2395,26.8244,27.6731,27.2589
2010-03-04,27.2577,26.8471,27.6878,27.2781
2010-03-05,27.2802,26.875,27.7138,27.3088
2010-03-08,27.3105,26.9069,27.7406,27.3347
2010-03-09,27.3346,26.9325,27.7648,27.3617
2010-03-10,27.3641,26.9681,27.7987,27.3979
2010-03-11,27.3996,27.0053,27.8309,27.4366
2010-03-12,27.4394,27.0461,27.8654,27.4726
2010-03-15,27.4729,27.0824,27.8986,27.5122
2010-03-16,27.5131,27.1259,27.9383,27.5576
2010-03-17,27.5606,27.1773,27.9831,27.6066
2010-03-18,27.6083,27.2211,28.0254,27.6506
2010-03-19,27.6557,27.266,28.0665,27.6954
2010-03-22,27.6956,27.3117,28.1079,27.7399
2010-03-23,27.7411,27.362,28.1573,27.7946
2010-03-24,27.7919,27.4162,28.2085,27.8449
2010-03-25,27.845,27.4733,28.2705,27.8976
2010-03-26,27.9002,27.5311,28.3278,27.9521
2010-03-29,27.9567,27.5863,28.379,28.0037
2010-03-30,28.0083,27.639,28.4269,28.0502
2010-03-31,28.0504,27.6872,28.4717,28.1005
2010-04-01,28.1053,27.7437,28.523,28.1541
2010-04-05,28.1608,27.8013,28.5759,28.2091
2010-04-06,28.2133,27.8595,28.6384,28.2758
2010-04-07,28.2799,27.9236,28.7016,28.3367
2010-04-08,28.3375,27.9832,28.7624,28.4005
2010-04-09,28.4041,28.0477,28.8261,28.4645
2010-04-12,28.4696,28.117,28.8896,28.5293
2010-04-13,28.5301,28.1762,28.9445,28.5887
2010-04-14,28.5945,28.2446,29.0179,28.6656
2010-04-15,28.6705,28.3245,29.0978,28.745
2010-04-16,28.7449,28.3792,29.1658,28.8075
2010-04-19,28.8084,28.4407,29.2329,28.8766
2010-04-20,28.8803,28.5155,29.3092,28.9555
2010-04-21,28.9411,28.5809,29.3902,29.022
2010-04-22,29.0027,28.6462,29.4612,29.0967
2010-04-23,29.0797,28.7208,29.5322,29.1685
2010-04-26,29.1499,28.7842,29.5964,29.2268
2010-04-27,29.1999,28.8312,29.6533,29.2676
2010-04-28,29.2469,28.8826,29.7025,29.3198
2010-04-29,29.305,28.9457,29.7631,29.3839
2010-04-30,29.3697,29.0119,29.8296,29.445
2010-05-03,29.4328,29.0807,29.8993,29.5177
2010-05-04,29.498,29.1403,29.9661,29.573
2010-05-05,29.5493,29.1826,30.0187,29.6236
2010-05-06,29.5967,29.1847,30.0635,29.6491
2010-05-07,29.6178,29.2014,30.0911,29.6683
2010-05-10,29.6609,29.2499,30.1401,29.7224
2010-05-11,29.7076,29.3018,30.198,29.7747
2010-05-12,29.7646,29.3634,30.2572,29.8384
2010-05-13,29.8258,29.4244,30.3158,29.8915
2010-05-14,29.8739,29.4627,30.3578,29.9267
2010-05-17,29.9101,29.4902,30.3886,29.9602
2010-05-18,29.9489,29.5042,30.4207,29.9706
2010-05-19,29.9489,29.4975,30.4184,29.9724
2010-05-20,29.9406,29.4836,30.4115,29.9513
2010-05-21,29.9096,29.4601,30.4097,29.9539
2010-05-24,29.904,29.4448,30.3989,29.9335
2010-05-25,29.8681,29.412,30.3745,29.9166
2010-05-26,29.8576,29.3839,30.3575,29.8858
2010-05-27,29.8388,29.3694,30.3432,29.878
2010-05-28,29.8327,29.3558,30.3293,29.8586
2010-06-01,29.8138,29.3367,30.3108,29.8319
2010-06-02,29.7933,29.32,30.2926,29.8212
2010-06-03,29.7862,29.3069,30.2793,29.8054
2010-06-04,29.7615,29.2797,30.2493,29.7722
2010-06-07,29.7328,29.2466,30.2143,29.7315
2010-06-08,29.6955,29.2042,30.1749,29.6992
2010-06-09,29.6669,29.1665,30.1386,29.6554
2010-06-10,29.6317,29.1375,30.1074,29.6304
2010-06-11,29.6007,29.1082,30.072,29.6011
2010-06-14,29.5712,29.0787,30.0375,29.565
2010-06-15,29.5387,29.0528,30.0029,29.5379
2010-06-16,29.5094,29.0302,29.9742,29.5146
2010-06-17,29.4863,29.0056,29.945,29.4886
2010-06-18,29.4626,28.9848,29.9168,29.4654
2010-06-21,29.4458,28.9652,29.8936,29.4404
2010-06-22,29.4226,28.9401,29.868,29.4079
2010-06-23,29.3891,28.9107,29.8334,29.3737
2010-06-24,29.3508,28.8676,29.7886,29.3325
2010-06-25,29.3147,28.8345,29.7529,29.2951
2010-06-28,29.2807,28.8015,29.7133,29.2579
2010-06-29,29.2362,28.7521,29.6633,29.2034
2010-06-30,29.184,28.6991,29.6106,29.1443
2010-07-01,29.1243,28.6319,29.5504,29.0793
2010-07-02,29.0632,28.5685,29.487,29.0105
2010-07-06,29.0041,28.5065,29.4238,28.9472
2010-07-07,28.9431,28.4513,29.3797,28.9097
2010-07-08,28.9122,28.4128,29.3417,28.8725
2010-07-09,28.8727,28.3798,29.3039,28.8418
2010-07-12,28.8408,28.35,29.2683,28.8126
2010-07-13,28.8167,28.3331,29.2488,28.7983
2010-07-14,28.7984,28.3153,29.2247,28.7796
2010-07-15,28.7829,28.2941,29.2073,28.7637
2010-07-16,28.7608,28.2591,29.1788,28.7223
2010-07-19,28.72,28.2159,29.1332,28.678
2010-07-20,28.6667,28.1681,29.0806,28.6327
2010-07-21,28.6481,28.132,29.0563,28.5905
2010-07-22,28.6148,28.1061,29.0306,28.5708
2010-07-23,28.5938,28.088,29.0063,28.5519
2010-07-26,28.575,28.0739,28.9885,28.5414
2010-07-27,28.5723,28.0766,28.9849,28.5389
2010-07-28,28.567,28.0741,28.9776,28.5313
2010-07-29,28.563,28.0643,28.9696,28.5175
2010-07-30,28.5418,28.051,28.9535,28.5046
2010-08-02,28.5377,28.0493,28.9474,28.5056
2010-08-03,28.5362,28.0475,28.9399,28.4993
2010-08-04,28.5302,28.0418,28.9286,28.49
2010-08-05,28.5168,28.0339,28.9127,28.48
2010-08-06,28.5,28.0209,28.894,28.468
2010-08-09,28.4901,28.0127,28.8837,28.4641
2010-08-10,28.4811,28.0045,28.8704,28.4527
2010-08-11,28.4611,27.9759,28.8461,28.4174
2010-08-12,28.4207,27.9413,28.8059,28.3778
2010-08-13,28.3809,27.9064,28.7648,28.3362
2010-08-16,28.3364,27.8673,28.718,28.2927
2010-08-17,28.2975,27.8237,28.6736,28.2443
2010-08-18,28.2483,27.7789,28.6244,28.1973
2010-08-19,28.1967,27.7214,28.5708,28.1355
2010-08-20,28.135,27.6648,28.5075,28.0776
2010-08-23,28.0813,27.6078,28.4481,28.0145
2010-08-24,28.0137,27.5412,28.376,27.9428
2010-08-25,27.9383,27.467,28.2985,27.8716
2010-08-26,27.8693,27.4004,28.2297,27.7998
2010-08-27,27.7999,27.3359,28.1603,27.7375
2010-08-30,27.7365,27.2686,28.0918,27.6639
2010-08-31,27.6618,27.1991,28.0195,27.5965
2010-09-01,27.6003,27.1428,27.9659,27.5483
2010-09-02,27.5524,27.1013,27.9191,27.5082
2010-09-03,27.5229,27.0765,27.8897,27.4808
2010-09-07,27.4909,27.041,27.8535,27.4389
2010-09-08,27.4505,27.0081,27.8133,27.4025
2010-09-09,27.422,26.9787,27.7837,27.3744
2010-09-10,27.3959,26.9573,27.7539,27.3478
2010-09-13,27.3791,26.9457,27.7381,27.3339
2010-09-14,27.3614,26.9284,27.715,27.313
2010-09-15,27.3345,26.9068,27.6941,27.2971
2010-09-16,27.3152,26.8903,27.6709,27.2768
2010-09-17,27.2997,26.8735,27.6496,27.256
2010-09-20,27.2799,26.8579,27.6332,27.2446
2010-09-21,27.2692,26.8486,27.6222,27.2304
2010-09-22,27.2545,26.8301,27.6035,27.2071
2010-09-23,27.2225,26.8008,27.5718,27.1716
2010-09-24,27.1936,26.7766,27.5416,27.1457
2010-09-27,27.1694,26.7555,27.515,27.1192
2010-09-28,27.1434,26.7285,27.488,27.0902
2010-09-29,27.1117,26.6987,27.4533,27.0566
2010-09-30,27.081,26.6712,27.4234,27.0248
2010-10-01,27.0518,26.6457,27.395,27.0007
2010-10-04,27.0265,26.6224,27.3687,26.9742
2010-10-05,27.0043,26.6023,27.352,26.9623
2010-10-06,26.9914,26.5946,27.3379,26.9515
2010-10-07,26.9829,26.5822,27.3254,26.9359
2010-10-08,26.9699,26.5681,27.3078,26.9197
2010-10-11,26.9533,26.5499,27.288,26.8989
2010-10-12,26.9285,26.5294,27.2675,26.8838
2010-10-13,26.917,26.5147,27.2523,26.8662
2010-10-14,26.893,26.4767,27.2234,26.8311
2010-10-15,26.862,26.4258,27.187,26.7778
2010-10-18,26.81,26.3801,27.1492,26.7465
2010-10-19,26.7749,26.3474,27.1192,26.7105
2010-10-20,26.7338,26.3117,27.1004,26.6923
2010-10-21,26.718,26.2717,27.089,26.6814
2010-10-22,26.7067,26.2632,27.0753,26.672
2010-10-25,26.7012,26.251,27.0645,26.6564
2010-10-26,26.6832,26.2383,27.0469,26.6442
2010-10-27,26.6669,26.2279,27.0298,26.6295
2010-10-28,26.6533,26.2177,27.0123,26.6182
2010-10-29,26.6397,26.2088,26.9978,26.6091
2010-11-01,26.6297,26.1988,26.9831,26.598
2010-11-02,26.6194,26.1919,26.9678,26.5877
2010-11-03,26.6049,26.1837,26.9601,26.5856
2010-11-04,26.6083,26.191,26.969,26.5999
2010-11-05,26.6239,26.2133,27.0082,26.6429
2010-11-08,26.6614,26.2509,27.0454,26.6822
2010-11-09,26.7004,26.2803,27.0793,26.7059
2010-11-10,26.723,26.3065,27.1045,26.7366
2010-11-11,26.7498,26.3339,27.1285,26.7604
2010-11-12,26.7705,26.3514,27.1435,26.7732
2010-11-15,26.7844,26.3714,27.161,26.7876
2010-11-16,26.7961,26.3792,27.1687,26.7942
2010-11-17,26.8024,26.3855,27.1729,26.7953
2010-11-18,26.8096,26.3973,27.1817,26.807
2010-11-19,26.8198,26.4087,27.1878,26.8182
2010-11-22,26.827,26.4148,27.1906,26.8203
2010-11-23,26.8239,26.4167,27.1867,26.82
2010-11-24,26.8255,26.4221,27.1859,26.8248
2010-11-26,26.8271,26.4259,27.1853,26.8219
2010-11-29,26.823,26.4272,27.188,26.8281
2010-11-30,26.8239,26.4342,27.192,26.8344
2010-12-01,26.8363,26.4467,27.2019,26.8458
2010-12-02,26.8493,26.4655,27.2278,26.8775
2010-12-03,26.8739,26.4956,27.259,26.9131
2010-12-06,26.9065,26.5322,27.2892,26.9431
2010-12-07,26.9423,26.5631,27.3213,26.9681
2010-12-08,26.9687,26.5949,27.3549,27.0075
2010-12-09,27.011,26.6423,27.4001,27.0577
2010-12-10,27.0652,26.7,27.4519,27.1104
2010-12-13,27.1214,26.7541,27.503,27.1614
2010-12-14,27.1707,26.8017,27.5495,27.2049
2010-12-15,27.2135,26.8484,27.5918,27.2473
2010-12-16,27.2565,26.8952,27.6372,27.2927
2010-12-17,27.3013,26.9413,27.6799,27.3365
2010-12-20,27.3459,26.989,27.7225,27.3818
2010-12-21,27.3914,27.0394,27.7744,27.4381
2010-12-22,27.4486,27.102,27.8373,27.5016
2010-12-23,27.5106,27.1636,27.895,27.5588
2010-12-27,27.5663,27.2229,27.9515,27.6186
2010-12-28,27.6236,27.2848,28.0064,27.6774
2010-12-29,27.6827,27.3454,28.0601,27.7322
2010-12-30,27.7377,27.4004,28.1102,27.7828
2010-12-31,27.7866,27.4538,28.1581,27.8354
2011-01-03,27.8442,27.5146,28.2155,27.8967
2011-01-04,27.9066,27.5797,28.2766,27.9583
2011-01-05,27.964,27.6424,28.3458,28.0306
2011-01-06,28.0326,27.7158,28.4134,28.0981
2011-01-07,28.1015,27.7637,28.476,28.1539
2011-01-10,28.1518,27.8163,28.5247,28.2038
2011-01-11,28.2098,27.8691,28.5766,28.2562
2011-01-12,28.2675,27.9306,28.6352,28.3178
2011-01-13,28.3308,27.9924,28.6927,28.3763
2011-01-14,28.388,28.0551,28.7601,28.448
2011-01-18,28.46,28.1208,28.8295,28.5143
2011-01-19,28.519,28.1787,28.8941,28.5683
2011-01-20,28.5761,28.235,28.9516,28.6228
2011-01-21,28.6366,28.2975,29.0132,28.6865
2011-01-24,28.7,28.3656,29.0738,28.7523
2011-01-25,28.7626,28.425,29.1334,28.817
2011-01-26,28.8278,28.4903,29.194,28.8766
2011-01-27,28.8832,28.549,29.249,28.936
2011-01-28,28.944,28.6022,29.3072,28.9836
2011-01-31,28.9938,28.6534,29.3596,29.0399
2011-02-01,29.0531,28.717,29.4273,29.112
2011-02-02,29.1202,28.782,29.4903,29.1712
2011-02-03,29.1783,28.8429,29.5473,29.2299
2011-02-04,29.2361,28.9007,29.6021,29.2876
2011-02-07,29.2979,28.9669,29.6668,29.3537
2011-02-08,29.3633,29.0363,29.742,29.4316
2011-02-09,29.4267,29.0971,29.8062,29.4922
2011-02-10,29.4864,29.1569,29.8656,29.5497
2011-02-11,29.5389,29.2142,29.9316,29.6187
2011-02-14,29.606,29.2859,29.9993,29.6884
2011-02-15,29.677,29.3563,30.068,29.7538
2011-02-16,29.7432,29.4075,30.1288,29.812
2011-02-17,29.7975,29.4645,30.1792,29.8634
2011-02-18,29.8502,29.5116,30.2265,29.9089
2011-02-22,29.8849,29.5381,30.2596,29.9331
2011-02-23,29.9101,29.5588,30.2828,29.9587
2011-02-24,29.9293,29.5815,30.3043,29.983
2011-02-25,29.9688,29.6252,30.3442,30.0226
2011-02-28,30.0106,29.6648,30.3823,30.0593
2011-03-01,30.0488,29.6965,30.4164,30.0854
2011-03-02,30.071,29.6986,30.4415,30.1094
2011-03-03,30.1018,29.7352,30.4758,30.1471
2011-03-04,30.1375,29.7653,30.5066,30.176
2011-03-07,30.1711,29.7955,30.5372,30.2013
2011-03-08,30.2003,29.8292,30.5739,30.2392
2011-03-09,30.2377,29.8686,30.6132,30.2812
2011-03-10,30.2716,29.9037,30.6455,30.3103
2011-03-11,30.2993,29.9371,30.6755,30.3443
2011-03-14,30.327,29.9666,30.7012,30.373
2011-03-15,30.3454,29.9868,30.7276,30.4041
2011-03-16,30.3773,30.0051,30.7546,30.4177
2011-03-17,30.3977,30.0153,30.7701,30.4331
2011-03-18,30.4213,30.0416,30.7964,30.456
2011-03-21,30.4511,30.0649,30.8202,30.4794
2011-03-22,30.4739,30.0884,30.8372,30.4963
2011-03-23,30.4898,30.102,30.8484,30.5119
2011-03-24,30.5017,30.1178,30.8609,30.5287
2011-03-25,30.5181,30.1386,30.8832,30.5519
2011-03-28,30.5429,30.1626,30.9022,30.5692
2011-03-29,30.5604,30.1806,30.9138,30.586
2011-03-30,30.5809,30.2038,30.9329,30.6077
2011-03-31,30.5977,30.2256,30.947,30.6257
2011-04-01,30.6222,30.2517,30.9687,30.6493
2011-04-04,30.6445,30.2724,30.9877,30.6681
2011-04-05,30.6629,30.2944,31.0087,30.6898
2011-04-06,30.6868,30.3202,31.0335,30.7178
2011-04-07,30.7144,30.3482,31.0597,30.7416
2011-04-08,30.7437,30.3681,31.0838,30.756
2011-04-11,30.758,30.3829,31.0957,30.7666
2011-04-12,30.7646,30.3933,31.1054,30.777
2011-04-13,30.7773,30.3975,31.1134,30.7754
2011-04-14,30.7736,30.3926,31.1048,30.7651
2011-04-15,30.766,30.3839,31.0944,30.7508
2011-04-18,30.7452,30.367,31.0745,30.7306
2011-04-19,30.7278,30.3544,31.0593,30.7198
2011-04-20,30.7039,30.3192,31.0326,30.6888
2011-04-21,30.6753,30.2861,30.9999,30.6536
2011-04-25,30.6396,30.2562,30.9639,30.6192
2011-04-26,30.6075,30.2261,30.93,30.5906
2011-04-27,30.5802,30.2035,30.9046,30.5689
2011-04-28,30.5559,30.1854,30.8795,30.5476
2011-04-29,30.5338,30.1658,30.8555,30.5241
2011-05-02,30.5143,30.1458,30.831,30.5012
2011-05-03,30.4876,30.1245,30.8097,30.485
2011-05-04,30.47,30.1021,30.7891,30.457
2011-05-05,30.4411,30.0639,30.7566,30.4189
2011-05-06,30.4083,30.032,30.7211,30.3833
2011-05-09,30.37,29.9995,30.6842,30.3477
2011-05-10,30.3367,29.9717,30.6497,30.3179
2011-05-11,30.3059,29.9399,30.6164,30.2825
2011-05-12,30.2717,29.9031,30.5781,30.2489
2011-05-13,30.2391,29.8695,30.5424,30.2108
2011-05-16,30.1994,29.8352,30.5063,30.1723
2011-05-17,30.1598,29.801,30.4777,30.149
2011-05-18,30.1362,29.7791,30.4525,30.1288
2011-05-19,30.1177,29.7574,30.43,30.1039
2011-05-20,30.0907,29.7278,30.4001,30.0695
2011-05-23,30.0497,29.6916,30.3596,30.0278
2011-05-24,30.0091,29.6537,30.3165,29.9885
2011-05-25,29.9668,29.6173,30.2771,29.9487
2011-05-26,29.9258,29.5811,30.237,29.9118
