,open,low,high,close
2010-01-04,27.1254,26.7525,27.4617,27.105
2010-01-05,27.1324,26.7763,27.4997,27.1521
2010-01-06,27.1762,26.8257,27.5402,27.1988
2010-01-07,27.2222,26.8791,27.6324,27.293
2010-01-08,27.3041,26.963,27.7162,27.3695
2010-01-11,27.3912,27.0419,27.7871,27.4393
2010-01-12,27.4438,27.0643,27.8243,27.4705
2010-01-13,27.4705,27.1002,27.8699,27.5246
2010-01-14,27.5207,27.1684,27.9353,27.5961
2010-01-15,27.5841,27.2032,27.9824,27.6197
2010-01-19,27.6009,27.223,28.0061,27.6519
2010-01-20,27.6214,27.2463,28.0376,27.6601
2010-01-21,27.6389,27.243,28.0601,27.6767
2010-01-22,27.655,27.2395,28.0772,27.6564
2010-01-25,27.645,27.2371,28.0759,27.6566
2010-01-26,27.6355,27.2216,28.0892,27.624
2010-01-27,27.5996,27.2049,28.0966,27.6521
2010-01-28,27.6328,27.2301,28.1294,27.6911
2010-01-29,27.6722,27.2862,28.1802,27.7271
2010-02-01,27.7175,27.3459,28.2246,27.7858
2010-02-02,27.7766,27.4231,28.259,27.8416
2010-02-03,27.8153,27.4503,28.2844,27.8562
2010-02-04,27.8219,27.4283,28.2744,27.8173
2010-02-05,27.7964,27.3889,28.2469,27.7979
2010-02-08,27.7688,27.3407,28.2061,27.7312
2010-02-09,27.7259,27.2933,28.1541,27.6814
2010-02-10,27.6715,27.257,28.1251,27.6569
2010-02-11,27.646,27.2304,28.0819,27.6288
2010-02-12,27.6043,27.1933,28.0311,27.5923
2010-02-16,27.5841,27.1809,27.9998,27.5824
2010-02-17,27.5844,27.1765,27.9823,27.5701
2010-02-18,27.5705,27.1757,27.9622,27.5589
2010-02-19,27.5466,27.1705,27.9386,27.5496
2010-02-22,27.5433,27.1807,27.9489,27.5721
2010-02-23,27.5632,27.1807,27.9514,27.5583
2010-02-24,27.5576,27.1807,27.9426,27.5633
2010-02-25,27.5387,27.1738,27.92,27.5573
2010-02-26,27.5364,27.1619,27.8995,27.5467
2010-03-01,27.5268,27.1613,27.8844,27.5371
2010-03-02,27.5206,27.1715,27.9003,27.5533
2010-03-03,27.5415,27.209,27.9271,27.5849
2010-03-04,27.581,27.2578,27.9585,27.6261
2010-03-05,27.6321,27.3209,28.0225,27.7004
2010-03-08,27.7052,27.394,28.0872,27.7585
2010-03-09,27.7576,27.4465,28.1425,27.8181
2010-03-10,27.8246,27.5271,28.2248,27.9035
2010-03-11,27.9078,27.6107,28.2997,27.9941
2010-03-12,28.0015,27.7024,28.3797,28.0739
2010-03-15,28.0737,27.7783,28.4534,28.1625
2010-03-16,28.1642,27.874,28.5444,28.2658
