,open,low,high,close
2010-01-04,50.5111,50.8885,50.5505,50.6786
2010-01-05,50.6573,51.1769,51.094,51.1059
2010-01-06,51.1,51.5526,51.1581,51.1286
2010-01-07,51.1523,51.6413,51.9346,51.7069
2010-01-08,51.6049,52.1037,51.8742,51.5441
2010-01-11,51.7148,52.0889,51.7375,51.5078
2010-01-12,51.3313,51.2971,51.2683,51.0721
2010-01-13,51.0359,51.5036,51.4187,51.3602
2010-01-14,51.3359,51.9826,51.7407,51.5958
2010-01-15,51.5239,51.528,51.5036,51.0424
2010-01-19,50.9718,51.3309,51.1756,51.1585
2010-01-20,51.0253,51.3934,51.3065,50.8787
2010-01-21,51.0003,51.0118,51.1912,50.9845
2010-01-22,50.9941,51.0045,51.1217,50.5334
2010-01-25,50.6667,51.0187,50.8432,50.7708
2010-01-26,50.6667,50.8179,51.0672,50.3626
2010-01-27,50.3193,50.7881,50.9813,51.0789
2010-01-28,51.1664,51.3928,51.3786,51.2255
2010-01-29,51.2636,51.8614,51.6766,51.2131
2010-02-01,51.3611,51.9534,51.6128,51.5086
2010-02-02,51.5628,52.2507,51.4846,51.5086
2010-02-03,51.3287,51.5236,51.364,51.0123
2010-02-04,50.9272,50.7884,50.804,50.3436
2010-02-05,50.5095,50.5067,50.5106,50.5614
2010-02-08,50.4645,50.3436,50.2731,49.9538
2010-02-09,50.2455,50.3213,50.0596,50.1248
2010-02-10,50.0651,50.4543,50.3901,50.4114
2010-02-11,50.4114,50.5729,50.1352,50.3493
2010-02-12,50.1775,50.3904,49.9758,50.2246
2010-02-16,50.4351,50.7413,50.2548,50.5397
2010-02-17,50.6922,50.8532,50.4538,50.5018
2010-02-18,50.5007,50.9056,50.3969,50.508
2010-02-19,50.3552,50.8353,50.3233,50.5269
2010-02-22,50.6161,51.0702,50.862,50.9293
2010-02-23,50.9216,50.9119,50.7378,50.4636
2010-02-24,50.5859,50.9119,50.547,50.6972
2010-02-25,50.3983,50.7999,50.3064,50.5543
2010-02-26,50.6094,50.7115,50.3228,50.4891
2010-03-01,50.5078,50.8839,50.3973,50.4955
2010-03-02,50.5478,51.0565,50.9085,50.8309
2010-03-03,50.9149,51.5016,51.1052,51.0432
2010-03-04,51.1806,51.7114,51.2037,51.1913
2010-03-05,51.3665,51.9751,51.7755,51.6529
2010-03-08,51.6975,52.1843,51.8406,51.4756
2010-03-09,51.4503,51.8889,51.7263,51.5336
2010-03-10,51.6833,52.3781,52.2247,51.9139
2010-03-11,51.949,52.4864,52.1624,52.0361
