,open,low,high,close
2010-01-04,26.892,26.6328,27.183,26.978
2010-01-05,26.981,26.739,27.307,27.107
2010-01-06,27.085,26.833,27.391,27.184
2010-01-07,27.171,26.958,27.604,27.381
2010-01-08,27.334,27.146,27.811,27.582
2010-01-11,27.547,27.317,28.014,27.753
2010-01-12,27.686,27.413,28.149,27.886
2010-01-13,27.813,27.538,28.337,28.076
2010-01-14,28.013,27.744,28.576,28.293
2010-01-15,28.221,27.863,28.742,28.402
2010-01-19,28.312,27.942,28.841,28.498
2010-01-20,28.387,27.988,28.882,28.473
2010-01-21,28.382,27.927,28.899,28.462
2010-01-22,28.367,27.852,28.797,28.275
2010-01-25,28.222,27.711,28.667,28.155
2010-01-26,28.058,27.545,28.585,27.974
2010-01-27,27.901,27.483,28.554,27.986
2010-01-28,27.93,27.475,28.555,27.973
2010-01-29,27.924,27.463,28.551,27.917
2010-02-01,27.902,27.526,28.57,28.002
2010-02-02,28.002,27.658,28.616,28.067
2010-02-03,28.057,27.686,28.629,28.099
2010-02-04,28.054,27.668,28.587,28.005
2010-02-05,27.987,27.613,28.517,28.021
2010-02-08,27.965,27.534,28.453,27.898
2010-02-09,27.909,27.479,28.332,27.87
2010-02-10,27.88,27.446,28.264,27.768
2010-02-11,27.767,27.345,28.111,27.631
2010-02-12,27.602,27.154,27.898,27.476
2010-02-16,27.461,26.997,27.728,27.322
2010-02-17,27.327,26.813,27.599,27.162
2010-02-18,27.2,26.731,27.478,27.082
2010-02-19,27.113,26.738,27.418,27.113
2010-02-22,27.131,26.814,27.462,27.172
2010-02-23,27.203,26.892,27.521,27.258
2010-02-24,27.259,26.973,27.584,27.353
2010-02-25,27.315,27.022,27.576,27.379
2010-02-26,27.349,27.044,27.602,27.405
2010-03-01,27.404,27.112,27.657,27.452
2010-03-02,27.425,27.155,27.739,27.5
2010-03-03,27.461,27.24,27.82,27.587
2010-03-04,27.566,27.345,27.92,27.696
2010-03-05,27.721,27.493,28.099,27.874
2010-03-08,27.886,27.637,28.219,27.962
2010-03-09,27.969,27.766,28.341,28.131
2010-03-10,28.137,27.958,28.547,28.322
2010-03-11,28.373,28.178,28.775,28.554
2010-03-12,28.607,28.434,29.019,28.783
2010-03-15,28.821,28.645,29.249,29.037
2010-03-16,29.074,28.882,29.46,29.278
2010-03-17,29.32,29.114,29.682,29.513
2010-03-18,29.532,29.278,29.8814,29.699
2010-03-19,29.719,29.419,30.0079,29.822
