,open,low,high,close
2010-01-04,28.0449,27.5919,28.4825,28.0496
2010-01-05,28.0604,27.6075,28.4961,28.0633
2010-01-06,28.0744,27.6215,28.5081,28.0755
2010-01-07,28.087,27.6341,28.5191,28.0866
2010-01-08,28.0983,27.6453,28.5285,28.096
2010-01-11,28.108,27.6549,28.5361,28.1036
2010-01-12,28.1156,27.6622,28.5415,28.1088
2010-01-13,28.121,27.667,28.5447,28.1116
2010-01-14,28.1239,27.6698,28.5459,28.1127
2010-01-15,28.1249,27.6705,28.5452,28.1117
2010-01-19,28.1237,27.6688,28.5421,28.1082
2010-01-20,28.1201,27.6653,28.5365,28.1031
2010-01-21,28.1151,27.6602,28.5289,28.096
2010-01-22,28.1079,27.6533,28.5194,28.0869
2010-01-25,28.0989,27.645,28.5084,28.0767
2010-01-26,28.0888,27.6355,28.4963,28.0651
2010-01-27,28.0774,27.6252,28.4836,28.0532
2010-01-28,28.0654,27.6142,28.4705,28.0407
2010-01-29,28.053,27.6033,28.4574,28.0286
2010-02-01,28.0411,27.5931,28.4448,28.017
2010-02-02,28.0297,27.5833,28.433,28.006
2010-02-03,28.0185,27.5742,28.4216,27.9958
2010-02-04,28.008,27.5654,28.4107,27.9855
2010-02-05,27.9976,27.5566,28.3999,27.9753
2010-02-08,27.9872,27.5474,28.3887,27.9644
2010-02-09,27.9763,27.5375,28.3771,27.9531
2010-02-10,27.9644,27.5266,28.3644,27.9406
2010-02-11,27.9515,27.5149,28.3508,27.9273
2010-02-12,27.9378,27.5025,28.3365,27.9135
2010-02-16,27.9235,27.4896,28.3216,27.8993
2010-02-17,27.9089,27.4763,28.3063,27.8848
2010-02-18,27.8941,27.4625,28.2906,27.8693
2010-02-19,27.8786,27.4481,28.2744,27.8534
2010-02-22,27.8626,27.4336,28.2581,27.8374
2010-02-23,27.8464,27.4186,28.2415,27.8212
2010-02-24,27.83,27.4035,28.2248,27.8047
2010-02-25,27.8132,27.3881,28.2078,27.7881
2010-02-26,27.7966,27.3723,28.1908,27.7712
2010-03-01,27.7797,27.3561,28.1733,27.7537
2010-03-02,27.7621,27.3394,28.1554,27.7358
2010-03-03,27.7443,27.3227,28.1373,27.7179
2010-03-04,27.7266,27.3065,28.1193,27.7008
2010-03-05,27.7093,27.291,28.1018,27.6844
2010-03-08,27.6928,27.2765,28.085,27.6691
2010-03-09,27.6774,27.263,28.0694,27.6549
2010-03-10,27.6631,27.2508,28.0552,27.6423
2010-03-11,27.6502,27.2404,28.0427,27.6317
2010-03-12,27.6396,27.232,28.0323,27.6234
2010-03-15,27.6311,27.2257,28.024,27.6171
2010-03-16,27.6244,27.2215,28.0174,27.6128
2010-03-17,27.6196,27.2193,28.0128,27.6104
2010-03-18,27.6168,27.219,28.0102,27.6101
2010-03-19,27.616,27.2203,28.0092,27.6112
2010-03-22,27.6165,27.2228,28.0095,27.6135
2010-03-23,27.6181,27.2266,28.0112,27.6171
2010-03-24,27.6209,27.2319,28.0143,27.6223
2010-03-25,27.6254,27.2385,28.0193,27.629
2010-03-26,27.6313,27.2468,28.0259,27.6372
2010-03-29,27.6388,27.2562,28.034,27.6466
2010-03-30,27.6474,27.2666,28.0433,27.6569
2010-03-31,27.6572,27.2783,28.0539,27.6687
2010-04-01,27.6686,27.2915,28.0661,27.6819
2010-04-05,27.6814,27.3061,28.0795,27.6963
2010-04-06,27.6954,27.322,28.0942,27.7121
2010-04-07,27.7108,27.3392,28.1098,27.7287
2010-04-08,27.7271,27.3573,28.1265,27.7466
2010-04-09,27.7446,27.3765,28.1445,27.7657
2010-04-12,27.7637,27.3978,28.1643,27.7869
2010-04-13,27.7847,27.4211,28.1859,27.8098
2010-04-14,27.8074,27.4457,28.2089,27.8342
2010-04-15,27.8316,27.4722,28.2337,27.8605
2010-04-16,27.8579,27.5004,28.2604,27.8886
2010-04-19,27.8859,27.5301,28.2889,27.9183
2010-04-20,27.9155,27.5618,28.3194,27.9502
2010-04-21,27.947,27.5954,28.3519,27.9842
2010-04-22,27.9804,27.6308,28.3863,28.02
2010-04-23,28.0157,27.6681,28.4223,28.0579
2010-04-26,28.0531,27.7071,28.4597,28.0968
2010-04-27,28.0915,27.7471,28.4981,28.1366
2010-04-28,28.1308,27.7879,28.5374,28.1773
2010-04-29,28.1711,27.8293,28.5776,28.2187
2010-04-30,28.2122,27.8714,28.6187,28.2609
2010-05-03,28.2543,27.9146,28.6611,28.3044
2010-05-04,28.2977,27.9592,28.7048,28.3494
2010-05-05,28.3424,28.0051,28.7499,28.3958
2010-05-06,28.3885,28.0521,28.7968,28.444
2010-05-07,28.4361,28.1005,28.8452,28.4936
2010-05-10,28.4857,28.1508,28.8955,28.5453
2010-05-11,28.5371,28.2031,28.948,28.5988
2010-05-12,28.5906,28.2573,29.0026,28.6543
2010-05-13,28.646,28.3135,29.0593,28.7116
2010-05-14,28.703,28.3711,29.1176,28.7705
2010-05-17,28.7615,28.4301,29.1776,28.831
2010-05-18,28.8218,28.4903,29.2391,28.8926
2010-05-19,28.8829,28.551,29.3013,28.9548
2010-05-20,28.9446,28.6123,29.3641,29.0175
2010-05-21,29.0065,28.6739,29.4277,29.0809
2010-05-24,29.0693,28.7361,29.492,29.1448
2010-05-25,29.132,28.7984,29.5568,29.2091
2010-05-26,29.1951,28.8609,29.6221,29.2737
2010-05-27,29.2589,28.9238,29.6879,29.3388
2010-05-28,29.323,28.9867,29.7538,29.4038
2010-06-01,29.387,29.0491,29.8197,29.4682
2010-06-02,29.4506,29.1109,29.8851,29.5321
2010-06-03,29.5136,29.1719,29.9499,29.5952
2010-06-04,29.5758,29.232,30.0139,29.6573
2010-06-07,29.6369,29.2908,30.0764,29.7177
2010-06-08,29.6965,29.3477,30.1374,29.7764
2010-06-09,29.7543,29.4028,30.1968,29.8333
2010-06-10,29.8106,29.4562,30.2547,29.8886
2010-06-11,29.8651,29.5078,30.3108,29.9419
2010-06-14,29.9178,29.5572,30.365,29.9932
2010-06-15,29.9685,29.605,30.4174,30.0426
2010-06-16,30.0173,29.651,30.4682,30.0905
2010-06-17,30.0647,29.6956,30.5175,30.1369
2010-06-18,30.1106,29.7384,30.5649,30.1814
2010-06-21,30.1549,29.7794,30.6106,30.2241
2010-06-22,30.1973,29.8184,30.654,30.2647
2010-06-23,30.2376,29.8551,30.6951,30.3031
2010-06-24,30.2754,29.8895,30.7338,30.3391
2010-06-25,30.311,29.9216,30.7702,30.3731
2010-06-28,30.3447,29.9516,30.8046,30.4049
2010-06-29,30.3758,29.9791,30.8366,30.434
2010-06-30,30.4044,30.0039,30.8662,30.4607
2010-07-01,30.4305,30.026,30.893,30.4844
2010-07-02,30.4536,30.0451,30.9171,30.5054
2010-07-06,30.4743,30.0616,30.9386,30.5235
2010-07-07,30.4922,30.0754,30.9576,30.5392
2010-07-08,30.5075,30.0863,30.9739,30.5522
2010-07-09,30.5203,30.0947,30.9879,30.5629
2010-07-12,30.5304,30.1005,30.999,30.5707
2010-07-13,30.5379,30.1033,31.0073,30.5756
2010-07-14,30.5424,30.1038,31.0128,30.578
2010-07-15,30.5444,30.1018,31.0157,30.5776
2010-07-16,30.5434,30.0964,31.0155,30.5736
2010-07-19,30.5395,30.0877,31.0115,30.5663
2010-07-20,30.5323,30.0756,31.0039,30.5553
2010-07-21,30.5217,30.0599,30.9932,30.5405
2010-07-22,30.5076,30.041,30.9796,30.5231
2010-07-23,30.4911,30.0198,30.9632,30.5037
2010-07-26,30.4724,29.9964,30.9447,30.482
2010-07-27,30.4514,29.9706,30.9237,30.4578
2010-07-28,30.4279,29.9424,30.9001,30.4312
2010-07-29,30.4018,29.9112,30.8735,30.4013
2010-07-30,30.3726,29.877,30.8437,30.3685
2010-08-02,30.3408,29.8405,30.8112,30.3331
2010-08-03,30.3065,29.8028,30.7761,30.2957
