date,CCI
2010-01-04,47.2083
2010-01-05,219.0812
2010-01-06,278.7364
2010-01-07,301.408
2010-01-08,216.3697
2010-01-11,177.6103
2010-01-12,93.7044
2010-01-13,90.1351
2010-01-14,102.7951
2010-01-15,55.4119
2010-01-19,33.5576
2010-01-20,51.1185
2010-01-21,-22.2321
2010-01-22,-99.0152
2010-01-25,-99.225
2010-01-26,-106.6878
2010-01-27,-86.782
2010-01-28,-61.1043
2010-01-29,-68.6325
2010-02-01,-65.2036
2010-02-02,-44.1934
2010-02-03,-32.2024
2010-02-04,-89.2231
2010-02-05,-99.2052
2010-02-08,-107.5938
2010-02-09,-114.601
2010-02-10,-87.6842
2010-02-11,-86.0272
2010-02-12,-110.461
2010-02-16,-20.2092
2010-02-17,81.0305
2010-02-18,133.8384
2010-02-19,146.3361
2010-02-22,167.444
2010-02-23,123.2986
2010-02-24,132.0005
2010-02-25,131.6227
2010-02-26,141.7867
2010-03-01,130.694
2010-03-02,101.0375
2010-03-03,81.4286
2010-03-04,63.0413
2010-03-05,84.7913
2010-03-08,91.6878
2010-03-09,86.0034
2010-03-10,118.126
2010-03-11,114.5638
2010-03-12,87.0864
2010-03-15,61.501
2010-03-16,91.8832
2010-03-17,121.0646
2010-03-18,101.0101
2010-03-19,53.8426
2010-03-22,28.6523
2010-03-23,87.2576
2010-03-24,168.3001
2010-03-25,242.8371
2010-03-26,203.628
2010-03-29,175.8055
2010-03-30,129.3708
2010-03-31,109.6007
2010-04-01,118.6259
2010-04-05,118.9394
2010-04-06,134.2581
2010-04-07,151.107
2010-04-08,123.7362
2010-04-09,115.0424
2010-04-12,111.1342
2010-04-13,97.7156
2010-04-14,159.0775
2010-04-15,169.9865
2010-04-16,57.7075
2010-04-19,10.1825
2010-04-20,45.72
2010-04-21,8.8342
2010-04-22,-11.9328
2010-04-23,-7.4879
2010-04-26,-60.6697
2010-04-27,-152.3305
2010-04-28,-136.7461
2010-04-29,-48.077
2010-04-30,-111.8305
2010-05-03,-91.4662
2010-05-04,-139.5015
2010-05-05,-154.0611
2010-05-06,-242.0779
2010-05-07,-208.4407
2010-05-10,-90.2293
2010-05-11,-83.2686
2010-05-12,-82.3806
2010-05-13,-91.9578
2010-05-14,-139.0447
2010-05-17,-136.2199
2010-05-18,-129.4828
2010-05-19,-109.8641
2010-05-20,-152.6272
2010-05-21,-125.4148
2010-05-24,-112.798
2010-05-25,-126.2056
2010-05-26,-86.0664
2010-05-27,-52.0026
2010-05-28,-58.2599
2010-06-01,-81.8254
2010-06-02,-64.2077
2010-06-03,-41.3259
2010-06-04,-89.9548
2010-06-07,-133.0938
2010-06-08,-108.1999
2010-06-09,-105.7833
2010-06-10,-70.0095
2010-06-11,-29.1109
2010-06-14,-23.64
2010-06-15,15.1072
2010-06-16,73.8248
2010-06-17,84.3597
2010-06-18,75.4694
2010-06-21,85.5813
2010-06-22,26.2132
2010-06-23,-38.2841
2010-06-24,-129.3973
2010-06-25,-46.2523
2010-06-28,-54.1593
2010-06-29,-197.8735
2010-06-30,-202.2348
2010-07-01,-247.5058
2010-07-02,-203.2101
2010-07-06,-148.7758
2010-07-07,-79.2302
2010-07-08,-40.2629
2010-07-09,-14.8978
2010-07-12,5.0232
2010-07-13,59.9255
2010-07-14,61.2559
2010-07-15,37.9018
2010-07-16,-98.1821
2010-07-19,-143.8753
2010-07-20,-127.9764
2010-07-21,-122.0749
2010-07-22,-95.3918
2010-07-23,-88.7366
2010-07-26,-45.8629
2010-07-27,-6.3522
2010-07-28,-35.4955
2010-07-29,-34.6716
2010-07-30,-35.7683
2010-08-02,1.2024
2010-08-03,-2.7058
2010-08-04,-17.3068
2010-08-05,-38.7569
2010-08-06,-49.7025
2010-08-09,-46.7574
2010-08-10,-79.3673
2010-08-11,-156.6751
2010-08-12,-176.7578
2010-08-13,-134.9292
2010-08-16,-127.5752
2010-08-17,-101.4634
2010-08-18,-81.1866
2010-08-19,-107.335
2010-08-20,-130.6043
2010-08-23,-104.9901
2010-08-24,-125.7542
2010-08-25,-122.8989
2010-08-26,-110.5448
2010-08-27,-105.8898
2010-08-30,-126.7599
2010-08-31,-119.9847
2010-09-01,-18.122
2010-09-02,39.9616
2010-09-03,88.6405
2010-09-07,54.298
2010-09-08,80.0494
2010-09-09,126.979
2010-09-10,106.5152
2010-09-13,160.9743
2010-09-14,111.7704
2010-09-15,88.3043
2010-09-16,68.8975
2010-09-17,49.5074
2010-09-20,67.896
2010-09-21,79.8931
2010-09-22,41.2555
2010-09-23,-13.0031
2010-09-24,28.9162
2010-09-27,-6.7278
2010-09-28,-54.7675
2010-09-29,-116.2995
2010-09-30,-114.5698
2010-10-01,-83.3781
2010-10-04,-79.4266
2010-10-05,-4.188
2010-10-06,-10.5213
2010-10-07,-47.3195
2010-10-08,-73.287
2010-10-11,-96.6134
2010-10-12,-7.1531
2010-10-13,5.3067
2010-10-14,-270.933
2010-10-15,-353.9519
2010-10-18,-252.3637
2010-10-19,-216.7206
2010-10-20,-210.2648
2010-10-21,-171.8953
2010-10-22,-146.26
2010-10-25,-139.3949
2010-10-26,-119.4387
2010-10-27,-88.4054
2010-10-28,-74.3524
2010-10-29,-75.3338
2010-11-01,-67.0128
2010-11-02,-66.6223
2010-11-03,-59.1835
2010-11-04,1.485
2010-11-05,52.1957
2010-11-08,81.0648
2010-11-09,72.6857
2010-11-10,94.0879
2010-11-11,94.2694
2010-11-12,52.9976
2010-11-15,52.3253
2010-11-16,12.8086
2010-11-17,-15.7316
2010-11-18,-21.1375
2010-11-19,-40.0731
2010-11-22,-84.8919
2010-11-23,-115.4148
2010-11-24,-102.0382
2010-11-26,-107.5719
2010-11-29,-87.0359
2010-11-30,-74.9628
2010-12-01,-89.7941
2010-12-02,-30.6601
2010-12-03,-3.3907
2010-12-06,-5.7176
2010-12-07,-9.6067
2010-12-08,46.0143
2010-12-09,176.7906
2010-12-10,201.1199
2010-12-13,171.6861
2010-12-14,131.2393
2010-12-15,100.1374
2010-12-16,110.0355
2010-12-17,95.1865
2010-12-20,93.8176
2010-12-21,107.8336
2010-12-22,134.8811
2010-12-23,105.6626
2010-12-27,108.7927
2010-12-28,122.8068
2010-12-29,112.4043
2010-12-30,103.3879
2010-12-31,94.698
2011-01-03,176.5156
2011-01-04,166.8757
2011-01-05,176.7545
2011-01-06,166.876
2011-01-07,126.9584
2011-01-10,111.6816
2011-01-11,127.5546
2011-01-12,134.5615
2011-01-13,109.5116
2011-01-14,118.5185
2011-01-18,102.1338
2011-01-19,54.2583
2011-01-20,29.068
2011-01-21,28.452
2011-01-24,-26.0503
2011-01-25,-88.1177
2011-01-26,-92.6412
2011-01-27,-100.6189
2011-01-28,-87.5372
2011-01-31,-101.4525
2011-02-01,-21.2456
2011-02-02,-11.817
2011-02-03,8.7788
2011-02-04,-0.356
2011-02-07,56.5392
2011-02-08,51.7361
2011-02-09,45.2264
2011-02-10,42.7294
2011-02-11,69.556
2011-02-14,109.4871
2011-02-15,100.787
2011-02-16,100.605
2011-02-17,92.9458
2011-02-18,77.5085
2011-02-22,-12.7968
2011-02-23,-36.1538
2011-02-24,-83.424
2011-02-25,-44.5884
2011-02-28,-32.1162
2011-03-01,-104.9173
2011-03-02,-136.3268
2011-03-03,-59.4507
2011-03-04,-70.6933
2011-03-07,-80.2366
2011-03-08,27.5616
2011-03-09,41.6706
2011-03-10,-17.5591
2011-03-11,-20.7524
2011-03-14,-38.3121
2011-03-15,-113.8727
2011-03-16,-131.9685
2011-03-17,-96.0261
2011-03-18,-31.7764
2011-03-21,-41.1483
2011-03-22,-82.7613
2011-03-23,-188.2501
2011-03-24,-196.934
2011-03-25,-179.2025
2011-03-28,-144.0007
2011-03-29,-148.8055
2011-03-30,-107.347
2011-03-31,-109.7858
2011-04-01,-78.7044
2011-04-04,-65.1866
2011-04-05,-63.7526
2011-04-06,-11.5904
2011-04-07,-4.9942
2011-04-08,-30.5255
2011-04-11,-37.9314
2011-04-12,-49.4739
2011-04-13,-71.5927
2011-04-14,-142.6814
2011-04-15,-206.4453
2011-04-18,-355.8171
2011-04-19,-272.5844
2011-04-20,-203.7599
2011-04-21,-160.7359
2011-04-25,-114.33
2011-04-26,-113.3279
2011-04-27,-99.1089
2011-04-28,-81.3623
2011-04-29,-77.6912
2011-05-02,-63.9303
2011-05-03,-38.5993
2011-05-04,-36.4898
2011-05-05,-60.0127
2011-05-06,-53.2283
2011-05-09,-76.4807
2011-05-10,-61.8942
2011-05-11,-54.2326
2011-05-12,-100.2931
2011-05-13,-204.1554
2011-05-16,-266.0284
2011-05-17,-221.5689
2011-05-18,-196.9912
2011-05-19,-173.1511
2011-05-20,-174.0568
2011-05-23,-183.6932
2011-05-24,-155.156
2011-05-25,-129.4964
2011-05-26,-108.8766
2011-05-27,-61.3427
2011-05-31,-37.9772
2011-06-01,-104.1036
2011-06-02,-123.7093
2011-06-03,-107.0212
2011-06-06,-168.0274
2011-06-07,-176.4746
2011-06-08,-181.352
2011-06-09,-160.4986
2011-06-10,-122.7883
2011-06-13,-85.785
2011-06-14,-73.7741
2011-06-15,-122.4294
2011-06-16,-102.3365
2011-06-17,-74.5581
2011-06-20,-80.9288
2011-06-21,-49.9384
2011-06-22,-28.9359
2011-06-23,-55.8727
2011-06-24,-71.4395
2011-06-27,-23.4395
2011-06-28,9.0205
2011-06-29,132.3627
2011-06-30,92.1673
2011-07-01,135.878
2011-07-05,103.5522
2011-07-06,-11.7582
2011-07-07,56.8812
2011-07-08,-43.6477
2011-07-11,-163.6657
2011-07-12,-185.9306
2011-07-13,-168.4195
2011-07-14,-173.3061
2011-07-15,-179.6108
2011-07-18,-200.9412
2011-07-19,-179.5176
2011-07-20,-117.6049
2011-07-21,-53.3838
2011-07-22,-51.3291
2011-07-25,-70.5376
2011-07-26,-62.7196
2011-07-27,-91.509
2011-07-28,-85.5715
2011-07-29,-84.7171
2011-08-01,-62.1152
2011-08-02,-106.1618
2011-08-03,-126.2745
2011-08-04,-212.9026
2011-08-05,-295.7216
2011-08-08,-385.8869
2011-08-09,-227.9148
2011-08-10,-190.9309
2011-08-11,-142.0762
2011-08-12,-111.9082
2011-08-15,-79.8304
2011-08-16,-79.9691
2011-08-17,-70.3143
2011-08-18,-89.8462
2011-08-19,-82.4959
2011-08-22,-88.7095
2011-08-23,-105.4766
2011-08-24,-69.3036
2011-08-25,9.9354
2011-08-26,2.3591
2011-08-29,59.0738
2011-08-30,67.5455
2011-08-31,85.2983
2011-09-01,75.7789
2011-09-02,-13.0625
2011-09-06,-64.5118
2011-09-07,-2.9882
