date,CCI
2010-01-04,-14.9968
2010-01-05,-166.4361
2010-01-06,-173.0132
2010-01-07,-128.7289
2010-01-08,-99.2746
2010-01-11,-71.1672
2010-01-12,-44.7932
2010-01-13,-21.9465
2010-01-14,10.4343
2010-01-15,5.0874
2010-01-19,110.6353
2010-01-20,89.1758
2010-01-21,31.4877
2010-01-22,-21.1066
2010-01-25,25.4237
2010-01-26,149.4528
2010-01-27,93.9704
2010-01-28,103.1695
2010-01-29,154.0703
2010-02-01,108.3845
2010-02-02,115.2482
2010-02-03,158.1122
2010-02-04,-42.4824
2010-02-05,-131.8752
2010-02-08,-89.7887
2010-02-09,-34.31
2010-02-10,-33.5981
2010-02-11,-31.9995
2010-02-12,-47.3381
2010-02-16,54.9944
2010-02-17,137.6836
2010-02-18,177.8508
2010-02-19,139.6344
2010-02-22,130.2083
2010-02-23,90.2326
2010-02-24,56.9098
2010-02-25,50.7559
2010-02-26,31.5254
2010-03-01,49.2779
2010-03-02,65.0038
2010-03-03,79.3651
2010-03-04,141.896
2010-03-05,229.4664
2010-03-08,204.9748
2010-03-09,22.4945
2010-03-10,-86.5136
2010-03-11,-88.9826
2010-03-12,-52.5936
2010-03-15,-13.1564
2010-03-16,59.4726
2010-03-17,112.286
2010-03-18,62.7254
2010-03-19,143.9574
2010-03-22,121.5649
2010-03-23,108.6221
2010-03-24,108.9228
2010-03-25,86.3433
2010-03-26,76.1317
2010-03-29,47.619
2010-03-30,41.3177
2010-03-31,-25.9308
2010-04-01,27.369
2010-04-05,13.8371
2010-04-06,-7.8773
2010-04-07,184.1052
2010-04-08,155.9067
2010-04-09,149.0369
2010-04-12,52.5579
2010-04-13,69.6017
2010-04-14,134.4373
2010-04-15,58.681
2010-04-16,-61.1285
2010-04-19,-178.6787
2010-04-20,-136.9637
2010-04-21,-94.8012
2010-04-22,-117.2716
2010-04-23,-24.9619
2010-04-26,0.6504
2010-04-27,-64.3709
2010-04-28,142.4198
2010-04-29,105.6374
2010-04-30,62.7186
2010-05-03,40.0256
2010-05-04,-97.6744
2010-05-05,-93.6599
2010-05-06,-219.1634
2010-05-07,-145.0806
2010-05-10,-60.6266
2010-05-11,-59.4299
2010-05-12,89.5383
2010-05-13,125.0125
2010-05-14,71.9663
2010-05-17,65.4915
2010-05-18,48.2308
2010-05-19,33.3639
2010-05-20,-102.9038
2010-05-21,-151.5115
2010-05-24,-117.556
2010-05-25,-133.2414
2010-05-26,-94.0048
2010-05-27,-54.9017
2010-05-28,-50.0593
2010-06-01,-59.4744
2010-06-02,-59.6267
2010-06-03,55.6763
2010-06-04,-70.4069
2010-06-07,-75.8339
2010-06-08,-11.0894
2010-06-09,78.0354
2010-06-10,171.1605
2010-06-11,169.4245
2010-06-14,141.9883
2010-06-15,134.8463
2010-06-16,112.926
