date,WILLR
2010-01-04,-82.9205
2010-01-05,-93.9589
2010-01-06,-99.7497
2010-01-07,-94.4785
2010-01-08,-97.7914
2010-01-11,-89.1278
2010-01-12,-87.9331
2010-01-13,-86.0215
2010-01-14,-80.2902
2010-01-15,-86.578
2010-01-19,-79.2019
2010-01-20,-78.8114
2010-01-21,-83.053
2010-01-22,-88.7784
2010-01-25,-80.9659
2010-01-26,-75.4653
2010-01-27,-68.4746
2010-01-28,-70.678
2010-01-29,-63.2203
2010-02-01,-67.4576
2010-02-02,-58.3051
2010-02-03,-56.6102
2010-02-04,-82.5424
2010-02-05,-79.1525
2010-02-08,-78.1982
2010-02-09,-68.6888
2010-02-10,-66.2675
2010-02-11,-65.6442
2010-02-12,-62.3348
2010-02-16,-47.3568
2010-02-17,-32.57
2010-02-18,-17.0103
2010-02-19,-15.2062
2010-02-22,-7.2165
2010-02-23,-17.7835
2010-02-24,-16.7526
2010-02-25,-15.7216
2010-02-26,-25.5155
2010-03-01,-14.1753
2010-03-02,-16.2371
2010-03-03,-11.0825
2010-03-04,-3.599
2010-03-05,-1.1261
2010-03-08,-3.8697
2010-03-09,-32.1792
2010-03-10,-42.1589
2010-03-11,-36.0489
2010-03-12,-36.8635
2010-03-15,-24.4399
2010-03-16,-15.2749
2010-03-17,-10.7505
2010-03-18,-10.3448
2010-03-19,-0.5329
2010-03-22,-5.3286
2010-03-23,-0.1754
2010-03-24,-6.4725
2010-03-25,-9.8706
2010-03-26,-8.8567
2010-03-29,-9.9839
2010-03-30,-11.2721
2010-03-31,-16.2641
2010-04-01,-7.8905
2010-04-05,-12.0773
2010-04-06,-9.3398
2010-04-07,-1.5244
2010-04-08,-5.7143
2010-04-09,-4.252
2010-04-12,-10.3937
2010-04-13,-4.8819
2010-04-14,-0.1529
2010-04-15,-8.4098
2010-04-16,-19.5719
2010-04-19,-22.63
2010-04-20,-18.1957
2010-04-21,-22.1713
2010-04-22,-25.9939
2010-04-23,-11.7737
2010-04-26,-19.1131
2010-04-27,-22.9358
2010-04-28,-3.8226
2010-04-29,-15.1248
2010-04-30,-14.3906
2010-05-03,-19.0896
2010-05-04,-33.9837
2010-05-05,-31.0569
2010-05-06,-57.7236
2010-05-07,-59.0244
2010-05-10,-42.7642
2010-05-11,-42.7609
2010-05-12,-7.4074
2010-05-13,-9.8266
2010-05-14,-23.5294
2010-05-17,-18.0392
2010-05-18,-29.0196
2010-05-19,-27.451
2010-05-20,-83.7255
2010-05-21,-84.1176
2010-05-24,-99.0253
2010-05-25,-83.2579
2010-05-26,-87.4811
2010-05-27,-66.6667
2010-05-28,-76.4706
2010-06-01,-85.5204
2010-06-02,-73.9065
2010-06-03,-62.4434
2010-06-04,-87.3303
2010-06-07,-86.5762
2010-06-08,-73.3032
2010-06-09,-72.3982
2010-06-10,-54.2986
2010-06-11,-44.7964
2010-06-14,-42.8356
2010-06-15,-28.8084
2010-06-16,-31.9759
2010-06-17,-25.3394
2010-06-18,-17.3454
2010-06-21,-13.1222
2010-06-22,-11.0106
2010-06-23,-20.362
2010-06-24,-21.7195
2010-06-25,-15.5354
2010-06-28,-12.8205
2010-06-29,-37.1041
2010-06-30,-41.4781
2010-07-01,-45.7014
2010-07-02,-51.2821
2010-07-06,-50.8296
2010-07-07,-35.2941
2010-07-08,-30.3167
2010-07-09,-12.0347
2010-07-12,-7.9404
2010-07-13,-0.8383
2010-07-14,-8.982
2010-07-15,-11.3772
2010-07-16,-26.5868
2010-07-19,-31.497
2010-07-20,-29.3413
2010-07-21,-41.6766
2010-07-22,-36.4072
2010-07-23,-38.3234
2010-07-26,-37.485
2010-07-27,-29.7006
2010-07-28,-35.6886
2010-07-29,-35.6886
2010-07-30,-34.3713
2010-08-02,-32.2156
2010-08-03,-31.497
2010-08-04,-20.3593
2010-08-05,-26.4671
2010-08-06,-28.6228
2010-08-09,-20.9581
2010-08-10,-21.4371
2010-08-11,-42.1557
2010-08-12,-35.6886
2010-08-13,-30.2994
2010-08-16,-29.1018
2010-08-17,-16.7665
2010-08-18,-18.5629
2010-08-19,-33.1234
2010-08-20,-30.7305
2010-08-23,-31.1083
2010-08-24,-38.665
2010-08-25,-32.2418
2010-08-26,-31.6121
2010-08-27,-20.2771
2010-08-30,-31.738
2010-08-31,-31.2343
2010-09-01,-19.1919
2010-09-02,-23.588
2010-09-03,-12.5664
2010-09-07,-31.7604
2010-09-08,-16.6969
2010-09-09,-3.7655
2010-09-10,-3.9367
2010-09-13,-0.4785
2010-09-14,-1.983
2010-09-15,-2.0216
